loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_2.stopped,textbox.started,p_port_2.started,p_port_2.stopped,textbox.stopped,p_port_3.started,p_port_3.stopped,instructions.started,key_resp.started,p_port_4.started,p_port_4.stopped,key_resp.keys,key_resp.rt,cross.started,p_port_6.started,p_port_6.stopped,cross.stopped,p_port_7.started,disgust_image.started,p_port_8.started,p_port_8.stopped,p_port_9.started,disgust_score.started,p_port_10.started,p_port_10.stopped,disgust_score.response,disgust_score.rt,disgust_image.stopped,p_port_9.stopped,p_port_7.stopped,participant,session,date,expName,psychopyVersion,frameRate,
9,0,9,0,,,,,,,,,,,,,,,,,,182.76222159992903,0.0006186002865433693,0.09753100015223026,188.77853909973055,6.013925200328231,188.89552999986336,0.03757360018789768,0.13079369999468327,6.030707899946719,194.97839869977906,0.016049199737608433,0.11387709993869066,0.0,2.498895500320941,194.89522089995444,,,5854,Visual,2025-02-20_19h55.30.020,Visual_Condition_v2,2022.2.5,29.98288573623864,
10,0,10,0,,,,,,,,,,,,,,,,,,197.51190100004897,0.00028249993920326233,0.0992459999397397,203.5118453996256,5.999337099958211,203.6284773000516,0.02082149963825941,0.11588939977809787,6.015851199626923,209.72851309971884,0.018693599849939346,0.11589559959247708,3.0,4.398279599845409,209.6285455999896,,6.099212599918246,5854,Visual,2025-02-20_19h55.30.020,Visual_Condition_v2,2022.2.5,29.98288573623864,
11,0,11,0,,,,,,,,,,,,,,,,,,214.16220849985257,0.0002202000468969345,0.09915120014920831,220.17855049995705,6.015704600140452,220.31186660006642,0.04783489974215627,0.14899859996512532,6.015850099734962,226.37837259983644,0.01808719988912344,0.11577629996463656,0.0,3.531957000028342,226.31202999968082,,,5854,Visual,2025-02-20_19h55.30.020,Visual_Condition_v2,2022.2.5,29.98288573623864,
12,0,12,0,,,,,,,,,,,,,,,,,,229.94555119983852,0.0002214997075498104,0.09925549989566207,235.94513919996098,5.999137699604034,236.12888919981197,0.05481679970398545,0.1825881996192038,6.015729199629277,242.16177849983796,0.01854699943214655,0.11574159981682897,0.0,5.7315891003236175,242.12848659977317,,6.099178900010884,5854,Visual,2025-02-20_19h55.30.020,Visual_Condition_v2,2022.2.5,29.98288573623864,
13,0,13,0,,,,,,,,,,,,,,,,,,247.92877729982138,0.0005143997259438038,0.09688829956576228,253.94511049985886,6.013526399619877,254.0617601000704,0.0302711995318532,0.13029819959774613,6.030201599933207,260.16178079973906,0.033160699531435966,0.13005249947309494,0.0,3.0312569001689553,260.06173969991505,,,5854,Visual,2025-02-20_19h55.30.020,Visual_Condition_v2,2022.2.5,29.98288573623864,
14,0,14,0,,,,,,,,,,,,,,,,,,263.22865979978815,0.000497099943459034,0.09739260002970695,269.2283970997669,6.030716399662197,269.3784367996268,0.045008099637925625,0.14756449963897467,6.014012599829584,275.44510169979185,0.014311899431049824,0.11413869960233569,1.0,3.2337480997666717,275.3784194998443,,,5854,Visual,2025-02-20_19h55.30.020,Visual_Condition_v2,2022.2.5,29.98288573623864,
15,0,15,0,,,,,,,,,,,,,,,,,,278.7117249998264,0.0008330000564455986,0.09713249979540706,284.72838169988245,6.0136305000633,284.8450905000791,0.028901599813252687,0.13040459994226694,6.030385999940336,290.94500909978524,0.03303819987922907,0.1302573997527361,2.0,4.931654000189155,290.84519409993663,,,5854,Visual,2025-02-20_19h55.30.020,Visual_Condition_v2,2022.2.5,29.98288573623864,
16,0,16,0,,,,,,,,,,,,,,,,,,295.91178759979084,0.00022319983690977097,0.09869819972664118,301.9283529999666,6.015577199868858,302.0616913996637,0.056311499793082476,0.1489113997668028,6.015607799869031,308.1282743997872,0.01798019977286458,0.11544729955494404,2.0,4.398479700088501,308.0448553999886,,,5854,Visual,2025-02-20_19h55.30.020,Visual_Condition_v2,2022.2.5,29.98288573623864,
17,0,17,0,,,,,,,,,,,,,,,,,,312.5619246000424,0.0005395999178290367,0.0981291001662612,318.5783110996708,6.014679899904877,318.69479089975357,0.03804530017077923,0.1317237000912428,6.0315215000882745,324.7948889997788,0.03405269980430603,0.1315383999608457,2.0,4.031662900000811,324.6949739996344,,,5854,Visual,2025-02-20_19h55.30.020,Visual_Condition_v2,2022.2.5,29.98288573623864,
18,0,18,0,,,,,,,,,,,,,,,,,,328.86178570007905,0.0005675000138580799,0.09741729963570833,334.87825089972466,6.014170699752867,335.02814089972526,0.06542339967563748,0.1640987996943295,6.030728199519217,341.09480999968946,0.03329489938914776,0.13063689973205328,0.0,2.7650957996957004,341.02839430002496,,,5854,Visual,2025-02-20_19h55.30.020,Visual_Condition_v2,2022.2.5,29.98288573623864,
