loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,textbox.started,p_port_2.started,p_port_2.stopped,textbox.stopped,p_port_3.started,p_port_3.stopped,instructions.started,key_resp.started,p_port_4.started,p_port_4.stopped,key_resp.keys,key_resp.rt,cross.started,p_port_6.started,p_port_6.stopped,cross.stopped,p_port_7.started,disgust_image.started,p_port_8.started,p_port_8.stopped,p_port_9.started,disgust_image.stopped,disgust_score.started,p_port_10.started,p_port_10.stopped,disgust_score.response,disgust_score.rt,p_port_7.stopped,p_port_9.stopped,participant,session,date,expName,psychopyVersion,frameRate,
9,0,9,0,,,,,,,,,,,,,,,,,217.6977969999425,0.0006902003660798073,0.09722220012918115,223.71432620007545,6.013934400398284,223.83070129994303,0.031242300290614367,0.13079230021685362,6.030480199959129,229.8307912000455,229.93076500017196,0.033286900259554386,0.13053560024127364,1.0,1.7982708001509309,,,1981,Visual,2024-08-20_11h09.14.469,Visual_Condition_v2,2022.2.5,30.006196246363242,
10,0,10,0,,,,,,,,,,,,,,,,,231.7643296001479,0.0004650996997952461,0.09712089970707893,237.7807406000793,6.013824199791998,237.9473455999978,0.08694309974089265,0.18061119969934225,6.013824800029397,243.94739630026743,243.9806566000916,0.016909099649637938,0.11363979987800121,0.0,4.664896699599922,,,1981,Visual,2024-08-20_11h09.14.469,Visual_Condition_v2,2022.2.5,30.006196246363242,
11,0,11,0,,,,,,,,,,,,,,,,,248.68099180003628,0.00042690010741353035,0.09748700028285384,254.68072600010782,6.030845100060105,254.83092499990016,0.04938780004158616,0.14759600022807717,6.014290700200945,260.8307957998477,260.89739970024675,0.016933599952608347,0.11392709985375404,2.0,3.2664361000061035,,,1981,Visual,2024-08-20_11h09.14.469,Visual_Condition_v2,2022.2.5,30.006196246363242,
12,0,12,0,,,,,,,,,,,,,,,,,264.1977162002586,0.0005457000806927681,0.09716650005429983,270.2140255002305,6.013949200045317,270.3305768002756,0.028417499735951424,0.13056499976664782,6.030588599853218,276.33067069994286,276.4307522000745,0.03337020007893443,0.13037339970469475,0.0,1.5984061998315156,,,1981,Visual,2024-08-20_11h09.14.469,Visual_Condition_v2,2022.2.5,30.006196246363242,
13,0,13,0,,,,,,,,,,,,,,,,,278.06398600013927,0.0004143998958170414,0.09805880021303892,284.06387809989974,6.01451459992677,284.1973019000143,0.02523329993709922,0.13139870017766953,6.031276700086892,290.1976413000375,290.29729640018195,0.034039899706840515,0.13130179978907108,2.0,2.7650140998885036,6.097824499942362,,1981,Visual,2024-08-20_11h09.14.469,Visual_Condition_v2,2022.2.5,30.006196246363242,
14,0,14,0,,,,,,,,,,,,,,,,,293.09735960001126,0.00026479968801140785,0.09832019964233041,299.1139623001218,6.015189599711448,299.2306988001801,0.03504160000011325,0.13184869987890124,6.0317066996358335,305.23077190015465,305.3305383999832,0.03418879956007004,0.13186089973896742,0.0,1.6318238996900618,,,1981,Visual,2024-08-20_11h09.14.469,Visual_Condition_v2,2022.2.5,30.006196246363242,
15,0,15,0,,,,,,,,,,,,,,,,,306.9973196000792,0.000219699926674366,0.09883939987048507,312.99745410028845,5.999038300011307,313.1304887998849,0.03670479962602258,0.13260629959404469,6.032313299831003,319.11374530009925,319.21380560006946,0.01762499986216426,0.11566959973424673,0.0,1.56568400003016,6.099057799670845,,1981,Visual,2024-08-20_11h09.14.469,Visual_Condition_v2,2022.2.5,30.006196246363242,
16,0,16,0,,,,,,,,,,,,,,,,,320.8141222000122,0.0005978001281619072,0.09719910006970167,326.8139118999243,6.030562800355256,326.9637935999781,0.05152750015258789,0.14720490016043186,6.013792000245303,332.96389620006084,333.0304188001901,0.016496699769049883,0.11374469986185431,0.0,1.2986023998819292,,,1981,Visual,2024-08-20_11h09.14.469,Visual_Condition_v2,2022.2.5,30.006196246363242,
17,0,17,0,,,,,,,,,,,,,,,,,334.36414200020954,0.0004821997135877609,0.0966771999374032,340.36399960005656,6.030312699731439,340.53039020020515,0.06184159964323044,0.16349499998614192,6.030102699995041,346.5304693002254,346.58050230005756,0.01638249959796667,0.11361739970743656,1.0,2.7647357997484505,,,1981,Visual,2024-08-20_11h09.14.469,Visual_Condition_v2,2022.2.5,30.006196246363242,
18,0,18,0,,,,,,,,,,,,,,,,,349.3808210999705,0.0005644001066684723,0.0972664998844266,355.38050709990785,6.030475200153887,355.5303654000163,0.044866399839520454,0.14706229977309704,6.013706400059164,361.5304967002012,361.5970463999547,0.01633299980312586,0.11365539999678731,1.0,2.665029600262642,,,1981,Visual,2024-08-20_11h09.14.469,Visual_Condition_v2,2022.2.5,30.006196246363242,
19,0,19,0,,,,,,,,,,,,,,,,,364.29710899991915,0.00026979995891451836,0.099171900190413,370.3137572002597,6.015866400208324,370.5473591000773,0.11188380001112819,0.2492706999182701,6.015853399876505,,376.51366920024157,0.018608300015330315,0.11559409974142909,0.0,3.664638100191951,,,1981,Visual,2024-08-20_11h09.14.469,Visual_Condition_v2,2022.2.5,30.006196246363242,
