loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,sync_beep_4.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,p_port_3.stopped,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,player_image_offer.stopped,player_name_offer.stopped,player_image_intro.stopped,player_name_intro.stopped,p_port_6.stopped,p_port_8.stopped,p_port_10.stopped,Instructions_Affinity_Score.stopped,participant,session,date,expName,psychopyVersion,frameRate,
4,0,4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,295.7703725999454,0.0001569000305607915,0.09926530008669943,301.76997399993706,5.999170200084336,301.9364309000084,301.9364309000084,0.05895720003172755,0.1656366001116112,5.9992271000519395,308.0366083999397,308.0366083999397,308.0366083999397,0.057173100067302585,0.1658275000518188,313.7366460999474,313.9366269999882,5.999171800096519,6.099144000094384,319.9366409999784,11.99918120005168,320.0699491999112,320.0699491999112,0.0002646001521497965,0.09911390009801835,up,1.689155099913478,321.8032824000111,4.199997056275606e-05,0.09767359995748848,327.83715099992696,327.83715099992696,0.025827599922195077,0.13104009989183396,2.0,3.2061288999393582,,,,,,,320.036860799999,320.036860799999,307.9366549999686,307.9366549999686,6.099046800052747,6.099204700090922,12.09943150007166,,670,Moral,2024-02-29_12h36.19.724,MoralCondition_v2,2022.2.5,29.959898677194936,
4,0,4,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331.0700736999279,331.0700736999279,0.007007600041106343,0.09800330002326518,2.0,0.9253803000319749,,,,,,,,,,,,,,,670,Moral,2024-02-29_12h36.19.724,MoralCondition_v2,2022.2.5,29.959898677194936,
4,0,4,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332.0367949999636,332.0367949999636,0.00666569999884814,0.09904959995765239,2.0,0.8602319000056013,,,,,,,,,,,,,,,670,Moral,2024-02-29_12h36.19.724,MoralCondition_v2,2022.2.5,29.959898677194936,
4,0,4,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332.9368616999127,332.9368616999127,0.006501000025309622,0.09862629999406636,2.0,0.8265364000108093,,,,,,,,,,,,,,,670,Moral,2024-02-29_12h36.19.724,MoralCondition_v2,2022.2.5,29.959898677194936,
4,0,4,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.8032579999417,333.8032579999417,0.0071699999971315265,0.09768050001002848,3.0,2.1579424999654293,,,,,,,,,,,,,,,670,Moral,2024-02-29_12h36.19.724,MoralCondition_v2,2022.2.5,29.959898677194936,
4,0,4,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336.0031357000116,336.0031357000116,0.00664210005197674,0.09899059997405857,2.0,1.193503599963151,,,,,,,,,,,,,,,670,Moral,2024-02-29_12h36.19.724,MoralCondition_v2,2022.2.5,29.959898677194936,
4,0,4,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337.2365792999044,337.2365792999044,0.007803000044077635,0.09904320002533495,6.0,1.492538999998942,,,,,,,,,,,,,,,670,Moral,2024-02-29_12h36.19.724,MoralCondition_v2,2022.2.5,29.959898677194936,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338.7699524000054,338.7699524000054,0.0010924999369308352,0.09815750003326684,6.0,3.4983903999673203,,,,,,,,,670,Moral,2024-02-29_12h36.19.724,MoralCondition_v2,2022.2.5,29.959898677194936,
5,0,5,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,342.30330289993435,0.00014939997345209122,0.09901030000764877,348.3198772999458,6.0157138999784365,348.57017209997866,348.57017209997866,0.14877560001332313,0.2656481000594795,6.0323016999755055,354.6034642999293,354.6034642999293,354.6034642999293,0.08959440002217889,0.19916850002482533,360.31990819994826,360.48656619992107,6.01569480006583,6.115592900081538,366.4865009000059,12.015686300001107,366.61989440000616,366.61989440000616,0.015748400008305907,0.11564070009626448,down,10.37969760003034,377.03651209990494,4.75000124424696e-05,0.09781589999329299,383.03698089998215,383.03698089998215,0.008454900002107024,0.09760810004081577,4.0,6.990683400072157,,,,,,,,,,,,,,383.03698089998215,670,Moral,2024-02-29_12h36.19.724,MoralCondition_v2,2022.2.5,29.959898677194936,
5,0,5,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390.0698146999348,390.0698146999348,0.008063400047831237,0.0987896000733599,5.0,16.525243400014006,,,,,,,,,,,,,,,670,Moral,2024-02-29_12h36.19.724,MoralCondition_v2,2022.2.5,29.959898677194936,
