loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,textbox.started,p_port_2.started,p_port_2.stopped,textbox.stopped,p_port_3.started,instructions.started,key_resp.started,p_port_4.started,p_port_4.stopped,key_resp.keys,key_resp.rt,cross.started,p_port_6.started,p_port_6.stopped,cross.stopped,p_port_7.started,disgust_image.started,p_port_8.started,p_port_8.stopped,p_port_9.started,p_port_9.stopped,disgust_score.started,p_port_10.started,p_port_10.stopped,disgust_score.response,disgust_score.rt,disgust_image.stopped,p_port_7.stopped,participant,session,date,expName,psychopyVersion,frameRate,
9,0,9,0,,,,,,,,,,,,,,,,,184.17382379993796,0.000707799568772316,0.09679149836301804,190.1735394988209,6.030158799141645,190.3234135992825,0.0586513988673687,0.14705879986286163,6.013398298993707,,196.39011880010366,0.016229799017310143,0.11336739920079708,2.0,1.9316628016531467,196.3237052001059,,3874,Visual,2024-07-15_18h02.49.866,Visual_Condition_v2,2022.2.5,29.974141282397856,
10,0,10,0,,,,,,,,,,,,,,,,,198.35691680014133,0.0008870009332895279,0.09720380045473576,204.37353389896452,6.013856001198292,204.4903100989759,0.023531001061201096,0.1305634006857872,6.030325401574373,,210.59013479948044,0.03299100138247013,0.13019940070807934,1.0,2.4985447991639376,210.4901930987835,,3874,Visual,2024-07-15_18h02.49.866,Visual_Condition_v2,2022.2.5,29.974141282397856,
11,0,11,0,,,,,,,,,,,,,,,,,213.12377670034766,0.0005280990153551102,0.09710739925503731,219.1401895992458,6.013814598321915,219.3737994991243,0.11053689941763878,0.2471395991742611,6.013883398845792,,225.34004119969904,0.016385100781917572,0.11361059918999672,0.0,1.1648805011063814,,,3874,Visual,2024-07-15_18h02.49.866,Visual_Condition_v2,2022.2.5,29.974141282397856,
12,0,12,0,,,,,,,,,,,,,,,,,226.5403792988509,0.00023780018091201782,0.09922469966113567,232.54015360027552,5.9991971999406815,232.67362199909985,0.0235517006367445,0.13262549974024296,5.999054400250316,6.099015099927783,238.7400931995362,0.0021931007504463196,0.09907370060682297,2.0,2.36440989933908,238.6735456995666,6.099008800461888,3874,Visual,2024-07-15_18h02.49.866,Visual_Condition_v2,2022.2.5,29.974141282397856,
13,0,13,0,,,,,,,,,,,,,,,,,241.14035319909453,0.0004882998764514923,0.09747779928147793,247.14020119979978,6.030705200508237,247.29004940018058,0.045693399384617805,0.1473443005234003,6.014104999601841,,253.3568277992308,0.01680229976773262,0.11398079991340637,2.0,1.8981865998357534,253.29016160033643,,3874,Visual,2024-07-15_18h02.49.866,Visual_Condition_v2,2022.2.5,29.974141282397856,
14,0,14,0,,,,,,,,,,,,,,,,,255.29057409986854,0.0005146004259586334,0.09699990041553974,261.30685949884355,6.013664299622178,261.42356929928064,0.03093540109694004,0.13032560050487518,6.0303199999034405,,267.5068647991866,0.01616240106523037,0.11362240090966225,1.0,1.9984307009726763,267.4066778998822,,3874,Visual,2024-07-15_18h02.49.866,Visual_Condition_v2,2022.2.5,29.974141282397856,
15,0,15,0,,,,,,,,,,,,,,,,,269.54038539901376,0.00021569989621639252,0.09915879927575588,275.54019640013576,5.9990956000983715,275.65687580034137,0.0147280003875494,0.11604800075292587,6.015930399298668,,281.75672129914165,0.01833370141685009,0.11585280112922192,3.0,1.5651076007634401,281.65682859905064,6.099053299054503,3874,Visual,2024-07-15_18h02.49.866,Visual_Condition_v2,2022.2.5,29.974141282397856,
16,0,16,0,,,,,,,,,,,,,,,,,283.3572141993791,0.00022320076823234558,0.09907660074532032,289.35683709941804,5.999034499749541,289.55701950006187,0.07638799957931042,0.19914760068058968,5.999149700626731,6.099015800282359,295.55677129887044,0.0023185014724731445,0.09895440004765987,1.0,0.9976103994995356,295.55677129887044,6.099116599187255,3874,Visual,2024-07-15_18h02.49.866,Visual_Condition_v2,2022.2.5,29.974141282397856,
17,0,17,0,,,,,,,,,,,,,,,,,296.5905319992453,0.0005104001611471176,0.09710579924285412,302.6067931987345,6.013758398592472,302.72343990020454,0.03316419944167137,0.13056179881095886,6.030419198796153,,308.82343040034175,0.03288220055401325,0.13062329962849617,2.0,2.065174400806427,308.7234284002334,,3874,Visual,2024-07-15_18h02.49.866,Visual_Condition_v2,2022.2.5,29.974141282397856,
18,0,18,0,,,,,,,,,,,,,,,,,310.9238427989185,0.0003729015588760376,0.09802700020372868,316.9233362004161,6.031102800741792,317.0566987991333,0.02745780162513256,0.13126550056040287,6.031343700364232,,323.15666399896145,0.033323001116514206,0.13128930144011974,2.0,1.6323336996138096,323.0567738991231,,3874,Visual,2024-07-15_18h02.49.866,Visual_Condition_v2,2022.2.5,29.974141282397856,
