Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,connecting_message.started,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_3.started,sync_beep_3.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,cross.started,p_port_4.started,p_port_4.stopped,p_port_5.started,cross.stopped,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Begin_Rinse.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,Palatability_Score.started,p_port_17.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,Rinse_Spit.stopped,p_port_14.stopped,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,p_port_5.stopped,p_port_16.stopped,p_port_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,,965.2162513000076,0.014806899998802692,0.1139606999931857,6.030603300023358,971.2328902000445,971.3328665000154,971.3328665000154,0.030858600046485662,0.13061450002714992,space,1.2615502999979071,972.6328984000138,972.6328984000138,3.609998384490609e-05,0.09806170000229031,9,0.458180200017523,973.1328738300305,0.001880299998447299,0.0980950000230223,973.449507500045,973.9160646300239,974.2161158000235,974.7328659300052,975.0495929000317,975.1162883000216,983.1328521000105,983.1328521000105,983.1328075299913,0.0011869000154547393,0.09814040001947433,984.1494638000149,985.1494864000124,985.316261400003,985.816140400013,991.8161189000239,6.0147532999981195,6.114475400012452,997.8327512000105,998.016159030021,12.214694799971767,12.314652599976398,999.0161963000428,1022.8326026300143,1022.8327777000377,37.03149690001737,37.13122799998382,1023.849288700032,1025.8491641000146,0.018097500025760382,0.11440269998274744,3.0,3.197345199994743,1029.0826050000032,0.0007700000423938036,0.0985657999990508,1059.0991433000308,30.014976900012698,,,,,,,,,,,667,Gustatory,2024-02-12_11h37.55.756,Gustatory_Condition_v2,2022.2.5,29.97371005587646,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1059.1991479000426,0.015136400063056499,0.1149608000414446,1089.2156920999987,30.031573300017044,,,,667,Gustatory,2024-02-12_11h37.55.756,Gustatory_Condition_v2,2022.2.5,29.97371005587646,
2,0,2,0,0,0,0,0,,,,,,,,,1089.3156816000119,0.03429350006626919,0.1315054000588134,1109.332366799994,20.014746500062756,1109.3989644999965,0.016656100109685212,0.1147761000902392,6.014856800087728,1115.3990945999976,1115.482049400045,1115.482049400045,0.01463700010208413,0.09805310011142865,space,2.992235600017011,1118.5156264000107,1118.5156264000107,4.449998959898949e-05,0.09774499997729436,9,0.17483410000568256,1118.74898713,0.0020984000293537974,0.09753560001263395,1119.0488041000208,1119.549022130022,1119.848890000023,1120.3321665300114,1120.6488693000283,1120.7322179000475,1128.7488280000398,1128.7488280000398,1128.7488287300162,0.0008364000241272151,0.09768659999826923,1129.7487761999946,1130.7655016999925,1130.9321113000042,1131.4488367000013,1137.448773900047,6.030835499987006,6.130790299968794,1143.4654464999912,1143.6320604300067,12.214083899976686,12.3141380000161,1144.6487277999986,1168.4319723300227,1168.4319691000273,37.01403389999177,37.114018599968404,1169.4486200000392,1171.448580700031,0.0008743999642319977,0.0973674000124447,3.0,2.9642706000013277,1174.4490015000338,0.0004965000553056598,0.09951800003182143,1204.4484754000441,29.99915270000929,1171.448580700031,30.099181600031443,,,,,,,,,667,Gustatory,2024-02-12_11h37.55.756,Gustatory_Condition_v2,2022.2.5,29.97371005587646,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,,1204.5485177999944,0.0007214000797830522,0.09912090003490448,6.0157572000753134,1210.5651598999975,1210.6651043000165,1210.6651043000165,0.015724800061434507,0.11572080006590113,space,2.449361899984069,1213.148447500018,1213.148447500018,5.989999044686556e-05,0.09771040000487119,9,0.13440679997438565,1213.3484446300367,0.002072200004477054,0.0982003000099212,1213.6484099000227,1214.1317096300131,1214.448418600019,1214.9317489300097,1215.2484828000306,1215.3484255000367,,1223.3651394000044,1223.365041030041,0.017192900006193668,0.11470730003202334,1224.381762300036,1225.3817398000392,1225.548382500012,,1232.048365900002,6.031393699988257,6.131312999990769,1238.064984800003,1238.2318286300228,12.214854800025932,12.314604300016072,1239.2484736000188,1263.031452329998,1263.0316183000105,37.0145958000212,37.11450490000425,1264.048265599995,1266.0314358000178,0.014373400015756488,0.11462140001822263,3.0,2.63074630004121,1268.698487400019,0.0007981999660842121,0.09944199997698888,1298.6812283000327,30.015724700002465,1266.0314358000178,30.098862899991218,,,,,,,,,667,Gustatory,2024-02-12_11h37.55.756,Gustatory_Condition_v2,2022.2.5,29.97371005587646,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,,1298.7812388000311,-0.0008461999823339283,0.08226940000895411,5.999173999996856,1304.798035200045,1304.898078600003,1304.898078600003,8.680002065375447e-05,0.09917820000555366,space,3.8720705999876373,1308.8313944000402,1308.8313944000402,5.809997674077749e-05,0.09784809994744137,9,2.931249899964314,1311.7979951300017,0.0024349999730475247,0.09798249998129904,1312.098059400043,1312.5811858299944,1312.897985000047,1313.3979913300077,1313.6981085000443,1313.7813504000078,1321.781269100029,1321.781269100029,1321.7812931300082,0.014647399948444217,0.11458319996017963,1322.7979741000454,1323.7979895000462,1323.981274700025,1324.4812473999918,1330.4980421999935,6.0313824999611825,6.131290199933574,1336.5145968000288,1336.681442530005,12.21464099996956,12.314525899942964,1337.6979994000285,1361.4977753300277,1361.4978643000359,37.03121599997394,37.131109199952334,,1364.5143498000107,0.017529299948364496,0.1143748999456875,3.0,10.764842899981886,1375.314450100006,0.0004933999734930694,0.0991855000029318,1405.3142548000324,29.99904099997366,,30.099025800009258,,,,,,6.099286500015296,,,667,Gustatory,2024-02-12_11h37.55.756,Gustatory_Condition_v2,2022.2.5,29.97371005587646,
2,0,2,0,3,0,3,0,,,,,,,,,,,,,,1405.4142488000216,0.0004319000290706754,0.09899980004411191,6.032487300049979,1411.4143283000449,1411.547610300011,1411.547610300011,0.032425700046587735,0.13230740005383268,space,3.3265979000134394,1414.914231600007,1414.914231600007,4.310003714635968e-05,0.0973937000380829,9,2.4082758000004105,1417.3808580299897,0.0016834000125527382,0.09791150002274662,1417.6975158000132,1418.1640730299928,1418.480837900017,1418.964163130027,1419.280831000011,1419.3808838000405,,1427.3974692000193,1427.3974488300096,0.01727400004165247,0.11456620000535622,1428.397403000039,1429.4141231999965,1429.563922100002,1430.0639139999985,1436.0641151000164,6.014559600036591,6.114623100031167,1442.0472213000176,1442.2639857300032,12.214342000021134,12.297506500035524,1443.2806124000344,1467.063754730037,1467.0471609000233,37.01405540003907,37.09388719999697,1468.0806151000434,1470.0805201000185,0.030894200026523322,0.1270739000174217,3.0,3.999909400008619,1474.080554699991,0.0003418999840505421,0.09807170002022758,1504.0635320000001,30.014653099991847,1470.047086400038,30.098000400001183,,,,,,,,,667,Gustatory,2024-02-12_11h37.55.756,Gustatory_Condition_v2,2022.2.5,29.97371005587646,
2,0,2,0,4,0,4,0,,,,,,,,,,,,,,1504.163540700043,0.014668399991933256,0.09796720003942028,6.014655800012406,1510.1635582000017,1510.2635299999965,1510.2635299999965,0.014903200033586472,0.11466060002567247,space,1.5554782000253908,1511.846858200035,1511.846858200035,2.19999928958714e-05,0.09591189998900518,9,3.435462999972515,1515.3264986300433,0.000881300016772002,0.08272160001797602,1515.6302023000317,1516.097007530037,1516.3969017000054,1516.8970715299888,1517.1931446000235,1517.276707800047,1525.259820700041,1525.2765576000093,1525.2931306300393,-0.0006680000224150717,0.08627480000723153,1526.2969587999978,1527.2597140000435,1527.4801416000118,1527.9801061000326,1533.9800626999931,6.002918899990618,6.08647939999355,1539.9800272000139,1540.1966589300368,12.199275999970268,12.28275879996363,1541.1930360000115,1564.9966659300203,1564.9801378000411,37.002956599986646,37.08622880000621,1565.9966021000291,1567.9966351999901,0.002846699964720756,0.10297409998020157,3.0,2.4833630000357516,1570.4966064000037,0.00035640003625303507,0.09904719999758527,1600.4797683000215,30.015610000002198,1567.9632331000175,,,,,,,6.0979496000218205,,,667,Gustatory,2024-02-12_11h37.55.756,Gustatory_Condition_v2,2022.2.5,29.97371005587646,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600.5928301000386,0.012164400017354637,0.09522180003114045,1630.5795377000468,30.015370700042695,,30.098705900018103,,667,Gustatory,2024-02-12_11h37.55.756,Gustatory_Condition_v2,2022.2.5,29.97371005587646,
3,0,3,0,0,0,0,0,,,,,,,,,1630.6964201999945,-0.0002815999323502183,0.11176710005383939,1650.6794557000394,20.01530690008076,1650.7963864000048,-0.0005202998872846365,0.09866350010270253,6.011699300084729,1656.7925456000376,1656.8794372000266,1656.8794372000266,0.015482100134249777,0.0986223000800237,space,2.002650899987202,1658.9297487000003,1658.9297487000003,1.729995710775256e-05,0.09908849996281788,9,1.5203216000227258,1660.4924268299887,0.0010302999871782959,0.08605069998884574,1660.796188600012,1661.2627235299965,1661.5793753000326,1662.075812329998,1662.3794069000287,1662.4461193000316,1670.429325300036,1670.4459958000225,1670.4626352300343,0.002732600027229637,0.0991057000355795,1671.4793767000083,1672.4294001000235,1672.6424619000172,1673.1256557000452,1679.1590781999985,5.999077900021803,6.082297299988568,1685.1459104000241,1685.375611530029,12.2025883999886,12.285874900000636,1686.3794711999944,1710.1754837300336,1710.1588383000344,37.015439399983734,37.09877739998046,1711.1754741000477,1713.1626494000084,0.0027513999957591295,0.10244310001144186,3.0,2.9997143000364304,1716.1958189000143,0.0006132000125944614,0.09832400002051145,1746.1955537000322,30.011172000027727,1713.1626494000084,30.098123600007966,,,,,,6.094925400102511,,20.098601900041103,667,Gustatory,2024-02-12_11h37.55.756,Gustatory_Condition_v2,2022.2.5,29.97371005587646,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,,1746.2788728000014,0.014806700055487454,0.09812420001253486,6.0111914000008255,1752.2752399000456,1752.3754501999938,1752.3754501999938,0.011568700079806149,0.09824510006001219,space,2.5070423999568447,1754.9289658000343,1754.9289658000343,1.650000922381878e-05,0.09950399998342618,9,2.0737423000391573,1757.0417902300192,0.0006445000180974603,0.08656890003476292,1757.3419569000253,1757.812243529997,1758.1288343000342,1758.6121416300243,1758.9288661000319,1758.9919185999897,1766.9787227000343,1766.9953942000284,1767.0120326300325,0.003057599999010563,0.08280080003896728,1768.0288617000333,1768.9787480999948,1769.1969167999923,1769.695543800015,1775.695361900027,6.003069299971685,6.082735000003595,1781.6917943000444,1781.9119723300041,12.203026000002865,12.286360399972182,1782.928680800018,1806.7118673300079,1806.6952144000097,37.00290510000195,37.086260100011714,1807.7287649000064,1809.6917769000283,-0.00074819999281317,0.0862362000043504,3.0,8.92003440001281,1818.662050300045,0.0004951999871991575,0.09909679996781051,1848.6449196000467,30.01553370000329,1809.6917769000283,30.09883199998876,,,,,,6.094447900017258,,,667,Gustatory,2024-02-12_11h37.55.756,Gustatory_Condition_v2,2022.2.5,29.97371005587646,
