Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,cross.started,p_port_4.started,p_port_4.stopped,cross.stopped,p_port_5.started,p_port_5.stopped,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,p_port_18.stopped,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Begin_Rinse.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,p_port_14.stopped,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,participant,session,date,expName,psychopyVersion,frameRate,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,,921.7150232000276,0.01687449961900711,0.11615009978413582,927.7150266999379,6.016110999509692,,927.8149966998026,927.8149966998026,0.01622109953314066,0.11609249981120229,space,4.2016305001452565,932.0817610998638,932.0817610998638,4.3800100684165955e-05,0.09773370018228889,num_9,0.9272897001355886,933.0650600197725,0.002121499739587307,0.09760959958657622,933.3648180998862,933.8650225198828,,934.649147020001,934.9482801998965,935.0483023999259,943.0649600997567,943.0649600997567,943.0649297198281,0.0009407997131347656,0.09754289966076612,,945.0649278000928,945.2649443000555,945.7649623998441,10.014188699889928,,953.1814410998486,0.017327599693089724,953.1814410998486,0.11402179952710867,3.0,3.631103999912739,956.8484155996703,0.0016801999881863594,0.09917949978262186,962.8481899998151,963.0314525200986,6.232308799866587,6.34894789988175,964.0482645998709,983.0313822201454,983.0315012000501,26.21562199993059,26.31554890004918,984.0480983997695,986.0482461997308,986.0482461997308,0.0013165995478630066,0.0989012997597456,1016.0648749000393,30.01554339984432,,,,,,,8755,Gustatory,2025-02-19_12h25.48.098,Gustatory_Condition_v2,2022.2.5,29.972101936527118,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1016.1651582000777,0.016062199603766203,0.11550209950655699,1046.18124469975,30.031994399614632,8755,Gustatory,2025-02-19_12h25.48.098,Gustatory_Condition_v2,2022.2.5,29.972101936527118,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,,1046.2812644001096,0.033999699633568525,0.13202999951317906,1052.2813630998135,6.032133899629116,,1052.3812441998161,1052.3812441998161,0.03214089944958687,0.13196849962696433,space,3.0916027994826436,1055.531451200135,1055.531451200135,4.3600331991910934e-05,0.09793850034475327,num_9,1.4768767999485135,1057.0479167199694,0.0018725995905697346,0.09769869968295097,1057.3478516000323,1057.8311470200308,1058.1478991000913,1058.6311466198415,1058.9478970998898,1059.047869300004,,1067.0644720001146,1067.0645270201378,0.017067999579012394,0.11460829991847277,1068.0643951999955,1069.0644827000797,1069.2311430997215,1069.7478677998297,10.01438509998843,10.097875899635255,1077.1476933998056,0.001361999660730362,1077.1476933998056,0.09764839988201857,6.0,2.9641273003071547,1080.1481073996983,0.0015269001014530659,0.09950629994273186,1086.1644154000096,1086.3477699200623,6.199021399952471,6.299072300083935,1087.347723300103,1106.3310971197673,1106.3142687999643,26.215448400005698,26.315638599917293,1107.3476835000329,1109.3143192999996,1109.3476800001226,0.03231529984623194,0.13230039970949292,1139.330741299782,30.01532969996333,,,,,,,8755,Gustatory,2025-02-19_12h25.48.098,Gustatory_Condition_v2,2022.2.5,29.972101936527118,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,,1139.4642330999486,0.016171099618077278,0.11549599980935454,1145.4810274997726,6.032190699595958,,1145.5808815998025,1145.5808815998025,0.03231539949774742,0.1321362997405231,space,2.5954847000539303,1148.2308741998859,1148.2308741998859,3.6100391298532486e-05,0.09784110030159354,num_9,1.1459194999188185,1149.4142332200893,0.002041699830442667,0.09795119985938072,1149.7141840998083,1150.1975188197569,1150.5143542001024,1150.9974491198548,1151.3144408999942,1151.4143077000044,1159.4142509000376,1159.4142509000376,1159.4141768201255,0.0010354002006351948,0.09790869988501072,1160.4141613999382,1161.397235899698,1161.5805748999119,1162.0640763998963,10.014435099903494,,1169.5306839998811,0.017154899891465902,1169.5306839998811,0.11475809989497066,3.0,3.3317539002746344,1172.8978295996785,0.002577700186520815,0.09768030000850558,1178.914119800087,1179.0807883197442,6.2142672999762,6.314211199991405,1180.097389599774,1199.0805991197005,1199.0807098001242,26.214207800105214,26.33077730005607,1200.0971018997952,1202.0806871000677,1202.0806871000677,0.014321499969810247,0.11416469980031252,1232.0805516000837,30.014023299794644,,,,,,,8755,Gustatory,2025-02-19_12h25.48.098,Gustatory_Condition_v2,2022.2.5,29.972101936527118,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,,1232.2141093998216,0.014595399610698223,0.1139178997837007,1238.2305477997288,6.030777499545366,,1238.3306292998604,1238.3306292998604,0.030766899697482586,0.13070209976285696,space,2.5978332995437086,1240.963902699761,1240.963902699761,3.8899946957826614e-05,0.09800329990684986,num_9,1.5327242999337614,1242.5303926200606,0.0011412999592721462,0.09918980021029711,1242.8471401999705,1243.2973492199555,1243.5971522000618,1244.1305270197802,1244.44717509998,1244.5138383000158,1252.51384099992,1252.51384099992,1252.5137550200336,0.01576570002362132,0.11567170033231378,1253.5137064997107,1254.530497000087,1254.6970378998667,1255.2138374997303,10.015632000286132,10.099021200090647,1262.630321700126,0.0018303999677300453,1262.630321700126,0.09889899985864758,6.0,2.931569099891931,1265.5973669998348,0.0015233000740408897,0.09913690015673637,1271.5802205000073,1271.780344219692,6.215564799960703,6.299174299929291,1272.7971950001083,1291.780467819702,1291.7803543996997,26.215833799913526,26.31571860006079,1292.7969884998165,1294.7803400000557,1294.7803400000557,0.01582589978352189,0.1157266995869577,1324.7803929001093,30.015844899695367,,,,,,,8755,Gustatory,2025-02-19_12h25.48.098,Gustatory_Condition_v2,2022.2.5,29.972101936527118,
2,0,2,0,3,0,3,0,,,,,,,,,,,,,,1324.9136212999001,0.015946699772030115,0.11562259960919619,1330.9135924996808,6.01559879956767,,1331.0134986997582,1331.0134986997582,0.015732999425381422,0.11557389935478568,space,2.5547813000157475,1333.6301738000475,1333.6301738000475,4.33996319770813e-05,0.09816209971904755,num_9,1.490189400035888,1335.1802406197414,0.002221199683845043,0.09799529984593391,1335.496888099704,1335.963467620127,1336.2801823001355,1336.780330119934,1337.0968428999186,1337.1635072999634,1345.163568600081,1345.163568600081,1345.1634971199558,0.014767799992114305,0.11459189979359508,,1347.1634825998917,1347.3633731999435,1347.8801406999119,10.031253399793059,,1355.3133016000502,0.034232699777930975,1355.3133016000502,0.13124179979786277,6.0,1.8646218003705144,1357.213628000114,0.00232120044529438,0.09808680042624474,1363.2300855000503,1363.3967415199616,6.214694200083613,6.314620500430465,,1383.3966869197786,1383.3966397996992,26.214607000350952,26.314738900400698,1384.396530599799,1386.3966473001055,1386.3966473001055,0.01463499991223216,0.11476190015673637,1416.3965059998445,30.01454130001366,,,,,,,8755,Gustatory,2025-02-19_12h25.48.098,Gustatory_Condition_v2,2022.2.5,29.972101936527118,
2,0,2,0,4,0,4,0,,,,,,,,,,,,,,1416.5298703997396,0.015111600048840046,0.11444830009713769,1422.5298624997959,6.01450529973954,,1422.6298469998874,1422.6298469998874,0.014464099891483784,0.1145562999881804,space,2.810815299861133,1425.4799498999491,1425.4799498999491,4.170043393969536e-05,0.09794730041176081,num_9,1.5926133999601007,1427.1129440197722,0.0011562001891434193,0.09916620003059506,1427.4297170997597,1427.8964908200317,,1428.6797908198089,1428.9797930996865,1429.0798307997175,1437.0964409001172,1437.0964409001172,1437.0966502198019,0.016088700387626886,0.11591270007193089,,1439.1130959000438,1439.2799547999166,1439.7964733000845,9.999237300362438,10.082628400065005,1447.1963065997697,0.015814899932593107,1447.1963065997697,0.1159641002304852,3.0,2.731085400097072,1449.963343499694,0.0024365000426769257,0.09804649977013469,1455.9797090999782,1456.1463609200903,6.214583799708635,6.314605299849063,1457.1462042997591,1476.146168019902,1476.1462836000137,26.214545499999076,26.314489499665797,1477.146392500028,1479.1462961998768,1479.1462961998768,0.014590499456971884,0.11451649945229292,1509.1628319998272,30.031108599621803,,,,,,,8755,Gustatory,2025-02-19_12h25.48.098,Gustatory_Condition_v2,2022.2.5,29.972101936527118,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1509.2961661000736,0.031284799333661795,0.13105789944529533,1539.3127259998582,30.014212099369615,8755,Gustatory,2025-02-19_12h25.48.098,Gustatory_Condition_v2,2022.2.5,29.972101936527118,
3,0,3,0,0,0,0,0,,,,,,,,,,,,,,1539.3793127001263,0.016171999275684357,0.11425479967147112,1545.3960198001005,6.031258599366993,,1545.4960309998132,1545.4960309998132,0.030882999300956726,0.1309175994247198,space,2.7761278999969363,1548.3293503997847,1548.3293503997847,4.260009154677391e-05,0.09781500045210123,num_9,1.2077053999528289,1549.5793563200161,0.0019253999926149845,0.09752780012786388,1549.8793222997338,1550.362657420151,1550.6793331000954,1551.1626816199162,1551.4792428999208,1551.562684699893,1559.5793220996857,1559.5793220996857,1559.5795084198937,0.0007172999903559685,0.09749670000746846,1560.5792140997946,1561.5792586999014,1561.779267899692,1562.279283999931,10.01403439976275,10.097372199874371,1569.6790191996843,2.400018274784088e-06,1569.6790191996843,0.09744230005890131,6.0,2.8984403000213206,1572.6129449997097,0.0024999002926051617,0.0976338000036776,1578.6125690997578,1578.7959509201348,6.214124700054526,6.314107500016689,1579.7958312998526,1598.795838420093,1598.7958553000353,26.2141722002998,26.31405200017616,1599.7956929998472,1601.7959540998563,1601.7959540998563,0.014300599694252014,0.11402460001409054,1631.8123614997603,30.030645299702883,,,,,,,8755,Gustatory,2025-02-19_12h25.48.098,Gustatory_Condition_v2,2022.2.5,29.972101936527118,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,,1631.9457800998352,0.031188199762254953,0.13060079980641603,1637.945604399778,6.030550299677998,,1638.0459038000554,1638.0459038000554,0.030706099700182676,0.1307502998970449,space,2.7066265996545553,1640.7958269999363,1640.7958269999363,4.5999884605407715e-05,0.09791269991546869,num_9,1.012817899696529,1641.8625561197289,0.0027864999137818813,0.09791330015286803,1642.179223000072,1642.6623020198197,1642.978950199671,1643.4456063199789,1643.7455943999812,1643.8457496999763,1651.8458282998763,1651.8458282998763,1651.8456294199452,0.014672399964183569,0.11436360003426671,1652.8455070997588,1653.8455709000118,1654.0623598997481,1654.5622306996956,10.014362500049174,,1661.978727699723,0.01745279971510172,1661.978727699723,0.11421439982950687,3.0,2.7643721997737885,1664.7790103000589,0.0025148000568151474,0.09802740020677447,1670.7955311997794,1670.9620797199198,6.231296199839562,6.33130590012297,1671.978840699885,1690.9621323200874,1690.9620941998437,26.21467040013522,26.314535699784756,1691.978646399919,1693.9787473999895,1693.9787473999895,0.00033269962295889854,0.09784579975530505,1723.9617262999527,30.014148499816656,,,,,,,8755,Gustatory,2025-02-19_12h25.48.098,Gustatory_Condition_v2,2022.2.5,29.972101936527118,
