loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,textbox.started,p_port_2.started,p_port_2.stopped,textbox.stopped,p_port_3.started,instructions.started,key_resp.started,p_port_4.started,p_port_4.stopped,key_resp.keys,key_resp.rt,cross.started,p_port_6.started,p_port_6.stopped,cross.stopped,p_port_7.started,disgust_image.started,p_port_8.started,p_port_8.stopped,p_port_9.started,disgust_image.stopped,disgust_score.started,p_port_10.started,p_port_10.stopped,disgust_score.response,disgust_score.rt,p_port_7.stopped,p_port_9.stopped,participant,session,date,expName,psychopyVersion,frameRate,
9,0,9,0,,,,,,,,,,,,,,,,,,162.50013080006465,0.00022540008649230003,0.0990939000621438,168.4997849999927,5.999043400166556,168.6162908000406,0.02264950005337596,0.11588339996524155,6.015696600079536,174.6165720000863,174.71632310003042,0.018394399899989367,0.11578899994492531,2.0,3.3984105999115855,6.099155500065535,,671,Visual,2024-03-15_18h40.05.373,Visual_Condition_v2,2022.2.5,30.003000294932786,
10,0,10,0,,,,,,,,,,,,,,,,,,178.1500468000304,0.0006456999108195305,0.09688420011661947,184.1497330002021,6.030191299971193,184.31632099999115,0.06305539980530739,0.1639468998182565,6.030160899972543,190.31639970000833,190.3829815001227,0.03294419986195862,0.1303315998520702,1.0,3.3981639000121504,,,671,Visual,2024-03-15_18h40.05.373,Visual_Condition_v2,2022.2.5,30.003000294932786,
11,0,11,0,,,,,,,,,,,,,,,,,,193.81666020001285,0.0005008000880479813,0.09704479994252324,199.81636350019835,6.030383999925107,199.96658900007606,0.045627799816429615,0.1469021998345852,6.013631799956784,205.96646320004947,206.0329074000474,0.016381999710574746,0.11364719993434846,0.0,1.331472499994561,,,671,Visual,2024-03-15_18h40.05.373,Visual_Condition_v2,2022.2.5,30.003000294932786,
12,0,12,0,,,,,,,,,,,,,,,,,,207.39990489999764,0.0006985999643802643,0.096968499943614,213.4163414000068,6.013640499906614,213.53331060009077,0.026414899853989482,0.13021179987117648,6.030183999799192,219.5161407000851,219.6162140001543,0.016037299763411283,0.1135918996296823,0.0,1.065247500082478,,,671,Visual,2024-03-15_18h40.05.373,Visual_Condition_v2,2022.2.5,30.003000294932786,
13,0,13,0,,,,,,,,,,,,,,,,,,220.7163788001053,0.0004367001820355654,0.09789540013298392,226.7329852001276,6.014518300071359,226.8495383001864,0.028852100018411875,0.13116690004244447,6.031150300055742,232.8496325002052,232.9496087001171,0.03399110003374517,0.1311192000284791,0.0,0.8980588999111205,,,671,Visual,2024-03-15_18h40.05.373,Visual_Condition_v2,2022.2.5,30.003000294932786,
14,0,14,0,,,,,,,,,,,,,,,,,,233.88300990010612,0.000358800170943141,0.09829290001653135,239.89984280010685,6.015073500107974,240.01664920011535,0.02943199989385903,0.1317932999227196,6.031231099972501,245.9993271001149,246.0993460000027,0.015398700023069978,0.1145410998724401,2.0,3.7005318999290466,,,671,Visual,2024-03-15_18h40.05.373,Visual_Condition_v2,2022.2.5,30.003000294932786,
15,0,15,0,,,,,,,,,,,,,,,,,,249.83316770009696,0.0003371001221239567,0.09835580014623702,255.8329180001747,6.03172990004532,255.96628740010783,0.032170800026506186,0.13186650001443923,6.031502600060776,261.9494219000917,262.04954500007443,0.01786049990914762,0.11495489999651909,0.0,1.9314963000360876,,,671,Visual,2024-03-15_18h40.05.373,Visual_Condition_v2,2022.2.5,30.003000294932786,
16,0,16,0,,,,,,,,,,,,,,,,,,264.0162101001479,0.00048450008034706116,0.09685670002363622,270.0000397001859,6.01402679993771,270.1329103000462,0.009954100009053946,0.1137901998590678,6.013925799867138,276.1330091999844,276.23294360004365,0.014901099726557732,0.11366039980202913,2.0,2.166248499881476,6.096747899893671,,671,Visual,2024-03-15_18h40.05.373,Visual_Condition_v2,2022.2.5,30.003000294932786,
17,0,17,0,,,,,,,,,,,,,,,,,,278.43287590006366,0.0006079000886529684,0.09686559997498989,284.4328280000482,6.030188699951395,284.58272140007466,0.04537110007368028,0.14683689991943538,6.013449599966407,290.58284130017273,290.6493615000509,0.016269699903205037,0.11337979976087809,0.0,0.9315003999508917,,,671,Visual,2024-03-15_18h40.05.373,Visual_Condition_v2,2022.2.5,30.003000294932786,
18,0,18,0,,,,,,,,,,,,,,,,,,291.61630800017156,0.00022489996626973152,0.11568269995041192,297.63276270008646,6.015635099960491,297.73268500017,0.022771199932321906,0.11565789999440312,6.015639799879864,303.7327992999926,303.8327019000426,0.018112999852746725,0.11559409997425973,1.0,1.1320080999284983,,,671,Visual,2024-03-15_18h40.05.373,Visual_Condition_v2,2022.2.5,30.003000294932786,
19,0,19,0,,,,,,,,,,,,,,,,,,304.9995918001514,0.00023879995569586754,0.09908650000579655,310.9992427001707,6.015440799994394,311.11619230010547,0.017123499885201454,0.1157749998383224,6.015865999972448,317.11605270020664,317.21613420010544,0.01769909984432161,0.11552769970148802,1.0,1.098958299960941,6.099112099967897,,671,Visual,2024-03-15_18h40.05.373,Visual_Condition_v2,2022.2.5,30.003000294932786,
