loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,textbox.started,p_port_2.started,p_port_2.stopped,textbox.stopped,p_port_3.started,instructions.started,key_resp.started,p_port_4.started,p_port_4.stopped,key_resp.keys,key_resp.rt,cross.started,p_port_6.started,p_port_6.stopped,cross.stopped,p_port_7.started,disgust_image.started,p_port_8.started,p_port_8.stopped,disgust_image.stopped,p_port_9.started,disgust_score.started,p_port_10.started,p_port_10.stopped,disgust_score.response,disgust_score.rt,p_port_7.stopped,p_port_9.stopped,participant,session,date,expName,psychopyVersion,frameRate,
10,0,10,0,,,,,,,,,,,,,,,,,,187.94713460002095,0.00023949984461069107,0.09905169997364283,193.9634369998239,6.0156161999329925,194.06345469970256,0.024044699501246214,0.11605769954621792,200.06339289993048,6.015597299672663,200.16325929993764,0.01870909985154867,0.11564759956672788,0.0,2.5312374997884035,,,7451,Visual,2025-02-10_09h50.14.346,Visual_Condition_v2,2022.2.5,29.941840999245215,
11,0,11,0,,,,,,,,,,,,,,,,,,202.73002569982782,0.0006965999491512775,0.09706069994717836,208.74674779968336,6.0138145997188985,208.8633950999938,0.03469150001183152,0.13039439963176847,214.86330540012568,6.030365199781954,214.94656099984422,0.015958199743181467,0.11381399957463145,1.0,4.165511399973184,,,7451,Visual,2025-02-10_09h50.14.346,Visual_Condition_v2,2022.2.5,29.941840999245215,
12,0,12,0,,,,,,,,,,,,,,,,,,219.14704089984298,0.0002493998035788536,0.09927599970251322,225.14664719998837,5.999076099600643,225.2966200998053,0.05189509969204664,0.14913269970566034,231.29660909995437,6.015732199884951,231.3632024996914,0.01813929947093129,0.11569629982113838,1.0,0.9652097998186946,6.09917109971866,,7451,Visual,2025-02-10_09h50.14.346,Visual_Condition_v2,2022.2.5,29.941840999245215,
13,0,13,0,,,,,,,,,,,,,,,,,,232.36357659986243,0.000640499871224165,0.09743409976363182,238.38027550000697,6.014321600086987,238.49644379969686,0.03226069966331124,0.13081799959763885,244.4965099999681,6.03082129964605,244.57976049976423,0.01599919982254505,0.11388109950348735,0.0,2.6988933999091387,,,7451,Visual,2025-02-10_09h50.14.346,Visual_Condition_v2,2022.2.5,29.941840999245215,
14,0,14,0,,,,,,,,,,,,,,,,,,247.31325809983537,0.0007091998122632504,0.09688799967989326,253.3132074000314,6.030233100056648,253.4630350000225,0.05377249978482723,0.14687859965488315,259.46334759984165,6.013712599873543,259.5297738998197,0.01553419977426529,0.11379089951515198,1.0,1.365718100219965,,,7451,Visual,2025-02-10_09h50.14.346,Visual_Condition_v2,2022.2.5,29.941840999245215,
15,0,15,0,,,,,,,,,,,,,,,,,,260.93018379993737,0.0005600000731647015,0.09701209980994463,266.9297957001254,6.030287500005215,267.09634910011664,0.07398909982293844,0.16362079977989197,273.09650119999424,6.030251400079578,273.16302739968523,0.03341859998181462,0.1302069998346269,2.0,2.731174500193447,,,7451,Visual,2025-02-10_09h50.14.346,Visual_Condition_v2,2022.2.5,29.941840999245215,
16,0,16,0,,,,,,,,,,,,,,,,,,275.9301605001092,0.0006236997433006763,0.09714740002527833,281.92973909992725,6.030471500009298,282.063048500102,0.029297199565917253,0.1304340995848179,288.0630711996928,6.0304477997124195,288.1629570000805,0.03327459981665015,0.13040509959682822,0.0,1.4982100003398955,,,7451,Visual,2025-02-10_09h50.14.346,Visual_Condition_v2,2022.2.5,29.941840999245215,
17,0,17,0,,,,,,,,,,,,,,,,,,289.696653699968,0.00045369984582066536,0.0972091001458466,295.696425399743,6.030630900058895,295.82964479969814,0.028486100025475025,0.1305661997757852,301.8296896000393,6.030983400065452,301.92964879982173,0.03321289969608188,0.1305646998807788,0.0,1.5983256995677948,,,7451,Visual,2025-02-10_09h50.14.346,Visual_Condition_v2,2022.2.5,29.941840999245215,
18,0,18,0,,,,,,,,,,,,,,,,,,303.5633853999898,0.0006190999411046505,0.09718349995091558,309.57962459977716,6.013933099806309,309.71291549969465,0.0422669998370111,0.1470371000468731,315.7129631000571,6.013721199706197,315.77951820008457,0.017003299668431282,0.11351799964904785,2.0,2.1978490999899805,,,7451,Visual,2025-02-10_09h50.14.346,Visual_Condition_v2,2022.2.5,29.941840999245215,
19,0,19,0,,,,,,,,,,,,,,,,,,318.01333360001445,0.0005553001537919044,0.09770489996299148,324.02954360004514,6.014311600010842,324.14626609999686,0.032321699894964695,0.13094619987532496,330.12948979996145,6.0308743002824485,330.2294519999996,0.016945399809628725,0.1141944001428783,0.0,1.2983351000584662,,,7451,Visual,2025-02-10_09h50.14.346,Visual_Condition_v2,2022.2.5,29.941840999245215,
20,0,20,0,,,,,,,,,,,,,,,,,,331.5630695000291,0.00021849991753697395,0.09915800020098686,337.56276350002736,6.015485000330955,337.6794985998422,0.014522400218993425,0.11575450003147125,343.6626132996753,6.015539700165391,343.76276879990473,-0.0003054998815059662,0.09896309999749064,2.0,4.167125999927521,6.0992477000691,6.0989557998254895,7451,Visual,2025-02-10_09h50.14.346,Visual_Condition_v2,2022.2.5,29.941840999245215,
21,0,21,0,,,,,,,,,,,,,,,,,,347.9629673999734,0.0006307996809482574,0.09715639986097813,353.9794906997122,6.0135437999852,354.11269859969616,0.04585539968684316,0.14692219998687506,360.1129274996929,6.01353759970516,360.1794332000427,0.016443399712443352,0.11348489951342344,0.0,2.6981007996946573,,,7451,Visual,2025-02-10_09h50.14.346,Visual_Condition_v2,2022.2.5,29.941840999245215,
22,0,22,0,,,,,,,,,,,,,,,,,,362.91305309999734,0.0002301996573805809,0.09938599960878491,368.92940620006993,6.015702900011092,369.04605689970776,0.04396429983898997,0.13232279988005757,375.0459965998307,5.9990131999365985,375.1125957998447,0.002025399822741747,0.09890329977497458,1.0,1.197945199906826,,6.0988982995040715,7451,Visual,2025-02-10_09h50.14.346,Visual_Condition_v2,2022.2.5,29.941840999245215,
23,0,23,0,,,,,,,,,,,,,,,,,,376.34643439995125,0.0003291000612080097,0.09834349993616343,382.36267799977213,6.0147734000347555,382.4793310998939,0.027196799870580435,0.13147650007158518,388.4793190998025,6.031577500049025,388.5625784001313,0.017469799611717463,0.11476429970934987,0.0,1.064795899670571,,,7451,Visual,2025-02-10_09h50.14.346,Visual_Condition_v2,2022.2.5,29.941840999245215,
24,0,24,0,,,,,,,,,,,,,,,,,,389.66289860010147,0.0004961001686751842,0.09717029985040426,395.6626562997699,6.030510799959302,395.84609769983217,0.06652499968186021,0.1807724996469915,401.84597099991515,6.01380359986797,401.8795191999525,0.01657529966905713,0.11377749964594841,0.0,5.364963399711996,,,7451,Visual,2025-02-10_09h50.14.346,Visual_Condition_v2,2022.2.5,29.941840999245215,
25,0,25,0,,,,,,,,,,,,,,,,,,407.279477099888,0.0002575996331870556,0.09940009983256459,413.2625548001379,5.999090599827468,413.3791793999262,-0.00036770012229681015,0.09900939976796508,419.3794706999324,5.999238199554384,419.47909040004015,0.0023717996664345264,0.09899229975417256,2.0,1.497958299703896,6.082324199844152,6.099085399881005,7451,Visual,2025-02-10_09h50.14.346,Visual_Condition_v2,2022.2.5,29.941840999245215,
26,0,26,0,,,,,,,,,,,,,,,,,,421.01286679971963,0.00047059962525963783,0.0975078996270895,427.02917880006135,6.014119599945843,427.1457652999088,0.02948069991543889,0.13074569962918758,433.1458283998072,6.030760699883103,433.2291204999201,0.015703499782830477,0.11395359970629215,0.0,3.0660773999989033,,,7451,Visual,2025-02-10_09h50.14.346,Visual_Condition_v2,2022.2.5,29.941840999245215,
27,0,27,0,,,,,,,,,,,,,,,,,,436.3295352999121,0.0009727003052830696,0.09697089996188879,442.3291290998459,6.030154100153595,442.47895399993286,0.05023160018026829,0.1467484999448061,448.4790686997585,6.013363500125706,448.54572020005435,0.016045100055634975,0.11343719996511936,0.0,0.9982558996416628,,,7451,Visual,2025-02-10_09h50.14.346,Visual_Condition_v2,2022.2.5,29.941840999245215,
28,0,28,0,,,,,,,,,,,,,,,,,,449.5793178998865,0.00021769991144537926,0.09914710000157356,455.57906399993226,5.999030400067568,455.6958995000459,0.013938200194388628,0.11591579997912049,461.67906819982454,6.015809299889952,461.7957576001063,0.018182000145316124,0.11557699972763658,0.0,0.798732599709183,6.098865400068462,,7451,Visual,2025-02-10_09h50.14.346,Visual_Condition_v2,2022.2.5,29.941840999245215,
29,0,29,0,,,,,,,,,,,,,,,,,,462.62908279988915,0.0002226000651717186,0.09903330029919744,468.6288637998514,6.0158502003178,468.74557119980454,0.011329799890518188,0.11566640017554164,474.7456191997044,6.015671200118959,474.8622689000331,0.03497330006211996,0.1322953999042511,0.0,1.065150999929756,6.098898800089955,,7451,Visual,2025-02-10_09h50.14.346,Visual_Condition_v2,2022.2.5,29.941840999245215,
30,0,30,0,,,,,,,,,,,,,,,,,,475.96246009971946,0.00048210006207227707,0.09737470000982285,481.962300399784,6.030840300023556,482.11222090013325,0.055296000093221664,0.1473330003209412,488.1122138998471,6.0139863002114,488.1789103997871,0.016693499870598316,0.11387960007414222,0.0,1.4314900999888778,,,7451,Visual,2025-02-10_09h50.14.346,Visual_Condition_v2,2022.2.5,29.941840999245215,
31,0,31,0,,,,,,,,,,,,,,,,,,489.6458187997341,0.0004717996343970299,0.09829079965129495,495.64554930012673,6.031676299870014,495.79537619976327,0.0541746998205781,0.1482206997461617,501.79557259986177,6.014929399825633,501.8621020000428,0.017700099386274815,0.11509379977360368,0.0,1.731567899696529,,,7451,Visual,2025-02-10_09h50.14.346,Visual_Condition_v2,2022.2.5,29.941840999245215,
32,0,32,0,,,,,,,,,,,,,,,,,,503.62901629973203,0.000425499863922596,0.09750569984316826,509.64549720007926,6.014079999644309,509.76211090013385,0.031983299646526575,0.13077129982411861,515.7623755000532,6.031268599908799,515.8620245996863,0.03396159969270229,0.1306313998065889,0.0,1.264389400370419,,,7451,Visual,2025-02-10_09h50.14.346,Visual_Condition_v2,2022.2.5,29.941840999245215,
