Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,baseline.started,p_port_2.started,p_port_2.stopped,p_port_3.started,baseline.stopped,cross.started,p_port_4.started,p_port_4.stopped,cross.stopped,p_port_5.started,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Begin_Rinse.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,taste_sound_2.stopped,spit_sound.stopped,p_port_5.stopped,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,p_port_18.stopped,p_port_14.stopped,p_port_16.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,1045.2296555000357,0.016223900020122528,0.11550919990986586,1051.246334400028,6.03216279996559,1051.346188500058,1051.346188500058,0.03227949980646372,0.13218069961294532,space,1.433087000157684,1052.812839299906,1052.812839299906,3.969995304942131e-05,0.11446529999375343,num_9,3.9507238999940455,1056.829599480005,0.0023071998730301857,0.09813479986041784,,1057.6127734802199,1058.4294972800185,1058.7294716998003,1058.829497499857,1066.8294522999786,1066.8294522999786,1066.8293152799365,-3.600027412176132e-06,0.098063999786973,1068.8126365002245,1069.0294320001267,1069.5294343000278,12.014498800039291,1078.9298323001713,0.0014721998013556004,1078.9298323001713,0.09812099998816848,1.0,2.7975665000267327,1081.7630559001118,0.0022942996583878994,0.0994183998554945,1087.7626412999816,1087.946068280237,6.215936899650842,6.332673899829388,1088.96268519992,1117.9459710799624,1117.9460534998216,36.216017299797386,36.31578019959852,1118.9625935000367,1120.9625800000504,1120.9625800000504,0.0017223996110260487,0.09913909947499633,1150.9791532000527,30.015760199632496,1057.912787700072,1067.829388299957,,,,,,,12.098222199827433,,,673,Gustatory,2024-03-22_13h26.55.139,Gustatory_Condition_v2,2022.2.5,30.010185443661896,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1151.0792370000854,0.015960699412971735,0.11592689948156476,1181.079021899961,30.01558019965887,,,,673,Gustatory,2024-03-22_13h26.55.139,Gustatory_Condition_v2,2022.2.5,30.010185443661896,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,1181.1790836998262,0.01749669946730137,0.11562249949201941,1187.1957363002002,5.999082099180669,1187.2623783000745,1187.2623783000745,-0.0002916008234024048,0.09907949948683381,space,3.1328564998693764,1190.4290454001166,1190.4290454001166,4.260009154677391e-05,0.09727430017665029,num_9,3.125730000436306,1193.5957475801465,0.0019669998437166214,0.09771030023694038,1193.9123802999966,1194.378978280211,1195.1789362801705,1195.4790023001842,1195.578991100192,1203.5789626999758,1203.5789626999758,1203.5790029800032,0.014583200216293335,0.1145184999331832,1205.5789514998905,1205.7956161000766,1206.295649799984,12.014497200027108,1215.7122491998598,0.017538900021463633,1215.7122491998598,0.11427489994093776,3.0,2.3313043997623026,1218.0792224998586,0.001581300050020218,0.09905280033126473,1224.0955937001854,1224.2623595798855,6.215618200134486,6.315661100205034,1225.2622389998287,1254.2619924800006,1254.262101800181,36.21556180017069,36.31555350031704,1255.27872559987,1257.27878279984,1257.27878279984,0.0012654000893235207,0.09881879994645715,1287.2953453999944,30.015391800086945,1194.678937099874,1204.5788913001306,6.098901899531484,,,,,,,,,673,Gustatory,2024-03-22_13h26.55.139,Gustatory_Condition_v2,2022.2.5,30.010185443661896,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,1287.3953174999915,0.01615280006080866,0.11541419988498092,1293.411970499903,6.03207439975813,1293.5119835999794,1293.5119835999794,0.03221589978784323,0.13204910000786185,space,2.2023729998618364,1295.7619835999794,1295.7619835999794,2.5200191885232925e-05,0.09914560010656714,num_9,4.264569100458175,1300.062003580248,0.002075099851936102,0.09799239970743656,1300.3619230999611,1300.8451987801586,1301.6454637798947,1301.961863500066,1302.0452804998495,1310.061864099931,1310.061864099931,1310.0619674798568,0.0015639998018741608,0.0979200997389853,1312.0618964000605,1312.261919700075,1312.7785936999135,12.014366599731147,1322.1618715999648,0.0005580997094511986,1322.1618715999648,0.09799599973484874,7.0,3.1649341001175344,1325.3621287997812,0.0019061998464167118,0.099356799852103,1331.3785883001983,1331.5451999798884,6.2159544001333416,6.315965500194579,1332.5618388000876,1361.5284371798393,1361.5284175998531,36.19926329981536,36.29923179978505,,1364.5284668002278,1364.5284668002278,-0.0006485003978013992,0.09921269956976175,1394.5449700001627,30.015837099868804,1301.1619655000977,1311.0618997998536,,,,,,,12.097780699841678,,,673,Gustatory,2024-03-22_13h26.55.139,Gustatory_Condition_v2,2022.2.5,30.010185443661896,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,1394.6949585000984,0.03314029984176159,0.13236999977380037,1400.7116471999325,6.0156934997066855,1400.7783395000733,1400.7783395000733,0.01568129938095808,0.11593229975551367,space,1.8405984998680651,1402.678228000179,1402.678228000179,4.700012505054474e-05,0.09776470018550754,num_9,3.4772184998728335,1406.1949382800144,0.002049800008535385,0.09799609985202551,1406.5115613001399,1406.9783025801648,1407.794924280001,1408.1115970001556,1408.1614577998407,1416.1615182999521,1416.194847700186,1416.194885779964,0.031340299639850855,0.13129439996555448,1418.1780431000516,1418.3784146001562,1418.8781709000468,12.014466299675405,1428.2948059001938,-0.0003899000585079193,1428.2948059001938,0.09788599982857704,1.0,2.565839699935168,1430.8949064998887,0.0019856002181768417,0.0987164000980556,1436.9113791999407,1437.0781236801763,6.215116899926215,6.315151700284332,,1467.0780374802184,1467.078002099879,36.215045700315386,36.31504740007222,1468.0778804998845,1470.077969300095,1470.077969300095,0.015034299809485674,0.11523539992049336,1500.0778723000549,30.014914199709892,1407.2780864997767,1417.211546999868,,,,,,,12.097900599706918,,,673,Gustatory,2024-03-22_13h26.55.139,Gustatory_Condition_v2,2022.2.5,30.010185443661896,
2,0,2,0,3,0,3,0,,,,,,,,,,,,,1500.2111066002399,0.015668199863284826,0.11487069958820939,1506.211168100126,6.014835400041193,1506.3113839002326,1506.3113839002326,0.015164499636739492,0.11503499979153275,space,1.107974600046873,1507.477875099983,1507.477875099983,4.3800100684165955e-05,0.09774270001798868,num_9,3.7816214002668858,1511.2945802801755,0.001925900112837553,0.0981407999061048,1511.6111554000527,1512.0945239801426,1512.8777640800458,1513.1777154002339,1513.2778143999167,1521.2777937999927,1521.2777937999927,1521.277835879801,0.014693200122565031,0.11471669981256127,1523.2778197000735,1523.4777404000051,1523.977776300162,12.031294899992645,1533.427651999984,0.034141999669373035,1533.427651999984,0.13130999961867929,7.0,3.1315043000504375,1536.594582799822,0.0024892003275454044,0.09778050007298589,1542.5942608001642,1542.7777673800942,6.214328499976546,6.314333599992096,1543.7776581998914,1572.7774503802416,1572.7607788001187,36.21387380035594,36.297243600245565,1573.7941546002403,1575.74400159996,1575.7606843998656,0.013872299809008837,0.09766239998862147,1605.7608273001388,30.030751599930227,1512.4111818000674,,,,,,,,,,,673,Gustatory,2024-03-22_13h26.55.139,Gustatory_Condition_v2,2022.2.5,30.010185443661896,
2,0,2,0,4,0,4,0,,,,,,,,,,,,,1605.9274436999112,0.03152839979156852,0.1307545998133719,1611.944145000074,6.014156399760395,1612.0107471002266,1612.0107471002266,0.014426699839532375,0.11407419992610812,space,1.2245889003388584,1613.2941270000301,1613.2941270000301,4.2300205677747726e-05,0.09799849987030029,num_9,4.317147399764508,1617.660819779942,0.0022627003490924835,0.09809430036693811,1617.960752000101,1618.444005380245,1619.2439704801423,1619.5607374999672,1619.6272399001755,1627.644040599931,1627.644040599931,1627.644086379884,0.014607000164687634,0.11458960035815835,1629.6271947999485,1629.8440445000306,1630.3441944001243,12.014544300269336,1639.7772935000248,0.017517200205475092,1639.7772935000248,0.11450579995289445,5.0,2.431639999616891,1642.2442402997985,0.0016960999928414822,0.0994366998784244,1648.260640699882,1648.4274766802323,6.215910200029612,6.315874899737537,1649.42730210023,1678.4270549801645,1678.4103712001815,36.21543659968302,36.315524799749255,,1681.410509500187,1681.410509500187,-0.0008804001845419407,0.09924179967492819,1711.410380399786,29.999043699819595,1618.7607750999741,1628.6606514998712,,,,,,,,,,673,Gustatory,2024-03-22_13h26.55.139,Gustatory_Condition_v2,2022.2.5,30.010185443661896,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1711.5604113000445,0.01591169973835349,0.11560709960758686,1741.5602635000832,30.015613599680364,,,,673,Gustatory,2024-03-22_13h26.55.139,Gustatory_Condition_v2,2022.2.5,30.010185443661896,
3,0,3,0,0,0,0,0,,,,,,,,,,,,,1741.660339999944,0.017448599450290203,0.11558769969269633,1747.6769881998189,6.032131999731064,1747.7769365999848,1747.7769365999848,0.03229099931195378,0.13216449925675988,space,1.8184414999559522,1749.6436067000031,1749.6436067000031,4.009995609521866e-05,0.09770200029015541,num_9,4.135688600130379,1753.8269694800024,0.0019841999746859074,0.09806529991328716,1754.14359709993,1754.610269280011,1755.4102376800497,1755.710184100084,1755.8102990002371,1763.810211900156,1763.810211900156,1763.8102276798804,0.014557899907231331,0.11452870024368167,1765.8268885998987,1766.0104279001243,1766.5101832002401,12.014486299827695,1775.9433658001944,0.017105999868363142,1775.9433658001944,0.11463089985772967,7.0,3.1315643000416458,1779.110262800008,0.002244299743324518,0.09807669976726174,1785.126719399821,1785.31012717993,6.231269299983978,6.331472699996084,1786.3102120999247,1815.293354779808,1815.29333759984,36.21460369974375,36.31457210006192,1816.2933117998764,1818.310066900216,1818.310066900216,0.0002301996573805809,0.09783879946917295,1848.2930890000425,30.014294599648565,1754.910233600065,,,,,,,,,,,673,Gustatory,2024-03-22_13h26.55.139,Gustatory_Condition_v2,2022.2.5,30.010185443661896,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,1848.4265255997889,0.015113099478185177,0.11445909971371293,1854.443189700134,6.031210499815643,1854.5431817001663,1854.5431817001663,0.031302699353545904,0.1310057993978262,space,1.2600401998497546,1855.8432009001262,1855.8432009001262,4.0699727833271027e-05,0.09823549957945943,num_9,2.7995120002888143,1858.6766462799628,0.002073800191283226,0.09784199995920062,1858.9931593998335,1859.4767393799034,1860.2598568800372,,1860.6598069998436,1868.676447399892,1868.676447399892,1868.676499880245,0.0009495001286268234,0.09776519984006882,1870.6930958000012,1870.8764578998089,1871.376532100141,12.014462700113654,1880.793198000174,0.015989699866622686,1880.793198000174,0.11436080001294613,1.0,1.8660516999661922,1882.693452999927,0.001580000389367342,0.09992490010336041,1888.6930402000435,1888.8598663800863,6.199371099937707,6.299557300284505,,1918.8596305799206,1918.8596076001413,36.199356300290674,36.29927910026163,1919.859568899963,1921.8762341998518,1921.8762341998518,0.016021199990063906,0.11591900000348687,1951.8927787002176,29.99940440012142,1859.79319880018,1869.6930749001913,,,,,,,,30.099059000145644,,673,Gustatory,2024-03-22_13h26.55.139,Gustatory_Condition_v2,2022.2.5,30.010185443661896,
