loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,sync_beep_4.stopped,baseline.started,p_port_2.started,p_port_2.stopped,p_port_3.started,baseline.stopped,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Instructions_Affinity_Score.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,player_image_intro.stopped,player_name_intro.stopped,player_image_offer.stopped,player_name_offer.stopped,p_port_6.stopped,p_port_8.stopped,p_port_10.stopped,participant,session,date,expName,psychopyVersion,frameRate,
2,0,2,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221.8443149998784,221.8443149998784,0.006751200184226036,0.0987526997923851,2.0,3.726544199511409,,,,,,,,,,,,,,9978,Moral,2024-07-01_17h22.15.092,MoralCondition_v2,2022.2.5,29.96497987415232,
2,0,2,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.61107609979808,225.61107609979808,0.007225899025797844,0.09805469959974289,2.0,2.258611898869276,,,,,,,,,,,,,,9978,Moral,2024-07-01_17h22.15.092,MoralCondition_v2,2022.2.5,29.96497987415232,
2,0,2,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.91104600019753,227.91104600019753,0.006889300420880318,0.09828259982168674,2.0,3.525774199515581,,,,,,,,,,,,,,9978,Moral,2024-07-01_17h22.15.092,MoralCondition_v2,2022.2.5,29.96497987415232,
2,0,2,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.47777379862964,231.47777379862964,0.007443699985742569,0.0975101999938488,3.0,7.224540000781417,,,,,,,,,,,,,,9978,Moral,2024-07-01_17h22.15.092,MoralCondition_v2,2022.2.5,29.96497987415232,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.74437709897757,238.74437709897757,0.001316700130701065,0.0976887010037899,1.0,8.031259000301361,,,,,,,,9978,Moral,2024-07-01_17h22.15.092,MoralCondition_v2,2022.2.5,29.96497987415232,
3,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,246.8113612998277,0.0002955012023448944,0.09757880121469498,252.82770929858088,6.014179499819875,253.06128799915314,253.06128799915314,0.1331401001662016,0.2478277012705803,6.014220401644707,259.094421800226,259.094421800226,259.094421800226,0.08346300199627876,0.181020000949502,264.7942650988698,264.99439119920135,6.014263601973653,6.114085901528597,270.9943607002497,12.014170002192259,271.1276314985007,271.1276314985007,0.014301102608442307,0.11412770114839077,up,1.000380901619792,272.1611215993762,4.849955439567566e-05,0.09711950086057186,,278.19444399885833,278.19444399885833,0.0256981011480093,0.13056549988687038,5.0,3.5057811997830868,,,,,,,,,271.09435959905386,271.09435959905386,,,,9978,Moral,2024-07-01_17h22.15.092,MoralCondition_v2,2022.2.5,29.96497987415232,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281.74443960003555,281.74443960003555,0.010805400088429451,0.11434880085289478,1.0,2.9049561005085707,,,,,,,,,,,,,,9978,Moral,2024-07-01_17h22.15.092,MoralCondition_v2,2022.2.5,29.96497987415232,
3,0,3,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284.69456049986184,284.69456049986184,0.00854329951107502,0.11436000093817711,1.0,3.5403901990503073,,,,,,,,,,,,,,9978,Moral,2024-07-01_17h22.15.092,MoralCondition_v2,2022.2.5,29.96497987415232,
3,0,3,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288.2609349992126,288.2609349992126,0.009996399283409119,0.09772089868783951,6.0,2.221952499821782,,,,,,,,,,,,,,9978,Moral,2024-07-01_17h22.15.092,MoralCondition_v2,2022.2.5,29.96497987415232,
3,0,3,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290.5443460997194,290.5443460997194,0.008913999423384666,0.1131667010486126,2.0,4.472161101177335,,,,,,,,,,,,,,9978,Moral,2024-07-01_17h22.15.092,MoralCondition_v2,2022.2.5,29.96497987415232,
