loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,sync_beep_4.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,player_image_intro.stopped,player_name_intro.stopped,player_image_offer.stopped,player_name_offer.stopped,p_port_10.stopped,Instructions_Affinity_Score.stopped,p_port_6.stopped,p_port_8.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,14.50981165813282,0.0008323001675307751,0.11025239992886782,15.108413640223443,15.425084300339222,15.725328340008854,16.025111200287938,16.308404640108346,16.62502280017361,16.62502280017361,0.02698149997740984,0.12696370016783476,31.62504980014637,15.027027899865061,31.758376500103623,0.02716560009866953,0.1269791000522673,32.225121000315994,space,2.1930048996582627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
2,0,2,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.14154750015587,203.14154750015587,0.008949399925768375,0.11408749967813492,5.0,3.0393893998116255,,,,,,,,,,,,,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
2,0,2,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.20808990020305,206.20808990020305,0.0073494999669492245,0.09794670017436147,3.0,2.491791700012982,,,,,,,,,,,,,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
2,0,2,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.74150580028072,208.74150580028072,0.006764600053429604,0.09919909993186593,7.0,2.160121399909258,,,,,,,,,,,,,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
2,0,2,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.941655700095,210.941655700095,0.007668700069189072,0.09783730003982782,2.0,2.458025800064206,,,,,,,,,,,,,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.4413970001042,213.4413970001042,0.0022467002272605896,0.09719619993120432,7.0,3.7657376001589,,,,,,,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
3,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,217.2416513999924,0.00032240012660622597,0.09789270022884011,223.2581646000035,6.014464600011706,223.44155610026792,223.44155610026792,0.09313060017302632,0.19810110004618764,6.031351999845356,229.52489320002496,229.52489320002496,229.52489320002496,0.07060700003057718,0.18114819983020425,235.22504599997774,235.42483799997717,6.01454050000757,6.114550900179893,241.42481640027836,12.014529400039464,241.5581209002994,241.5581209002994,0.014731300063431263,0.1145524000748992,up,2.1396441999822855,243.74146299995482,4.519987851381302e-05,0.09807040030136704,249.7417915002443,249.7417915002443,0.005489000119268894,0.09831560030579567,6.0,6.093713699840009,,,,,,,229.42454970022663,229.42454970022663,241.5248239999637,241.5248239999637,,249.7417915002443,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255.8747946000658,255.8747946000658,0.006574600003659725,0.099274099804461,5.0,3.4268061998300254,,,,,,,,,,,,,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
3,0,3,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259.34140300005674,259.34140300005674,0.006698699668049812,0.09951459988951683,3.0,4.760137700010091,,,,,,,,,,,,,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
3,0,3,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264.14121610019356,264.14121610019356,0.007906400132924318,0.09784380020573735,7.0,2.924451899714768,,,,,,,,,,,,,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
3,0,3,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267.10792810004205,267.10792810004205,0.007619800046086311,0.09773179981857538,6.0,2.924471799749881,,,,,,,,,,,,,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
3,0,3,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270.0749931000173,270.0749931000173,0.007226099725812674,0.0980530995875597,1.0,3.4252514000982046,,,,,,,,,,,,,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
3,0,3,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.5413955003023,273.5413955003023,0.006341900210827589,0.09872169978916645,4.0,2.161006599664688,,,,,,,,,,,,,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275.74155090004206,275.74155090004206,0.0015763002447783947,0.09797600004822016,1.0,15.06411480018869,,,,,,,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
4,0,4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,290.84146880032495,0.0002393997274339199,0.09824439976364374,296.8580350000411,6.0150369997136295,297.0417657000944,297.0417657000944,0.08245179988443851,0.19829169986769557,6.031508999876678,303.1413409002125,303.1413409002125,303.1413409002125,0.09318519989028573,0.1983976997435093,308.8413506001234,309.0413199001923,6.031552899628878,6.131746499799192,315.04134509991854,12.031576899811625,315.1747081000358,315.1747081000358,0.03177209943532944,0.13151769945397973,up,2.411952999420464,317.62469550035894,2.8999987989664078e-05,0.0984060000628233,323.62455670023337,323.62455670023337,0.006595300044864416,0.09838779969140887,3.0,4.192854400258511,,,,,,,303.04148570029065,303.04148570029065,315.1413493002765,315.1413493002765,,323.62455670023337,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
4,0,4,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327.8745528999716,327.8745528999716,0.008033700287342072,0.11414790013805032,1.0,4.0070315999910235,,,,,,,,,,,,,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
4,0,4,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331.9078196999617,331.9078196999617,0.007975900080054998,0.09824780002236366,5.0,2.2579803001135588,,,,,,,,,,,,,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
4,0,4,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334.22478409996256,334.22478409996256,0.009583000093698502,0.11593209998682141,2.0,3.007307100109756,,,,,,,,,,,,,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
4,0,4,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337.2749076001346,337.2749076001346,0.008570000063627958,0.1147353001870215,7.0,3.3070742995478213,,,,,,,,,,,,,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
4,0,4,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340.60811799997464,340.60811799997464,0.007415000349283218,0.09799000015482306,3.0,4.191309500019997,,,,,,,,,,,,,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
4,0,4,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344.8412506002933,344.8412506002933,0.00744049996137619,0.0979691999964416,3.0,2.6583175999112427,,,,,,,,,,,,,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347.54110770020634,347.54110770020634,0.002044899854809046,0.09739520028233528,7.0,2.896697500254959,,,,,,,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
5,0,5,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,350.47483960026875,0.0002807998098433018,0.09788590017706156,356.47441320028156,6.014477100223303,356.6579583999701,356.6579583999701,0.06852869968861341,0.18127790000289679,6.014533000066876,362.7580288001336,362.7580288001336,362.7580288001336,0.06709309993311763,0.18122839974239469,368.4578044000082,368.65782270021737,6.014482999686152,6.114525099750608,374.6579514001496,12.014633699785918,374.79117880016565,374.79117880016565,0.014732799492776394,0.11443529976531863,up,2.26668189978227,377.10786190023646,5.660019814968109e-05,0.0978986001573503,383.1245254003443,383.1245254003443,0.010011000093072653,0.11437470000237226,6.0,6.405450299847871,,,,,,,362.6578366002068,362.6578366002068,374.7578139002435,374.7578139002435,,383.1245254003443,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
5,0,5,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389.55781050026417,389.55781050026417,0.008270800113677979,0.09891830012202263,1.0,2.7912512999027967,,,,,,,,,,,,,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
5,0,5,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,392.3912003999576,392.3912003999576,0.007652699947357178,0.09790690010413527,5.0,2.024512399919331,,,,,,,,,,,,,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
5,0,5,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,394.4577772002667,394.4577772002667,0.007589499931782484,0.09784359997138381,6.0,2.9246986000798643,,,,,,,,,,,,,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
5,0,5,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397.4246789999306,397.4246789999306,0.007242500316351652,0.09828580031171441,5.0,1.9914805996231735,,,,,,,,,,,,,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
5,0,5,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399.4577057999559,399.4577057999559,0.0074998000636696815,0.0988213000819087,4.0,2.5257723997347057,,,,,,,,,,,,,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
5,0,5,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402.0243522999808,402.0243522999808,0.006584900431334972,0.0991009003482759,5.0,3.826910300180316,,,,,,,,,,,,,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405.8912277999334,405.8912277999334,0.0014006998389959335,0.09783780016005039,1.0,3.697147599887103,,,,,,,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
6,0,6,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,409.6242452999577,9.720027446746826e-05,0.11625600000843406,415.6075901002623,5.99935739999637,415.8410613001324,415.8410613001324,0.11165620014071465,0.2162338998168707,6.016282299999148,421.9079316002317,421.9079316002317,421.9079316002317,0.0696620000526309,0.18282559979707003,427.60773000027984,427.8076977003366,6.016207099892199,6.1163404998369515,433.8079349999316,12.016430299729109,433.941011399962,433.941011399962,0.016352899838238955,0.11606399994343519,up,2.061052799690515,436.040997300297,4.3600331991910934e-05,0.09804429998621345,442.05765289999545,442.05765289999545,0.025063100270926952,0.11493290029466152,5.0,3.5906919999979436,,,,,,,,,433.9076765002683,433.9076765002683,,,6.099507600069046,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
6,0,6,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,445.707716899924,445.707716899924,0.008155700284987688,0.114508300088346,7.0,2.573702999856323,,,,,,,,,,,,,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
6,0,6,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448.307464200072,448.307464200072,0.007155499886721373,0.09795719990506768,1.0,2.3920201999135315,,,,,,,,,,,,,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
6,0,6,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450.7410209001973,450.7410209001973,0.006015000399202108,0.09943840000778437,4.0,2.894422000274062,,,,,,,,,,,,,,,5854,Moral,2025-02-20_20h17.17.811,MoralCondition_v2,2022.2.5,29.999310003631276,
