loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,textbox.started,p_port_2.started,p_port_2.stopped,textbox.stopped,p_port_3.started,instructions.started,key_resp.started,p_port_4.started,p_port_4.stopped,key_resp.keys,key_resp.rt,cross.started,p_port_6.started,p_port_6.stopped,cross.stopped,p_port_7.started,p_port_7.stopped,disgust_image.started,p_port_8.started,p_port_8.stopped,disgust_image.stopped,p_port_9.started,disgust_score.started,p_port_10.started,p_port_10.stopped,disgust_score.response,disgust_score.rt,p_port_9.stopped,participant,session,date,expName,psychopyVersion,frameRate,
12,0,12,0,,,,,,,,,,,,,,,,,,218.73226029984653,0.0003340989351272583,0.09923879988491535,224.74857779964805,6.015695499256253,,224.8652151990682,0.03270680084824562,0.13220510073006153,230.86550650000572,6.032368499785662,230.96525939926505,0.035300999879837036,0.1321834996342659,0.0,3.9316734988242388,,8576,Visual,2024-06-14_13h54.51.481,Visual_Condition_v2,2022.2.5,30.058011914837508,
13,0,13,0,,,,,,,,,,,,,,,,,,234.9320183992386,0.0007262006402015686,0.09658580087125301,240.94856349937618,6.013135600835085,,241.08186469972134,0.04540660046041012,0.14634890109300613,247.08189800009131,6.013060700148344,247.14839350059628,0.015837501734495163,0.11304910108447075,0.0,1.2981631997972727,,8576,Visual,2024-06-14_13h54.51.481,Visual_Condition_v2,2022.2.5,30.058011914837508,
14,0,14,0,,,,,,,,,,,,,,,,,,248.48222270049155,0.0004425998777151108,0.09740439988672733,254.48186950013041,6.0307873003184795,,254.61519460007548,0.028956100344657898,0.1306937001645565,260.61522959917784,6.030793400481343,260.71513519994915,0.03304490074515343,0.13047789968550205,0.0,3.032183701172471,,8576,Visual,2024-06-14_13h54.51.481,Visual_Condition_v2,2022.2.5,30.058011914837508,
15,0,15,0,,,,,,,,,,,,,,,,,,263.78201450034976,0.00044639967381954193,0.09704099968075752,269.7985021006316,6.013963399454951,,270.3653772994876,0.32592619955539703,0.5804779008030891,,6.026985600590706,275.97806339897215,0.012250199913978577,0.0971475001424551,0.0,2.185716999694705,,8576,Visual,2024-06-14_13h54.51.481,Visual_Condition_v2,2022.2.5,30.058011914837508,
16,0,16,0,,,,,,,,,,,,,,,,,,278.21555689908564,0.0004379004240036011,0.09745259955525398,284.2318268995732,6.014393100515008,,284.3484870996326,0.03016429953277111,0.1308824997395277,290.3484630994499,6.030712999403477,290.448455600068,0.03352290019392967,0.1306379996240139,2.0,2.964987399056554,,8576,Visual,2024-06-14_13h54.51.481,Visual_Condition_v2,2022.2.5,30.058011914837508,
17,0,17,0,,,,,,,,,,,,,,,,,,293.44878350012004,0.00021780095994472504,0.09895520098507404,299.4484560992569,6.032351400703192,,299.59833559952676,0.05391180142760277,0.14894540049135685,305.5984218996018,6.015605600550771,305.6649743001908,0.018223101273179054,0.1155330017209053,0.0,1.6315960995852947,,8576,Visual,2024-06-14_13h54.51.481,Visual_Condition_v2,2022.2.5,30.058011914837508,
18,0,18,0,,,,,,,,,,,,,,,,,,307.33196130022407,0.00051099993288517,0.09718549996614456,313.3483640998602,6.013678200542927,,313.465275099501,0.031146300956606865,0.13060870207846165,319.46503870002925,6.030551701784134,319.56499030068517,0.03309180215001106,0.13019730150699615,1.0,1.4993842002004385,,8576,Visual,2024-06-14_13h54.51.481,Visual_Condition_v2,2022.2.5,30.058011914837508,
19,0,19,0,,,,,,,,,,,,,,,,,,321.09885459952056,0.0004571005702018738,0.09732150100171566,327.1150947995484,6.014232199639082,,327.2319497000426,0.02949490025639534,0.1310064010322094,333.23171719908714,6.030776400119066,333.33159819990396,0.0325591005384922,0.13080590032041073,1.0,1.3992900010198355,,8576,Visual,2024-06-14_13h54.51.481,Visual_Condition_v2,2022.2.5,30.058011914837508,
20,0,20,0,,,,,,,,,,,,,,,,,,334.76538579910994,0.00024089962244033813,0.09920020028948784,340.7816962003708,6.015707900747657,,340.9153097998351,0.04209640063345432,0.1491652000695467,346.9149789996445,6.015632200986147,346.98158139921725,0.0174941997975111,0.11564069986343384,0.0,1.5656957011669874,,8576,Visual,2024-06-14_13h54.51.481,Visual_Condition_v2,2022.2.5,30.058011914837508,
21,0,21,0,,,,,,,,,,,,,,,,,,348.5819885991514,0.0004572998732328415,0.09722490049898624,354.5982697997242,6.01382640004158,,354.7150101996958,0.03062029927968979,0.13084140047430992,360.714970799163,6.030458400025964,360.81481489911675,0.033263299614191055,0.1303637996315956,3.0,1.4649833012372255,,8576,Visual,2024-06-14_13h54.51.481,Visual_Condition_v2,2022.2.5,30.058011914837508,
