loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,textbox.started,p_port_2.started,p_port_2.stopped,p_port_3.started,textbox.stopped,instructions.started,key_resp.started,p_port_4.started,p_port_4.stopped,key_resp.keys,key_resp.rt,cross.started,p_port_6.started,p_port_6.stopped,cross.stopped,p_port_7.started,disgust_image.started,p_port_8.started,p_port_8.stopped,disgust_image.stopped,p_port_9.started,disgust_score.started,p_port_10.started,p_port_10.stopped,disgust_score.response,disgust_score.rt,p_port_7.stopped,p_port_9.stopped,participant,session,date,expName,psychopyVersion,frameRate,
9,0,9,0,,,,,,,,,,,,,,,,183.6954132001847,0.0004805009812116623,0.0968811996281147,189.6784080993384,6.01358119957149,189.8617543000728,0.07305480167269707,0.1636997014284134,195.86180290021002,6.030303601175547,195.92848470062017,0.03271170146763325,0.1305225007236004,2.0,1.8987962007522583,6.096762800589204,,2951,Visual,2024-07-10_12h43.00.266,Visual_Condition_v2,2022.2.5,29.980944064578374,
10,0,10,0,,,,,,,,,,,,,,,,197.86220150068402,0.00027529895305633545,0.09931579977273941,203.86201640032232,5.999386498704553,203.97846939973533,0.013725999742746353,0.11587549932301044,209.97845399938524,6.015875298529863,210.07843820005655,0.018520399928092957,0.11597570031881332,0.0,0.7983866985887289,6.099176999181509,,2951,Visual,2024-07-10_12h43.00.266,Visual_Condition_v2,2022.2.5,29.980944064578374,
11,0,11,0,,,,,,,,,,,,,,,,210.9118205010891,0.00024010054767131805,0.09891439974308014,216.91174210049212,6.032279700040817,217.06223870068789,0.04703130014240742,0.1491768006235361,223.06173410080373,6.015559701249003,223.12827960029244,0.018482401967048645,0.11563820205628872,0.0,0.9315740987658501,,,2951,Visual,2024-07-10_12h43.00.266,Visual_Condition_v2,2022.2.5,29.980944064578374,
12,0,12,0,,,,,,,,,,,,,,,,224.09503200091422,0.0004374999552965164,0.09731210023164749,230.09503580071032,6.0306421015411615,230.22832890041173,0.02877270057797432,0.1305989008396864,236.21153949946165,6.030551901087165,236.31159510090947,0.01637590117752552,0.11406020075082779,1.0,4.531914399936795,,,2951,Visual,2024-07-10_12h43.00.266,Visual_Condition_v2,2022.2.5,29.980944064578374,
13,0,13,0,,,,,,,,,,,,,,,,240.878748299554,0.00023750029504299164,0.09908689931035042,246.87830130010843,5.999141599982977,246.99488070048392,0.01808750070631504,0.11575880087912083,252.9951000995934,6.015668200328946,253.0949242003262,0.018349800258874893,0.11559220030903816,0.0,2.6652800999581814,6.098983399569988,,2951,Visual,2024-07-10_12h43.00.266,Visual_Condition_v2,2022.2.5,29.980944064578374,
14,0,14,0,,,,,,,,,,,,,,,,255.79510550014675,0.0003815013915300369,0.09783440083265305,261.8116183001548,6.01459770090878,261.94479249976575,0.053641101345419884,0.14795280061662197,267.9448758009821,6.014692801982164,268.01181549951434,0.017090901732444763,0.11470740102231503,2.0,7.331648400053382,,,2951,Visual,2024-07-10_12h43.00.266,Visual_Condition_v2,2022.2.5,29.980944064578374,
15,0,15,0,,,,,,,,,,,,,,,,275.3785593993962,0.00021860003471374512,0.09923209995031357,281.3781557995826,5.999185798689723,281.49476229958236,0.023152699694037437,0.11607679910957813,287.49485200084746,6.015795400366187,287.59475300088525,0.016776999458670616,0.11567549966275692,0.0,0.6997384000569582,6.099328899756074,,2951,Visual,2024-07-10_12h43.00.266,Visual_Condition_v2,2022.2.5,29.980944064578374,
16,0,16,0,,,,,,,,,,,,,,,,288.32846160046756,0.000627400353550911,0.09756029956042767,294.3281864002347,6.030610799789429,294.47815869934857,0.04699929989874363,0.14729049988090992,300.47812590003014,6.013968700543046,300.5447822995484,0.01653899997472763,0.11373180150985718,0.0,0.9315226003527641,,,2951,Visual,2024-07-10_12h43.00.266,Visual_Condition_v2,2022.2.5,29.980944064578374,
17,0,17,0,,,,,,,,,,,,,,,,301.51148360036314,0.00014940090477466583,0.09911750070750713,307.52807890065014,6.015723800286651,307.6449683010578,0.03254830092191696,0.13260730169713497,313.6448944993317,5.999295301735401,313.7114009000361,0.0022311024367809296,0.09900500252842903,0.0,0.9977865014225245,,6.099019901826978,2951,Visual,2024-07-10_12h43.00.266,Visual_Condition_v2,2022.2.5,29.980944064578374,
18,0,18,0,,,,,,,,,,,,,,,,314.74490540102124,0.00024219974875450134,0.09964320063591003,320.7448015008122,5.999039499089122,320.87801850028336,0.02844190038740635,0.13251519948244095,326.87797410041094,6.032453799620271,326.9781177993864,0.03499570116400719,0.13228110037744045,2.0,2.0982284992933273,6.099038599058986,,2951,Visual,2024-07-10_12h43.00.266,Visual_Condition_v2,2022.2.5,29.980944064578374,
