Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,cross.started,p_port_4.started,p_port_4.stopped,cross.stopped,p_port_5.started,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,p_port_18.stopped,Begin_Rinse.stopped,p_port_5.stopped,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,p_port_14.stopped,p_port_16.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,,909.6539464998059,0.014642699621617794,0.09795679990202188,915.6541617996991,6.0312377996742725,915.7708191997372,915.7708191997372,0.014527499675750732,0.11450469959527254,space,1.5364293004386127,917.3709120997228,917.3709120997228,4.379963502287865e-05,0.09800189966335893,num_9,1.488391499966383,918.920926759718,0.002435800153762102,0.09792520012706518,919.2207720000297,919.7040996600408,920.020788599737,920.504183359677,920.8208071999252,920.9210051000118,928.9207171997987,928.9207171997987,928.9208139597904,0.0005508000031113625,0.09785850020125508,929.9372694999911,930.9376301998273,931.0872039999813,931.5874203001149,10.014404099900275,939.0206900998019,5.740020424127579e-05,939.0206900998019,0.09766770014539361,2.0,2.831804399844259,941.8875690000132,0.0015902998857200146,0.09937340021133423,947.8873180998489,948.070752459811,6.215857400093228,6.315829299855977,968.0705121599603,968.0705810999498,26.215789000038058,26.315648700110614,969.0871851998381,971.087354300078,971.087354300078,0.0014257999137043953,0.09907389990985394,1001.0871243998408,29.99904549960047,10.097621399909258,949.0706481998786,,,,,,,30.09892169991508,,7408,Gustatory,2024-08-24_11h09.27.681,Gustatory_Condition_v2,2022.2.5,29.96036544814545,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1001.1871342998929,-0.00010350020602345467,0.09888479951769114,1031.203695899807,30.015497599728405,,,7408,Gustatory,2024-08-24_11h09.27.681,Gustatory_Condition_v2,2022.2.5,29.96036544814545,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,,1031.3037099000067,0.017583499662578106,0.11547889979556203,1037.320310600102,6.032191399484873,1037.4203682998195,1037.4203682998195,0.032557299360632896,0.13212669966742396,space,3.5344597003422678,1041.0203253999352,1041.0203253999352,6.009964272379875e-05,0.09798089973628521,num_9,17.446514599956572,1058.5203346598428,0.002085699699819088,0.09763780003413558,1058.820205300115,1059.3202740598936,1059.6202048999257,1060.1040774600115,1060.4202402997762,1060.5202126000077,,1068.5368512999266,1068.5369097597431,0.016998699866235256,0.11422499967738986,,1070.553530999925,1070.7201812998392,1071.2033774997108,10.014097099658102,1078.6534897997044,0.03366149961948395,1078.6534897997044,0.13091899966821074,3.0,2.7653236999176443,1081.4537704996765,0.0019481000490486622,0.09852200001478195,1087.4701092997566,1087.6368625599425,6.215010699816048,6.315128099638969,1107.636762759881,1107.6366948997602,26.214970899745822,26.314961799886078,1108.6366277998313,1110.6366650001146,1110.6366650001146,0.014971799682825804,0.1149400994181633,1140.6365676000714,30.014860699418932,,,,,,,,,,,7408,Gustatory,2024-08-24_11h09.27.681,Gustatory_Condition_v2,2022.2.5,29.96036544814545,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,,1140.7533319997601,0.015043699648231268,0.09816099936142564,1146.7531590997241,6.031413999386132,1146.8699294999242,1146.8699294999242,0.014740399550646544,0.11476519936695695,space,1.4127818001434207,1148.3198742000386,1148.3198742000386,4.12999652326107e-05,0.0969973998144269,num_9,1.9553120001219213,1150.3198762598913,0.0016813999973237514,0.09867980005219579,1150.6197941000573,1151.103168459842,1151.4198734001257,1151.9032603597734,1152.2198711996898,1152.3198589999229,1160.3198450999334,1160.3198450999334,1160.3198689597193,0.0024341000244021416,0.09867070009931922,1161.3364396998659,1162.336498099845,1162.5032648998313,1163.0031435997225,10.015234400052577,1170.4196354998276,0.00168229965493083,1170.4196354998276,0.09856039984151721,5.0,3.0312979998998344,1173.4864517999813,0.0030721998773515224,0.0975534999743104,1179.5030839000829,1179.669756260002,6.214090500026941,6.314178300090134,1199.6696102598216,1199.6528638997115,26.230818700045347,26.330696700140834,1200.6862443997525,1202.669680299703,1202.669680299703,0.014114399906247854,0.11397819966077805,1232.686264100019,30.030653200112283,10.098505700007081,1180.6863677999936,,,,,,,,,7408,Gustatory,2024-08-24_11h09.27.681,Gustatory_Condition_v2,2022.2.5,29.96036544814545,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,,1232.819591099862,0.03134939959272742,0.13057359959930182,1238.8361525000073,6.013875299599022,1238.9029596997425,1238.9029596997425,0.01407169969752431,0.11381719959899783,space,1.2923393999226391,1240.2363296998665,1240.2363296998665,2.2500287741422653e-05,0.09821269987151027,num_9,2.238200900144875,1242.5193982596975,0.0009719999507069588,0.09934830013662577,1242.8194164000452,1243.302890059771,1243.6195260998793,1244.0862547599245,,1244.4861944001168,1252.4861653000116,1252.4861653000116,1252.486192759825,-0.000825200229883194,0.09909950010478497,1253.4860318000428,1254.4861547998153,1254.7028220999055,1255.219387399964,10.015704500023276,1262.6192590999417,0.002714799717068672,1262.6192590999417,0.09892180003225803,6.0,2.2306488999165595,1264.8862540000118,0.0022503999061882496,0.09797949995845556,1270.9027442997321,1271.0696359600406,6.214720500167459,6.314403499942273,1291.0860547597986,1291.0859886999242,26.231202600058168,26.347860999871045,,1294.0860019000247,1294.0860019000247,0.00015059998258948326,0.09782799985259771,1324.0858148001134,30.03105149976909,10.099108499940485,1272.0859157000668,,,,,,,,,7408,Gustatory,2024-08-24_11h09.27.681,Gustatory_Condition_v2,2022.2.5,29.96036544814545,
2,0,2,0,3,0,3,0,,,,,,,,,,,,,,1324.2025084998459,0.015106199774891138,0.11445109965279698,1330.1857642997056,6.014174100011587,1330.285823199898,1330.285823199898,0.03161009959876537,0.13108619954437017,space,1.1973958001472056,1331.5191605999134,1331.5191605999134,3.2500363886356354e-05,0.09801860013976693,num_9,1.5716695999726653,1333.1524942598771,0.0014618998393416405,0.09873569989576936,1333.4693241999485,1333.9358503597323,1334.2356452997774,1334.73574706004,1335.0523739997298,1335.135834099725,1343.1357982000336,1343.1357982000336,1343.1358235597145,0.01531209982931614,0.11521909991279244,1344.1356529998593,1345.1189361000434,1345.352453999687,1345.8356105997227,10.015137400012463,1353.2689114999957,0.0178611995652318,1353.2689114999957,0.11492189997807145,4.0,2.5982176000252366,1355.9027440999635,0.0023670000955462456,0.09826650004833937,1361.9023345001042,1362.0857416598592,6.214545799884945,6.314711899962276,1382.1023504601326,1382.102268899791,26.23118290025741,26.331175699830055,1383.118772499729,,1385.118810299784,0.016210299916565418,0.11444310005754232,1415.1354676000774,30.031073299702257,,1363.1023284001276,6.09751239977777,,,,,,,,7408,Gustatory,2024-08-24_11h09.27.681,Gustatory_Condition_v2,2022.2.5,29.96036544814545,
2,0,2,0,4,0,4,0,,,,,,,,,,,,,,1415.2355324998498,0.03184909978881478,0.13102159975096583,1421.2521240999922,6.014297999907285,1421.318791799713,1421.318791799713,0.014490299858152866,0.11430379981175065,space,1.4290577005594969,1422.7854694998823,1422.7854694998823,4.5000109821558e-05,0.09877469995990396,num_9,2.401598000433296,1425.2522035597358,0.002742100041359663,0.09789830027148128,1425.5520766996779,1426.0521410598885,1426.368733199779,1426.8354920598213,1427.152067499701,1427.252090800088,1435.2520304000936,1435.2520304000936,1435.252135359915,0.0009290999732911587,0.09779499983415008,1436.2687655999325,1437.2520979000255,1437.4354121997021,1437.9352651000954,10.014430299866945,1445.3685952997766,0.01725849974900484,1445.3685952997766,0.11423239996656775,2.0,2.4647591998800635,1447.868883999996,0.0024653002619743347,0.0981747000478208,1453.8686697999947,1454.068723160075,6.231403599958867,6.331357300281525,1474.05182975973,1474.051903899759,26.214677600190043,26.31460619997233,1475.0519153997302,1477.0518816998228,1477.0518816998228,0.01466810004785657,0.11464959988370538,1507.035012499895,30.014252500142902,,1455.0686584999785,,,,,,,30.097647999878973,,7408,Gustatory,2024-08-24_11h09.27.681,Gustatory_Condition_v2,2022.2.5,29.96036544814545,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1507.1684874999337,0.0313439997844398,0.1311433999799192,1537.1683145998977,30.01435189973563,,30.097688999958336,7408,Gustatory,2024-08-24_11h09.27.681,Gustatory_Condition_v2,2022.2.5,29.96036544814545,
3,0,3,0,0,0,0,0,,,,,,,,,,,,,,1537.2683602999896,0.00044579990208148956,0.1143312999047339,1543.268382600043,6.031171899754554,1543.4016101998277,1543.4016101998277,0.031152199488133192,0.13110769959166646,space,1.2177026998251677,1544.6684113997035,1544.6684113997035,8.179992437362671e-05,0.0978681999258697,num_9,1.9424127996899188,1546.6683947599959,0.0017222999595105648,0.09813599986955523,1546.9681958998553,1547.4517219599802,1547.751564499922,1548.2685759600718,1548.568461699877,1548.6683053998277,,1556.684913400095,1556.684968259884,0.01707130018621683,0.11452039983123541,1557.701566199772,1558.7015786999837,1558.8682013996877,1559.3682160996832,10.03115150006488,1566.7848125998862,0.016317099798470736,1566.7848125998862,0.1144880997017026,1.0,3.699232400394976,1570.5185167999007,0.0027263001538813114,0.0976974000222981,1576.5181478001177,1576.7182130597066,6.230738800019026,6.330875300336629,1596.701432859758,1596.7013944997452,26.214021100196987,26.314033099915832,1597.7179964999668,1599.7014121999964,1599.7014121999964,0.014083299785852432,0.11402390012517571,1629.7179422001354,30.030576599761844,,,,,,,,,,,7408,Gustatory,2024-08-24_11h09.27.681,Gustatory_Condition_v2,2022.2.5,29.96036544814545,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,,1629.8512492999434,0.03139619994908571,0.13048529997467995,1635.8681235997938,6.013806699775159,1635.9347473997623,1635.9347473997623,0.014160999562591314,0.11384969996288419,space,1.4523215000517666,1637.4514763997868,1637.4514763997868,4.239985719323158e-05,0.09814339969307184,num_9,1.5037116003222764,1639.0179685598705,0.0023378999903798103,0.0980503000319004,,1639.801393959904,1640.1012411001138,1640.6012422598433,1640.9179250998423,1641.001352999825,1649.017900600098,1649.017900600098,1649.017866160022,0.0013786000199615955,0.09798820037394762,1650.017787199933,1651.0010565998964,1651.2012975998223,1651.7013225997798,10.03130970010534,1659.134368899744,0.017439600080251694,1659.134368899744,0.11451390013098717,6.0,3.031469800043851,1662.2013445999473,0.0020086001604795456,0.09883520007133484,1668.2179036000744,1668.3844853600021,6.215050300117582,6.31517789978534,1688.4010918599088,1688.4010135000572,26.23164079990238,26.331628900021315,1689.417674199678,,1691.4176881997846,0.016605299897491932,0.11497429991140962,1721.4175800997764,30.014897599816322,,1669.401092699729,,,,,,,,,7408,Gustatory,2024-08-24_11h09.27.681,Gustatory_Condition_v2,2022.2.5,29.96036544814545,
