loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,textbox.started,p_port_2.started,p_port_2.stopped,textbox.stopped,p_port_3.started,instructions.started,key_resp.started,p_port_4.started,p_port_4.stopped,key_resp.keys,key_resp.rt,cross.started,p_port_6.started,p_port_6.stopped,cross.stopped,p_port_7.started,disgust_image.started,p_port_8.started,p_port_8.stopped,p_port_9.started,disgust_score.started,p_port_10.started,p_port_10.stopped,disgust_score.response,disgust_score.rt,disgust_image.stopped,p_port_7.stopped,p_port_9.stopped,participant,session,date,expName,psychopyVersion,frameRate,
32,0,32,0,,,,,,,,,,,,,,,,,,521.1111620999873,0.00023259990848600864,0.09887019998859614,527.0945611000061,6.015732100000605,527.2278108999599,0.019762099953368306,0.11564759991597384,6.015585199929774,533.3111699000001,-9.540002793073654e-05,0.09890780004207045,2.0,2.999917999957688,533.2111387000186,6.098822399973869,6.098814799915999,9216,Visual,2024-10-29_19h29.51.628,Visual_Condition_v2,2022.2.5,29.993110585905516,
33,0,33,0,,,,,,,,,,,,,,,,,,536.3446421000408,0.00015750003512948751,0.09894519997760653,542.32775149995,6.01551479997579,542.4576735000592,0.03153449995443225,0.11208780005108565,6.015536200022325,548.5444627000252,7.349997758865356e-05,0.0988461000379175,0.0,1.032976100104861,548.4444882000098,,6.0988988999743015,9216,Visual,2024-10-29_19h29.51.628,Visual_Condition_v2,2022.2.5,29.993110585905516,
34,0,34,0,,,,,,,,,,,,,,,,,,549.594426900032,0.00015119998715817928,0.08267389994580299,555.5776939999778,5.999286399921402,555.711127800052,0.0006975999567657709,0.09964979998767376,5.999404600006528,561.794395999983,0.01599870005156845,0.11592710006516427,0.0,0.8336513000540435,561.6943634999916,6.082634599995799,6.0825981999514624,9216,Visual,2024-10-29_19h29.51.628,Visual_Condition_v2,2022.2.5,29.993110585905516,
35,0,35,0,,,,,,,,,,,,,,,,,,562.661072100047,0.00014709995593875647,0.09904720005579293,568.6574213999556,6.011840400053188,568.7777814000146,0.019849700038321316,0.11570780002512038,6.015557800070383,574.8610156000359,-0.00016409996896982193,0.09885430010035634,0.0,0.766855200054124,574.7609590999782,6.095296200015582,6.098806900088675,9216,Visual,2024-10-29_19h29.51.628,Visual_Condition_v2,2022.2.5,29.993110585905516,
36,0,36,0,,,,,,,,,,,,,,,,,,575.6611701999791,0.000193099956959486,0.09892250003758818,581.6574121000012,6.011939599993639,581.7776608000277,0.019629299989901483,0.11564880004152656,6.015609399997629,587.8611322999932,5.240004975348711e-05,0.09899890003725886,3.0,3.400024799979292,587.7609657000285,6.095338299986906,6.098893400048837,9216,Visual,2024-10-29_19h29.51.628,Visual_Condition_v2,2022.2.5,29.993110585905516,
37,0,37,0,,,,,,,,,,,,,,,,,,591.2945272000507,0.00015900004655122757,0.09885639999993145,597.2776504999492,5.999037600005977,597.3943544999929,0.010232800035737455,0.09923660010099411,6.015589900081977,603.4943323000334,0.00013020006008446217,0.09903780010063201,0.0,0.9331930000334978,603.3775835999986,6.082218200084753,6.098964200122282,9216,Visual,2024-10-29_19h29.51.628,Visual_Condition_v2,2022.2.5,29.993110585905516,
38,0,38,0,,,,,,,,,,,,,,,,,,604.4609521999955,0.00014730007387697697,0.09919870004523546,610.4575377999572,6.012181600090116,610.5571803000057,0.006122300052084029,0.11595510004553944,6.015816900064237,616.660932400031,0.00039510009810328484,0.09919340012129396,0.0,1.333044599974528,616.5610405000625,6.095557100023143,6.099177800118923,9216,Visual,2024-10-29_19h29.51.628,Visual_Condition_v2,2022.2.5,29.993110585905516,
39,0,39,0,,,,,,,,,,,,,,,,,,618.0275952999946,0.00017710006795823574,0.09914240008220077,624.010934800026,5.999110399978235,624.1739027999574,0.052202200051397085,0.1455292000900954,6.015880100079812,630.2443052000599,0.01664770010393113,0.11586880008690059,0.0,1.7668569999514148,630.1608611999545,6.082407600013539,,9216,Visual,2024-10-29_19h29.51.628,Visual_Condition_v2,2022.2.5,29.993110585905516,
40,0,40,0,,,,,,,,,,,,,,,,,,632.0444204000523,0.0001537000061944127,0.09918200003448874,638.0275047000032,5.999045700067654,638.2779373000376,0.1023259999928996,0.23250250006094575,6.032290700008161,644.2775472999783,0.032936800038442016,0.13235260010696948,0.0,1.1005920000607148,,6.082278299960308,,9216,Visual,2024-10-29_19h29.51.628,Visual_Condition_v2,2022.2.5,29.993110585905516,
41,0,41,0,,,,,,,,,,,,,,,,,,645.4109624000266,0.00014960009139031172,0.09923900000285357,651.4072027000366,6.01218570000492,651.5275686000241,0.008740900084376335,0.1158987000817433,6.015915400115773,657.6107595999492,-0.00011369993444532156,0.09906560007948428,0.0,1.100306099979207,657.510728299967,6.095417300006375,6.099042800022289,9216,Visual,2024-10-29_19h29.51.628,Visual_Condition_v2,2022.2.5,29.993110585905516,
42,0,42,0,,,,,,,,,,,,,,,,,,658.7443842999637,0.00014779996126890182,0.0987203000113368,664.7273917000275,6.0153805000009015,665.2774406999815,0.27914440003223717,0.5320853000739589,5.999203499988653,670.9570639999583,0.029462100006639957,0.11175450007431209,0.0,0.887100699939765,,6.098688900005072,6.0991218000417575,9216,Visual,2024-10-29_19h29.51.628,Visual_Condition_v2,2022.2.5,29.993110585905516,
43,0,43,0,,,,,,,,,,,,,,,,,,671.8944064000389,0.00034739996772259474,0.0984948999248445,677.8773149000481,6.0149726999225095,678.0607075999724,0.058869099942967296,0.16512569994665682,6.031919999979436,684.1107634999789,0.01569739996921271,0.1149841999867931,0.0,5.866919000050984,684.0441537000006,6.098400899907574,,9216,Visual,2024-10-29_19h29.51.628,Visual_Condition_v2,2022.2.5,29.993110585905516,
44,0,44,0,,,,,,,,,,,,,,,,,,690.0107284999685,0.00015679991338402033,0.09787099994719028,695.9939602999948,6.014502299949527,696.1237647000235,0.021318100043572485,0.11099169997032732,6.031255100038834,702.2272831000155,0.015329099958762527,0.11452730000019073,0.0,0.9003358000190929,702.1272031000117,,,9216,Visual,2024-10-29_19h29.51.628,Visual_Condition_v2,2022.2.5,29.993110585905516,
