loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,textbox.started,p_port_2.started,p_port_2.stopped,textbox.stopped,p_port_3.started,instructions.started,key_resp.started,p_port_4.started,p_port_4.stopped,key_resp.keys,key_resp.rt,cross.started,p_port_6.started,p_port_6.stopped,cross.stopped,p_port_7.started,disgust_image.started,p_port_8.started,p_port_8.stopped,p_port_9.started,disgust_score.started,p_port_10.started,p_port_10.stopped,disgust_score.response,disgust_score.rt,disgust_image.stopped,p_port_7.stopped,p_port_9.stopped,participant,session,date,expName,psychopyVersion,frameRate,
45,0,45,0,,,,,,,,,,,,,,,,,,703.1606792999664,0.00015169999096542597,0.09904010000173002,709.1442412000615,5.999021800002083,709.2442931999685,0.016251000110059977,0.11583200003951788,5.999098900007084,715.3439695000416,0.015838300110772252,0.11582800012547523,3.0,2.3998082999605685,715.227304500062,6.082343199988827,6.082549000042491,9216,Visual,2024-10-29_19h29.51.628,Visual_Condition_v2,2022.2.5,29.993110585905516,
46,0,46,0,,,,,,,,,,,,,,,,,,717.7773926999653,0.00027279998175799847,0.09855290001723915,723.7737038000487,6.011546600027941,723.8939751000144,0.008073000004515052,0.11531600006856024,6.015174400061369,729.9773104999913,-0.0004295998951420188,0.09851570008322597,0.0,2.500173300039023,729.8771788000595,6.094907499966212,6.098496800055727,9216,Visual,2024-10-29_19h29.51.628,Visual_Condition_v2,2022.2.5,29.993110585905516,
47,0,47,0,,,,,,,,,,,,,,,,,,732.5106189000653,0.0001702000154182315,0.09913230000529438,738.4938219999894,5.9990513999946415,738.6235466999933,0.02674740005750209,0.11207020003348589,5.999185700085945,744.710533299949,4.3800100684165955e-05,0.09903640008997172,0.0,0.6334183000726625,744.6272320999997,6.095599199994467,6.0990109000122175,9216,Visual,2024-10-29_19h29.51.628,Visual_Condition_v2,2022.2.5,29.993110585905516,
48,0,48,0,,,,,,,,,,,,,,,,,,745.3772154999897,0.00020489993039518595,0.09914569999091327,751.3736072999891,6.0120855999412015,751.4902392999502,0.012230899999849498,0.1323280999204144,6.0324005000293255,757.5938756000251,0.01671270001679659,0.11589809996075928,0.0,1.7331260999199003,757.4938039999688,6.095318099949509,,9216,Visual,2024-10-29_19h29.51.628,Visual_Condition_v2,2022.2.5,29.993110585905516,
49,0,49,0,,,,,,,,,,,,,,,,,,759.3606234999606,0.0002207000507041812,0.09875080001074821,765.3567252999637,6.011871700058691,765.4771306000184,0.011770800105296075,0.11553410009946674,6.015393300098367,771.5605285000056,-0.0004654999356716871,0.09875540004577488,0.0,2.433529800036922,771.4603335000575,6.0988340000621974,6.098779000109062,9216,Visual,2024-10-29_19h29.51.628,Visual_Condition_v2,2022.2.5,29.993110585905516,
50,0,50,0,,,,,,,,,,,,,,,,,,774.0103415000485,0.0001591000473126769,0.08266099996399134,779.9937268999638,5.999326599994674,780.1271077999845,0.0327640000032261,0.12891189998481423,6.01601020002272,786.2270433000522,0.0005772000877186656,0.09926210006233305,2.0,2.6996206999756396,786.1270902999677,6.082544000004418,6.099360699998215,9216,Visual,2024-10-29_19h29.51.628,Visual_Condition_v2,2022.2.5,29.993110585905516,
51,0,51,0,,,,,,,,,,,,,,,,,,788.9603965999559,0.00015110010281205177,0.09898290003184229,794.9436006000033,6.015604200074449,795.0566324000247,0.007228500093333423,0.09903590008616447,6.0155987000325695,801.160296499962,-2.8999056667089462e-06,0.09890800004359335,3.0,1.966589399962686,801.0436021999922,6.095300300046802,6.098913000081666,9216,Visual,2024-10-29_19h29.51.628,Visual_Condition_v2,2022.2.5,29.993110585905516,
52,0,52,0,,,,,,,,,,,,,,,,,,803.1603015000001,0.0001623999560251832,0.099032900063321,809.1436984000029,6.015872800024226,809.2568275999511,0.006443500053137541,0.09539350005798042,6.0158147000474855,815.3602163000032,0.0003695000195875764,0.09902470000088215,1.0,1.5996106000384316,815.2601946999785,6.099361600005068,6.098981200018898,9216,Visual,2024-10-29_19h29.51.628,Visual_Condition_v2,2022.2.5,29.993110585905516,
53,0,53,0,,,,,,,,,,,,,,,,,,816.993728899979,0.00016520009376108646,0.09915350005030632,822.9900412999559,6.01232700003311,823.1270234000403,0.036546300048939884,0.13276160007808357,5.999178500031121,829.1936060000444,8.600065484642982e-06,0.09917470009531826,2.0,2.4668265000218526,829.1109539000317,6.095429399982095,6.099160700105131,9216,Visual,2024-10-29_19h29.51.628,Visual_Condition_v2,2022.2.5,29.993110585905516,
54,0,54,0,,,,,,,,,,,,,,,,,,831.6935822999803,0.00014590006321668625,0.09858019999228418,837.6898569000186,6.01167570007965,837.7900360999629,0.004901500069536269,0.09874260006472468,6.015392500092275,843.8935655000387,-0.00024429988116025925,0.09860370005480945,0.0,2.9332811000058427,843.7768709999509,6.0950116000603884,6.098560700076632,9216,Visual,2024-10-29_19h29.51.628,Visual_Condition_v2,2022.2.5,29.993110585905516,
55,0,55,0,,,,,,,,,,,,,,,,,,846.8602626000065,0.00015970005188137293,0.09886230004485697,852.8433734000428,6.015335600008257,852.973176700063,0.02132040006108582,0.11541530000977218,6.015581900021061,859.0604452999542,-8.509994950145483e-05,0.09901470004115254,3.0,2.466514299972914,858.960056800046,6.095100200036541,6.098704000003636,9216,Visual,2024-10-29_19h29.51.628,Visual_Condition_v2,2022.2.5,29.993110585905516,
56,0,56,0,,,,,,,,,,,,,,,,,,861.5601410999661,0.00028149993158876896,0.0985851000295952,867.5434259000467,6.015025299973786,867.6732029999839,0.025616500061005354,0.13178070005960763,6.031686899950728,873.7767168000573,0.01592610008083284,0.11491410003509372,3.0,1.500058300094679,873.6766891999869,,,9216,Visual,2024-10-29_19h29.51.628,Visual_Condition_v2,2022.2.5,29.993110585905516,
57,0,57,0,,,,,,,,,,,,,,,,,,875.3100461000577,0.00015300000086426735,0.09901210002135485,881.3063891000347,6.012037399923429,881.4231762000127,0.012891100021079183,0.1324368000496179,5.999033799977042,887.5101574000437,-0.00016689999029040337,0.09903140005189925,2.0,3.333377299946733,887.4266172000207,6.095451400033198,6.098895899951458,9216,Visual,2024-10-29_19h29.51.628,Visual_Condition_v2,2022.2.5,29.993110585905516,
