Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_3.started,sync_beep_3.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,cross.started,p_port_4.started,p_port_4.stopped,cross.stopped,p_port_5.started,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,p_port_18.stopped,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,spit_sound.stopped,Begin_Rinse.stopped,Finish_rinse.stopped,p_port_14.stopped,p_port_5.stopped,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,p_port_16.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,0,1,0,4,0,4,0,,,,,,,,,,,,956.0529545005411,0.03113340027630329,0.13052240014076233,962.0696135004982,6.01378979999572,962.1362430006266,962.1362430006266,0.013926399871706963,0.11377310007810593,space,2.001013499684632,964.186277099885,964.186277099885,4.389975219964981e-05,0.0975121995434165,num_9,7.040107700042427,971.2694087102078,0.0007274001836776733,0.09964300040155649,971.5863709002733,972.0360950100236,972.3361744005233,972.8362351105549,973.1362067004666,973.2193348007277,981.2362384004518,981.2362384004518,981.2361878099852,-0.0002915002405643463,0.11626220028847456,983.2528629004955,983.4528465000913,983.9696345003322,9.99957159999758,10.099446499720216,991.3694707006216,0.0025040004402399063,991.3694707006216,0.09974850062280893,1.0,3.431219699792564,994.8361509004608,0.002138799987733364,0.098212999291718,1000.8527458999306,1001.0195629102178,6.214838999323547,6.31489949952811,1021.0360599103384,1021.0360210007057,26.231482099741697,26.331465600058436,,1024.0527411000803,0.016622299328446388,0.1146026998758316,1054.0526731004938,30.03146279975772,982.2527260007337,1002.0360265001655,1022.0526929004118,,,,,,,,,8536,Gustatory,2024-12-10_13h11.45.377,Gustatory_Condition_v2,2022.2.5,30.001776090727382,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1054.1525611998513,0.014895299449563026,0.11449019983410835,1084.1356362998486,30.01436570007354,30.09779809974134,8536,Gustatory,2024-12-10_13h11.45.377,Gustatory_Condition_v2,2022.2.5,30.001776090727382,
2,0,2,0,0,0,0,0,,,,,,,,,,,,1084.235784499906,2.5600194931030273e-05,0.09774299990385771,1090.2357606999576,6.031234900467098,1090.3690840005875,1090.3690840005875,0.031312900595366955,0.13122110068798065,space,1.944339799694717,1092.3524205004796,1092.3524205004796,3.330036997795105e-05,0.09770680032670498,num_9,3.385491100139916,1095.7857924102805,0.0024765999987721443,0.09778149984776974,1096.0857250001281,1096.5690745105035,1096.8857320006937,1097.385704810638,1097.6859386004508,1097.7857706006616,1105.785718000494,1105.785718000494,1105.7857718103564,0.0010852999985218048,0.09773290064185858,1107.7857052003965,1107.9690252998844,1108.4690538002178,10.03102290071547,,1115.9189633000642,0.03392360080033541,1115.9189633000642,0.13100270088762045,2.0,3.1647558994591236,1119.1189938001335,0.0020569004118442535,0.09795140009373426,1125.1357545005158,1125.302308410313,6.214505700394511,6.314533700235188,1145.302195110265,1145.3022242998704,26.21452270075679,26.314424300566316,1148.3021392002702,1148.3021392002702,0.014426699839532375,0.11444259993731976,1178.302066700533,30.014374800026417,1106.7856811005622,1126.3022805005312,1146.302141200751,,,,,,,,,8536,Gustatory,2024-12-10_13h11.45.377,Gustatory_Condition_v2,2022.2.5,30.001776090727382,
2,0,2,0,1,0,1,0,,,,,,,,,,,,1178.4354695007205,0.014938900247216225,0.11437510047107935,1184.435550200753,6.014551701024175,1184.5354522000998,1184.5354522000998,0.014479201287031174,0.11438730079680681,space,2.7063509998843074,1187.2854080004618,1187.2854080004618,5.7499855756759644e-05,0.0979672996327281,num_9,2.8847790993750095,1190.2187662105075,0.002396699972450733,0.09793610032647848,1190.5354936001822,1191.001982710231,,1191.8188773103989,1192.13546420075,1192.2020201999694,1200.202016800642,1200.202016800642,1200.2021613101474,0.014669500291347504,0.11457579955458641,1202.2021301006898,1202.418682800606,1202.9186446005479,10.014477100223303,,1210.335232499987,0.01724450010806322,1210.335232499987,0.11436090059578419,4.0,2.1983634997159243,1212.5689535001293,0.0016620997339487076,0.09918150026351213,1218.5685950005427,1218.7355172102339,6.199214099906385,6.2991211004555225,1238.7517382101155,1238.751901300624,26.215808399952948,26.315850700251758,1241.7686300007626,1241.7686300007626,0.0014142999425530434,0.09905030019581318,1271.7514938004315,30.015333900228143,1201.2019437998533,1219.7351130004972,,30.098723700270057,,,,,,,,8536,Gustatory,2024-12-10_13h11.45.377,Gustatory_Condition_v2,2022.2.5,30.001776090727382,
2,0,2,0,2,0,2,0,,,,,,,,,,,,1271.851538900286,-0.0006807995960116386,0.08213109988719225,1277.8515674006194,6.015413500368595,1277.9515074007213,1277.9515074007213,-0.0008886996656656265,0.08204660098999739,space,1.6579585997387767,1279.6683302000165,1279.6683302000165,1.96993350982666e-05,0.0991968996822834,num_9,3.76536709908396,1283.468217210751,0.0006645005196332932,0.09978319983929396,1283.785028300248,1284.2349451099522,1284.5348925003782,1285.035058610048,1285.3348408006132,1285.4350525001064,1293.4515788005665,1293.4515788005665,1293.4516710107214,0.01628660038113594,0.11638019979000092,1295.468315800652,1295.6349197002128,1296.1349646002054,10.012570000253618,,1303.5849125999957,0.01917840074747801,1303.5849125999957,0.11614660080522299,1.0,3.3313357001170516,1306.9518042001873,0.0015434008091688156,0.09905350022017956,1312.934752500616,1313.1183774107135,6.199097500182688,6.299024200066924,1333.13479911061,1333.1348361000419,26.215667200274765,26.31570180039853,1336.1348192002624,1336.1348192002624,0.015677200630307198,0.11564670037478209,1366.1514018001035,30.032248199917376,1294.4516259999946,1314.1351617006585,1334.134810199961,,6.098810600116849,,,,,,,8536,Gustatory,2024-12-10_13h11.45.377,Gustatory_Condition_v2,2022.2.5,30.001776090727382,
2,0,2,0,3,0,3,0,,,,,,,,,,,,1366.268035300076,0.016090700402855873,0.11561780050396919,1372.2679439000785,6.0154336001724005,1372.351156800054,1372.351156800054,0.01553250104188919,0.09878050070255995,space,1.674847999587655,1374.084746000357,1374.084746000357,2.600066363811493e-05,0.09860320016741753,num_9,3.556899099610746,1377.7013271105475,0.001689000055193901,0.09825900010764599,1378.0012450003996,1378.4845950099639,1378.7845285004005,1379.284538110625,1379.6013483004645,1379.6678280001506,1387.6680127000436,1387.701255400665,1387.701387110073,0.03153470065444708,0.13150360062718391,1389.6844665007666,1389.884760200046,1390.3847126001492,10.0147395003587,10.0979817006737,1397.801111199893,0.0004898011684417725,1397.801111199893,0.09810740035027266,3.0,4.431887400336564,1402.268191500567,0.0015316000208258629,0.09963789954781532,1408.2678620005026,1408.4345593106932,6.19905440043658,6.299083299934864,1428.451301610004,1428.4511249000207,26.215779799968004,26.315687299706042,1431.467806099914,1431.467806099914,0.0014621000736951828,0.09901619981974363,1461.4676446998492,30.032240799628198,1388.7013878999278,1409.4511640006676,1429.4510373007506,,,,,,,,,8536,Gustatory,2024-12-10_13h11.45.377,Gustatory_Condition_v2,2022.2.5,30.001776090727382,
2,0,2,0,4,0,4,0,,,,,,,,,,,,1461.6010003006086,0.032931700348854065,0.13229489978402853,1467.6009720005095,6.032200099900365,1467.7011160003021,1467.7011160003021,0.03229270037263632,0.1321572009474039,space,1.7007045997306705,1469.467736300081,1469.467736300081,7.859990000724792e-05,0.0983533002436161,num_9,4.174762999638915,1473.7009650104678,0.001962600275874138,0.09844450000673532,1474.0008812006563,1474.4843046105466,1474.7842489005998,1475.3009785105473,1475.600913300179,1475.6674268003553,1483.684208800085,1483.684208800085,1483.6843071104026,0.01505380030721426,0.11502890009433031,1485.6840606005862,1485.8842187002301,1486.3842529999092,10.014844300225377,10.098225800320506,1493.8008798006922,0.001224900595843792,1493.8008798006922,0.0981091009452939,1.0,3.598047200590372,1497.4344359003007,0.0015195002779364586,0.09935779962688684,1503.4173530004919,1503.600790209975,6.199210899882019,6.2991928001865745,1523.6173221104777,1523.617447800003,26.2158813001588,26.31583619955927,1526.617405500263,1526.617405500263,0.015891199931502342,0.1157745998352766,1556.6173197003081,30.015768699347973,1484.6841930001974,1504.6007473999634,1524.6340850004926,,,,,,,,,8536,Gustatory,2024-12-10_13h11.45.377,Gustatory_Condition_v2,2022.2.5,30.001776090727382,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1556.7505924999714,0.015808699652552605,0.11572850029915571,1586.750566800125,30.015595000237226,,8536,Gustatory,2024-12-10_13h11.45.377,Gustatory_Condition_v2,2022.2.5,30.001776090727382,
3,0,3,0,0,0,0,0,,,,,,,,,,,,1586.8505570003763,0.017603600397706032,0.11557590030133724,1592.8506200006232,6.0155821004882455,1592.950528900139,1592.950528900139,0.015692700631916523,0.11550950072705746,space,1.8911289004608989,1594.8838523998857,1594.8838523998857,4.469975829124451e-05,0.09784509986639023,num_9,3.6698674000799656,1598.6172571106813,0.0020968997851014137,0.09794440027326345,1598.9340295000002,1599.417312110681,1599.7338046003133,1600.2003250102512,,1600.6005430007353,1608.6171659007668,1608.6171659007668,1608.6171658103353,0.0011921999976038933,0.09757430013269186,1610.6173082999885,1610.783670000732,1611.2837529005483,10.030735800042748,,1618.7336220005527,0.017475499771535397,1618.7336220005527,0.114036800339818,1.0,2.530975299887359,1621.300627199933,0.0016203001141548157,0.09932170063257217,1627.3003427004442,1627.4672178103588,6.199161100201309,6.29923490062356,1647.46705421051,1647.4669436998665,26.199162900447845,26.299131800420582,1650.4669010005891,1650.4669010005891,-0.0008515994995832443,0.09888800047338009,1680.4667439004406,30.01558340061456,1609.6338590001687,1628.4836681000888,1648.483607600443,30.098761499859393,,,,,,,,8536,Gustatory,2024-12-10_13h11.45.377,Gustatory_Condition_v2,2022.2.5,30.001776090727382,
3,0,3,0,1,0,1,0,,,,,,,,,,,,1680.6000481005758,5.700625479221344e-06,0.09863810054957867,1686.6000899998471,6.032359000295401,1686.716784500517,1686.716784500517,0.015742001123726368,0.11539040133357048,space,1.6450176993384957,1688.4000826999545,1688.4000826999545,4.37004491686821e-05,0.09814100060611963,num_9,4.8577661998569965,1693.3001764099113,0.0023253997787833214,0.09787579998373985,1693.61674030032,1694.0834318100474,1694.383515700698,1694.8833193107507,,1695.283438300714,1703.3000460006297,1703.3000460006297,1703.3001146101392,0.001171499490737915,0.09787249937653542,1705.3000215003267,1705.5000652000308,1706.0167102999985,10.014443799853325,,1713.4167432999238,0.01690610032528639,1713.4167432999238,0.11471750028431416,2.0,3.8652064008638263,1717.3169010002166,0.0031922003254294395,0.09774179942905903,1723.316638099961,1723.5166705100796,6.230980600230396,6.330985300242901,1743.4999439100734,1743.5000040000305,26.214398100040853,26.314298800192773,1746.4999954001978,1746.4999954001978,0.014431499876081944,0.11420849990099669,1776.4997976003215,30.014186999760568,,1724.516658499837,1744.5165721001104,,,,,,,,,8536,Gustatory,2024-12-10_13h11.45.377,Gustatory_Condition_v2,2022.2.5,30.001776090727382,
