Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,baseline.started,p_port_2.started,p_port_2.stopped,p_port_3.started,baseline.stopped,p_port_3.stopped,cross.started,p_port_4.started,p_port_4.stopped,cross.stopped,p_port_5.started,p_port_5.stopped,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,spit_sound.stopped,p_port_18.stopped,Begin_Rinse.stopped,p_port_14.stopped,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,participant,session,date,expName,psychopyVersion,frameRate,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,906.6985019999556,0.016237500123679638,0.11554610007442534,912.7152071001474,6.032124199904501,,912.7985414001159,912.7985414001159,0.015485899988561869,0.11542709986679256,space,1.18264179979451,914.031759200152,914.031759200152,4.469999112188816e-05,0.09798939991742373,num_9,1.1810424998402596,915.2484393999912,0.002070500049740076,0.09817779995501041,915.5485131000169,916.0317609999329,916.3483800000977,916.8315888000652,917.148358500097,917.2484105001204,,925.2650518999435,925.2651158999652,0.01760460017248988,0.11467769998125732,927.2651994000189,927.4316794001497,927.9318003000226,10.014670100063086,935.3481700001284,0.000381499994546175,935.3481700001284,0.09810140007175505,5.0,2.498353300150484,937.8819138000254,0.0025142000522464514,0.09797430015169084,943.8816778999753,944.0816232999787,6.231264800066128,6.331455700099468,964.0647969001438,964.0649562999606,26.21465880004689,26.31461889995262,965.0816522999667,967.0815127999522,967.0815127999522,0.00035310001112520695,0.09775760001502931,997.08139940002,30.031083600129932,926.264977700077,10.09785330016166,945.0983508999925,,,,,,,8768,Gustatory,2025-01-30_15h39.01.277,Gustatory_Condition_v2,2022.2.5,29.96411797108045,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,997.1980649000034,0.014596600085496902,0.11440639989450574,1027.2146469000727,30.030918600037694,8768,Gustatory,2025-01-30_15h39.01.277,Gustatory_Condition_v2,2022.2.5,29.96411797108045,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,1027.3146108000074,0.032862099818885326,0.13092919997870922,1033.331226099981,6.014184099854901,,1033.3978953000624,1033.3978953000624,0.01435609976761043,0.11435009981505573,space,1.0465731997974217,1034.4979658999946,1034.4979658999946,2.4899840354919434e-05,0.09864869993180037,num_9,1.4983703000470996,1036.0479489001445,0.00212279986590147,0.09779080003499985,1036.3478769001085,1036.8479768999387,1037.147871500114,1037.6480666999705,1037.9478273000568,1038.0312399000395,1046.0480295000598,1046.0480295000598,1046.0478916000575,-0.00036910013295710087,0.09764040005393326,1048.0647032000124,1048.2480079000816,1048.7478519000579,10.014160000020638,1056.1642851000652,0.01712539978325367,1056.1642851000652,0.114377899793908,5.0,2.098162399837747,1058.298025000142,0.0015610000118613243,0.099222999997437,1064.3144835000858,1064.4810878999997,6.215802800143138,6.315752699971199,1084.48112770007,1084.4812843999825,26.215965799987316,26.31587960012257,1085.4975787999574,1087.4976528000552,1087.4976528000552,0.0016229001339524984,0.09905970003455877,1117.4975618000608,30.0322487000376,1047.0478495000862,,1065.497806099942,,,,,,,8768,Gustatory,2025-01-30_15h39.01.277,Gustatory_Condition_v2,2022.2.5,29.96411797108045,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,1117.6309212001506,0.033098400104790926,0.13200110010802746,1123.6309112000745,5.999016799964011,6.098854100098833,1123.697522399947,1123.697522399947,-0.00039890012703835964,0.09887530002743006,space,0.8270776998251677,1124.564236999955,1124.564236999955,4.779989831149578e-05,0.09807750000618398,num_9,1.784260799875483,1126.3976141000167,0.0021964998450130224,0.09793759998865426,1126.6974329000805,1127.1809255001135,1127.4808153000195,1127.9809516000096,1128.297483799979,1128.39752460015,1136.3974304001313,1136.3974304001313,1136.3976406999864,0.0014511998742818832,0.0978878999594599,1138.3975446000695,1138.5808272000868,1139.0973153000232,10.014567699981853,1146.514036900131,0.017360099824145436,1146.514036900131,0.1142875999212265,3.0,1.6981115001253784,1148.2477396000177,0.001510899979621172,0.09921470005065203,1154.2474210001528,1154.447482000105,6.199122699908912,6.299106599995866,1174.4306262000464,1174.4308078000322,26.215852699941024,26.315894100116566,1175.4473067000508,1177.430621500127,1177.430621500127,0.01570680015720427,0.11563819996081293,1207.4304220001213,30.015425499994308,,,1155.447313599987,,,,,,,8768,Gustatory,2025-01-30_15h39.01.277,Gustatory_Condition_v2,2022.2.5,29.96411797108045,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,,,1207.5638643000275,0.01628279988653958,0.11569570004940033,1213.5804419999477,6.032438099849969,,1213.6803731999826,1213.6803731999826,0.032281699823215604,0.13218769989907742,space,0.6045778999105096,1214.347477100091,1214.347477100091,5.04001509398222e-05,0.09779590019024909,num_9,3.681441599968821,1218.0804767999798,0.001155699836090207,0.09884099988266826,1218.3972637001425,1218.8637103000656,1219.1804480999708,1219.6637836000882,1219.9804078000598,1220.0638121000957,1228.0637616999447,1228.0637616999447,1228.0638181001414,0.015555299818515778,0.11545209982432425,1230.0803541000932,1230.2638887001667,1230.7470609999727,10.032343599945307,1238.2136347000487,0.03489619982428849,1238.2136347000487,0.13194909994490445,5.0,2.364932999946177,1240.6140815999825,0.00280630006454885,0.09772550011985004,1246.613676100038,1246.7969243000261,6.213888700120151,6.29739459999837,1266.7968325000256,1266.7970382999629,26.214139100164175,26.313927800161764,1267.8136132000946,1269.7969118000474,1269.7969118000474,0.014047600096091628,0.11392540019005537,1299.7967425000388,30.01382500003092,1229.080426099943,,1247.7969500999898,,,,,,,8768,Gustatory,2025-01-30_15h39.01.277,Gustatory_Condition_v2,2022.2.5,29.96411797108045,
2,0,2,0,3,0,3,0,,,,,,,,,,,,,,,1299.9301335001364,0.014538600109517574,0.11380510008893907,1305.946763300104,6.030522299930453,,1306.0467475999612,1306.0467475999612,0.03099090000614524,0.1304516999516636,space,1.1662013998720795,1307.246733600041,1307.246733600041,4.630000330507755e-05,0.09778840001672506,num_9,1.5815785999875516,1308.8801440000534,0.002704499987885356,0.09817900019697845,1309.1967142999638,1309.6801336000208,1309.9966617000755,1310.4634575000964,1310.7800476001576,1310.8800856999587,,1318.896667300025,1318.8966977000237,0.017479600152000785,0.11473969998769462,1320.9133256000932,1321.0633513999637,1321.5465763001703,10.031270900042728,1329.0133126000874,0.03416560008190572,1329.0133126000874,0.1314109000377357,3.0,1.7982397999148816,1330.8469304000027,0.0026579999830573797,0.09792880015447736,1336.8297497001477,1337.029973699944,6.214570000069216,6.314506700029597,1357.0298055000603,1357.0298528000712,26.214474700158462,26.314437299966812,1358.0464516000357,1360.0297954999842,1360.0297954999842,0.014438300160691142,0.11443280009552836,1390.0463608000427,30.030980000039563,,,1338.0466199000366,,,,,,,8768,Gustatory,2025-01-30_15h39.01.277,Gustatory_Condition_v2,2022.2.5,29.96411797108045,
2,0,2,0,4,0,4,0,,,,,,,,,,,,,,,1390.1630375999957,0.014922000002115965,0.11428049998357892,1396.1628990999889,6.014274799963459,,1396.2630189999472,1396.2630189999472,0.014297999907284975,0.11425670003518462,space,1.269549099728465,1397.5963493001182,1397.5963493001182,4.220008850097656e-05,0.0979695999994874,num_9,1.680109400069341,1399.3298335999716,0.002001000102609396,0.09784090006724,1399.646346700145,1400.113077300135,1400.4463609999511,1400.9298348999582,1401.229487300152,1401.312986300094,1409.3129960000515,1409.3129960000515,1409.3129847000819,0.014603500021621585,0.11476740008220077,1411.3296990001108,1411.5129200001247,1412.0129607999697,10.031130300136283,1419.4465100001544,0.015631600050255656,1419.4465100001544,0.11450070003047585,4.0,1.632998599903658,1421.1131095001474,0.0029537000227719545,0.0980462001170963,1427.11289450014,1427.3129314000253,6.231324400054291,6.33134700008668,1447.2961359000765,1447.2961391999852,26.214611700037494,26.31461809994653,1448.2960616999771,1450.2960584000684,1450.2960584000684,0.014626099960878491,0.11453879997134209,1480.2959821000695,30.014449800131842,1410.3296068999916,,1428.3296279001515,,,,,,,8768,Gustatory,2025-01-30_15h39.01.277,Gustatory_Condition_v2,2022.2.5,29.96411797108045,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1480.429547100095,0.014513199916109443,0.1144322999753058,1510.4290471000131,30.014299900038168,8768,Gustatory,2025-01-30_15h39.01.277,Gustatory_Condition_v2,2022.2.5,29.96411797108045,
3,0,3,0,0,0,0,0,,,,,,,,,,,,,,,1510.529192400165,0.016169799957424402,0.11434409976936877,1516.5291971000843,6.014619199791923,,1516.6293276001234,1516.6293276001234,0.014601699775084853,0.11423549987375736,space,0.9510080998297781,1517.6291436001193,1517.6291436001193,3.7400051951408386e-05,0.09770449995994568,num_9,1.8876975998282433,1519.5625410999637,0.0018736000638455153,0.09785829996690154,1519.8791161000263,1520.3625147999264,1520.6791128001641,1521.1457577999681,1521.4456303000916,1521.5456989000086,1529.5457860000897,1529.5457860000897,1529.5457866999786,0.014655500184744596,0.11450370005331933,1531.5289662000723,1531.7459242001642,1532.245754300151,10.031190800014883,1539.6957921001595,0.033885200042277575,1539.6957921001595,0.1313517999369651,3.0,1.7653588999528438,1541.4957187001128,0.003032699925825,0.09725439990870655,1547.5123797000851,1547.6790619001258,6.213942399946973,6.3138747999910265,1567.6790555999614,1567.6790319001302,26.213998700026423,26.31385109992698,1568.6954920999706,1570.679120700108,1570.679120700108,0.014029900077730417,0.11377659998834133,1600.6953825999517,30.03028790000826,,,1548.6956325001083,,,,,,,8768,Gustatory,2025-01-30_15h39.01.277,Gustatory_Condition_v2,2022.2.5,29.96411797108045,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,,,1600.8286367000546,0.03090919996611774,0.14697439991869032,1606.8288635001518,6.013576899887994,,1606.9287867001258,1606.9287867001258,0.030692599713802338,0.130289499880746,space,0.7795342998579144,1607.762100999942,1607.762100999942,4.1400082409381866e-05,0.09810620010830462,num_9,1.5946597000584006,1609.4121380001307,0.002280999906361103,0.09816189995035529,1609.7287185001187,1610.1953416001052,1610.4953147000633,1610.9952410999686,,1611.395384900039,1619.412007200066,1619.412007200066,1619.4120851999614,0.0016411999240517616,0.09831129992380738,1621.4286981001496,1621.6120106000453,1622.1121074999683,10.01453260006383,1629.5285664000548,0.017939899815246463,1629.5285664000548,0.11464119981974363,5.0,0.998062500031665,1630.562370199943,0.0016232999041676521,0.09921179991215467,1636.561941999942,1636.745277500013,6.215659699868411,6.31575380009599,1656.7618790001143,1656.7618718000595,26.232305000070482,26.33231409988366,1657.778558799997,,1659.7784896001685,0.017652800073847175,0.1323260001372546,1689.7951122999657,30.032110899919644,1620.4286637001205,,1637.745196999982,,,,,,,8768,Gustatory,2025-01-30_15h39.01.277,Gustatory_Condition_v2,2022.2.5,29.96411797108045,
