Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,p_port_3.stopped,cross.started,p_port_4.started,p_port_4.stopped,cross.stopped,p_port_5.started,p_port_5.stopped,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Begin_Rinse.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,Rinse_Spit.stopped,p_port_14.stopped,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,p_port_18.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,913.7496032998897,0.031665199901908636,0.13094289996661246,919.7496176999994,6.030896899988875,,919.8496403999161,919.8496403999161,0.03103929990902543,0.13098769984208047,space,1.314920999808237,921.2162672998384,921.2162672998384,4.650000482797623e-05,0.09805950010195374,num_9,3.756475199945271,925.0162493199343,0.002061199862509966,0.09808969986625016,925.3328984999098,925.7995840198594,926.1162298999261,926.5995406198083,926.9162262999453,926.9827920999378,934.9996684999205,934.9996684999205,934.9997754198732,0.014727599918842316,0.11467879987321794,936.0162233998999,937.0163400999736,937.2161948999856,937.7162048998289,10.031241399934515,945.1326884999871,0.016419499879702926,945.1326884999871,0.11455519986338913,3.0,2.432576300110668,947.5998360998929,0.0016667998861521482,0.0993898999877274,953.599516299786,953.7826781197684,6.2155993999913335,6.299060199875385,,973.7826456198702,973.7827649998944,26.215749099850655,26.315675699850544,974.7827034997754,976.7827832999174,0.015774199971929193,0.11577520007267594,1006.7826230998617,30.01561350002885,976.7827832999174,,,,,,,,9966,Gustatory,2025-03-09_13h48.16.423,Gustatory_Condition_v2,2022.2.5,29.968024118996496,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1006.9161270998884,0.015984099823981524,0.11576959979720414,1036.9159530999605,30.015472099883482,,9966,Gustatory,2025-03-09_13h48.16.423,Gustatory_Condition_v2,2022.2.5,29.968024118996496,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,1037.016006299993,0.017431299900636077,0.11553239985369146,1043.032543499954,6.03214729973115,,1043.1325019998476,1043.1325019998476,0.03225809964351356,0.1322476996574551,space,1.4076977001968771,1044.5992133999243,1044.5992133999243,4.359986633062363e-05,0.0980175998993218,num_9,3.316867700079456,1047.965740219853,0.0012819000985473394,0.09848470008000731,1048.2825225999113,1048.749138719798,1049.0490744998679,1049.5658150198171,1049.8824755998794,1049.9323643997777,1057.9324344999623,1057.9657905998174,1057.9657687199535,0.03182070003822446,0.14848170010372996,1058.9658077999484,1059.9824552999344,1060.149153099861,1060.649193199817,10.015237499959767,1068.0823883998673,0.01809609984047711,1068.0823883998673,0.11493019992485642,5.0,3.297977900132537,1071.4161380999722,0.0025856001302599907,0.09786260011605918,1077.4157617997844,1077.599001919781,6.214485300006345,6.31460850010626,1078.6156658998225,1097.6156844198006,1097.615664199926,26.23113920004107,26.33115809992887,1098.6156634998042,1100.6156400998589,0.00025090016424655914,0.0977976000867784,1130.5987241999246,30.014147200156003,1100.6156400998589,30.09759290004149,,,,,,,9966,Gustatory,2025-03-09_13h48.16.423,Gustatory_Condition_v2,2022.2.5,29.968024118996496,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,1130.715564099839,-0.0009071999229490757,0.09769940003752708,1136.7155649999622,6.03104029991664,,1136.849070899887,1136.849070899887,0.031092599965631962,0.13095289980992675,space,2.5069557998795062,1139.415473499801,1139.415473499801,1.2899981811642647e-05,0.09963379986584187,num_9,2.58037619991228,1142.0488856198965,0.0020892999600619078,0.09806569991633296,1142.3655203999951,1142.8321118198103,1143.1321556998882,1143.6321061199299,1143.9321327998769,1144.0321980998851,1152.0321893999353,1152.0321893999353,1152.0319731199882,0.014819500036537647,0.11477790004573762,1153.0320390998386,1154.0154022998177,1154.2152788999956,1154.7154821997974,10.01450220006518,1162.1486535998993,0.00142659991979599,1162.1486535998993,0.09781519998796284,4.0,1.964384000049904,1164.1490143998526,0.0024187001399695873,0.09783999994397163,1170.148616499966,1170.3319900198142,6.231152300024405,6.3311584000475705,1171.3319567998406,1190.3319012198365,1190.3320259999018,26.2144593000412,26.314415900036693,1191.3320055999793,1193.3319979999214,0.014411700190976262,0.11435950011946261,1223.3318949998356,30.014309199992567,1193.3319979999214,,,,,,,10.097958199912682,9966,Gustatory,2025-03-09_13h48.16.423,Gustatory_Condition_v2,2022.2.5,29.968024118996496,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,1223.4652429998387,0.015208000084385276,0.11434850003570318,1229.4483775999397,6.013985600089654,,1229.565375899896,1229.565375899896,0.014390399912372231,0.11421149992384017,space,1.3743420999962837,1230.9986160998233,1230.9986160998233,4.7900015488266945e-05,0.09768270002678037,num_9,2.7736827000044286,1233.8152494199342,0.0024753999896347523,0.09820320014841855,1234.115167299984,1234.5984261198203,1234.9152286997996,1235.3983420198085,1235.7152012998704,1235.8152883998118,,1243.8318403998856,1243.8318463197677,0.017267700051888824,0.11472250008955598,1244.8317885999568,1245.8484737998806,1246.0152701998595,1246.531811799854,10.014638800173998,1253.9150386999827,0.0014619999565184116,1253.9150386999827,0.0978689999319613,2.0,3.4308517000172287,1257.382192199817,0.003742100205272436,0.09775400022044778,1263.3984264999162,1263.5649748199387,6.23076570010744,6.330771000124514,1264.581599299796,1283.5649713197956,1283.565041899914,26.214107500156388,26.31393270008266,1284.565015199827,1286.5650561999064,0.014169800095260143,0.1140842002350837,1316.5815857998095,30.03064680006355,1286.5650561999064,,,,,,,10.09797120001167,9966,Gustatory,2025-03-09_13h48.16.423,Gustatory_Condition_v2,2022.2.5,29.968024118996496,
2,0,2,0,3,0,3,0,,,,,,,,,,,,,1316.714906499954,0.03142910008318722,0.1305776999797672,1322.7148714999203,6.0306488000787795,,1322.7982079999056,1322.7982079999056,0.01394940004684031,0.11388830002397299,space,1.3734012001659721,1324.2315609999932,1324.2315609999932,6.420002318918705e-05,0.09749080007895827,num_9,3.108607599977404,1327.3982211199357,0.0022454001009464264,0.09799830010160804,1327.7148401997983,1328.1982059198665,1328.514874999877,1328.9983844199917,1329.3149211998098,1329.3815604997799,1337.3815405999776,1337.3815405999776,1337.3816230198602,0.014728199923411012,0.11462070001289248,1338.3814683998935,1339.3815134998877,1339.598167499993,1340.0813367997762,10.014517500065267,1347.5313256999943,0.03408859996125102,1347.5313256999943,0.13115160004235804,4.0,1.2981453000102192,1348.8651880999096,0.0026598998811095953,0.09796379995532334,1354.8646268998273,1355.0480047198246,6.21458929986693,6.314570899819955,1356.0645870999433,1375.047907519783,1375.048036399996,26.214558499865234,26.314539299812168,1376.0645898999646,1378.064567499794,0.00024119997397065163,0.09784709988161922,1408.0812347999308,30.014442399842665,1378.064567499794,,,,,,,,9966,Gustatory,2025-03-09_13h48.16.423,Gustatory_Condition_v2,2022.2.5,29.968024118996496,
2,0,2,0,4,0,4,0,,,,,,,,,,,,,1408.1812726999633,0.015174399828538299,0.11438969988375902,1414.1978560998105,6.031189799774438,,1414.298332599923,1414.298332599923,0.03089969977736473,0.13127209967933595,space,1.5379060998093337,1415.8979078999255,1415.8979078999255,4.409998655319214e-05,0.09777519991621375,num_9,2.8658249999862164,1418.7979174199747,0.002761899959295988,0.09800180001184344,1419.1144273998216,1419.5979561199667,1419.9150316999294,1420.381065319921,,1420.7813260999974,1428.781115599908,1428.781115599908,1428.7811638199958,0.014370499877259135,0.09801790001802146,1429.781110999873,1430.781073199818,1430.9978342999239,1431.4978211999405,10.01454190001823,1438.914429999888,0.016787299886345863,1438.914429999888,0.11432409984990954,3.0,1.5320609000045806,1440.4812929998152,0.003077700035646558,0.09785430016927421,1446.4810846999753,1446.6642834198894,6.214335300028324,6.2978050000965595,1447.664388799807,1466.6809850199381,1466.6810370997991,26.23114510020241,26.33109450014308,,1469.6810117999557,1.000240445137024e-06,0.09776280005462468,1499.6809184998274,30.03102880017832,1469.6810117999557,,,,,,,,9966,Gustatory,2025-03-09_13h48.16.423,Gustatory_Condition_v2,2022.2.5,29.968024118996496,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1499.814347999869,0.03129460010677576,0.13097189995460212,1529.814151899889,30.030858000041917,,9966,Gustatory,2025-03-09_13h48.16.423,Gustatory_Condition_v2,2022.2.5,29.968024118996496,
3,0,3,0,0,0,0,0,,,,,,,,,,,,,1529.914097199915,0.03307379991747439,0.1309990999288857,1535.9307739997748,6.014144900022075,,1535.9974227999337,1535.9974227999337,0.014342599781230092,0.11415769974701107,space,1.102819599909708,1537.1640591998585,1537.1640591998585,4.83999028801918e-05,0.0977350000757724,num_9,3.3284472001250833,1540.5308873198694,0.0020595001988112926,0.09759540017694235,1540.8309124999214,1541.3139595197747,1541.6140415999107,1542.1140570199816,1542.4307149997912,1542.514073899947,1550.5307141998783,1550.5307141998783,1550.5306783199078,0.0008216002024710178,0.09760030009783804,,1552.5306840999983,1552.7307079997845,1553.2306836999487,10.01400600001216,1560.630572399823,0.0002562000881880522,1560.630572399823,0.09747479995712638,5.0,1.5319887998048216,1562.1974250997882,0.0015528998337686062,0.09904580004513264,1568.1973908999935,1568.3805652199546,6.215707799885422,6.3157297999132425,1569.3805337999947,1588.3642444197787,1588.3641929998994,26.199329999973997,26.29906479991041,1589.363870000001,1591.3972114999779,-0.0009389999322593212,0.09899959992617369,1621.413784599863,30.015548299998045,1591.3639117998537,,,,,,,10.097404300002381,9966,Gustatory,2025-03-09_13h48.16.423,Gustatory_Condition_v2,2022.2.5,29.968024118996496,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,1621.5137534998357,0.01635239995084703,0.11557819996960461,1627.530395399779,6.0321865999139845,,1627.6304451997858,1627.6304451997858,0.032325799809768796,0.13215789990499616,space,1.3257679999805987,1629.0137622999027,1629.0137622999027,4.300009459257126e-05,0.09799999999813735,num_9,4.342431999975815,1633.4137316198787,0.0023262999020516872,0.0980934000108391,1633.7135976999998,1634.2138457199792,1634.5135360998102,1635.013714119955,1635.3136602998711,1635.3970495997928,1643.3975346998777,1643.3975346998777,1643.3970439198195,0.01521610002964735,0.11469809990376234,1644.413695299998,1645.3969968999736,1645.6136727998964,1646.1136755999178,10.014672700082883,1653.5134682999924,0.0009492000099271536,1653.5134682999924,0.09789539990015328,4.0,1.9314204000402242,1655.4805752998218,0.002845299895852804,0.0976784999947995,1661.4969448999036,1661.6636258197716,6.2143392998259515,6.3142707999795675,1662.6634882998187,1681.6635099199368,1681.6635104999878,26.214272799901664,26.314041999867186,1682.6800951999612,1684.6635293997824,0.014315499924123287,0.1142412000335753,1714.6800338998437,30.03082529990934,1684.6635293997824,,,,,,,10.097867300035432,9966,Gustatory,2025-03-09_13h48.16.423,Gustatory_Condition_v2,2022.2.5,29.968024118996496,
