loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,sync_beep_4.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,p_port_8.stopped,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Instructions_Affinity_Score.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,player_image_offer.stopped,player_name_offer.stopped,p_port_10.stopped,player_image_intro.stopped,player_name_intro.stopped,participant,session,date,expName,psychopyVersion,frameRate,
2,0,2,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.44637010013685,220.44637010013685,0.006959300022572279,0.09934580000117421,3.0,1.7600940000265837,,,,,,,,,,,,6833,Moral,2025-02-11_12h23.56.921,MoralCondition_v2,2022.2.5,30.01717582600342,
2,0,2,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.24634830001742,222.24634830001742,0.006834500003606081,0.09940849989652634,3.0,2.7605514000169933,,,,,,,,,,,,6833,Moral,2025-02-11_12h23.56.921,MoralCondition_v2,2022.2.5,30.01717582600342,
2,0,2,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.0464495997876,225.0464495997876,0.0076315999031066895,0.09788129990920424,4.0,5.358256800100207,,,,,,,,,,,,6833,Moral,2025-02-11_12h23.56.921,MoralCondition_v2,2022.2.5,30.01717582600342,
2,0,2,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.44636960001662,230.44636960001662,0.006531599909067154,0.09856950026005507,5.0,6.99303019978106,,,,,,,,,,,,6833,Moral,2025-02-11_12h23.56.921,MoralCondition_v2,2022.2.5,30.01717582600342,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.4797284998931,237.4797284998931,0.0007298998534679413,0.09943149983882904,2.0,3.699726900085807,,,,,,6833,Moral,2025-02-11_12h23.56.921,MoralCondition_v2,2022.2.5,30.01717582600342,
3,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,241.21309900004417,0.0004822998307645321,0.09736429993063211,247.22963250009343,6.01382019976154,247.4129987997003,247.4129987997003,0.0825762995518744,0.19721589982509613,6.030435499735177,,253.51300900010392,253.51300900010392,253.51300900010392,0.08522639982402325,0.1973201995715499,259.21292439987883,259.4130986998789,6.0306576997973025,6.1304302997887135,265.41300630010664,12.030601899605244,265.5462505999021,265.5462505999021,0.030608099419623613,0.1304468996822834,up,0.24289550026878715,265.8461790997535,5.2199698984622955e-05,0.09788079978898168,271.86313019972295,271.86313019972295,271.86313019972295,0.00900879967957735,0.11462990008294582,3.0,3.5398343000561,,,,,,,265.51289679994807,265.51289679994807,,253.4129444998689,253.4129444998689,6833,Moral,2025-02-11_12h23.56.921,MoralCondition_v2,2022.2.5,30.01717582600342,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275.42966789985076,275.42966789985076,0.007406699936836958,0.09779939986765385,2.0,9.191880999598652,,,,,,,,,,,,6833,Moral,2025-02-11_12h23.56.921,MoralCondition_v2,2022.2.5,30.01717582600342,
3,0,3,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284.66280520008877,284.66280520008877,0.006505999714136124,0.09938399959355593,5.0,2.2937818998470902,,,,,,,,,,,,6833,Moral,2025-02-11_12h23.56.921,MoralCondition_v2,2022.2.5,30.01717582600342,
3,0,3,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286.9962844001129,286.9962844001129,0.0072695002891123295,0.09767920011654496,3.0,2.191717500332743,,,,,,,,,,,,6833,Moral,2025-02-11_12h23.56.921,MoralCondition_v2,2022.2.5,30.01717582600342,
3,0,3,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289.2294271001592,289.2294271001592,0.007433900143951178,0.09809340024366975,2.0,5.0915212999098,,,,,,,,,,,,6833,Moral,2025-02-11_12h23.56.921,MoralCondition_v2,2022.2.5,30.01717582600342,
3,0,3,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294.36283509992063,294.36283509992063,0.006710499990731478,0.09906089957803488,3.0,2.593452800065279,,,,,,,,,,,,6833,Moral,2025-02-11_12h23.56.921,MoralCondition_v2,2022.2.5,30.01717582600342,
3,0,3,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296.9960865001194,296.9960865001194,0.005587100051343441,0.09909539995715022,3.0,2.1946786995977163,,,,,,,,,,,,6833,Moral,2025-02-11_12h23.56.921,MoralCondition_v2,2022.2.5,30.01717582600342,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299.22973839985207,299.22973839985207,0.0007524997927248478,0.099269799888134,6.0,3.1329652001149952,,,,,,6833,Moral,2025-02-11_12h23.56.921,MoralCondition_v2,2022.2.5,30.01717582600342,
4,0,4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,302.39636710006744,0.00013560010120272636,0.09897659998387098,308.3961227997206,6.032360699959099,308.59625269984826,308.59625269984826,0.09057720005512238,0.19905370008200407,6.032270499970764,,314.6961043998599,314.6961043998599,314.6961043998599,0.09173989994451404,0.19923050003126264,320.39629149995744,320.5960701997392,6.032383199781179,6.132282699923962,326.5962843997404,12.032520500011742,326.72937129996717,326.72937129996717,0.03247800003737211,0.13223059987649322,down,0.2587091000750661,327.02936109993607,4.5800115913152695e-05,0.09778989991173148,333.04623859981075,333.04623859981075,333.04623859981075,0.00912300031632185,0.1145359999500215,5.0,4.139650900382549,,,,,,,326.69607800012454,326.69607800012454,,314.5961001999676,314.5961001999676,6833,Moral,2025-02-11_12h23.56.921,MoralCondition_v2,2022.2.5,30.01717582600342,
4,0,4,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337.21272929990664,337.21272929990664,0.007049299776554108,0.09812350012362003,3.0,2.2920238999649882,,,,,,,,,,,,6833,Moral,2025-02-11_12h23.56.921,MoralCondition_v2,2022.2.5,30.01717582600342,
4,0,4,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339.54608049988747,339.54608049988747,0.006801300216466188,0.0993341002613306,5.0,3.1601080000400543,,,,,,,,,,,,6833,Moral,2025-02-11_12h23.56.921,MoralCondition_v2,2022.2.5,30.01717582600342,
4,0,4,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342.76290459977463,342.76290459977463,0.008070200216025114,0.11395840020850301,3.0,2.206853300333023,,,,,,,,,,,,6833,Moral,2025-02-11_12h23.56.921,MoralCondition_v2,2022.2.5,30.01717582600342,
4,0,4,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344.9961764998734,344.9961764998734,0.007493499666452408,0.09814749984070659,5.0,3.291959499940276,,,,,,,,,,,,6833,Moral,2025-02-11_12h23.56.921,MoralCondition_v2,2022.2.5,30.01717582600342,
4,0,4,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,348.3292090999894,348.3292090999894,0.006879399996250868,0.09730369970202446,3.0,8.091325900051743,,,,,,,,,,,,6833,Moral,2025-02-11_12h23.56.921,MoralCondition_v2,2022.2.5,30.01717582600342,
4,0,4,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356.4794943998568,356.4794943998568,0.008048700168728828,0.11430429993197322,5.0,4.1407758998684585,,,,,,,,,,,,6833,Moral,2025-02-11_12h23.56.921,MoralCondition_v2,2022.2.5,30.01717582600342,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360.6460428000428,360.6460428000428,0.0012840996496379375,0.0981778996065259,2.0,8.931657299865037,,,,,,6833,Moral,2025-02-11_12h23.56.921,MoralCondition_v2,2022.2.5,30.01717582600342,
5,0,5,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,369.61287650000304,0.0003026002086699009,0.09803730016574264,375.629246099852,6.01471049990505,375.8790707997978,375.8790707997978,0.15022299997508526,0.2646999000571668,6.031345999799669,,381.91259279986843,381.91259279986843,381.91259279986843,0.08676199987530708,0.19826419977471232,387.6125904000364,387.8125050999224,6.031344200018793,6.131342899985611,393.8124734000303,12.031307199969888,393.94582979986444,393.94582979986444,0.03143899980932474,0.13163939956575632,up,0.1935657998546958,394.17918440001085,4.279986023902893e-05,0.09712560009211302,,400.1962244999595,400.1962244999595,0.024428300093859434,0.11375080002471805,3.0,2.3570516002364457,,,,,,,393.91244659991935,393.91244659991935,,,,6833,Moral,2025-02-11_12h23.56.921,MoralCondition_v2,2022.2.5,30.01717582600342,
5,0,5,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402.61272089974955,402.61272089974955,0.00806119991466403,0.11414629966020584,2.0,4.973675500135869,,,,,,,,,,,,6833,Moral,2025-02-11_12h23.56.921,MoralCondition_v2,2022.2.5,30.01717582600342,
5,0,5,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407.6124581997283,407.6124581997283,0.007237600162625313,0.09731739992275834,5.0,1.9912184998393059,,,,,,,,,,,,6833,Moral,2025-02-11_12h23.56.921,MoralCondition_v2,2022.2.5,30.01717582600342,
5,0,5,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,409.6457988000475,409.6457988000475,0.006784699857234955,0.09937619976699352,3.0,2.6601339001208544,,,,,,,,,,,,6833,Moral,2025-02-11_12h23.56.921,MoralCondition_v2,2022.2.5,30.01717582600342,
5,0,5,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,412.3457303997129,412.3457303997129,0.006377100013196468,0.09928679978474975,3.0,1.4271770999766886,,,,,,,,,,,,6833,Moral,2025-02-11_12h23.56.921,MoralCondition_v2,2022.2.5,30.01717582600342,
5,0,5,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,413.8293588999659,413.8293588999659,0.007747799623757601,0.11426509963348508,3.0,2.407579699996859,,,,,,,,,,,,6833,Moral,2025-02-11_12h23.56.921,MoralCondition_v2,2022.2.5,30.01717582600342,
5,0,5,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,416.26243209978566,416.26243209978566,0.0073242997750639915,0.09786679968237877,3.0,1.9249399998225272,,,,,,,,,,,,6833,Moral,2025-02-11_12h23.56.921,MoralCondition_v2,2022.2.5,30.01717582600342,
