loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_4.started,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Instructions_Affinity_Score.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,player_image_intro.stopped,player_name_intro.stopped,player_image_offer.stopped,player_name_offer.stopped,p_port_6.stopped,p_port_8.stopped,p_port_10.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,19.9148133485578,0.0008783997036516666,0.1095473999157548,20.243406200315803,20.510087930131704,20.82669540029019,21.109965430106968,21.709999930113554,22.043355900328606,0.01108929980546236,0.10963139962404966,37.05993050010875,15.026467199902982,37.14334170008078,0.009704499505460262,0.10972439963370562,37.61001820024103,space,1.5844805999659002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5749,Moral,2025-02-17_16h50.05.021,MoralCondition_v2,2022.2.5,29.925560149262722,
2,0,2,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.54280399996787,220.54280399996787,0.007877199910581112,0.09765810007229447,7.0,3.5576688000001013,,,,,,,,,,,,,,5749,Moral,2025-02-17_16h50.05.021,MoralCondition_v2,2022.2.5,29.925560149262722,
2,0,2,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.1431265003048,224.1431265003048,0.008078800048679113,0.09798129973933101,6.0,3.7572176000103354,,,,,,,,,,,,,,5749,Moral,2025-02-17_16h50.05.021,MoralCondition_v2,2022.2.5,29.925560149262722,
2,0,2,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.94290010025725,227.94290010025725,0.007876100018620491,0.09815850015729666,2.0,3.224601599853486,,,,,,,,,,,,,,5749,Moral,2025-02-17_16h50.05.021,MoralCondition_v2,2022.2.5,29.925560149262722,
2,0,2,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.2095715003088,231.2095715003088,0.006938300095498562,0.09919500024989247,7.0,2.259842799976468,,,,,,,,,,,,,,5749,Moral,2025-02-17_16h50.05.021,MoralCondition_v2,2022.2.5,29.925560149262722,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.50976350018755,233.50976350018755,0.0011765002273023129,0.09842400019988418,2.0,4.931552399881184,,,,,,,,5749,Moral,2025-02-17_16h50.05.021,MoralCondition_v2,2022.2.5,29.925560149262722,
3,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,238.47653939994052,0.00013589998707175255,0.0994730000384152,244.4764764001593,5.999193400144577,244.64292580028996,244.64292580028996,0.06477830000221729,0.16587689984589815,5.9993588998913765,250.74296479998156,250.74296479998156,250.74296479998156,0.06658559991046786,0.1661196001805365,256.44297139998525,256.6428930000402,5.999094000086188,6.099150899797678,262.643730700016,11.999944299925119,262.77655180031434,262.77655180031434,0.00023570004850625992,0.0991173000074923,up,1.6488743997178972,264.45959060033783,4.1099730879068375e-05,0.0976970000192523,270.4596838001162,270.4596838001162,270.4596838001162,0.008839699905365705,0.09753509983420372,3.0,5.923294600099325,,,,,,,250.64315159991384,250.64315159991384,262.743138700258,262.743138700258,6.09904529992491,6.0994120999239385,12.09936759993434,5749,Moral,2025-02-17_16h50.05.021,MoralCondition_v2,2022.2.5,29.925560149262722,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276.426145600155,276.426145600155,0.008381000254303217,0.0975538999773562,5.0,5.3902257001027465,,,,,,,,,,,,,,5749,Moral,2025-02-17_16h50.05.021,MoralCondition_v2,2022.2.5,29.925560149262722,
3,0,3,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281.85946359997615,281.85946359997615,0.007959499955177307,0.09887870028614998,3.0,4.05925659975037,,,,,,,,,,,,,,5749,Moral,2025-02-17_16h50.05.021,MoralCondition_v2,2022.2.5,29.925560149262722,
3,0,3,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285.9762397999875,285.9762397999875,0.008520099800080061,0.11426990013569593,5.0,3.9405537000857294,,,,,,,,,,,,,,5749,Moral,2025-02-17_16h50.05.021,MoralCondition_v2,2022.2.5,29.925560149262722,
3,0,3,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289.94285889994353,289.94285889994353,0.006640600040555,0.09942919993773103,4.0,3.960270300041884,,,,,,,,,,,,,,5749,Moral,2025-02-17_16h50.05.021,MoralCondition_v2,2022.2.5,29.925560149262722,
3,0,3,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293.94295589998364,293.94295589998364,0.006759400013834238,0.09915329981595278,5.0,3.3604100001975894,,,,,,,,,,,,,,5749,Moral,2025-02-17_16h50.05.021,MoralCondition_v2,2022.2.5,29.925560149262722,
3,0,3,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297.34297939995304,297.34297939995304,0.007315000053495169,0.09726319974288344,2.0,2.857492999639362,,,,,,,,,,,,,,5749,Moral,2025-02-17_16h50.05.021,MoralCondition_v2,2022.2.5,29.925560149262722,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.2428236999549,300.2428236999549,0.0007034000009298325,0.0994199002161622,7.0,2.8997207996435463,,,,,,,,5749,Moral,2025-02-17_16h50.05.021,MoralCondition_v2,2022.2.5,29.925560149262722,
4,0,4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,303.17638020031154,0.00032029999420046806,0.09738249983638525,309.1593514000997,6.013981299940497,309.3426057002507,309.3426057002507,0.060055899899452925,0.16424589976668358,6.030683299526572,315.4761767000891,315.4761767000891,315.4761767000891,0.09162759967148304,0.1974012996070087,321.17611860018224,321.3760830000974,6.0306948996149,6.1306752995587885,327.3761620000005,12.030812699813396,327.50945800030604,327.50945800030604,0.030866299755871296,0.13066939963027835,down,1.7162974001839757,329.2761252000928,4.1999854147434235e-05,0.09749049972742796,,335.2926167999394,335.2926167999394,0.02403109986335039,0.11431990005075932,7.0,3.824581999797374,,,,,,,315.3427647999488,315.3427647999488,327.47613350022584,327.47613350022584,6.097414199728519,,,5749,Moral,2025-02-17_16h50.05.021,MoralCondition_v2,2022.2.5,29.925560149262722,
