Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,cross.started,p_port_4.started,p_port_4.stopped,cross.stopped,p_port_5.started,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Begin_Rinse.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,p_port_14.stopped,p_port_5.stopped,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,p_port_18.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,907.5856193999934,0.01447090000147,0.11402940000698436,913.6021720999997,6.0306042000011075,913.6856160999887,913.6856160999887,0.013944999998784624,0.11393619999580551,space,2.754689800000051,916.5023387999972,916.5023387999972,2.989999484270811e-05,0.0982843999954639,num_9,1.6186999999918044,918.1689153500017,0.0025720999983604997,0.0981677999952808,918.4856233000028,918.9520630500017,,919.7520803499908,920.0521949999966,920.1522419999965,928.1521836000029,928.1521836000029,928.1521782499883,0.014733399992110208,0.11481739999726415,929.1521117999946,930.1356231999962,930.3521970000002,930.8521908999974,10.014657199993962,938.2854532999918,0.017240499990293756,938.2854532999918,0.11470529998769052,2.0,4.631984999999986,942.9523126999993,0.0016962999943643808,0.09934650000650436,948.9687801999971,949.1353932499885,6.216016699996544,6.3159967999963555,950.1354845000023,969.1186136500007,969.1186986999965,26.199297099999967,26.299228599993512,970.1353296000016,972.1186339999986,972.1186339999986,-0.0007400000031339005,0.09925480000674725,1002.1185347999999,29.999143499997444,30.08241600000474,,,,,,,,2760,Gustatory,2025-02-25_16h47.18.901,Gustatory_Condition_v2,2022.2.5,30.005250919160257,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002.2353307000012,0.015961800003424287,0.1159983999968972,1032.2517092999915,30.032379900003434,,2760,Gustatory,2025-02-25_16h47.18.901,Gustatory_Condition_v2,2022.2.5,30.005250919160257,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,1032.368388899995,0.01745269999082666,0.11559509999642614,1038.385060399989,6.032250399992336,1038.4850933999987,1038.4850933999987,0.032410899992100894,0.13214649999281392,space,1.923676600010367,1040.4685026999941,1040.4685026999941,3.770001058001071e-05,0.09728620000532828,num_9,2.03596120000293,1042.56828905,0.0013927999971201643,0.09848760000022594,1042.885020799993,1043.3683309500018,1043.685009599998,1044.168323549992,1044.4850676999922,1044.5518450999953,1052.5684403999912,1052.5684403999912,1052.5682331499963,0.001668999990215525,0.09847489999083336,1053.5853422999935,1054.5849896,1054.7516565999977,1055.2516100999928,10.015028699999675,1062.6683353999979,0.0020217999845044687,1062.6683353999979,0.09836959998938255,5.0,1.6641586999903666,1064.3686361,0.002936199991381727,0.09738969999307301,1070.3682291000005,1070.551724149988,6.214185299992096,6.313746299987542,,1090.5512772499903,1090.5513842999935,26.21369209999102,26.29709369999182,,1093.5681257999968,1093.5681257999968,-0.000610999995842576,0.09712869999930263,1123.567865799996,30.01353250000102,30.09690770000452,,,,,,,10.098450099991169,2760,Gustatory,2025-02-25_16h47.18.901,Gustatory_Condition_v2,2022.2.5,30.005250919160257,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,1123.6678714000009,0.030151799990562722,0.11363139998866245,1129.6846398999915,6.013599099998828,1129.784607900001,1129.784607900001,0.013760899979388341,0.11357529998349492,space,3.4075212000025203,1133.2344269999885,1133.2344269999885,6.569999095518142e-05,0.11444269999628887,num_9,2.037648599987733,1135.3345551499922,0.002461700001731515,0.09819140000035986,1135.6514373999962,1136.1345190499967,1136.434555300002,1136.917830749994,1137.2345673999953,1137.3179232999973,1145.3344426999975,1145.3344426999975,1145.334493250001,0.001494199997978285,0.0980176000011852,1146.334503799997,1147.3345245999953,1147.5011665999918,1148.017829599994,10.031319800007623,1155.4676610999886,0.0337427999911597,1155.4676610999886,0.13127630000235513,1.0,1.431743599998299,1156.9348656999937,0.0024839999969117343,0.09777829999802634,1162.9511070000008,1163.1177425499889,6.214310499999556,6.314320300007239,1164.1344443999988,1183.1175804499915,1183.1177471999981,26.214278500003275,26.31417820000206,1184.134361599994,1186.1343774999987,1186.1343774999987,1.9400002202019095e-05,0.09752600001229439,1216.134229999996,30.030776600004174,,,,,,,,,2760,Gustatory,2025-02-25_16h47.18.901,Gustatory_Condition_v2,2022.2.5,30.005250919160257,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,1216.2508881999966,0.01470800000242889,0.11408240000309888,1222.2508837999922,6.014033100000233,1222.3509201999987,1222.3509201999987,0.01415659999474883,0.11403139999310952,space,0.9854412999993656,1223.3842832999944,1223.3842832999944,4.549999721348286e-05,0.09803999999712687,num_9,1.9844445000053383,1225.4343242500006,0.0027486000035423785,0.09771159999945667,1225.7341157999908,1226.2173678499937,1226.5341948999994,1227.0341889499948,1227.3341349999973,1227.4175464,1235.4174506999989,1235.4174506999989,1235.417549549992,0.014397100007045083,0.11429310000676196,1236.4341008999909,1237.4341464999889,1237.6174974000023,1238.1007147999917,10.030947699997341,1245.5673241999903,0.034561199994641356,1245.5673241999903,0.13080709999485407,4.0,1.6638058999960776,1247.2676441999938,0.002709099993808195,0.09764690000156406,1253.2841055999888,1253.4505310499924,6.214114699992933,6.314253999997163,,1273.450472549998,1273.450649499995,26.214214799998445,26.314144200005103,,1276.467260099991,1276.467260099991,-0.00010170000314246863,0.09747570000763517,1306.4671966000024,30.030824800007395,,,,,,,,,2760,Gustatory,2025-02-25_16h47.18.901,Gustatory_Condition_v2,2022.2.5,30.005250919160257,
2,0,2,0,3,0,3,0,,,,,,,,,,,,,1306.6004931999923,0.031254399989848025,0.1308156000013696,1312.6003167000017,6.030656799994176,1312.6837578999985,1312.6837578999985,0.013869699992937967,0.11414719998720102,space,2.2527652999851853,1315.0004306999908,1315.0004306999908,4.600000102072954e-05,0.09788300000946037,num_9,1.5677155000012135,1316.6170853499905,0.0023046999995131046,0.09797420000541024,1316.933772999997,1317.400325249994,1317.7002913999895,1318.2002880499901,,1318.6004160000011,1326.617212199999,1326.617212199999,1326.6170760499924,0.0012030000070808455,0.0979459000081988,1327.6337378000026,1328.6337076999916,1328.8004501999967,1329.3005336999922,10.014501800003927,1336.733606099995,0.017062600003555417,1336.733606099995,0.11448530000052415,1.0,2.1318186999997124,1338.9006489000021,0.0025859999877866358,0.09805599998799153,1344.9169343999965,1345.0835136499925,6.214683300000615,6.314523399996688,1346.1002351999923,1365.1001905499986,1365.100258099992,26.231219099994632,26.33112849999452,1366.1001114999963,,1368.1168659999967,0.01618189999135211,0.11443439999129623,1398.1333650000015,30.031003399999463,,,,,,,,,2760,Gustatory,2025-02-25_16h47.18.901,Gustatory_Condition_v2,2022.2.5,30.005250919160257,
2,0,2,0,4,0,4,0,,,,,,,,,,,,,1398.2333845999965,0.03172299999278039,0.13096029999724124,1404.2333742999908,6.030937899995479,1404.3333349999884,1404.3333349999884,0.031173299983493052,0.13090599999122787,space,1.2908763000014005,1405.6666960000002,1405.6666960000002,3.979999746661633e-05,0.098565399996005,num_9,2.5174272999865934,1408.233320949989,0.002284500005771406,0.09811300000001211,1408.5332849999977,1409.0166171499993,1409.3332526000013,1409.8334578499896,1410.1333295999939,1410.2333191999933,,1418.2500061000028,1418.2499240500008,0.017348400011542253,0.11473290000867564,1419.266647299999,1420.2666457000014,1420.416612000001,1420.9166065000027,10.031374400001368,1428.3664876999974,0.03420169999299105,1428.3664876999974,0.131319899999653,5.0,2.398030199998175,1430.8001127999887,0.00293430000601802,0.09824120000121184,1436.8168611,1436.9833123499964,6.21477030000824,6.314841200000956,1437.9832270999905,1456.983038349991,1456.983203099997,26.214781900009257,26.314869499998167,,1459.9998804999923,1459.9998804999923,0.00041700000292621553,0.09795440001471434,1490.016288400002,30.01461910000944,,,,,,,,,2760,Gustatory,2025-02-25_16h47.18.901,Gustatory_Condition_v2,2022.2.5,30.005250919160257,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1490.1329549999937,0.03141209999739658,0.13137070000811946,1520.1326533999963,30.03100309999718,,2760,Gustatory,2025-02-25_16h47.18.901,Gustatory_Condition_v2,2022.2.5,30.005250919160257,
3,0,3,0,0,0,0,0,,,,,,,,,,,,,1520.2161766999925,0.015990499989129603,0.11436659999890253,1526.2158944999974,6.030942099998356,1526.316182399998,1526.316182399998,0.014325499985716306,0.11431969999102876,space,3.0524116000015056,1529.4161296999955,1529.4161296999955,4.5199994929134846e-05,0.0976511000044411,num_9,1.8878915999957826,1531.349410749998,0.0018632999999681488,0.09788059999118559,1531.6660872999928,1532.1326435499911,1532.4327435000014,1532.9326824499992,1533.232747999995,1533.3328067999973,1541.3494181999995,1541.3494181999995,1541.3493565499928,0.0010122999956365675,0.09791489999042824,1542.3660518999968,1543.3660241999896,1543.5493916999985,1544.0493818999967,10.031123099994147,1551.4658870999992,0.016278499984764494,1551.4658870999992,0.11447889998089522,2.0,2.4991501000040444,1553.9996663999918,0.002334399992832914,0.09786909999093041,1559.9992885999964,1560.199226649999,6.231079299992416,6.331038299991633,1561.2159517999971,1580.182465949995,1580.1825515999953,26.214426899998216,26.31428710000182,,1583.19919259999,1583.19919259999,0.00016090000281110406,0.09761430000071414,1613.2157314999931,30.014129000002868,,,,,,,,,2760,Gustatory,2025-02-25_16h47.18.901,Gustatory_Condition_v2,2022.2.5,30.005250919160257,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,1613.315735600001,0.01489239999500569,0.11416909999388736,1619.3324884999893,6.030791899989708,1619.4157164999924,1619.4157164999924,0.014199199984432198,0.11421529998187907,space,0.8962955000024522,1620.349005600001,1620.349005600001,4.2799991206265986e-05,0.09748810000019148,num_9,2.0430439000047045,1622.4489615499886,0.002653699993970804,0.0981519000051776,1622.7660299999989,1623.23214515,1623.532289499999,1624.0322523499897,1624.3322938999918,1624.4323316999944,1632.4322967999906,1632.4322967999906,1632.4322008499992,0.014668200004962273,0.11457849999715108,1633.4322556999978,1634.4322924000007,1634.6322457999922,1635.1489653000026,10.031209099994157,1642.5821041000017,0.033801099998527206,1642.5821041000017,0.13140679999196436,5.0,4.431511800008593,1647.048888099991,0.0031707000016467646,0.09755099999892991,1653.0654964999994,1653.2321265499893,6.214170000006561,6.314158900000621,1654.232140299995,1673.2319108499912,1673.2320735999965,26.214144500001566,26.314117600006284,1674.2319921000017,1676.2320772999956,1676.2320772999956,0.014146600005915388,0.11412680000648834,1706.2319163999928,30.013962099998025,,,,,,,,,2760,Gustatory,2025-02-25_16h47.18.901,Gustatory_Condition_v2,2022.2.5,30.005250919160257,
