loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,textbox.started,p_port_2.started,p_port_2.stopped,textbox.stopped,p_port_3.started,p_port_3.stopped,instructions.started,key_resp.started,p_port_4.started,p_port_4.stopped,key_resp.keys,key_resp.rt,cross.started,p_port_6.started,p_port_6.stopped,cross.stopped,p_port_7.started,disgust_image.started,p_port_8.started,p_port_8.stopped,disgust_image.stopped,p_port_9.started,disgust_score.started,p_port_10.started,p_port_10.stopped,disgust_score.response,disgust_score.rt,p_port_7.stopped,p_port_9.stopped,participant,session,date,expName,psychopyVersion,frameRate,
9,0,9,0,,,,,,,,,,,,,,,,,,,163.15473980084062,0.00023449957370758057,0.09912469983100891,169.17135620117188,6.01574369892478,169.28809050098062,0.0303133986890316,0.13260059989988804,175.2879838012159,5.999081099405885,175.354754101485,0.0021656006574630737,0.09924180060625076,0.0,1.0657289996743202,,6.099063700065017,8827,Visual,2024-07-09_11h34.48.845,Visual_Condition_v2,2022.2.5,30.01399553135653,
10,0,10,0,,,,,,,,,,,,,,,,,,,176.45491440035403,0.0005462989211082458,0.09718219935894012,182.47130650095642,6.013673398643732,182.57123510167003,0.02371850050985813,0.11392910033464432,188.57129360176623,6.013652998954058,188.6711172014475,0.015615299344062805,0.11368750035762787,2.0,1.4326817002147436,,,8827,Visual,2024-07-09_11h34.48.845,Visual_Condition_v2,2022.2.5,30.01399553135653,
11,0,11,0,,,,,,,,,,,,,,,,,,,190.1382553000003,0.0004738997668027878,0.09728239849209785,196.13797530159354,6.030628798529506,196.2714378014207,0.02818330004811287,0.13078329898416996,202.27123360149562,6.03069369867444,202.35448090173304,0.015078999102115631,0.11386490054428577,0.0,1.4996991995722055,,,8827,Visual,2024-07-09_11h34.48.845,Visual_Condition_v2,2022.2.5,30.01399553135653,
12,0,12,0,,,,,,,,,,,,,,,,,,,203.88825420103967,0.0005504991859197617,0.09730949997901917,209.9045341014862,6.013915199786425,210.02124419994652,0.03375039994716644,0.13094709999859333,216.0212143007666,6.030579600483179,216.10447100177407,0.01554970070719719,0.11408950015902519,0.0,1.1993575002998114,,,8827,Visual,2024-07-09_11h34.48.845,Visual_Condition_v2,2022.2.5,30.01399553135653,
13,0,13,0,,,,,,,,,,,,,,,,,,,217.3378926012665,0.0008251015096902847,0.09687920100986958,223.32104010134935,6.013363599777222,223.4544345010072,0.011975301429629326,0.11347820051014423,229.4547692015767,6.013640301302075,229.55458020046353,0.015993501991033554,0.113543301820755,0.0,1.4317787997424603,6.096744701266289,,8827,Visual,2024-07-09_11h34.48.845,Visual_Condition_v2,2022.2.5,30.01399553135653,
14,0,14,0,,,,,,,,,,,,,,,,,,,231.0212176013738,0.0006216000765562057,0.09692119993269444,237.02115990035236,6.030263198539615,237.53799060173333,0.25820760056376457,0.513638200238347,,6.013446599245071,243.23772530071437,0.015934299677610397,0.11359469965100288,0.0,1.465335600078106,,,8827,Visual,2024-07-09_11h34.48.845,Visual_Condition_v2,2022.2.5,30.01399553135653,
15,0,15,0,,,,,,,,,,,,,,,,,,,244.738081401214,0.00046259909868240356,0.09744169935584068,250.7209823001176,6.013777999207377,250.85444410145283,0.018495799973607063,0.11404640041291714,256.85453230142593,6.013977600261569,256.9542803000659,0.01650340110063553,0.11413490027189255,2.0,1.3650234006345272,6.097189700230956,,8827,Visual,2024-07-09_11h34.48.845,Visual_Condition_v2,2022.2.5,30.01399553135653,
16,0,16,0,,,,,,,,,,,,,,,,,,,258.35463980026543,0.000567099079489708,0.09718579985201359,264.37101190164685,6.013845099136233,264.5042960010469,0.04408140107989311,0.1470171995460987,270.5043804012239,6.013632800430059,270.5710207000375,0.01638840138912201,0.11366080120205879,1.0,1.2651940006762743,,,8827,Visual,2024-07-09_11h34.48.845,Visual_Condition_v2,2022.2.5,30.01399553135653,
17,0,17,0,,,,,,,,,,,,,,,,,,,271.8711509015411,0.00016769953072071075,0.09935300052165985,277.8877083007246,6.015894800424576,278.0043528005481,0.028932400047779083,0.1327024009078741,283.98749570176005,5.9992315992712975,284.0708631016314,0.0008496008813381195,0.0991390012204647,2.0,0.7992221005260944,,6.099073899909854,8827,Visual,2024-07-09_11h34.48.845,Visual_Condition_v2,2022.2.5,30.01399553135653,
18,0,18,0,,,,,,,,,,,,,,,,,,,284.9046344012022,0.0005286987870931625,0.09747969917953014,290.9043924007565,6.030704399570823,291.05426720157266,0.046840500086545944,0.14756339974701405,297.0542316008359,6.013870999217033,297.12099100090563,0.014483099803328514,0.11381820030510426,0.0,2.3339702002704144,,,8827,Visual,2024-07-09_11h34.48.845,Visual_Condition_v2,2022.2.5,30.01399553135653,
