Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,cross.started,p_port_4.started,p_port_4.stopped,p_port_5.started,cross.stopped,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Begin_Rinse.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,p_port_5.stopped,p_port_18.stopped,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,participant,session,date,expName,psychopyVersion,frameRate,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,941.1145495008677,0.03206090070307255,0.1313710007816553,6.014682501554489,947.1312204003334,947.1978804003447,947.1978804003447,0.014826301485300064,0.11462630145251751,space,2.2813399992883205,949.5146705005318,949.5146705005318,4.1000545024871826e-05,0.09765890054404736,num_9,2.604152999818325,952.1645256714895,0.001786399632692337,0.09797919914126396,952.4644568003714,952.9646536713466,953.264487599954,953.7478258708492,954.0646526999772,954.1645277999341,962.1645109001547,962.1645109001547,962.1645026696846,0.0013100989162921906,0.09796899929642677,963.164451001212,964.1649063006043,964.3646366000175,964.8644581995904,10.031344000250101,972.2810817006975,0.01658730022609234,972.2810817006975,0.11480529978871346,3.0,4.1990101002156734,976.5146923996508,0.0027784015983343124,0.09792990051209927,982.5311136003584,982.6977321697399,6.2145496010780334,6.314544301480055,983.714585499838,1002.6975281709805,1002.6807810012251,26.21430809982121,26.314460299909115,1003.7142706010491,1005.6810670997947,1005.7143258005381,0.031197302043437958,0.13129420205950737,1035.730813300237,30.01444850116968,,,,,,,,5010,Gustatory,2024-07-08_18h46.22.834,Gustatory_Condition_v2,2022.2.5,29.962385263002933,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1035.8308619000018,0.014594802632927895,0.11434260196983814,1065.8473912011832,30.030882101505995,5010,Gustatory,2024-07-08_18h46.22.834,Gustatory_Condition_v2,2022.2.5,29.962385263002933,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,1065.947453700006,0.03272370249032974,0.1308881025761366,6.014189401641488,1071.964331600815,1072.030992001295,1072.030992001295,0.01456570252776146,0.11418680287897587,space,2.2318337000906467,1074.3142541013658,1074.3142541013658,3.0100345611572266e-05,0.09804730117321014,num_9,2.5807601995766163,1076.9474564703182,0.002031199634075165,0.0976962000131607,1077.2640231996775,1077.7306093709544,1078.047314800322,1078.5473125712947,1078.8639941010624,1078.9307116996497,1086.9307691007853,1086.9307691007853,1086.9307698706166,0.014522301033139229,0.11430750042200089,,1088.9305381011218,1089.1306206006557,1089.6473319008946,10.030984299257398,1097.0807427000254,0.0339829009026289,1097.0807427000254,0.13079490140080452,5.0,1.3978671003133059,1098.5142979007214,0.002552499994635582,0.09755790047347546,1104.53057599999,1104.6971157701687,6.2141674011945724,6.314164100214839,1105.7140021007508,1124.6970356708393,1124.6971592009068,26.214129701256752,26.31428200006485,1125.7139746006578,1127.697137201205,1127.697137201205,0.014131700620055199,0.11416870169341564,1157.7137454003096,30.030653400346637,,,,,,,,5010,Gustatory,2024-07-08_18h46.22.834,Gustatory_Condition_v2,2022.2.5,29.962385263002933,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,1157.8304340001196,0.014885202050209045,0.11414790153503418,6.014017902314663,1163.8303765002638,1163.913481200114,1163.913481200114,0.013802900910377502,0.09737100265920162,space,1.8928445000201464,1165.8469767011702,1165.8469767011702,3.819912672042847e-05,0.09766059927642345,num_9,2.67956979945302,1168.5802879711614,0.0023245010524988174,0.09811449982225895,1168.8802132997662,1169.3636357696728,,1170.1802790710703,1170.4804337006062,1170.580342600122,,1178.596898401156,1178.5969055710361,0.01766590029001236,0.11478419974446297,1179.613757301122,1180.6137393005192,1180.7802786007524,1181.2802623007447,10.031635999679565,1188.6967300008982,0.016661200672388077,1188.6967300008982,0.11461790092289448,3.0,2.132209399715066,1190.8637247998267,0.0031011998653411865,0.09755769930779934,1196.880179900676,1197.0635174704717,6.230968398973346,6.330820299685001,1198.080044100061,1217.0635168707,1217.0634870007634,26.230869999155402,26.33093679882586,1218.0633598007262,,1220.080127099529,0.015804201364517212,0.11415630020201206,1250.0799212995917,30.0139969997108,,,,,,,,5010,Gustatory,2024-07-08_18h46.22.834,Gustatory_Condition_v2,2022.2.5,29.962385263002933,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,1250.1799536999315,0.014759400859475136,0.11397150158882141,6.013659501448274,1256.1631013005972,1256.2633260004222,1256.2633260004222,0.03129970096051693,0.1307127010077238,space,3.2312953006476164,1259.546597801149,1259.546597801149,4.1699036955833435e-05,0.09799389913678169,num_9,2.2603720985352993,1261.8465799713508,0.0020979996770620346,0.0976497009396553,1262.1465359013528,1262.6297490714119,1262.94649139978,1263.4466347699986,1263.7466605007648,1263.8465929012746,,1271.8631718996912,1271.8632022706793,0.01691170036792755,0.11438339948654175,1272.8631568010896,1273.8798294011503,1274.0465270001441,1274.5465038008988,10.030889799818397,1281.9630264006555,0.016461500898003578,1281.9630264006555,0.1141085997223854,5.0,3.032362699508667,1285.0300901010633,0.0015956014394760132,0.09906950034201145,1291.029772900045,1291.2297467706726,6.199023701250553,6.299115400761366,1292.2463259007782,1311.2128942707554,1311.2130124997348,26.215661101043224,26.315467201173306,1312.2129875011742,1314.212990000844,1314.212990000844,0.01566140167415142,0.11561520211398602,1344.2295229006559,30.032165501266718,6.097077300772071,,,,,,,5010,Gustatory,2024-07-08_18h46.22.834,Gustatory_Condition_v2,2022.2.5,29.962385263002933,
2,0,2,0,3,0,3,0,,,,,,,,,,,,,1344.3628920000046,0.032876601442694664,0.13211770169436932,6.032134402543306,1350.362832300365,1350.462986299768,1350.462986299768,0.032291002571582794,0.13222640193998814,space,2.2242646999657154,1352.7295105997473,1352.7295105997473,5.0298869609832764e-05,0.09809719957411289,num_9,2.3175390996038914,1355.1128193704412,0.002448899671435356,0.09809140115976334,1355.4128259997815,1355.8961330713705,1356.1962330006063,1356.6960277711974,1356.9961255006492,1357.0962832011282,1365.0963404010981,1365.0963404010981,1365.096332470514,0.014919299632310867,0.11450830101966858,1366.1127084996551,1367.0961458012462,1367.31278450042,1367.8126935996115,10.014573199674487,1375.2292526997626,0.01756810024380684,1375.2292526997626,0.1144666001200676,4.0,2.331396099179983,1377.5964980013669,0.0024372991174459457,0.09774259850382805,1383.5959523003548,1383.7792520714925,6.230824999511242,6.331140298396349,1384.795876501128,1403.7792584696786,1403.7792800012976,26.214217899367213,26.31421189941466,1404.796061500907,1406.7960037011653,1406.7960037011653,0.0001458004117012024,0.0974844004958868,1436.7958567012101,30.030793899670243,,,,,,,,5010,Gustatory,2024-07-08_18h46.22.834,Gustatory_Condition_v2,2022.2.5,29.962385263002933,
2,0,2,0,4,0,4,0,,,,,,,,,,,,,1436.929166899994,0.03143000043928623,0.13074789941310883,6.030662100762129,1442.929099900648,1443.0290897004306,1443.0290897004306,0.030813300982117653,0.1307097002863884,space,1.6893013007938862,1444.7624353002757,1444.7624353002757,4.419870674610138e-05,0.09765779972076416,num_9,2.652647500857711,1447.4625563701616,0.0022319983690977097,0.09788819961249828,1447.7623415011913,1448.2625275706873,1448.5624247007072,1449.0456576706842,1449.3457079995424,1449.4458668995649,1457.445786099881,1457.445786099881,1457.4458382712678,0.014657098799943924,0.11464249901473522,1458.4456648007035,1459.4623744003475,1459.6623970996588,1460.1623657997698,10.031213998794556,1467.5954804997891,0.03414740040898323,1467.5954804997891,0.13113529980182648,2.0,2.7313243001699448,1470.3626067005098,0.001680200919508934,0.09939249977469444,1476.3625172004104,1476.5289625698701,6.199202001094818,6.299123100936413,1477.5455991011113,1496.5455025700853,1496.5455395001918,26.215763799846172,26.31571500003338,1497.5454949010164,1499.5621741004288,1499.5621741004288,0.001603100448846817,0.0990879014134407,1529.5787150003016,30.01561950147152,,,,,,,,5010,Gustatory,2024-07-08_18h46.22.834,Gustatory_Condition_v2,2022.2.5,29.962385263002933,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1529.6787163000554,0.015934402123093605,0.11572240106761456,1559.678598601371,30.015429001301527,5010,Gustatory,2024-07-08_18h46.22.834,Gustatory_Condition_v2,2022.2.5,29.962385263002933,
3,0,3,0,0,0,0,0,,,,,,,,,,,,,1559.778794400394,0.017749400809407234,0.11547110229730606,6.032184801995754,1565.7952573001385,1565.8951571006328,1565.8951571006328,0.03215530142188072,0.13206130266189575,space,1.671476598829031,1567.6119200997055,1567.6119200997055,4.3099746108055115e-05,0.09800860099494457,num_9,2.962593499571085,1570.628564769961,0.00206180103123188,0.09758610092103481,1570.9450611006469,1571.4285418713466,1571.7451856005937,1572.211752070673,1572.5118596013635,1572.6118710003793,1580.6119977999479,1580.6119977999479,1580.6118432698772,0.01446320116519928,0.11424130015075207,,1582.6285344008356,1582.828498199582,1583.3284812998027,10.030907399952412,1590.7617151997983,0.03369390033185482,1590.7617151997983,0.13109170086681843,5.0,1.9981104005128145,1592.795312801376,0.001586800441145897,0.0994063001126051,1598.8117391001433,1598.9784216700123,6.215907499194145,6.315878899767995,1599.9950975012034,1618.9785139696673,1618.9783642012626,26.21586149930954,26.315864900127053,1619.994975199923,1621.978361999616,1621.978361999616,0.01588449999690056,0.11581850051879883,1651.9948262013495,30.032342601567507,,,,,,,,5010,Gustatory,2024-07-08_18h46.22.834,Gustatory_Condition_v2,2022.2.5,29.962385263002933,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,1652.1282126009464,0.03311050124466419,0.13233130052685738,6.0157042015343904,1658.1448193006217,1658.2114819008857,1658.2114819008857,0.015729401260614395,0.11559180170297623,space,1.5873151998966932,1659.844859400764,1659.844859400764,5.939975380897522e-05,0.098064498975873,num_9,2.4503373987972736,1662.328167470731,0.0019672010093927383,0.09745159931480885,1662.6448164004833,1663.1281121714042,1663.4448183998466,1663.9113247698174,,1664.3114785011858,1672.311482699588,1672.311482699588,1672.3114233711735,0.014192800968885422,0.11405809968709946,1673.3113375008106,1674.3114516008645,1674.5114214010537,1675.0114377010614,10.014020599424839,1682.4446888007224,0.017055600881576538,1682.4446888007224,0.11390000022947788,5.0,2.0646868012845516,1684.5450807008892,0.0024641994386911392,0.0983486995100975,1690.5613034013659,1690.7279985701666,6.21481609903276,6.31487549841404,1691.7446640003473,1710.7445993708448,1710.7446158006787,26.231474498286843,26.331432098522782,1711.7611526008695,,1713.7612605001777,0.016589799895882607,0.11474890075623989,1743.7610740996897,30.014618599787354,,,,,,,,5010,Gustatory,2024-07-08_18h46.22.834,Gustatory_Condition_v2,2022.2.5,29.962385263002933,
3,0,3,0,2,0,2,0,,,,,,,,,,,,,1743.861221600324,0.015331801027059555,0.11465620063245296,6.014599900692701,1749.8610967006534,1749.9610584005713,1749.9610584005713,0.014625800773501396,0.11458669975399971,space,1.9342324994504452,1751.9610716998577,1751.9610716998577,2.4400651454925537e-05,0.0990654993802309,num_9,2.4462317004799843,1754.461203670688,0.0019006002694368362,0.11471370048820972,,1755.2442967711017,1755.5443725008518,1756.0443714713679,1756.3443536013365,1756.4612849000841,1764.4610027000308,1764.4610027000308,1764.4609001712874,6.289966404438019e-05,0.09791000001132488,1765.460958501324,1766.4611782003194,1766.644333800301,1767.1610468998551,10.031054699793458,1774.577620299533,0.016651401296257973,1774.577620299533,0.11475150100886822,2.0,2.332260798662901,1776.9445447009057,0.002615800127387047,0.09794470109045506,1782.9274350013584,1783.127621969767,6.214464999735355,6.31444470025599,1784.144223799929,1803.1441860707478,1803.1442013997585,26.23108470067382,26.33105380088091,1804.1441715005785,1806.1441543996334,1806.1441543996334,0.00012380070984363556,0.09768650121986866,1836.160693001002,30.014223501086235,,,,,,,,5010,Gustatory,2024-07-08_18h46.22.834,Gustatory_Condition_v2,2022.2.5,29.962385263002933,
3,0,3,0,3,0,3,0,,,,,,,,,,,,,1836.2606997005641,0.01492360234260559,0.11420970223844051,6.0309054013341665,1842.2774666007608,1842.3773340005428,1842.3773340005428,0.030956801027059555,0.13083970174193382,space,2.0939498990774155,1844.5273413006216,1844.5273413006216,4.3200328946113586e-05,0.09840380027890205,num_9,3.023176498711109,1847.6106816703455,0.002595599740743637,0.09823610074818134,1847.91064620018,1848.3939314713703,1848.6939694005996,1849.1939947703854,1849.4938786998391,1849.5940269008279,1857.6106115002185,1857.6106115002185,1857.610605870001,0.0014963001012802124,0.09802460111677647,1858.6104841995984,1859.6272464003414,1859.7939483001828,1860.2939272001386,10.014604801312089,1867.7104021012783,0.0009567011147737503,1867.7104021012783,0.09784200042486191,4.0,2.4313144013285637,1870.1776042003185,0.00157259963452816,0.09913039952516556,1876.1772068012506,1876.3603882702068,6.23244160041213,6.332364700734615,1877.3604875002056,1896.377081171237,1896.3772321008146,26.232489900663495,26.3323480989784,1897.3939274009317,1899.37705880031,1899.37705880031,0.0013727005571126938,0.1156224999576807,1929.393640499562,30.01567410118878,,10.098043400794268,,,,,,5010,Gustatory,2024-07-08_18h46.22.834,Gustatory_Condition_v2,2022.2.5,29.962385263002933,
