loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,sync_beep_4.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,player_image_offer.stopped,player_name_offer.stopped,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Instructions_Affinity_Score.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,player_image_intro.stopped,player_name_intro.stopped,p_port_6.stopped,participant,session,date,expName,psychopyVersion,frameRate,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275.2107254001312,275.2107254001312,0.009349000174552202,0.11367790028452873,1.0,1.4721652995795012,,,,,,,,,,8770,Moral,2024-10-03_17h10.18.848,MoralCondition_v2,2022.2.5,30.022285527001944,
3,0,3,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276.71038890024647,276.71038890024647,0.007508799899369478,0.09814690006896853,6.0,1.8582263002172112,,,,,,,,,,8770,Moral,2024-10-03_17h10.18.848,MoralCondition_v2,2022.2.5,30.022285527001944,
3,0,3,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278.6105347000994,278.6105347000994,0.007094999775290489,0.09752939967438579,5.0,3.691791099961847,,,,,,,,,,8770,Moral,2024-10-03_17h10.18.848,MoralCondition_v2,2022.2.5,30.022285527001944,
3,0,3,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282.34366729995236,282.34366729995236,0.008192600216716528,0.09722460014745593,1.0,1.5903536998666823,,,,,,,,,,8770,Moral,2024-10-03_17h10.18.848,MoralCondition_v2,2022.2.5,30.022285527001944,
3,0,3,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283.9771525999531,283.9771525999531,0.006999599747359753,0.09802819974720478,1.0,0.9254234000109136,,,,,,,,,,8770,Moral,2024-10-03_17h10.18.848,MoralCondition_v2,2022.2.5,30.022285527001944,
3,0,3,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284.94392490014434,284.94392490014434,0.0077713001519441605,0.09767619986087084,6.0,1.7575591998174787,,,,,,,,,,8770,Moral,2024-10-03_17h10.18.848,MoralCondition_v2,2022.2.5,30.022285527001944,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286.74385150009766,286.74385150009766,0.0012721996754407883,0.09806189965456724,2.0,2.1979522998444736,,,,8770,Moral,2024-10-03_17h10.18.848,MoralCondition_v2,2022.2.5,30.022285527001944,
4,0,4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,288.97706260019913,0.00030060019344091415,0.09746420010924339,294.9937187000178,6.014118799939752,295.16015380015597,295.16015380015597,0.07487839972600341,0.1807821998372674,6.014111099764705,301.2602634001523,301.2602634001523,301.2602634001523,0.0733598000369966,0.18097199965268373,306.96046700002626,307.1604264001362,6.01421959977597,6.11432239972055,313.1603486998938,12.014103799592704,313.26036710012704,313.26036710012704,313.29370439983904,313.29370439983904,0.014304999727755785,0.11406209971755743,down,0.6718198000453413,314.0270402999595,4.00003045797348e-05,0.09801790025085211,,320.060629399959,320.060629399959,0.025519500020891428,0.13120010029524565,1.0,6.606703999917954,,,,,,,301.1604292001575,301.1604292001575,,8770,Moral,2024-10-03_17h10.18.848,MoralCondition_v2,2022.2.5,30.022285527001944,
4,0,4,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326.6935984999873,326.6935984999873,0.007707700133323669,0.09829450026154518,1.0,6.357968300115317,,,,,,,,,,8770,Moral,2024-10-03_17h10.18.848,MoralCondition_v2,2022.2.5,30.022285527001944,
4,0,4,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.0936818001792,333.0936818001792,0.0069262003526091576,0.09711620025336742,1.0,0.8250893000513315,,,,,,,,,,8770,Moral,2024-10-03_17h10.18.848,MoralCondition_v2,2022.2.5,30.022285527001944,
