Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,cross.started,p_port_4.started,p_port_4.stopped,cross.stopped,p_port_5.started,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Begin_Rinse.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,p_port_14.stopped,spit_sound.stopped,p_port_5.stopped,p_port_18.stopped,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,participant,session,date,expName,psychopyVersion,frameRate,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,,934.0444208001718,0.0151312998495996,0.11441729962825775,940.0443839002401,6.014560999814421,940.1444016001187,940.1444016001187,0.014470599591732025,0.1145141995511949,space,2.7584574995562434,942.9611607999541,942.9611607999541,4.460010677576065e-05,0.09783760039135814,num_9,1.846106699667871,944.8610553600826,0.002230399753898382,0.0976545000448823,945.177750099916,945.6610010600649,945.9776730998419,946.4443161598407,946.7611096999608,946.8444364001043,954.8609821000136,954.8609821000136,954.8610008600168,0.0009506996721029282,0.09761269995942712,956.8610320999287,957.0444057001732,957.5442516002804,10.030801699962467,964.9942502002232,0.03372189961373806,964.9942502002232,0.13058070000261068,2.0,3.2312249997630715,968.2612506002188,0.0027334997430443764,0.09811289981007576,974.2608842002228,974.4609072598629,6.2313475999981165,6.33135150000453,975.4609858002514,994.444545760192,994.4442048002966,26.214590899646282,26.314537999685854,995.460857800208,997.4441241999157,997.4441241999157,0.014459299854934216,0.11453079991042614,1027.4607492000796,30.03122889949009,,955.8775202999823,,,,,,,,4953,Gustatory,2024-08-21_11h39.55.262,Gustatory_Condition_v2,2022.2.5,30.000120015363695,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1027.594106500037,0.0315931998193264,0.1311577996239066,1057.6106306002475,30.014369399752468,4953,Gustatory,2024-08-21_11h39.55.262,Gustatory_Condition_v2,2022.2.5,30.000120015363695,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,,1057.6773053002544,0.016418399289250374,0.11435069935396314,1063.6939747999422,6.03095889929682,1063.7939897999167,1063.7939897999167,0.031073399353772402,0.13095049932599068,space,2.604865400120616,1066.4606325002387,1066.4606325002387,4.040030762553215e-05,0.09798619989305735,num_9,1.9622288001701236,1068.4604506598785,0.001379199791699648,0.09870649967342615,1068.777262300253,1069.2605523601173,1069.577279199846,1070.043892260082,1070.3437295001931,1070.4271205998957,1078.4281301000156,1078.460549700074,1078.4614267599768,-0.0004910002462565899,0.09845210006460547,1080.4605085998774,1080.643871600274,1081.1441636001691,10.015382899902761,1088.5608792002313,0.0021437997929751873,1088.5608792002313,0.09873249987140298,5.0,2.930923300329596,1091.5271813999861,0.0019810996018350124,0.09721119981259108,1097.5271868999116,1097.7269901599734,6.213537899777293,6.297037699725479,1098.7270754002966,1117.7102790599688,1117.710415400099,26.213701699860394,26.31366809969768,1118.7270455001853,1120.710437099915,1120.710437099915,0.013721899595111609,0.11375129967927933,1150.7269795001484,30.030241599772125,,1079.460502800066,,10.098667500074953,,,,,,4953,Gustatory,2024-08-21_11h39.55.262,Gustatory_Condition_v2,2022.2.5,30.000120015363695,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,,1150.8603155999444,0.030953199602663517,0.13025989942252636,1156.8772034002468,6.013566299341619,1156.9436520002782,1156.9436520002782,0.013740499503910542,0.11348169948905706,space,2.5436459998600185,1159.5436424999498,1159.5436424999498,4.310021176934242e-05,0.09808630030602217,num_9,1.9515769998542964,1161.5435884598642,0.0023497999645769596,0.09761530021205544,1161.86037580017,1162.326919359993,1162.6269125998951,1163.1267395600676,,1163.5269487998448,1171.5435458999127,1171.5435458999127,1171.5435401600785,0.0004972000606358051,0.09738779999315739,1173.5435537998565,1173.7267474001274,1174.2435318999924,10.014021900016814,1181.6600343999453,0.016872200183570385,1181.6600343999453,0.11382259987294674,1.0,3.498172199819237,1185.1938616000116,0.0023415000177919865,0.09825460007414222,1191.193499200046,1191.376677459944,6.214551900047809,6.314511599950492,1192.3767444998957,1211.3934154598041,1211.3935238998383,26.231310700066388,26.331193400081247,1212.410012499895,1214.3933931002393,1214.3933931002393,-0.00040930043905973434,0.09785309992730618,1244.37652359996,30.014290699735284,,1172.5601650001481,,,,,,,,4953,Gustatory,2024-08-21_11h39.55.262,Gustatory_Condition_v2,2022.2.5,30.000120015363695,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,,1244.526666200254,0.03176689986139536,0.13100629951804876,1250.526782500092,6.0313051994889975,1250.6266402001493,1250.6266402001493,0.031131699681282043,0.13105419976636767,space,2.060170399490744,1252.7433323999867,1252.7433323999867,4.970002919435501e-05,0.09803659981116652,num_9,1.679316199850291,1254.476752660144,0.0010585999116301537,0.09594010002911091,1254.776581000071,1255.2598634598776,1255.576512100175,1256.059874560125,1256.3599038999528,1256.459913100116,1264.4599999999627,1264.4599999999627,1264.4599445600993,0.012741600163280964,0.11254459992051125,1266.4430611999705,1266.6599837001413,1267.1765208998695,10.012495200149715,1274.5930341999047,0.01539420010522008,1274.5930341999047,0.11247059982270002,5.0,8.664812800008804,1283.2931428002194,0.0027757002972066402,0.09746249997988343,1289.309810000006,1289.4931063599884,6.230624900199473,6.33064390020445,1290.5097560998984,1309.4762576598673,1309.4764136001468,26.213965500239283,26.313902200199664,1310.4762964001857,1312.476504900027,1312.476504900027,0.014081600122153759,0.11392020015046,1342.4594360999763,30.01362199988216,30.096959500107914,1265.4597849999554,,,,,,,,4953,Gustatory,2024-08-21_11h39.55.262,Gustatory_Condition_v2,2022.2.5,30.000120015363695,
2,0,2,0,3,0,3,0,,,,,,,,,,,,,,1342.5929056000896,0.03049399983137846,0.1305545000359416,1348.576013899874,6.0134685998782516,1348.6929350001737,1348.6929350001737,0.031055899802595377,0.13040659995749593,space,2.394053999800235,1351.1262643001974,1351.1262643001974,4.0899962186813354e-05,0.09799150004982948,num_9,1.7441697996109724,1352.909557660017,0.0024609998799860477,0.0981517001055181,1353.2095388001762,1353.692919860035,1354.0095603000373,1354.4927817600778,1354.8095748000778,1354.9095450001769,,1362.9262101999484,1362.926149359811,0.017537400126457214,0.11462240014225245,1364.9261541999876,1365.092851200141,1365.5929729999043,10.014641199726611,1373.0260009998456,0.016667999792844057,1373.0260009998456,0.11455389996990561,3.0,3.298839299939573,1376.3597730002366,0.0025209998711943626,0.09761730022728443,1382.3593883998692,1382.5427680601365,6.21437400020659,6.330912100151181,1383.559482099954,1402.5426061599514,1402.542688400019,26.214184199925512,26.314167600125074,1403.5595026002266,1405.5426981002092,1405.5426981002092,0.014253299683332443,0.11424609972164035,1435.5257828002796,30.01396459992975,30.097275899723172,,6.09696889994666,,,,,,,4953,Gustatory,2024-08-21_11h39.55.262,Gustatory_Condition_v2,2022.2.5,30.000120015363695,
2,0,2,0,4,0,4,0,,,,,,,,,,,,,,1435.6592322001234,0.030757499858736992,0.13072509970515966,1441.6758608999662,6.014008599799126,1441.7758702002466,1441.7758702002466,0.014146899804472923,0.11401059944182634,space,2.102647999767214,1443.942532000132,1443.942532000132,4.439987242221832e-05,0.09812670014798641,num_9,2.280556199606508,1446.2758614601566,0.0021557998843491077,0.09811290027573705,,1447.0591753599233,1447.3590513998643,1447.85903645996,1448.1591984000988,1448.2591909999028,1456.2758718999103,1456.2758718999103,1456.2758049600757,0.0011541000567376614,0.09814650006592274,1458.2758134999312,1458.475808700081,1458.9757874999195,10.014589900150895,1466.392330700066,0.01762339984998107,1466.392330700066,0.1146268998272717,4.0,3.5647824998013675,1469.9926843000576,0.002466600388288498,0.09762470005080104,1475.992406700272,1476.1923869600519,6.230821100063622,6.330832900013775,1477.2090513999574,1496.1755145600996,1496.1756897000596,26.21413980005309,26.31406700005755,1497.1755550000817,1499.1922774002887,1499.1922774002887,-0.00012859981507062912,0.09741709986701608,1529.1922070002183,30.030651700217277,,,,,,,,,,4953,Gustatory,2024-08-21_11h39.55.262,Gustatory_Condition_v2,2022.2.5,30.000120015363695,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1529.3254865999334,0.03089259983971715,0.13065409986302257,1559.3420917000622,30.013847900088876,4953,Gustatory,2024-08-21_11h39.55.262,Gustatory_Condition_v2,2022.2.5,30.000120015363695,
3,0,3,0,0,0,0,0,,,,,,,,,,,,,,1559.4087722999975,0.015830399934202433,0.11385069973766804,1565.4255746998824,6.030439799651504,1565.5253968001343,1565.5253968001343,0.030638099648058414,0.1304515996016562,space,2.2181237996555865,1567.791942700278,1567.791942700278,2.619996666908264e-05,0.09847510000690818,num_9,1.8553829998709261,1569.708687260188,0.002120200078934431,0.09746850002557039,1570.0086529999971,1570.4920377600006,1570.8087192000821,1571.292025459837,1571.6087205000222,1571.708726500161,,1579.7253455999307,1579.7253203600644,0.01709360023960471,0.11434190021827817,1581.7253445000388,1581.8920042999089,1582.375219200272,10.014101100154221,1589.8086333000101,0.0005288003012537956,1589.8086333000101,0.09747530007734895,2.0,2.897944299969822,1592.7421983000822,0.002516699954867363,0.09764870023354888,1598.7585792001337,1598.9418882600962,6.2309568002820015,6.330976200290024,1599.958618100267,1618.9251518602482,1618.9252019999549,26.2143354001455,26.314201900269836,1619.9419093001634,1621.9418256999925,1621.9418256999925,0.00018410012125968933,0.0976236998103559,1651.958523400128,30.014102899935097,,,,10.097390700131655,,,,,,4953,Gustatory,2024-08-21_11h39.55.262,Gustatory_Condition_v2,2022.2.5,30.000120015363695,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,,1652.0583808999509,0.014672599732875824,0.11409329995512962,1658.0750355999917,6.0308407000266016,1658.1750373998657,1658.1750373998657,0.030858599580824375,0.13073659967631102,space,2.3763200999237597,1660.5916269998997,1660.5916269998997,4.2300205677747726e-05,0.09786870004609227,num_9,1.1593646998517215,1661.7916886600665,0.0027712001465260983,0.09766570013016462,1662.1083660000004,1662.5749724599532,1662.8749295999296,1663.3917384598403,1663.7083610999398,1663.7751342998818,1671.7749848999083,1671.7749848999083,1671.774941659905,0.014314400032162666,0.11438459996134043,1673.7916637999006,1673.9749727002345,1674.4750109002925,10.014259499963373,1681.9082919000648,0.017228899989277124,1681.9082919000648,0.11418499983847141,4.0,3.1980514000169933,1685.1420562001877,0.0022257999517023563,0.09834929974749684,1691.1417197999544,1691.3247223602607,6.231580299790949,6.331534700002521,,1711.3415043599903,1711.3246480999514,26.214585699606687,26.29813429992646,1712.358132299967,1714.3414448001422,1714.3414448001422,0.0007164995186030865,0.09808479947969317,1744.3580212001689,30.01465049944818,,1672.7749068001285,,,,,,,,4953,Gustatory,2024-08-21_11h39.55.262,Gustatory_Condition_v2,2022.2.5,30.000120015363695,
