Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,cross.started,p_port_4.started,p_port_4.stopped,cross.stopped,p_port_5.started,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,p_port_18.stopped,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Begin_Rinse.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,p_port_14.stopped,p_port_5.stopped,break_text.started,p_port_15.started,p_port_15.stopped,p_port_16.started,break_text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,,944.0896765999496,0.015395099762827158,0.11481429962441325,950.0893981000409,6.031447799410671,950.1896273996681,950.1896273996681,0.014811099506914616,0.11477929959073663,space,2.91922689974308,953.1563642998226,953.1563642998226,4.059961065649986e-05,0.09803879959508777,num_9,0.8649875000119209,954.0563327400945,0.002099300269037485,0.09782790020108223,,954.8395700399764,955.139528399799,955.6562980400398,955.9562178999186,956.0562924998812,,964.0730188000016,964.0729288399219,0.01746110012754798,0.1146479002200067,965.0895533999428,966.0895517999306,966.2395254997537,966.7395607996732,10.031281300354749,,974.1727637001313,0.017001300118863583,974.1727637001313,0.11442140024155378,2.0,3.598866700194776,977.8062195996754,0.0027743997052311897,0.09746460011228919,983.8062283997424,984.0063075400889,6.231134300120175,6.330756600014865,985.006038099993,1003.9894528399221,1003.9894364997745,26.214255100116134,26.314196499995887,1004.9895031997003,1006.9894126998261,1006.9894126998261,0.014254999812692404,0.11418339982628822,1036.9893594998866,30.01421819953248,,,,,,,,7461,Gustatory,2025-02-19_18h42.29.822,Gustatory_Condition_v2,2022.2.5,29.9961874590356,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1037.1225581998006,0.014255399815738201,0.1139307995326817,30.013956499751657,1067.10573810013,7461,Gustatory,2025-02-19_18h42.29.822,Gustatory_Condition_v2,2022.2.5,29.9961874590356,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,,1067.2224781000987,0.015930799767374992,0.11406239960342646,1073.2056682999246,6.013741699513048,1073.3059116997756,1073.3059116997756,0.03130469936877489,0.1307697994634509,space,3.2755136000923812,1076.6224885997362,1076.6224885997362,4.650000482797623e-05,0.09789639990776777,num_9,1.4471804997883737,1078.105655539874,0.0006753001362085342,0.09951250022277236,1078.4056843998842,1078.872455739975,1079.1724276999012,1079.68936214,1079.9890743996948,1080.0892610996962,1088.1057778000832,1088.1057778000832,1088.1057899399661,0.0027441000565886497,0.09946539998054504,1089.122410299722,1090.088928599842,1090.2556197997183,1090.755759799853,10.016260800417513,,1098.2222289997153,0.019082500133663416,1098.2222289997153,0.11630290001630783,2.0,2.6981537002138793,1100.955788999796,0.0028870003297924995,0.09697470022365451,1106.9556824997999,1107.1556802397595,6.230179500300437,6.330224100034684,1108.1723678000271,1127.1389300400392,1127.1389218000695,26.213499899953604,26.313458200078458,1128.1388587998226,1130.1555638997816,1130.1555638997816,-0.0008287997916340828,0.0967832999303937,1160.1721091996878,30.013328299857676,,6.09710649959743,,,,,,7461,Gustatory,2025-02-19_18h42.29.822,Gustatory_Condition_v2,2022.2.5,29.9961874590356,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,,1160.2721349997446,0.013989899773150682,0.11334599973633885,1166.288778099697,6.030081199947745,1166.38876240002,1166.38876240002,0.030083799734711647,0.1299589998088777,space,3.0563623998314142,1169.4886030000634,1169.4886030000634,5.230028182268143e-05,0.09792539989575744,num_9,0.7728101001121104,1170.322115840018,0.0020200000144541264,0.09803480003029108,1170.6221034997143,1171.1053476399743,1171.4053778001107,1171.9053475396709,1172.2219917001203,1172.3054074998945,1180.3219367000274,1180.3219367000274,1180.322052039765,0.0015658000484108925,0.09804040007293224,1181.338706200011,1182.3220656998456,1182.5054516000673,1183.0220538000576,10.010999000165612,10.0978071000427,1190.4220158997923,0.000394199974834919,1190.4220158997923,0.09779040003195405,5.0,3.632025900296867,1194.0888779996894,0.0023801997303962708,0.09772459976375103,1200.105268199928,1200.271903540101,6.214347200002521,6.314421100076288,1201.2885881997645,1220.288507839758,1220.2716962997802,26.21406750008464,26.314317899756134,,1223.2885870998725,1223.2885870998725,0.0001583998091518879,0.09760799957439303,1253.3050700998865,30.014194099698216,,,,,,,,7461,Gustatory,2025-02-19_18h42.29.822,Gustatory_Condition_v2,2022.2.5,29.9961874590356,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,,1253.4051493997686,0.014997599646449089,0.11414279974997044,1259.4051959998906,6.0141280996613204,1259.5050609000027,1259.5050609000027,0.014235599432140589,0.11413299944251776,space,2.9477538000792265,1262.5050293998793,1262.5050293998793,4.479987546801567e-05,0.09801470022648573,num_9,1.2918812003917992,1263.8384078397416,0.0021937000565230846,0.09802349982783198,1264.1383747998625,1264.6216643397697,1264.9216881999746,1265.4216067400762,1265.7216753000394,1265.8216963000596,1273.8383328998461,1273.8383328998461,1273.8384634396994,0.001605600118637085,0.09791690018028021,,1275.838312999811,1276.0049379998818,1276.5050017000176,10.014552200213075,,1283.9549006996676,0.01752989972010255,1283.9549006996676,0.11444639973342419,5.0,3.698014199733734,1287.6884133997373,0.0016585001721978188,0.09929360030218959,1293.7049822998233,1293.8549518399873,6.199217900168151,6.299214800354093,1294.8715615998954,1313.8714664397762,1313.8715539998375,26.215880300384015,26.315830300096422,1314.8882347000763,1316.8881727000698,1316.8881727000698,0.0016140001825988293,0.09917020006105304,1346.8880366999656,30.032391800079495,,,,,,,,7461,Gustatory,2025-02-19_18h42.29.822,Gustatory_Condition_v2,2022.2.5,29.9961874590356,
2,0,2,0,3,0,3,0,,,,,,,,,,,,,,1347.0214165998623,0.03303649974986911,0.1323289000429213,1353.0380446999334,6.015651399735361,1353.1046655997634,1353.1046655997634,0.01582479989156127,0.11564599955454469,space,2.980247300118208,1356.121366399806,1356.121366399806,3.949971869587898e-05,0.09798129973933101,num_9,1.0197465000674129,1357.1880781400018,0.0019356999546289444,0.09810579987242818,,1357.971345339995,1358.2879153997637,1358.7713809400798,1359.0713073997758,1359.1713175997138,1367.1713004000485,1367.1713004000485,1367.171337139886,0.014778200071305037,0.11471370002254844,1368.17127039982,1369.171287199948,1369.371319099795,1369.88796729967,10.014618900138885,10.098024500068277,1377.2878080997616,0.0013278000988066196,1377.2878080997616,0.09805219992995262,2.0,3.197668000124395,1380.5213573998772,0.0031273001804947853,0.09729820024222136,1386.5379971000366,1386.704428339936,6.21395150013268,6.313992000184953,1387.7211565999314,1406.7043296397665,1406.7044564997777,26.213950499892235,26.314056899864227,1407.737797900103,1409.7211218997836,1409.7211218997836,-0.000342000275850296,0.09724779985845089,1439.7210184000432,30.03051199996844,,,,,,,,7461,Gustatory,2025-02-19_18h42.29.822,Gustatory_Condition_v2,2022.2.5,29.9961874590356,
2,0,2,0,4,0,4,0,,,,,,,,,,,,,,1439.8376624998637,0.014248199760913849,0.11378979962319136,1445.8376289000735,6.013797799590975,1445.937635899987,1445.937635899987,0.013773699756711721,0.11389849986881018,space,4.9316599001176655,1450.9209435000084,1450.9209435000084,1.950003206729889e-05,0.09891699999570847,num_9,0.9078567000105977,1451.8876389401034,0.0023938999511301517,0.09798149997368455,,1452.6708603399807,1452.9709230000153,1453.470950340014,1453.7711497000419,1453.8709521000274,1461.8875750997104,1461.8875750997104,1461.887557840068,0.0013238000683486462,0.09807169996201992,1462.8875122000463,1463.8875796999782,1464.070872799959,1464.5709170000628,10.014606699813157,10.098021700046957,1471.9874249999411,0.0011749998666346073,1471.9874249999411,0.09806569991633296,5.0,3.2980005997233093,1475.3212453001179,0.0026151002384722233,0.09773280005902052,1481.3041002000682,1481.5041349400767,6.214380600024015,6.314458700362593,1482.5208056000993,1501.5040885397234,1501.5041203997098,26.214334400370717,26.314419500064105,1502.5206776997074,1504.5206422996707,1504.5206422996707,0.0004516998305916786,0.09756120014935732,1534.5206407001242,30.03085340000689,,,,,,,,7461,Gustatory,2025-02-19_18h42.29.822,Gustatory_Condition_v2,2022.2.5,29.9961874590356,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1534.6539627998136,0.0310011999681592,0.13071569986641407,30.030701499897987,1564.6370620997623,7461,Gustatory,2025-02-19_18h42.29.822,Gustatory_Condition_v2,2022.2.5,29.9961874590356,
3,0,3,0,0,0,0,0,,,,,,,,,,,,,,1564.7371767000295,0.015388799831271172,0.11405669990926981,1570.737146999687,6.0140141998417675,1570.8371695000678,1570.8371695000678,0.014112299773842096,0.11401879973709583,space,2.752050899900496,1573.637152200099,1573.637152200099,5.770009011030197e-05,0.09737200010567904,num_9,0.9922921000979841,1574.670461939741,0.0017298003658652306,0.09807049995288253,1574.9870277000591,1575.4537522397936,1575.7704841997474,1576.2704550396652,1576.5870166998357,1576.6370290000923,1584.653811099939,1584.653811099939,1584.6538355397993,0.014996500220149755,0.11489510023966432,1585.6704593999311,1586.6706157000735,1586.8537530000322,1587.3537447000854,10.014688600320369,10.098072400316596,1594.7703975997865,-0.0006041997112333775,1594.7703975997865,0.09829859994351864,2.0,2.9331469000317156,1597.7372544999234,0.0016502998769283295,0.09926659986376762,1603.7370567996986,1603.9037168399432,6.19923729961738,6.299257799983025,1604.9203564999625,1623.916592539847,1623.8999303998426,26.21221679961309,26.299181199632585,,1626.9036268997006,1626.9036268997006,-0.0007458003237843513,0.09914399962872267,1656.9033917998895,29.99901539972052,30.082136299461126,,,,,,,7461,Gustatory,2025-02-19_18h42.29.822,Gustatory_Condition_v2,2022.2.5,29.9961874590356,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,,1657.003289300017,0.015691799577325583,0.09893009951338172,1662.9866066998802,6.015558499377221,1663.1367122000083,1663.1367122000083,-0.00016490044072270393,0.1155160996131599,space,4.32471159985289,1667.520498899743,1667.520498899743,1.4100223779678345e-05,0.09917430020868778,num_9,0.9488131003454328,1668.503587740101,0.0008183000609278679,0.0988255999982357,1668.819974299986,1669.2866428397597,1669.5869883997366,1670.0866678399966,1670.386632699985,1670.469892299734,1678.453263099771,1678.4699456999078,1678.4866033397616,0.015505900140851736,0.09904070012271404,,1680.4702050997876,1680.686778999865,1681.20344559988,10.015524200163782,10.098861999809742,1688.6032830998302,0.0012502996250987053,1688.6032830998302,0.09891070006415248,6.0,4.298651199787855,1692.936747000087,0.0023544998839497566,0.09819980012252927,1698.936673599761,1699.1198756397703,6.214768500067294,6.298202299978584,1700.1200036997907,1719.1198380399496,1719.1199090001173,26.21505940007046,26.314759800210595,1720.119868000038,1722.1198865999468,1722.1198865999468,0.014816599898040295,0.114822699688375,1752.1364881000482,30.03140279976651,,6.099035299383104,,,,,,7461,Gustatory,2025-02-19_18h42.29.822,Gustatory_Condition_v2,2022.2.5,29.9961874590356,
