Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,cross.started,p_port_4.started,p_port_4.stopped,cross.stopped,p_port_5.started,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Begin_Rinse.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,Finish_rinse.stopped,p_port_18.stopped,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,p_port_14.stopped,p_port_5.stopped,p_port_16.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,932.5969916000031,0.016208800021559,0.11563459993340075,938.61361390003,6.032271699979901,938.7136335000396,938.7136335000396,0.032506899908185005,0.13225489994511008,space,2.2979325000196695,941.0636311999988,941.0636311999988,4.540011286735535e-05,0.09789300011470914,num_9,1.33971540001221,942.4470083400374,0.0023004000540822744,0.09770860010758042,942.7469257998746,943.247037740075,943.546879200032,944.0302260400495,944.3303894000128,944.4302747999318,952.4302284000441,952.4302284000441,952.430426639854,0.01437630015425384,0.11430940008722246,953.4302115999162,954.4134791998658,954.6302290998865,955.146900099935,10.014264900004491,962.5633765999228,0.017091700108721852,962.5633765999228,0.11426490009762347,5.0,8.631998100085184,971.2305465000682,0.0027790998574346304,0.09807209996506572,977.2301372999791,977.4135232398985,6.214683199999854,6.314666299847886,978.430014600046,997.4134404399665,997.4133754998911,26.214608300011605,26.314786299830303,1000.4301485000178,1000.4301485000178,-0.0004110001027584076,0.09792089997790754,1030.4131304998882,30.01434909994714,998.4301563999616,,,,,,,30.097701800055802,,,6164,Gustatory,2025-02-07_11h03.00.098,Gustatory_Condition_v2,2022.2.5,29.9839735732439,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1030.5299523998983,0.0312197997700423,0.13115469994954765,1060.529853099957,30.031099199783057,,,,6164,Gustatory,2025-02-07_11h03.00.098,Gustatory_Condition_v2,2022.2.5,29.9839735732439,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,1060.6631505000405,0.03303059982135892,0.13114769966341555,1066.679763799999,6.014320799848065,1066.7464262999129,1066.7464262999129,0.014419299783185124,0.11429059971123934,space,1.641723700100556,1068.4463961999863,1068.4463961999863,4.549999721348286e-05,0.09803789993748069,num_9,1.9251286999788135,1070.4131722400198,0.0019328000489622355,0.09779129992239177,1070.729768200079,1071.1963828400476,1071.4962865998968,1071.996454839944,1072.2964580999687,1072.4131163998973,1080.4130660998635,1080.4130660998635,1080.4130913399858,0.0011750999838113785,0.09785080002620816,1081.4297287999652,1082.4129991000518,1082.596379699884,1083.1130794000346,10.014311600010842,1090.5128848999739,0.0006305999122560024,1090.5128848999739,0.09763799980282784,2.0,3.098049000138417,1093.6467168000527,0.0025603999383747578,0.097610600059852,1099.6629653000273,1099.8297025399515,6.214190899860114,6.3141963998787105,1100.8295616998803,1119.8258744400227,1119.8092590998858,26.210462799994275,26.297366899903864,1122.8128944998607,1122.846219100058,0.030813500052317977,0.13076750002801418,1152.846108800033,30.030702899908647,,10.097780900076032,,,,,,,,,6164,Gustatory,2025-02-07_11h03.00.098,Gustatory_Condition_v2,2022.2.5,29.9839735732439,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,1152.9794324999675,0.03129489999264479,0.13069200003519654,1158.9960783999413,6.014042799826711,1159.0627565998584,1159.0627565998584,0.014079299755394459,0.11410029977560043,space,1.8365901000797749,1160.9627352999523,1160.9627352999523,4.770001396536827e-05,0.098071200074628,num_9,1.456860899925232,1162.4793379398761,0.0016665998846292496,0.09860879997722805,1162.779344300041,1163.262798539945,1163.5793727999553,1164.0626299398718,1164.3793470000383,1164.4795279998798,1172.4793859000783,1172.4793859000783,1172.4793725399068,0.002731699962168932,0.0988070999737829,1173.496026699897,1174.4625080998521,1174.6626554999966,1175.162685399875,10.015159299829975,1182.5791797998827,0.00236249971203506,1182.5791797998827,0.0986666998360306,6.0,3.830490800086409,1186.4461741000414,0.0014886001590639353,0.0991183000151068,1192.4459499998484,1192.6293144399533,6.215752599993721,6.315730200149119,1193.6459768000059,1212.6459056398598,1212.6459572999738,26.232470400165766,26.332321000052616,1215.6458222998772,1215.6458222998772,0.001421100227162242,0.0989496000111103,1245.6457491999026,30.032253000186756,1213.6457821000367,10.098700399976224,,,,,,,,,6164,Gustatory,2025-02-07_11h03.00.098,Gustatory_Condition_v2,2022.2.5,29.9839735732439,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,1245.745478299912,0.015488500008359551,0.09855140000581741,1251.7417703999672,6.011495300102979,1251.825154799968,1251.825154799968,0.011729500023648143,0.09845559997484088,space,0.8821364999748766,1252.7251373999752,1252.7251373999752,1.559988595545292e-05,0.0861043999902904,num_9,1.8061372998636216,1254.5790722399252,0.0026136001106351614,0.09826490003615618,1254.8788039998617,1255.3622871398693,1255.6787407000083,1256.1621414398542,1256.475131199928,1256.5418964000419,1264.5457929000258,1264.5621168999933,1264.57917644002,0.014612100087106228,0.09793570009060204,1265.5788416999858,1266.5584521999117,1266.7454119999893,1267.2287709999364,10.014679100131616,1274.6750270999037,0.012837900081649423,1274.6750270999037,0.09781359997577965,4.0,2.453017499996349,1277.178921799874,0.0016528998967260122,0.09914629999548197,1283.1955794000532,1283.3455176398857,6.1991497001145035,6.2991468999534845,1284.3453843998723,1303.3457091400633,1303.3454930000007,26.199116999981925,26.29895339999348,1306.3453897999134,1306.3453897999134,-0.0009202000219374895,0.09912430006079376,1336.361961599905,30.01558360015042,1304.3622328999918,,,,,,,30.09879399999045,6.094851800007746,,6164,Gustatory,2025-02-07_11h03.00.098,Gustatory_Condition_v2,2022.2.5,29.9839735732439,
2,0,2,0,3,0,3,0,,,,,,,,,,,,,1336.4786606999114,3.6800047382712364e-05,0.09885279997251928,1342.4786084999796,6.032231800025329,1342.5952816999052,1342.5952816999052,0.01553419977426529,0.11557729984633625,space,1.5041154001373798,1344.1619549999014,1344.1619549999014,4.3899985030293465e-05,0.09800630016252398,num_9,1.394028700189665,1345.6120410399744,0.001965200062841177,0.09819729998707771,1345.9286209999118,1346.3952971399995,1346.695192700019,1347.195325740031,1347.4952727998607,1347.5784742999822,1355.5952576999553,1355.5952576999553,1355.595397940022,0.01480120001360774,0.11483870004303753,1356.5951133000199,1357.6118810998742,1357.7784376998898,1358.2952411000151,10.031348200049251,1365.7285217000172,0.017404000042006373,1365.7285217000172,0.11453529982827604,2.0,2.631620500003919,1368.395573799964,0.0015472001396119595,0.09942029998637736,1374.4118508999236,1374.5785541400546,6.215768699999899,6.315922799985856,1375.578562800074,1394.5785368400393,1394.5786148000043,26.21593780000694,26.31572760012932,1397.5784904998727,1397.5784904998727,0.015831500058993697,0.1156775001436472,1427.5783958998509,30.015680100070313,1395.5784648000263,,,,,,,30.098856600001454,,,6164,Gustatory,2025-02-07_11h03.00.098,Gustatory_Condition_v2,2022.2.5,29.9839735732439,
2,0,2,0,4,0,4,0,,,,,,,,,,,,,1427.6951407999732,1.5799887478351593e-05,0.09889340004883707,1433.6949207000434,6.032229899894446,1433.8115494998638,1433.8115494998638,0.015364799881353974,0.1156932997982949,space,1.872179300058633,1435.7449209999759,1435.7449209999759,6.0999998822808266e-05,0.09789450000971556,num_9,1.4588560999836773,1437.2616460399004,0.002167999977245927,0.09797160001471639,1437.5781523999758,1438.0448563400423,,1438.8448856399627,,1439.2449280999135,1447.244868000038,1447.244868000038,1447.24491363985,0.014580999966710806,0.11457179998978972,,1449.2615795000456,1449.444868999999,1449.945054099895,10.014461899874732,1457.3781262000557,0.017336499877274036,1457.3781262000557,0.11446169996634126,6.0,3.364659600192681,1460.7781869999599,0.0025696000084280968,0.0974675000179559,1466.7947873000521,1466.961661339854,6.214130999986082,6.314096099929884,1467.9781170000788,1486.9612657398684,1486.9613646999933,26.214076899923384,26.314023699844256,1489.9612817999441,1489.9612817999441,0.014046400086954236,0.11385590001009405,1519.9778507999144,30.0305582000874,1487.9780218000524,,,,,,,,,,6164,Gustatory,2025-02-07_11h03.00.098,Gustatory_Condition_v2,2022.2.5,29.9839735732439,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1520.094557999866,0.014222399797290564,0.11371700000017881,1550.077629599953,30.01360379997641,,,30.09689399995841,6164,Gustatory,2025-02-07_11h03.00.098,Gustatory_Condition_v2,2022.2.5,29.9839735732439,
3,0,3,0,0,0,0,0,,,,,,,,,,,,,1550.1777449999936,0.03052379982545972,0.13049429981037974,1556.1777129999828,6.030438299756497,1556.294435299933,1556.294435299933,0.01378559973090887,0.11369299958460033,space,0.9734753000084311,1557.3277155999094,1557.3277155999094,4.730001091957092e-05,0.09759410005062819,num_9,2.0035043000243604,1559.3945457398659,0.002145000034943223,0.09770769998431206,1559.6942226998508,1560.1776188398944,,1560.9777045400115,1561.2778749999125,1561.3779859000351,1569.3944651000202,1569.3944651000202,1569.3942735398887,-0.00031429994851350784,0.09766110009513795,1570.3942130000796,1571.394237600034,1571.5777958000544,1572.0776827998925,10.014276900095865,1579.511207100004,0.01719249994494021,1579.511207100004,0.11425850004889071,2.0,3.331688400125131,1582.8776674000546,0.0025412000250071287,0.09773659985512495,1588.8778102998622,1589.0609115400584,6.214388199849054,6.3143964998889714,1590.0775547998492,1609.0608214399545,1609.0608636999968,26.214381499914452,26.314315599855036,1612.0608467999846,1612.0608467999846,0.014444199856370687,0.11438539996743202,1642.0773714999668,30.030898900004104,1610.060886299936,,,,,,,,,,6164,Gustatory,2025-02-07_11h03.00.098,Gustatory_Condition_v2,2022.2.5,29.9839735732439,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,1642.2108952000272,0.03169579990208149,0.1308537998702377,1648.2106876000762,6.030963399913162,1648.3107761999127,1648.3107761999127,0.03093069978058338,0.13077539973892272,space,2.6849477000068873,1651.043967799982,1651.043967799982,5.030003376305103e-05,0.09777230001054704,num_9,1.6648160999175161,1652.7438452398637,0.0019465999212116003,0.09812029986642301,1653.0438928999938,1653.5271877398482,1653.8272307999432,1654.3271343399538,1654.6272092999425,1654.7103671000805,1662.7104780999944,1662.7270877999254,1662.7438616399886,0.014796599978581071,0.09832199988886714,1663.7605647998862,1664.7103873998858,1664.9272423000075,1665.427251599962,10.014873799867928,1672.8604212999344,0.017960299737751484,1672.8604212999344,0.11478789988905191,4.0,2.431308399885893,1675.327508899849,0.0022185000125318766,0.09823580016382039,1681.3272233998869,1681.5272248400142,6.231662700185552,6.3315018999855965,1682.527144300053,1701.510474139941,1701.510552499909,26.214840500149876,26.314718500012532,1704.5104072999675,1704.5104072999675,0.014793800190091133,0.11476460006088018,1734.5104028000496,30.014705800218508,1702.5105244000442,,,,,,,,,,6164,Gustatory,2025-02-07_11h03.00.098,Gustatory_Condition_v2,2022.2.5,29.9839735732439,
