Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,cross.started,p_port_4.started,p_port_4.stopped,cross.stopped,p_port_5.started,p_port_5.stopped,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Begin_Rinse.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,p_port_18.stopped,p_port_14.stopped,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,participant,session,date,expName,psychopyVersion,frameRate,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,,922.6296875998378,0.03199709998443723,0.1312127998098731,928.6296278997324,6.031152999959886,,928.7296543000266,928.7296543000266,0.031254299916327,0.13113929983228445,space,2.3110209996812046,931.0964027997106,931.0964027997106,5.060015246272087e-05,0.09823330026119947,num_9,1.1751215998083353,932.329533859808,0.0017761001363396645,0.0985678001306951,932.6296405997127,933.112962859869,933.4296126998961,933.912875259947,934.2296217996627,934.3294959999621,,942.3462405996397,942.3462334598414,0.018036100082099438,0.11513780010864139,943.3628809000365,944.3462520996109,944.5128990998492,945.0129475998692,10.015073700342327,952.429441199638,0.0020686001516878605,952.429441199638,0.09836680022999644,2.0,2.96411639964208,955.429991599638,0.0027151997201144695,0.09745839983224869,961.4127205000259,961.6127892599441,6.214093599934131,6.314139399677515,962.646376399789,981.6126373598352,981.6128042996861,26.21415269980207,26.314025199972093,982.6127847000025,984.6294636996463,984.6294636996463,1.9976869225502014e-07,0.09750679973512888,1014.6294297999702,30.030794399790466,10.098627100232989,,,,,,,5749,Gustatory,2025-02-17_16h02.48.719,Gustatory_Condition_v2,2022.2.5,29.999355012448376,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1014.7460094997659,0.014188099652528763,0.11401939950883389,1044.7625433998182,30.030641199555248,5749,Gustatory,2025-02-17_16h02.48.719,Gustatory_Condition_v2,2022.2.5,29.999355012448376,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,,1044.8625851999968,0.03209039941430092,0.13031559949740767,1050.862552399747,6.030417299363762,,1050.962819899898,1050.962819899898,0.03067309921607375,0.1307721994817257,space,2.8606222001835704,1053.8792163999751,1053.8792163999751,3.350013867020607e-05,0.09806510014459491,num_9,0.888618600089103,1054.8124850599095,0.001550000160932541,0.0984399002045393,1055.1125125000253,1055.5958117597736,1055.8956647999585,1056.3958453598432,1056.7129223998636,1056.8126151999459,1064.8125360999256,1064.8125360999256,1064.8125231598503,0.001833300106227398,0.09845850011333823,1065.8290382996202,1066.8291940996423,1066.9957013996318,1067.4958135997877,10.015065200161189,1074.912361299619,-0.0002280999906361103,1074.912361299619,0.09847950004041195,2.0,3.1997655001468956,1078.1460265996866,0.0015643001534044743,0.09928830014541745,1084.1458959998563,1084.3123295597732,6.199013000354171,6.282467900309712,1085.3290642998181,1104.3291522596962,1104.329065699596,26.21592260012403,26.315919100306928,,1107.3289997000247,1107.3289997000247,0.01590680005028844,0.11580489994958043,1137.3455664999783,29.9990620999597,10.09826279990375,30.099041199777275,,,,,,5749,Gustatory,2025-02-17_16h02.48.719,Gustatory_Condition_v2,2022.2.5,29.999355012448376,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,,1137.4456211999059,0.00036819977685809135,0.09913779981434345,1143.4457445000298,5.999044799711555,6.099022299982607,1143.5455721998587,1143.5455721998587,-0.00021980004385113716,0.09900049958378077,space,1.7337989998050034,1145.3122458998114,1145.3122458998114,3.8899946957826614e-05,0.09710719995200634,num_9,1.55091239977628,1146.9288737598806,0.0009486000053584576,0.09943960001692176,1147.2287594997324,1147.6954487596638,1148.0122093996033,1148.495431759581,1148.812210700009,1148.9122499995865,1156.928852699697,1156.928852699697,1156.9288363598287,0.0024581002071499825,0.09939460037276149,1157.9287605998106,1158.9289831998758,1159.0954804997891,1159.578678299673,9.999046300072223,1167.012042499613,0.015789200086146593,1167.012042499613,0.1157578001730144,5.0,2.4658059999346733,1169.5125221000053,0.0032198000699281693,0.09753839997574687,1175.5121473995969,1175.7120903597213,6.230704999994487,6.330857400316745,1176.7120986999944,1195.6953818599693,1195.6953673996031,26.213988600298762,26.31399720022455,1196.7120170998387,1198.6953403996304,1198.6953403996304,0.01399100013077259,0.11399389989674091,1228.6784052997828,30.013627599924803,10.08238230040297,30.097027100156993,,,,,,5749,Gustatory,2025-02-17_16h02.48.719,Gustatory_Condition_v2,2022.2.5,29.999355012448376,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,,1228.8119369996712,0.030592999886721373,0.13056800002232194,1234.795113899745,6.013724099844694,6.096831799950451,1234.8950224998407,1234.8950224998407,0.01416079979389906,0.11368069984018803,space,2.111863600090146,1237.0283454000019,1237.0283454000019,1.4599878340959549e-05,0.08288760017603636,num_9,1.4829055997543037,1238.5618703600019,0.001338799949735403,0.09863500017672777,1238.861846999731,1239.3452129598707,1239.661856799852,1240.14508265974,1240.4618879999034,1240.5619145999663,1248.5618516998366,1248.5618516998366,1248.5619453598745,0.001975400373339653,0.09856220008805394,1249.5620228997432,1250.5619466998614,1250.7283412995748,1251.2284956998192,10.015063600149006,1258.6617815997452,0.0013032001443207264,1258.6617815997452,0.09852980030700564,3.0,2.7314772000536323,1261.4285553996451,0.0026746001094579697,0.09794959984719753,1267.4451339999214,1267.6117539598606,6.214806099887937,6.314441100228578,1268.628404499963,1287.611602559872,1287.6117155998945,26.214563500136137,26.314513000193983,1288.6116434996948,1290.6116849998944,1290.6116849998944,0.014553699642419815,0.11450649984180927,1320.6115555996075,30.01441689999774,10.09843929996714,,,,,,,5749,Gustatory,2025-02-17_16h02.48.719,Gustatory_Condition_v2,2022.2.5,29.999355012448376,
2,0,2,0,3,0,3,0,,,,,,,,,,,,,,1320.7615697998554,0.031744899693876505,0.13103989977389574,1326.7782157999463,6.014475899748504,,1326.8448695996776,1326.8448695996776,0.014457999728620052,0.1143729998730123,space,2.6270361999049783,1329.5117698996328,1329.5117698996328,4.54997643828392e-05,0.09779229993000627,num_9,1.6232299003750086,1331.1782134596258,0.0023171999491751194,0.0980901001021266,1331.4781567999162,1331.9614669598639,1332.2615147000179,1332.761530459579,1333.0616019996814,1333.1615223996341,1341.1614377996884,1341.1614377996884,1341.1615200598724,0.01471380004659295,0.1147571001201868,1342.1613983996212,1343.1781108998694,1343.361488699913,1343.861489799805,10.031361000146717,1351.311343099922,0.03313589980825782,1351.311343099922,0.13132689986377954,5.0,2.6658111000433564,1354.0115898000076,0.0024037002585828304,0.09821110032498837,1360.0282495999709,1360.194782159943,6.214513200335205,6.314443600364029,1361.2113894997165,1380.194601159729,1380.1946771997027,26.214465400204062,26.314475600142032,1381.2113419999368,1383.194796399679,1383.194796399679,0.014609499834477901,0.1144349998794496,1413.1945667997934,30.014418700244278,,,,,,,,5749,Gustatory,2025-02-17_16h02.48.719,Gustatory_Condition_v2,2022.2.5,29.999355012448376,
2,0,2,0,4,0,4,0,,,,,,,,,,,,,,1413.327926499769,0.014825999736785889,0.11435690009966493,1419.3445652998053,6.030974099878222,,1419.4278776999563,1419.4278776999563,0.01435309974476695,0.11428749980404973,space,2.0434102998115122,1421.5112162996083,1421.5112162996083,6.069988012313843e-05,0.09793150005862117,num_9,1.2885378999635577,1422.861113659758,0.0008951998315751553,0.0995435998775065,1423.1776589998044,1423.6445534599013,1423.9611813998781,1424.4276982598938,1424.7278342996724,1424.8277616999112,1432.827876499854,1432.827876499854,1432.828078959789,-0.00047870026901364326,0.09919149987399578,1433.827732199803,1434.844455699902,1435.0278000999242,1435.5445885998197,9.99933010013774,1442.9610492996871,0.0029286998324096203,1442.9610492996871,0.09929349971935153,4.0,2.664169699884951,1445.6614688998088,0.002710999920964241,0.09778069984167814,1451.6777262999676,1451.8442823600024,6.214210900012404,6.314333099871874,1452.8610500996,1471.844242859818,1471.8443339997903,26.214298900216818,26.314324299804866,1472.8609707998112,1474.860988699831,1474.860988699831,-0.0002840999513864517,0.09755919966846704,1504.8609429998323,30.03090689983219,10.099404999986291,,,,,,,5749,Gustatory,2025-02-17_16h02.48.719,Gustatory_Condition_v2,2022.2.5,29.999355012448376,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1504.9941967995837,0.031110499519854784,0.13079299964010715,1535.0106675997376,30.014017899520695,5749,Gustatory,2025-02-17_16h02.48.719,Gustatory_Condition_v2,2022.2.5,29.999355012448376,
3,0,3,0,0,0,0,0,,,,,,,,,,,,,,1535.0605623996817,0.014341999776661396,0.1141335996799171,1541.0609080996364,6.030892299488187,,1541.194098399952,1541.194098399952,0.030807599425315857,0.13064139941707253,space,2.165588800329715,1543.394063799642,1543.394063799642,3.900006413459778e-05,0.09763250034302473,num_9,1.6772588999010623,1545.127470359858,0.0023438003845512867,0.09713180037215352,1545.4273129999638,1545.9106181596405,1546.2104883999564,1546.710599059891,1547.0272994996049,1547.1108301999047,1555.1274255998433,1555.1274255998433,1555.1274934599176,0.000963900238275528,0.0973023003898561,1556.1278226999566,1557.1439910996705,1557.3106765998527,1557.810678599868,10.01354890037328,1565.2271343995817,-4.770001396536827e-05,1565.2271343995817,0.09703919989988208,4.0,3.198179999832064,1568.4610508996993,0.0015742001123726368,0.09927160013467073,1574.4772991999052,1574.6271950599737,6.199163000099361,6.299203000031412,1575.6272420999594,1594.6272140598855,1594.6272412999533,26.19925080006942,26.29908790020272,,1597.6271971999668,1597.6271971999668,-0.0008375002071261406,0.09908209973946214,1627.627054899931,29.999016299843788,10.096940299961716,30.09919170010835,,,,,,5749,Gustatory,2025-02-17_16h02.48.719,Gustatory_Condition_v2,2022.2.5,29.999355012448376,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,,1627.7603964996524,0.0007454999722540379,0.0990026998333633,1633.743655399885,6.015588900074363,,1633.8770249998197,1633.8770249998197,0.015715299639850855,0.11559819988906384,space,1.8818956003524363,1635.8103855997324,1635.8103855997324,4.660012200474739e-05,0.09793850034475327,num_9,1.3891859003342688,1637.2603807600215,0.0022310996428132057,0.09793279971927404,1637.560695799999,1638.0436634600162,1638.360311199911,1638.8603370596654,1639.160364399664,1639.2603863999248,,1647.276980199851,1647.276875359658,0.016093899961560965,0.11472139973193407,1648.2769130999222,1649.2936501996592,1649.460359199904,1649.9603222999722,10.014751499984413,1657.3770165997557,0.01744529977440834,1657.3770165997557,0.11482339957728982,5.0,2.2316109002567828,1659.6438819998875,0.002763899974524975,0.09777620015665889,1665.6602288000286,1665.8268794596195,6.214366999920458,6.314223899971694,,1685.8435630599968,1685.843644999899,26.23100240016356,26.330813799984753,1686.860180999618,,1688.8601612998173,0.01590409968048334,0.11419249977916479,1718.8600566997193,30.014065199997276,,,,,,,,5749,Gustatory,2025-02-17_16h02.48.719,Gustatory_Condition_v2,2022.2.5,29.999355012448376,
