Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,cross.started,p_port_4.started,p_port_4.stopped,cross.stopped,p_port_5.started,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,p_port_18.stopped,Palatability_Score.started,Instruction.started,p_port_17.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Begin_Rinse.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,p_port_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,,903.5896381000057,0.014799399767071009,0.11437349999323487,909.5896375998855,6.014212700072676,909.6896530999802,909.6896530999802,0.01437269989401102,0.11426179995760322,space,0.9220346002839506,910.6729748998769,910.6729748998769,4.7800131142139435e-05,0.09764610044658184,num_9,1.5862483005039394,912.3062877399847,0.00204360019415617,0.11471669981256127,912.6229081000201,913.1062592399306,913.4228288996965,913.8895809399895,914.1895157997496,914.2896315995604,922.2895965999924,922.2895965999924,922.2895790395327,0.014789000153541565,0.11470110015943646,923.2894892999902,924.3062370996922,924.5062269996852,925.0229166997597,10.014601199887693,10.097888099960983,932.4062667996623,932.4062667996623,0.001261299941688776,0.09783410001546144,3.0,1.5310527002438903,933.973239899613,0.0024250997230410576,0.09799959976226091,939.9728576997295,940.1728004399687,6.2312121000140905,6.331259099766612,941.1894762995653,960.1560730399564,960.156060999725,26.21449919976294,26.31448579998687,961.1727705998346,963.1560523998924,963.1560523998924,0.014510999899357557,0.11447809962555766,993.1726433997974,30.03109739953652,,,,,,,3266,Gustatory,2025-02-24_09h40.51.549,Gustatory_Condition_v2,2022.2.5,29.995755613657266,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,993.2892909999937,0.01457679970189929,0.11437019938603044,1023.2891666996293,30.014280599541962,,3266,Gustatory,2025-02-24_09h40.51.549,Gustatory_Condition_v2,2022.2.5,29.995755613657266,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,,1023.389168899972,0.01623139949515462,0.11423159949481487,1029.389133299701,6.014229099731892,1029.4891645996831,1029.4891645996831,0.014244199264794588,0.11422659922391176,space,0.35387710062786937,1029.8890265999362,1029.8890265999362,3.3400021493434906e-05,0.0984060000628233,num_9,1.8268576003611088,1031.772512239963,0.002151200082153082,0.09782129991799593,1032.0723650995642,1032.5556966397912,1032.8725480996072,1033.3558204398491,1033.6724702999927,1033.7389749996364,1041.7392486999743,1041.7724242997356,1041.772571839951,0.031204199884086847,0.13112690020352602,1042.8057726998813,1043.772402299568,1043.956031799782,1044.4558013998903,10.03109969990328,,1051.8892332999967,1051.8892332999967,0.0167302000336349,0.1143296998925507,4.0,1.3986654998734593,1053.3223807998002,0.003405800089240074,0.09908049972727895,1059.3390324995853,1059.5058023399674,6.215659299865365,6.3156543001532555,1060.5223409999162,1079.522253139969,1079.5223039998673,26.232346499804407,26.332235800102353,1080.5388603997417,,1082.5389760998078,0.01733279973268509,0.11545219970867038,1112.5387902995571,30.015475999563932,,,,,,,3266,Gustatory,2025-02-24_09h40.51.549,Gustatory_Condition_v2,2022.2.5,29.995755613657266,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,,1112.6388966999948,0.016084099654108286,0.11548379948362708,1118.6555050997995,6.032091499771923,1118.7554441997781,1118.7554441997781,0.03236759966239333,0.1320754997432232,space,0.7681376002728939,1119.588812999893,1119.588812999893,4.3400097638368607e-05,0.09816720010712743,num_9,1.4869858003221452,1121.1222614395433,0.0022851997055113316,0.09783669980242848,1121.4221170996316,1121.9053969398142,1122.2221061997116,1122.7052793396638,1123.0222625997849,1123.1054388997145,1131.1220889999531,1131.1220889999531,1131.1222261396238,0.0014947997406125069,0.0978210000321269,1132.122187399771,1133.1387411998585,1133.3054179996252,1133.8054207996465,10.014264599885792,,1141.2385816997848,1141.2385816997848,0.017360099591314793,0.11428299965336919,3.0,1.2982793999835849,1142.57207809994,0.003092399798333645,0.09920929977670312,1148.572269700002,1148.7552159396932,6.215494999662042,6.299185900017619,1149.7719973996282,1168.7552809399554,1168.7554180999286,26.215827699750662,26.315627799835056,1169.7720645996742,1171.7552469996735,1171.7552469996735,0.015683999750763178,0.11566279968246818,1201.771800099872,30.032213799655437,,,,,,,3266,Gustatory,2025-02-24_09h40.51.549,Gustatory_Condition_v2,2022.2.5,29.995755613657266,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,,1201.9051240999252,0.03299139952287078,0.1319755995646119,1207.9217776996084,6.015930499415845,1207.9885041997768,1207.9885041997768,0.015619999263435602,0.11548789963126183,space,2.43091950006783,1210.4550901995972,1210.4550901995972,4.2899977415800095e-05,0.09770900011062622,num_9,1.6126483003608882,1212.1052228399553,0.001802399754524231,0.09784379974007607,1212.4217341998592,1212.888403139636,1213.2050949996337,1213.6886174395681,1214.005075799767,1214.1051989998668,1222.1051839999855,1222.1051839999855,1222.1050586398692,0.0012329998426139355,0.09780949959531426,1223.121714899782,1224.1051508998498,1224.2884367997758,1224.7883913000114,10.031103099696338,,1232.2382708997466,1232.2382708997466,0.0341389998793602,0.13098999951034784,4.0,0.8314414001069963,1233.1051878998987,0.00154599966481328,0.09915510006248951,1239.1217015995644,1239.2883042396047,6.215812100097537,6.315917499829084,1240.3049693997018,1259.2881357396022,1259.288302499801,26.21579309972003,26.315674599725753,1260.304872899782,1262.3048271997832,1262.3048271997832,0.0014029997400939465,0.09904379956424236,1292.3214378999546,30.01562839979306,,,,,,,3266,Gustatory,2025-02-24_09h40.51.549,Gustatory_Condition_v2,2022.2.5,29.995755613657266,
2,0,2,0,3,0,3,0,,,,,,,,,,,,,,1292.4215872995555,0.01619669981300831,0.1156283994205296,1298.4213984999806,6.015491799451411,1298.5215909997933,1298.5215909997933,0.015659299679100513,0.11554129933938384,space,0.745371900498867,1299.3213877999224,1299.3213877999224,4.9999915063381195e-05,0.09797289967536926,num_9,1.6257046004757285,1300.988303939905,0.0026823999360203743,0.09766050009056926,1301.3046921999194,1301.7712551398204,1302.0713157998398,1302.588073939644,1302.887936799787,1302.971404899843,1310.9880638998002,1310.9880638998002,1310.9880117397756,0.001340700313448906,0.09758009994402528,,1312.988121799659,1313.1713438997976,1313.6713152998127,10.030875500291586,,1321.1046201996505,1321.1046201996505,0.016369500197470188,0.11412149993702769,4.0,2.9989950000308454,1324.1380117996596,0.003692499827593565,0.09826509980484843,1330.1546656996943,1330.3212113395334,6.214684300124645,6.314704400021583,,1350.3379149395973,1350.3378849998116,26.231353499926627,26.33141230000183,,,1353.3545140996575,0.016378900036215782,0.11468739993870258,1383.3710552998818,30.031146799679846,,,,,,,3266,Gustatory,2025-02-24_09h40.51.549,Gustatory_Condition_v2,2022.2.5,29.995755613657266,
2,0,2,0,4,0,4,0,,,,,,,,,,,,,,1383.4710649996996,0.032019699923694134,0.13127319980412722,1389.487696699798,6.014479799661785,1389.554349299986,1389.554349299986,0.014491899404674768,0.11446919944137335,space,2.0172654003836215,1391.6210452998057,1391.6210452998057,4.3099746108055115e-05,0.09798609977588058,num_9,1.2462581004947424,1392.9212371395902,0.002823199611157179,0.09761889977380633,1393.2209508996457,1393.704274539929,1394.0044866995886,1394.5042364398018,1394.804334699642,1394.9043451999314,1402.9210021998733,1402.9210021998733,1402.9209468398244,0.0014563999138772488,0.09780470002442598,1403.920928800013,1404.9210518999025,1405.1210005995817,1405.6209593997337,10.014362999703735,,1413.0374565999955,1413.0374565999955,0.0172796999104321,0.11436089966446161,4.0,1.1980967996641994,1414.2712526000105,0.0027080001309514046,0.0979423001408577,1420.2876230999827,1420.4541047398002,6.214281099848449,6.3144387998618186,1421.4542414997704,1440.470810939651,1440.4708493999206,26.231099700089544,26.331153300125152,1441.4706904999912,1443.470818999689,1443.470818999689,-0.00037880009040236473,0.09781539998948574,1473.4875581995584,30.014222600031644,,,,,,,3266,Gustatory,2025-02-24_09h40.51.549,Gustatory_Condition_v2,2022.2.5,29.995755613657266,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1473.587515999563,0.014664899557828903,0.11442929971963167,1503.604025399778,30.03077119961381,,3266,Gustatory,2025-02-24_09h40.51.549,Gustatory_Condition_v2,2022.2.5,29.995755613657266,
3,0,3,0,0,0,0,0,,,,,,,,,,,,,,1503.687302599661,0.015622999519109726,0.11409129947423935,1509.7038803999312,6.030721099581569,1509.7871996997856,1509.7871996997856,0.014191599562764168,0.11389659950509667,space,1.5439052004367113,1511.387223499827,1511.387223499827,4.3400097638368607e-05,0.09778589988127351,num_9,1.6893257000483572,1513.137292439677,0.0022203000262379646,0.09769820002838969,1513.4538304996677,1513.9204334398732,,1514.7372023398989,1515.053919099737,1515.1203656997532,1523.1371514997445,1523.1371514997445,1523.137134939991,-0.00021700002253055573,0.09751550015062094,1524.15384919988,1525.1540024997666,1525.3204973000102,1525.8371115997434,10.013957400340587,,1533.2537046996877,1533.2537046996877,0.016925900243222713,0.11394960014149547,4.0,1.0649037999100983,1534.353840699885,0.001558399759232998,0.09939299989491701,1540.3703842000104,1540.520566039812,6.199473999906331,6.299315099604428,1541.5203985995613,1560.537098339852,1560.5369837000035,26.215905499644578,26.31589449988678,1561.5536422999576,1563.5370752997696,1563.5370752997696,0.016040699556469917,0.1158802998252213,1593.5368741997518,30.015813199803233,,,,,,,3266,Gustatory,2025-02-24_09h40.51.549,Gustatory_Condition_v2,2022.2.5,29.995755613657266,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,,1593.6702007995918,0.016415199730545282,0.11575599946081638,1599.6701455996372,6.015694099478424,1599.7701602997258,1599.7701602997258,0.016017799265682697,0.11571139935404062,space,0.7450194004923105,1600.57016429957,1600.57016429957,2.6800204068422318e-05,0.09888389986008406,num_9,1.593272800091654,1602.2201554398985,0.0020391996949911118,0.0981212998740375,1602.5201274999417,1603.003381539695,1603.3033600999042,1603.8034176399,1604.1032888996415,1604.2037392999046,1612.2034582998604,1612.2034582998604,1612.2034453396686,0.014776699710637331,0.11469489987939596,1613.2200470999815,1614.1866737999953,1614.3866705996916,1614.8869289997965,10.014629099983722,10.09412800008431,1622.299619899597,1622.299619899597,0.01084319967776537,0.0977808996103704,3.0,2.969533100258559,1625.3200907995924,0.0036232001148164272,0.09783210000023246,1631.336722499691,1631.5033298396506,6.214451999869198,6.314452599734068,1632.5033568996005,1651.520055739768,1651.5199692999013,26.231114599853754,26.33104689978063,,1654.519908899907,1654.519908899907,0.00024719955399632454,0.0976802995428443,1684.5198406996205,30.031062699854374,,,,,,,3266,Gustatory,2025-02-24_09h40.51.549,Gustatory_Condition_v2,2022.2.5,29.995755613657266,
