Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,cross.started,p_port_4.started,p_port_4.stopped,p_port_5.started,cross.stopped,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,p_port_18.stopped,Palatability_Score.started,Instruction.started,p_port_17.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Begin_Rinse.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,p_port_14.stopped,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,p_port_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,,920.8218666985631,0.03253030218183994,0.13224910199642181,6.015485702082515,926.8383328989148,926.9049353990704,926.9049353990704,0.015674501657485962,0.11545190215110779,space,1.6966114025563002,928.6381377987564,928.6381377987564,3.780052065849304e-05,0.09800590015947819,num_9,2.0590887013822794,930.7382651984692,0.0017868001013994217,0.09828229993581772,931.0381990987808,931.5382660001517,931.8382619991899,932.3215569991619,932.6382130999118,932.7216494996101,940.7380821984261,940.7380821984261,940.7382782984525,0.001612100750207901,0.09823420085012913,941.7381736990064,942.7548007983714,942.9215511996299,943.4215196985751,10.01482230052352,,950.8547404985875,950.8547404985875,0.01649099960923195,0.11501900106668472,5.0,4.066168500110507,954.9548490997404,0.0032156016677618027,0.09927740134298801,960.9547766987234,961.1379579983652,6.215652100741863,6.298979600891471,962.1714641992003,981.1214904997498,981.1215893998742,26.19934580102563,26.299059201031923,982.1379899997264,984.1380762998015,984.1380762998015,0.01585640199482441,0.11570030078291893,1014.1545751001686,30.03229750134051,,,,,,,,8827,Gustatory,2024-07-09_10h49.55.828,Gustatory_Condition_v2,2022.2.5,29.997492288329838,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1014.2879333999008,0.03249870240688324,0.13240380212664604,1044.3044307995588,30.015518601983786,,8827,Gustatory,2024-07-09_10h49.55.828,Gustatory_Condition_v2,2022.2.5,29.997492288329838,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,,1044.3711272999644,0.017664402723312378,0.11546910181641579,6.032095301896334,1050.3877663984895,1050.487754398957,1050.487754398957,0.032235803082585335,0.13212380185723305,space,3.0656129010021687,1053.5878583993763,1053.5878583993763,3.270059823989868e-05,0.0978018008172512,num_9,1.7819923013448715,1055.40437909849,0.0018509011715650558,0.09776050038635731,1055.7043947987258,1056.187618898973,1056.4876266997308,1057.0043415993453,1057.3043120987713,1057.4045616984367,,1065.4210161995143,1065.4209819983691,0.017168499529361725,0.11449230089783669,1066.4377135001123,1067.4376487992704,1067.5708678998053,1068.0542334001511,10.031092600896955,,1075.5208460986614,1075.5208460986614,0.01674880087375641,0.11427940055727959,3.0,2.3653755988925695,1077.921242499724,0.0015318002551794052,0.09912579879164696,1083.904128599912,1084.1042287990451,6.2156888004392385,6.315704299136996,1085.1041927989572,1104.1039948992432,1104.0873239990324,26.215395199134946,26.29898300021887,,1107.0874627996236,1107.120808199048,0.03230670094490051,0.13232240080833435,1137.1375495996326,30.01555610075593,,,,,,,,8827,Gustatory,2024-07-09_10h49.55.828,Gustatory_Condition_v2,2022.2.5,29.997492288329838,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,,1137.2375337984413,0.016294701024889946,0.11550839990377426,6.015481200069189,1143.2372270990163,1143.3374985996634,1143.3374985996634,0.015520401298999786,0.11568970046937466,space,4.800142699852586,1148.1706334985793,1148.1706334985793,3.550015389919281e-05,0.09765809960663319,num_9,1.5029546022415161,1149.7206728987396,0.002417299896478653,0.09802509844303131,1150.0374793987721,1150.5205845989287,1150.8373230993748,1151.3205862984062,1151.6373469997197,1151.7039985992014,1159.7205921988934,1159.7205921988934,1159.7206947997213,0.0010134987533092499,0.09774119965732098,1160.7372714001685,1161.720650298521,1161.9037117995322,1162.4206962995231,10.031035399064422,,1169.8538386989385,1169.8538386989385,0.03387199901044369,0.13096660003066063,4.0,2.2981005012989044,1172.187608299777,0.0028718002140522003,0.09760859981179237,1178.1872859988362,1178.3872852984816,6.213984500616789,6.297451000660658,1179.3871674984694,1198.3871257983149,1198.3871718998998,26.230890000239015,26.330760000273585,1199.3870709985495,,1201.403786899522,0.015876000747084618,0.1140660010278225,1231.403588598594,30.013937501236796,,,,,,,,8827,Gustatory,2024-07-09_10h49.55.828,Gustatory_Condition_v2,2022.2.5,29.997492288329838,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,,1231.503956399858,0.014689899981021881,0.1141464002430439,6.013893101364374,1237.503636199981,1237.6037271991372,1237.6037271991372,0.01432100124657154,0.1139622014015913,space,3.365690102800727,1241.0203038994223,1241.0203038994223,4.119984805583954e-05,0.09818379953503609,num_9,1.8290396016091108,1242.886932798475,0.0020293984562158585,0.0980094987899065,1243.1867274995893,1243.6701062999666,1243.9869213998318,1244.486904398352,1244.7868971992284,1244.8870742991567,,1252.9036911986768,1252.903504499048,0.017221098765730858,0.11464430019259453,,1254.9035595990717,1255.0701756998897,1255.57020659931,10.014573600143194,,1263.0033228993416,1263.0033228993416,0.017865300178527832,0.11436619982123375,3.0,2.5310316011309624,1265.570430798456,0.0015647001564502716,0.09932919964194298,1271.5867622997612,1271.753364198655,6.215707300230861,6.315737798810005,,1291.7532962996513,1291.7533639986068,26.215689999982715,26.315716199576855,,1294.7533227000386,1294.7533227000386,0.015669800341129303,0.1156626008450985,1324.753228198737,30.015549801290035,,,,,,,,8827,Gustatory,2024-07-09_10h49.55.828,Gustatory_Condition_v2,2022.2.5,29.997492288329838,
2,0,2,0,3,0,3,0,,,,,,,,,,,,,,1324.8865215983242,0.016329500824213028,0.11544610001146793,6.015494100749493,1330.8865320999175,1330.9865461997688,1330.9865461997688,0.01586640067398548,0.11542750149965286,space,2.039400901645422,1333.086479999125,1333.086479999125,3.900006413459778e-05,0.09814129956066608,num_9,1.723063301295042,1334.869792599976,0.0021519996225833893,0.09783650003373623,1335.1698428001255,1335.6530090987683,,1336.4531221993268,1336.770076699555,1336.8699666000903,1344.8698249999434,1344.8698249999434,1344.8697507984937,0.0012190993875265121,0.09779890067875385,1345.8697681985795,1346.886446999386,1347.0530944988132,1347.5531426984817,10.03107720054686,,1355.0029268991202,1355.0029268991202,0.03400230035185814,0.13096260093152523,5.0,2.5980408992618322,1357.6364957988262,0.003749499097466469,0.09744739904999733,1363.6530377995223,1363.8195730995387,6.214099099859595,6.314067799597979,1364.8196107987314,1383.819694299996,1383.8027304001153,26.21381489932537,26.29745869897306,1384.8196303993464,1386.8029204998165,1386.836253998801,0.030694300308823586,0.1306316014379263,1416.8193353991956,30.013670701533556,,,,,,,,8827,Gustatory,2024-07-09_10h49.55.828,Gustatory_Condition_v2,2022.2.5,29.997492288329838,
2,0,2,0,4,0,4,0,,,,,,,,,,,,,,1416.9527690000832,0.01459990069270134,0.11372530087828636,6.030478801578283,1422.9694420993328,1423.0695854984224,1423.0695854984224,0.030671700835227966,0.1305060014128685,space,2.1004684027284384,1425.2029808983207,1425.2029808983207,3.460049629211426e-05,0.09739989973604679,num_9,2.2865102011710405,1427.5527360986919,0.0022715013474226,0.09762850031256676,1427.869385998696,1428.3526799984277,1428.6693977992982,1429.1360465984792,1429.4361085984856,1429.5361154992133,1437.552670398727,1437.552670398727,1437.552670500055,0.0010552015155553818,0.0975905004888773,1438.5693397987634,1439.5526808984578,1439.7526810988784,1440.2526708990335,10.014212099835277,,1447.6691923998296,1447.6691923998296,0.017205500975251198,0.11409820057451725,6.0,2.1647635996341705,1449.8696585986763,0.002435101196169853,0.09759950079023838,1455.8859371989965,1456.0525819983334,6.214107001200318,6.314121900126338,1457.0692551992834,1476.0525002989918,1476.0526000987738,26.21406610123813,26.31405210122466,1477.0691464990377,1479.05245609954,1479.05245609954,0.01384500041604042,0.1139295008033514,1509.052379399538,30.01381380110979,,,,,,,,8827,Gustatory,2024-07-09_10h49.55.828,Gustatory_Condition_v2,2022.2.5,29.997492288329838,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1509.1856153998524,0.014109700918197632,0.13045150227844715,1539.1858099997044,30.013664601370692,,8827,Gustatory,2024-07-09_10h49.55.828,Gustatory_Condition_v2,2022.2.5,29.997492288329838,
3,0,3,0,0,0,0,0,,,,,,,,,,,,,,1539.2857253998518,0.015614001080393791,0.1138256024569273,6.01363200135529,1545.2856303993613,1545.3855382986367,1545.3855382986367,0.013889601454138756,0.11351350136101246,space,2.2716920003294945,1547.7189028989524,1547.7189028989524,4.0100887417793274e-05,0.0976978000253439,num_9,1.738535800948739,1549.5188326992095,0.002296699211001396,0.09768310002982616,1549.8188595995307,1550.302124299854,1550.6189376991242,1551.1188397992403,1551.4189174994826,1551.5021819993854,1559.518846899271,1559.518846899271,1559.5186308983714,-0.0007453002035617828,0.09747339971363544,1560.5187675990164,1561.5020130984485,1561.7023954000324,1562.20218189992,10.014084700495005,10.097337499260902,1569.6186417993158,1569.6186417993158,0.030810300260782242,0.13078740052878857,3.0,2.9327726997435093,1572.5856539998204,0.003070499747991562,0.09771209955215454,1578.6021138988435,1578.768714298308,6.2143382001668215,6.314322300255299,1579.7689401991665,1598.768599799648,1598.7686198987067,26.214643901214004,26.314245400950313,1599.7686495985836,1601.7853000983596,1601.7853000983596,-6.279908120632172e-05,0.09761320054531097,1631.7851580996066,30.030876401811838,,,,,,,,8827,Gustatory,2024-07-09_10h49.55.828,Gustatory_Condition_v2,2022.2.5,29.997492288329838,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,,1631.9185146000236,0.03151070140302181,0.13080840185284615,6.014109401032329,1637.9350716993213,1638.0017847996205,1638.0017847996205,0.014323301613330841,0.11408710107207298,space,2.727514700964093,1640.7851313985884,1640.7851313985884,3.989972174167633e-05,0.09800950065255165,num_9,1.6487783007323742,1642.4684103995562,0.002074800431728363,0.09794159978628159,1642.7851160988212,1643.2684027988464,1643.585128698498,1644.0684225995094,1644.3686359990388,1644.468432098627,1652.4684225991368,1652.4684225991368,1652.4682436984033,0.0005948003381490707,0.11464930139482021,1653.4683485999703,1654.4514939989895,1654.6349256988615,1655.1516739986837,10.014462800696492,10.097742900252342,1662.5682299993932,1662.5682299993932,0.031257400289177895,0.13127990067005157,5.0,1.700381100177765,1664.3020680993795,0.001673201099038124,0.09952530078589916,1670.3183321990073,1670.4849520985038,6.2158506996929646,6.315875301137567,1671.4849360994995,1690.4848332989961,1690.4849206991494,26.21589370071888,26.315795000642538,1691.4848753996193,1693.4848538991064,1693.4848538991064,0.015841200947761536,0.11581010185182095,1723.5013964995742,29.999048501253128,,,,,,,,8827,Gustatory,2024-07-09_10h49.55.828,Gustatory_Condition_v2,2022.2.5,29.997492288329838,
