loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,textbox.started,p_port_2.started,p_port_2.stopped,textbox.stopped,p_port_3.started,instructions.started,key_resp.started,p_port_4.started,p_port_4.stopped,key_resp.keys,key_resp.rt,cross.started,p_port_6.started,p_port_6.stopped,cross.stopped,p_port_7.started,disgust_image.started,p_port_8.started,p_port_8.stopped,p_port_9.started,disgust_image.stopped,p_port_9.stopped,disgust_score.started,p_port_10.started,p_port_10.stopped,disgust_score.response,disgust_score.rt,p_port_7.stopped,participant,session,date,expName,psychopyVersion,frameRate,
9,0,9,0,,,,,,,,,,,,,,,,,,165.10480519989505,0.0004805999342352152,0.09750429983250797,171.1046120999381,6.030851899879053,171.25450669997372,0.04623749991878867,0.14743799972347915,6.014088299823925,177.25458519998938,,177.3211763999425,0.01705239969305694,0.11409489973448217,0.0,1.2980720000341535,,1550,Visual,2025-03-11_14h01.47.860,Visual_Condition_v2,2022.2.5,29.952656818832722,
10,0,10,0,,,,,,,,,,,,,,,,,,178.65502789989114,0.0002180000301450491,0.09911009995266795,184.65454160002992,5.999048299854621,184.7710901000537,0.013751299818977714,0.11573859979398549,6.015700499759987,190.77119489992037,,190.87126639997587,0.018594399793073535,0.11590419965796173,0.0,1.2648986999411136,6.0990522999782115,1550,Visual,2025-03-11_14h01.47.860,Visual_Condition_v2,2022.2.5,29.952656818832722,
11,0,11,0,,,,,,,,,,,,,,,,,,192.17144459998235,0.00021820003166794777,0.0991370000410825,198.17116749985144,5.9991162999067456,198.3210805999115,0.05967459990642965,0.1490123998373747,6.015636199852452,204.32113649998792,,204.38774259993806,0.0182070997543633,0.1157991997897625,0.0,1.5651582998689264,6.098943499848247,1550,Visual,2025-03-11_14h01.47.860,Visual_Condition_v2,2022.2.5,29.952656818832722,
12,0,12,0,,,,,,,,,,,,,,,,,,205.98815719992854,0.0002226000651717186,0.09925179998390377,212.00458820001222,6.016171999974176,212.12144719995558,0.038588899886235595,0.13230249984189868,5.999078499851748,218.12130760005675,6.099135499913245,218.18775229994208,0.0021431997884064913,0.09924959996715188,0.0,1.6316007000859827,,1550,Visual,2025-03-11_14h01.47.860,Visual_Condition_v2,2022.2.5,29.952656818832722,
13,0,13,0,,,,,,,,,,,,,,,,,,219.85435949987732,0.00032810005359351635,0.09838720015250146,225.83754400000907,6.015035700052977,226.00421609985642,0.04636029992252588,0.148580800043419,6.015227199997753,232.00433839997277,,232.07096739998087,0.01713009993545711,0.1154208998195827,1.0,1.8656438998878002,6.098332399968058,1550,Visual,2025-03-11_14h01.47.860,Visual_Condition_v2,2022.2.5,29.952656818832722,
14,0,14,0,,,,,,,,,,,,,,,,,,233.97105169994757,0.00024170009419322014,0.09925310011021793,239.9710070998408,5.99918740009889,240.25466259988025,0.16018419992178679,0.2827001998666674,6.0157939998898655,,,246.18754639988765,0.0186853997875005,0.11576059996150434,0.0,1.231490399921313,6.099131800001487,1550,Visual,2025-03-11_14h01.47.860,Visual_Condition_v2,2022.2.5,29.952656818832722,
15,0,15,0,,,,,,,,,,,,,,,,,,247.45428139995784,0.0005379999056458473,0.0976974000222981,253.47095269989222,6.014222400030121,253.58755749999546,0.036898599937558174,0.130835099844262,6.030872899806127,259.58758639986627,,259.67095689987764,0.01683219987899065,0.1143339998088777,2.0,1.7650298001244664,,1550,Visual,2025-03-11_14h01.47.860,Visual_Condition_v2,2022.2.5,29.952656818832722,
16,0,16,0,,,,,,,,,,,,,,,,,,261.47114440007135,0.00023639993742108345,0.09928860003128648,267.4875701998826,6.015803899848834,267.62118899985217,0.048559999791905284,0.1491491999477148,6.015613299794495,273.62090969993733,,273.6874510999769,0.018623499665409327,0.11570089985616505,0.0,1.0650045000948012,,1550,Visual,2025-03-11_14h01.47.860,Visual_Condition_v2,2022.2.5,29.952656818832722,
17,0,17,0,,,,,,,,,,,,,,,,,,274.78784139989875,0.0002367999404668808,0.09901519981212914,280.7875000999775,6.032318599987775,280.9374660998583,0.04770719981752336,0.14899949985556304,6.015635599847883,286.93748639989644,,287.004074400058,0.01823329972103238,0.11544239963404834,1.0,1.3663405999541283,,1550,Visual,2025-03-11_14h01.47.860,Visual_Condition_v2,2022.2.5,29.952656818832722,
18,0,18,0,,,,,,,,,,,,,,,,,,288.40420749993064,0.0005876999348402023,0.09694769978523254,294.42082179989666,6.013557699974626,294.55410439986736,0.04496809979900718,0.14684059983119369,6.0135862997267395,300.55418589990586,,300.62071119993925,0.015906799817457795,0.11338349967263639,3.0,1.8984791999682784,,1550,Visual,2025-03-11_14h01.47.860,Visual_Condition_v2,2022.2.5,29.952656818832722,
19,0,19,0,,,,,,,,,,,,,,,,,,302.5544034000486,0.00021920003928244114,0.09970240015536547,308.5707209999673,6.01566160004586,308.7039443999529,0.05433250009082258,0.14905370003543794,6.015474899904802,314.7040102998726,,314.77054139995016,0.018317699898034334,0.11569589981809258,3.0,2.2981875999830663,,1550,Visual,2025-03-11_14h01.47.860,Visual_Condition_v2,2022.2.5,29.952656818832722,
20,0,20,0,,,,,,,,,,,,,,,,,,317.1042599999346,0.00041770003736019135,0.09757450013421476,323.0872619000729,6.014135200064629,323.2205680999905,0.010185600025579333,0.1143080999609083,6.014130200026557,329.2206625000108,,329.3205659999512,0.017078599892556667,0.11404559994116426,2.0,1.5646967000793666,6.097401600098237,1550,Visual,2025-03-11_14h01.47.860,Visual_Condition_v2,2022.2.5,29.952656818832722,
21,0,21,0,,,,,,,,,,,,,,,,,,330.92086449987255,0.0006690998561680317,0.09703939990140498,336.90390579984523,6.0135470000095665,337.037113300059,0.01776519976556301,0.11344489990733564,6.013708699960262,343.0372794000432,,343.13713199994527,0.0154231998603791,0.11366009968332946,0.0,1.232460199855268,6.096805299865082,1550,Visual,2025-03-11_14h01.47.860,Visual_Condition_v2,2022.2.5,29.952656818832722,
22,0,22,0,,,,,,,,,,,,,,,,,,344.40412079985254,0.0006310997996479273,0.09739869995974004,350.42065059999004,6.014057699823752,350.53723679995164,0.02881369972601533,0.13064669980667531,6.030749099794775,356.53722589998506,,356.6370620999951,0.033189499750733376,0.130615399684757,3.0,2.2984699001535773,,1550,Visual,2025-03-11_14h01.47.860,Visual_Condition_v2,2022.2.5,29.952656818832722,
23,0,23,0,,,,,,,,,,,,,,,,,,358.97057099989615,0.00047779991291463375,0.097614899976179,364.98718409985304,6.014182199956849,365.08752379985526,0.02369369985535741,0.11443939991295338,6.014180599944666,371.0871371999383,,371.1870283000171,0.016913199797272682,0.11408979981206357,0.0,1.7983001999091357,,1550,Visual,2025-03-11_14h01.47.860,Visual_Condition_v2,2022.2.5,29.952656818832722,
24,0,24,0,,,,,,,,,,,,,,,,,,373.0207438999787,0.00023619993589818478,0.09916009986773133,379.03712240001187,6.015764699783176,379.15378189994954,0.029727399814873934,0.13263579970225692,5.999317299807444,385.13687749998644,6.098964299773797,385.22030989988707,0.0012461997102946043,0.0990486997179687,2.0,1.9320852998644114,,1550,Visual,2025-03-11_14h01.47.860,Visual_Condition_v2,2022.2.5,29.952656818832722,
25,0,25,0,,,,,,,,,,,,,,,,,,387.18740539997816,0.00023359991610050201,0.09919449989683926,393.1871555999387,5.999070999911055,393.30373619985767,0.016029999824240804,0.11616109986789525,6.015741099836305,399.3036771998741,,399.4036805999931,0.018334999680519104,0.11566889984533191,0.0,2.198306000092998,6.099035999970511,1550,Visual,2025-03-11_14h01.47.860,Visual_Condition_v2,2022.2.5,29.952656818832722,
