loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,textbox.started,p_port_2.started,p_port_2.stopped,p_port_3.started,textbox.stopped,instructions.started,key_resp.started,p_port_4.started,p_port_4.stopped,key_resp.keys,key_resp.rt,cross.started,p_port_6.started,p_port_6.stopped,cross.stopped,p_port_7.started,disgust_image.started,p_port_8.started,p_port_8.stopped,p_port_9.started,disgust_image.stopped,disgust_score.started,p_port_10.started,p_port_10.stopped,disgust_score.response,disgust_score.rt,p_port_7.stopped,p_port_9.stopped,participant,session,date,expName,psychopyVersion,frameRate,
13,0,13,0,,,,,,,,,,,,,,,,216.32041999977082,0.0006435997784137726,0.09680949989706278,222.32012289995328,6.030224499758333,222.46992719965056,0.047211299650371075,0.14679579995572567,6.013527199625969,228.47008810006082,228.53673629974946,0.016062199603766203,0.11338179977610707,1.0,1.7317399997264147,,,3266,Visual,2025-02-24_09h20.26.718,Visual_Condition_v2,2022.2.5,30.037002553989897,
14,0,14,0,,,,,,,,,,,,,,,,230.30377839971334,0.0005393996834754944,0.09696980006992817,236.30341309960932,6.030181699898094,236.47021309984848,0.0595575999468565,0.16351599991321564,6.030359299853444,242.47016369970515,242.53667859965935,0.03263569949194789,0.13005989976227283,1.0,2.765235200058669,,,3266,Visual,2025-02-24_09h20.26.718,Visual_Condition_v2,2022.2.5,30.037002553989897,
15,0,15,0,,,,,,,,,,,,,,,,245.33720069983974,0.000605700071901083,0.09738859999924898,251.31995989987627,6.013679800089449,251.47005870006979,0.02905109990388155,0.1307865995913744,6.03063889965415,257.4701394997537,257.5699943997897,0.033399499487131834,0.13049979973584414,2.0,1.3648959998972714,,,3266,Visual,2025-02-24_09h20.26.718,Visual_Condition_v2,2022.2.5,30.037002553989897,
16,0,16,0,,,,,,,,,,,,,,,,258.97014899970964,0.0006588003598153591,0.09702160023152828,264.9701314000413,6.030428800266236,265.20368649996817,0.10585239995270967,0.2304513999260962,6.030348300002515,,271.2033222997561,0.03314139973372221,0.13026099978014827,0.0,1.1316017997451127,,,3266,Visual,2025-02-24_09h20.26.718,Visual_Condition_v2,2022.2.5,30.037002553989897,
17,0,17,0,,,,,,,,,,,,,,,,272.3703815997578,0.00044369976967573166,0.09698210004717112,278.3868303997442,6.01358970021829,278.5036011999473,0.02899299981072545,0.1305307000875473,6.030313499737531,284.50349909998477,284.5866922996938,0.014245799742639065,0.11367619968950748,1.0,0.933699400164187,,,3266,Visual,2025-02-24_09h20.26.718,Visual_Condition_v2,2022.2.5,30.037002553989897,
18,0,18,0,,,,,,,,,,,,,,,,285.55366479977965,0.0004258998669683933,0.09739060001447797,291.5534642999992,6.0307084997184575,291.67006389983,0.02139929961413145,0.1141491997987032,6.013851199764758,297.65332999965176,297.7533652000129,0.00040719984099268913,0.09737869957461953,2.0,1.264589600265026,,6.0972568998113275,3266,Visual,2025-02-24_09h20.26.718,Visual_Condition_v2,2022.2.5,30.037002553989897,
19,0,19,0,,,,,,,,,,,,,,,,299.05379380006343,0.00022030016407370567,0.09928740002214909,305.05347959976643,5.9990209001116455,305.1700118998997,0.01994489971548319,0.11587890004739165,6.01569820009172,311.1701778997667,311.2702544997446,0.018651599995791912,0.11543409992009401,1.0,1.0981324999593198,6.0990339000709355,,3266,Visual,2025-02-24_09h20.26.718,Visual_Condition_v2,2022.2.5,30.037002553989897,
20,0,20,0,,,,,,,,,,,,,,,,312.4035184998065,0.00043060025200247765,0.09831050038337708,318.4201833996922,6.014968300238252,318.5367203997448,0.03122720029205084,0.13168339990079403,6.031786500010639,324.53690669965,324.63679599994794,0.03406130010262132,0.13153109978884459,0.0,1.2653328999876976,,,3266,Visual,2025-02-24_09h20.26.718,Visual_Condition_v2,2022.2.5,30.037002553989897,
21,0,21,0,,,,,,,,,,,,,,,,325.93707920005545,0.00017980020493268967,0.09925159998238087,331.9366949996911,6.0158158000558615,332.05350669985637,0.01401220029219985,0.11592230014503002,6.015972500201315,338.0534959998913,338.1704627997242,0.035018700174987316,0.13253120006993413,1.0,0.9651403999887407,6.099165300372988,,3266,Visual,2025-02-24_09h20.26.718,Visual_Condition_v2,2022.2.5,30.037002553989897,
22,0,22,0,,,,,,,,,,,,,,,,339.1704565999098,0.00047850003466010094,0.09745449991896749,345.18680589972064,6.014062299858779,345.32029669964686,0.04438289999961853,0.14769749995321035,6.0140724000521,351.32013359991834,351.38672989979386,0.016285599675029516,0.11404010001569986,0.0,1.0654999003745615,,,3266,Visual,2025-02-24_09h20.26.718,Visual_Condition_v2,2022.2.5,30.037002553989897,
