Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,cross.started,p_port_4.started,p_port_4.stopped,p_port_5.started,cross.stopped,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,p_port_18.stopped,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Begin_Rinse.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,Rinse_Spit.stopped,p_port_14.stopped,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,p_port_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,907.3785188002512,0.031729199923574924,0.13065190007910132,6.030754399951547,913.3785062003881,913.47863649996,913.47863649996,0.030887499917298555,0.13089539995417,space,1.9085252997465432,915.4285957003012,915.4285957003012,4.409998655319214e-05,0.09797280002385378,num_9,0.9025224996730685,916.3785737800412,0.002342099789530039,0.09814519993960857,916.6784789003432,917.1785445800982,917.4787066001445,917.9619272803887,918.2784240003675,918.361833400093,926.3618489000946,926.3618489000946,926.3617662802338,0.014867799822241068,0.11480659991502762,927.3784477999434,928.3618079000153,928.5617999001406,929.0616421001032,10.014750400092453,,936.4949970999733,0.017659099772572517,936.4949970999733,0.11482289992272854,5.0,2.464547300245613,938.9953997000121,0.0025565000250935555,0.09776049992069602,944.9782477002591,945.1784996801056,6.214319299906492,6.297595200128853,946.1949861003086,965.1783874799497,965.178305500187,26.214290299918503,26.314283299725503,966.1783058000728,968.194953000173,9.997747838497162e-07,0.09761039959266782,998.2115381001495,30.01419259980321,968.194953000173,,,,,,,,7150,Gustatory,2024-10-18_11h27.25.667,Gustatory_Condition_v2,2022.2.5,29.98973751048809,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,998.3116767001338,0.01439259946346283,0.11413819948211312,1028.3115469003096,30.01405039988458,,7150,Gustatory,2024-10-18_11h27.25.667,Gustatory_Condition_v2,2022.2.5,29.98973751048809,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,1028.4114268003032,0.016170999500900507,0.11409269971773028,6.014185599517077,1034.411385500338,1034.511449099984,1034.511449099984,0.014301199465990067,0.11389879928901792,space,29.53202539961785,1064.0778626003303,1064.0778626003303,4.240032285451889e-05,0.11460880003869534,num_9,1.2137679997831583,1065.3447098802776,0.002562800422310829,0.09796320041641593,1065.6613373002037,1066.1445894801059,,1066.9446732803249,1067.2445219000801,1067.3280158000998,1075.3446389003657,1075.3446389003657,1075.344667580072,0.0011489000171422958,0.09795080032199621,,1077.3277618000284,1077.528064600192,1078.0110630001873,10.031175900250673,,1085.4779203999788,0.03417870029807091,1085.4779203999788,0.1310876002535224,3.0,3.6644756998866796,1089.1781310001388,0.003182699903845787,0.09724250016734004,1095.194540800061,1095.3612726802007,6.213812199886888,6.313870700076222,1096.3779837000184,1115.3611894800329,1115.3611202002503,26.21378290001303,26.313751500099897,1116.377844300121,1118.3777725002728,-0.0004455000162124634,0.09709189971908927,1148.3776774001308,30.03034339984879,1118.3777725002728,,,,,,,,7150,Gustatory,2024-10-18_11h27.25.667,Gustatory_Condition_v2,2022.2.5,29.98973751048809,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,1148.5109838000499,0.03099469980224967,0.13029509969055653,6.030469599645585,1154.5109773003496,1154.6109899003059,1154.6109899003059,0.03050039941444993,0.13034149957820773,space,0.9204317997209728,1155.5943917999975,1155.5943917999975,4.329998046159744e-05,0.09785989997908473,num_9,1.5853975000791252,1157.2277734802105,0.002151300199329853,0.09798229997977614,1157.5276018003933,1158.011037679948,1158.3275928003713,1158.8109555799515,1159.127598500345,1159.227778099943,1167.2276277001947,1167.2276277001947,1167.227681980096,0.0010874001309275627,0.0979925999417901,1168.2277661003172,1169.2276493003592,1169.4109106999822,1169.9109586002305,10.031373099889606,,1177.3607916003093,0.03391500003635883,1177.3607916003093,0.13137320009991527,5.0,5.4983061999082565,1182.8944133003242,0.00246450025588274,0.09824110008776188,1188.8942653001286,1189.077439980209,6.214756700210273,6.314867900218815,1190.0774206002243,1209.0774364802987,1209.0775139001198,26.214743699878454,26.31447370024398,,1212.0773665001616,0.014605199918150902,0.11492160009220243,1242.0939651001245,30.031281999778003,1212.0773665001616,,,,,,,,7150,Gustatory,2024-10-18_11h27.25.667,Gustatory_Condition_v2,2022.2.5,29.98973751048809,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,1242.227328600362,0.03192639956250787,0.1312533998861909,6.01444279961288,1248.2439445001073,1248.3106235000305,1248.3106235000305,0.014633999671787024,0.11444499948993325,space,1.6048973998986185,1249.9606219003908,1249.9606219003908,4.469975829124451e-05,0.09781979955732822,num_9,1.1224267999641597,1251.1274990803563,0.002330500166863203,0.09796979976817966,1251.427177700214,1251.9106093799696,1252.227213700302,1252.727303080354,1253.027667700313,1253.1105731003918,1261.110619300045,1261.110619300045,1261.1106270799414,0.014713900163769722,0.11471919994801283,1262.1105419001542,1263.1105402000248,1263.3105679000728,1263.8272061003372,10.014431599993259,,1271.2437857002951,0.017750000115484,1271.2437857002951,0.11450769985094666,5.0,2.531109500210732,1273.8107532002032,0.0016455999575555325,0.09930070023983717,1279.8271554000676,1279.9939129800537,6.215940800029784,6.332623700145632,1281.010471700225,1299.977102680225,1299.9770781002007,26.199324100278318,26.299065500032157,1300.976948000025,1302.99370240001,0.015898199751973152,0.11586439982056618,1333.0102874999866,29.999076299834996,1302.99370240001,30.098968899808824,,,,,,,7150,Gustatory,2024-10-18_11h27.25.667,Gustatory_Condition_v2,2022.2.5,29.98973751048809,
2,0,2,0,3,0,3,0,,,,,,,,,,,,,1333.110500300303,0.0003798999823629856,0.09932309994474053,6.0157456998713315,1339.1268426002935,1339.2270379001275,1339.2270379001275,0.01611319975927472,0.11571089969947934,space,1.6649046000093222,1340.9269549003802,1340.9269549003802,7.980037480592728e-05,0.09781030006706715,num_9,1.2289652000181377,1342.21023038039,0.0012930002994835377,0.09905240032821894,1342.510174700059,1342.9936392801815,1343.3102326001972,1343.7935962803663,1344.1101574003696,1344.1934716003016,1352.1937478003092,1352.1937478003092,1352.1936965799891,0.01584160001948476,0.11565620033070445,1353.2101687001996,1354.1767434999347,1354.3935214001685,1354.893514700234,10.015480500180274,,1362.326698299963,0.01813240023329854,1362.326698299963,0.11536969989538193,4.0,1.5651484001427889,1363.9267644002102,0.0010974998585879803,0.11604569992050529,1369.9267911999486,1370.0935285800138,6.199468200094998,6.299319500103593,1371.110126900021,1390.093424880039,1390.09344780026,26.19937240006402,26.299219399690628,1391.1100660003722,1393.0933449002914,-0.0007090005092322826,0.09918099967762828,1423.0932816001587,29.999218999873847,1393.0933449002914,30.098968099802732,,,,,,,7150,Gustatory,2024-10-18_11h27.25.667,Gustatory_Condition_v2,2022.2.5,29.98973751048809,
2,0,2,0,4,0,4,0,,,,,,,,,,,,,1423.22658960009,-6.300397217273712e-06,0.09919789945706725,5.999287899583578,1429.2265924001113,1429.3266284000129,1429.3266284000129,-3.24007123708725e-05,0.09911159938201308,space,0.7963711000047624,1430.1600159001537,1430.1600159001537,5.170004442334175e-05,0.09791169967502356,num_9,1.275551900267601,1431.4933353803121,0.0020709000527858734,0.09789420012384653,1431.8099458999932,1432.2765667802655,1432.5765297999606,1433.0933112801054,1433.409939000383,1433.4765538000502,1441.4931344999932,1441.4931344999932,1441.493269280158,0.0019314000383019447,0.09759220015257597,1442.4929285002872,1443.489311200101,1443.6596067002974,1444.1430524000898,10.01442679995671,,1451.6096751000732,0.017412399873137474,1451.6096751000732,0.11444059992209077,3.0,3.3979790997691453,1455.0434115999378,0.001756199635565281,0.0990884997881949,1461.0599827002734,1461.2263276801445,6.215552799869329,6.2990770996548235,1462.2263894001953,1481.2262330801227,1481.2095989999361,26.232365099713206,26.332312699873,1482.2262341002934,1484.243024600204,-0.000951200257986784,0.09901069942861795,1514.242900100071,30.032233599573374,1484.2097159000114,,,,,,,6.099118299782276,7150,Gustatory,2024-10-18_11h27.25.667,Gustatory_Condition_v2,2022.2.5,29.98973751048809,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1514.3762308000587,0.03262909967452288,0.13219259958714247,1544.376114200335,30.03204199951142,,7150,Gustatory,2024-10-18_11h27.25.667,Gustatory_Condition_v2,2022.2.5,29.98973751048809,
3,0,3,0,0,0,0,0,,,,,,,,,,,,,1544.4594697002321,0.01737499935552478,0.11519629927352071,6.032036299351603,1550.476104200352,1550.5761065003462,1550.5761065003462,0.03221039939671755,0.13200229918584228,space,2.779072599951178,1553.4094442003407,1553.4094442003407,5.559995770454407e-05,0.09751350013539195,num_9,1.0502753001637757,1554.4928277801723,0.0028249002061784267,0.09702750016003847,1554.8093871003948,1555.2928002803587,1555.6093962001614,1556.0762187802234,1556.3759385002777,1556.476076700259,1564.4760749000125,1564.4760749000125,1564.476108380221,0.013831200078129768,0.11373970005661249,1565.4758820999414,1566.4927225001156,1566.6927249999717,1567.2093037003651,10.013628100045025,,1574.6096271001734,0.01684849988669157,1574.6096271001734,0.11388480011373758,3.0,3.4310666997916996,1578.0760166002437,0.0036091995425522327,0.09759889962151647,1584.0758404000662,1584.259250780195,6.2140966998413205,6.297524499706924,1585.2926601003855,1604.2591871801765,1604.2591575002298,26.214042799547315,26.297445699572563,1605.25961140031,1607.275752400048,3.249943256378174e-05,0.09746479941532016,1637.2755961003713,30.013899199664593,1607.275752400048,30.097219799645245,,,,,,,7150,Gustatory,2024-10-18_11h27.25.667,Gustatory_Condition_v2,2022.2.5,29.98973751048809,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,1637.375742699951,0.030721799470484257,0.130694099701941,6.030639399308711,1643.3756969003007,1643.5090582002886,1643.5090582002886,0.030615299474447966,0.1306379996240139,space,1.4947153995744884,1645.0423920000903,1645.0423920000903,3.609992563724518e-05,0.09793419996276498,num_9,1.2087162001989782,1646.3090637802147,0.0018822001293301582,0.09802829986438155,1646.6089821001515,1647.0923482799903,1647.4091102001257,1647.8923688801938,1648.2090439000167,1648.309015700128,1656.3090209001675,1656.3090209001675,1656.308871880267,-0.00015120021998882294,0.09797650016844273,1657.309158100281,1658.2922211000696,1658.492329600267,1659.0090000000782,10.01439950009808,10.09773280005902,1666.408820700366,0.00016239983960986137,1666.408820700366,0.09771989984437823,6.0,6.732143000233918,1673.1758672003634,0.0024238997139036655,0.09782149968668818,1679.1922711003572,1679.358863980137,6.214436999987811,6.3144685998559,1680.3588340003043,1699.3588076802903,1699.358811300248,26.214401099830866,26.314429000020027,1700.3588088001125,1702.3754748003557,0.00016769953072071075,0.09772719955071807,1732.375391300302,30.03098289994523,1702.3754748003557,,,,,,,,7150,Gustatory,2024-10-18_11h27.25.667,Gustatory_Condition_v2,2022.2.5,29.98973751048809,
