Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,cross.started,p_port_4.started,p_port_4.stopped,cross.stopped,p_port_5.started,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Begin_Rinse.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,p_port_14.stopped,taste_sound_3.stopped,spit_sound.stopped,p_port_18.stopped,p_port_5.stopped,break_text.started,p_port_15.started,p_port_15.stopped,p_port_16.started,break_text.stopped,p_port_16.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,1042.0963278999552,0.03157649980857968,0.13092799950391054,1048.0964359999634,6.030779799446464,1048.179648899939,1048.179648899939,0.014241599477827549,0.11410039942711592,space,2.603854500222951,1050.8298122999258,1050.8298122999258,4.759989678859711e-05,0.09744400018826127,num_9,2.793242699932307,1053.6627851798664,0.0013263002038002014,0.0991571000777185,1053.9796461998485,1054.4462424800265,,1055.2295813797507,1055.6295317998156,1063.6295932000503,1063.6295932000503,1063.629665980069,-0.0007610996253788471,0.09911320032551885,1065.6295882998966,1065.8462400999852,1066.3462255001068,12.016151800286025,1075.7962843999267,0.035039199981838465,1075.7962843999267,0.1324053001590073,3.0,3.365299600176513,1079.1965739997104,0.0024387999437749386,0.09788439981639385,1085.1961258999072,1085.396159680048,6.231166299898177,6.331143299583346,,1115.3961869799066,1115.3960096999072,36.231046999804676,36.331016100011766,,1118.3960122996941,1118.3960122996941,3.4199561923742294e-05,0.09770879941061139,1148.3789943000302,30.013962399680167,30.097440699581057,1055.5296390997246,1064.6295356000774,,,,,,,,,672,Gustatory,2024-03-21_11h21.10.212,Gustatory_Condition_v2,2022.2.5,29.90802685967661,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1148.495747699868,0.03072899952530861,0.11417269939556718,30.03096959972754,1178.4959315001033,,672,Gustatory,2024-03-21_11h21.10.212,Gustatory_Condition_v2,2022.2.5,29.90802685967661,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,1178.629034199752,0.031376499217003584,0.13082389952614903,1184.6456713001244,6.014218499418348,1184.712367899716,1184.712367899716,0.014072699472308159,0.11404179921373725,space,6.895262300036848,1191.6458902996965,1191.6458902996965,3.389967605471611e-05,0.0976899997331202,num_9,2.2573791998438537,1193.962367179757,0.0023797997273504734,0.09772050008177757,1194.2789690997452,1194.7456357799936,1195.0455697998405,1195.5455670798663,1195.9625495998189,,1203.978964699898,1203.9789706798736,0.01693109981715679,0.11428770003840327,1205.9789489000104,1206.1455904999748,1206.6455601998605,12.014227400068194,1216.0788851999678,0.017133399844169617,1216.0788851999678,0.11431839969009161,3.0,1.831417000386864,1217.9458045996726,0.001568700186908245,0.09916630014777184,1223.9288121000864,1224.1122191799338,6.199071700219065,6.299285500310361,1225.1288255997933,1254.1122717801015,1254.11207799986,36.19903129991144,36.2989635001868,1255.1287102997303,1257.1120498999953,1257.1454153000377,-0.0009833001531660557,0.09917949978262186,1287.1452123001218,30.032168199773878,,,1204.9788881000131,,,,,,,,,672,Gustatory,2024-03-21_11h21.10.212,Gustatory_Condition_v2,2022.2.5,29.90802685967661,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,1287.27839280013,0.032833700068295,0.13210769975557923,1293.278534699697,6.032106599770486,1293.3619022998028,1293.3619022998028,0.015500899869948626,0.11541529977694154,space,3.581636799965054,1296.9951935000718,1296.9951935000718,3.969995304942131e-05,0.09811750007793307,num_9,3.8040175000205636,1300.8618522798176,0.0024592000991106033,0.09804699989035726,1301.1784695996903,1301.6450140797067,1301.96182340011,1302.4450659797992,1302.861814700067,1310.8618002999574,1310.8618002999574,1310.8618006798904,0.0014192000962793827,0.0980226001702249,1312.8784169997089,1313.0450876001269,1313.528288600035,12.031408400274813,1322.994929399807,0.03419680008664727,1322.994929399807,0.13149149995297194,5.0,3.5313335000537336,1326.5620746999048,0.002237900160253048,0.0993739003315568,1332.5783613999374,1332.7450506798457,6.215729400049895,6.31595650035888,1333.744959199801,1362.7449247799348,1362.7448450997472,36.21565910009667,36.315618799999356,1363.7448089998215,1365.7616741000675,1365.7616741000675,0.0015985998325049877,0.09895690018311143,1395.7613546000794,30.032156799919903,,1302.7618022998795,1311.878427399788,,,,,,,,,672,Gustatory,2024-03-21_11h21.10.212,Gustatory_Condition_v2,2022.2.5,29.90802685967661,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,1395.87803849997,0.016356199979782104,0.11546469992026687,1401.8779825000092,6.0154128996655345,1401.9780925000086,1401.9780925000086,0.015596299897879362,0.11538370000198483,space,3.0774523997679353,1405.1113456999883,1405.1113456999883,3.8899946957826614e-05,0.09824290033429861,num_9,1.951604099944234,1407.1281234798487,0.002601900137960911,0.09796869987621903,1407.427921500057,1407.9114524800796,1408.2280906001106,1408.7111839800607,1409.128003699705,1417.1279078000225,1417.1279078000225,1417.12800217974,0.0011241999454796314,0.09772539976984262,1419.1445800997317,1419.3114251000807,1419.8112679999322,12.014370600227267,1429.2277176999487,0.0012362999841570854,1429.2277176999487,0.09786609979346395,6.0,2.3309241998940706,1431.5949519998394,0.0030326000414788723,0.09754380024969578,1437.5944909998216,1437.79458957999,6.2306365999393165,6.330654799938202,1438.7944331998006,1467.7778258798178,1467.7777929999866,36.21398410014808,36.313961900305,1468.777828599792,1470.7777447998524,1470.7777447998524,0.01394810015335679,0.11384719982743263,1500.7942257998511,30.030483500100672,,1409.027962199878,1418.1445090998895,12.097795200068504,,,,,,,,672,Gustatory,2024-03-21_11h21.10.212,Gustatory_Condition_v2,2022.2.5,29.90802685967661,
2,0,2,0,3,0,3,0,,,,,,,,,,,,,1500.927577599883,0.031022199895232916,0.1303516998887062,1506.9442086000927,6.01365950005129,1507.0108078001067,1507.0108078001067,0.013816599734127522,0.11368229985237122,space,2.564238500315696,1509.6108339000493,1509.6108339000493,3.0399765819311142e-05,0.09812359977513552,num_9,2.2289920998737216,1511.8775877798441,0.002109700348228216,0.09815340023487806,1512.17750780005,1512.6607509799767,1512.9774493998848,1513.4607549798209,1513.8607964999974,1521.8607974001206,1521.8607974001206,1521.8609759797807,0.014790700282901525,0.11471340013667941,1523.860830700025,1524.0607793997042,1524.560756899882,12.014533000066876,1533.977299399674,0.0013168002478778362,1533.977299399674,0.09780130023136735,2.0,2.3308079997077584,1536.3444129000418,0.0024478002451360226,0.09786400012671947,1542.3440225999802,1542.5439113797154,6.214255700353533,6.297780800145119,1543.5439317999408,1572.5272107799071,1572.5272653996944,36.21444810042158,36.314183100126684,1573.527163399849,1575.527151199989,1575.527151199989,0.014487700071185827,0.11431610025465488,1605.543695999775,30.03086500009522,,1513.7774120997638,1522.8774902997538,12.097910200245678,,,,,,,,672,Gustatory,2024-03-21_11h21.10.212,Gustatory_Condition_v2,2022.2.5,29.90802685967661,
2,0,2,0,4,0,4,0,,,,,,,,,,,,,1605.6770379999653,0.031611399725079536,0.13094969978556037,1611.6769902999513,6.030868100002408,1611.7604542998597,1611.7604542998597,0.014164899941533804,0.11423319997265935,space,1.5592562002129853,1613.3603845001198,1613.3603845001198,3.9400067180395126e-05,0.09792879968881607,num_9,4.558657699730247,1617.9770715799648,0.0024477997794747353,0.09809759957715869,1618.277168800123,1618.7606869800481,1619.0768762999214,1619.5601982799824,1619.9602962001227,1627.9602977000177,1627.9602977000177,1627.9603807799983,0.014777899719774723,0.11471509980037808,1629.9602465000935,1630.1601426000707,1630.6601995998062,12.014535199850798,1640.0768213998526,0.0008597997948527336,1640.0768213998526,0.09797969972714782,5.0,7.8647162998095155,1647.9767911997624,0.002395699732005596,0.09799239970743656,1653.993470699992,1654.176892779721,6.2313119997270405,6.331278100144118,,1684.1599497799295,1684.1600112998858,36.21451530000195,36.31448849989101,1685.159904900007,1687.1599856996909,1687.1599856996909,0.01460839994251728,0.11446219962090254,1717.176516899839,30.03102279966697,,1619.876933099702,1628.97694650013,12.097846899647266,,,,,,,,672,Gustatory,2024-03-21_11h21.10.212,Gustatory_Condition_v2,2022.2.5,29.90802685967661,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1717.3098472999409,0.03125349944457412,0.13093639956787229,30.03101129969582,1747.30974579975,,672,Gustatory,2024-03-21_11h21.10.212,Gustatory_Condition_v2,2022.2.5,29.90802685967661,
3,0,3,0,0,0,0,0,,,,,,,,,,,,,1747.4096626997925,0.03317489940673113,0.13081249967217445,1753.4096462000161,6.030842699576169,1753.4931529001333,1753.4931529001333,0.01413799962028861,0.11411209963262081,space,3.162214499898255,1756.6930041001178,1756.6930041001178,3.6699697375297546e-05,0.09787839977070689,num_9,2.1701043997891247,1758.909680880094,0.001908599864691496,0.09763470012694597,1759.2262206999585,1759.7096377796959,1760.0262670000084,1760.4932231800165,1760.909530099947,,1768.9262747000903,1768.926331779873,0.017139299772679806,0.11436659982427955,1770.9094214998186,1771.0928782997653,1771.60956849996,12.031015899963677,1781.0260594999418,0.016915499698370695,1781.0260594999418,0.11413699993863702,3.0,2.4650743999518454,1783.5265703997575,0.0025447001680731773,0.09864430036395788,1789.5427244999446,1789.7094969800207,6.215188200119883,6.315175700001419,1790.7094006999396,1819.7093793800566,1819.7094703000039,36.215210700407624,36.31486360030249,1820.7259237999097,1822.7092928998172,1822.7092928998172,0.015039700083434582,0.11523320013657212,1852.7091872999445,30.014911899808794,,1760.809675599914,1769.9260507998988,,,,,,,,,672,Gustatory,2024-03-21_11h21.10.212,Gustatory_Condition_v2,2022.2.5,29.90802685967661,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,1852.8425108999945,0.015584399923682213,0.11486139986664057,1858.859156599734,6.031493300106376,1858.9591173999943,1858.9591173999943,0.031671199947595596,0.1312873000279069,space,2.1600792999379337,1861.1758222999051,1861.1758222999051,4.280032590031624e-05,0.09804349998012185,num_9,2.167094999924302,1863.3925029797945,0.001953400205820799,0.09806750016286969,1863.7091013998725,1864.17569368002,1864.475668599829,1864.9924987800885,1865.3758020000532,1873.3757039997727,1873.3757039997727,1873.375753779849,0.014689300209283829,0.11467020027339458,1875.3760164999403,1875.5757293999195,1876.092421299778,12.031429800204933,1885.5088859000243,0.01683229999616742,1885.5088859000243,0.11450790008530021,6.0,3.1988242003135383,1888.742379900068,0.0029255999252200127,0.09766900027170777,1894.7255060998723,1894.9253980800975,6.214317299891263,6.2975608999840915,1895.9254048997536,1924.925543979695,1924.92549100006,36.21438769996166,36.31429670006037,,1927.925682200119,1927.925682200119,0.014597499743103981,0.11431809980422258,1957.942015899811,30.030940199736506,,1865.3091649999842,1874.375549999997,,,,,,,,,672,Gustatory,2024-03-21_11h21.10.212,Gustatory_Condition_v2,2022.2.5,29.90802685967661,
