loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,textbox.started,p_port_2.started,p_port_2.stopped,p_port_3.started,textbox.stopped,instructions.started,key_resp.started,p_port_4.started,p_port_4.stopped,key_resp.keys,key_resp.rt,cross.started,p_port_6.started,p_port_6.stopped,cross.stopped,p_port_7.started,disgust_image.started,p_port_8.started,p_port_8.stopped,p_port_9.started,disgust_image.stopped,disgust_score.started,p_port_10.started,p_port_10.stopped,disgust_score.response,disgust_score.rt,participant,session,date,expName,psychopyVersion,frameRate,
9,0,9,0,,,,,,,,,,,,,,,,,172.0823067999445,0.0007148999720811844,0.13032650016248226,178.11540989996865,6.030180800240487,178.24883349984884,0.0654279999434948,0.19680560007691383,6.030098200310022,184.28204090008512,184.3153915000148,0.03297910001128912,0.16361459996551275,2.0,0.9981864998117089,5914,Visual,2024-11-13_18h39.23.101,Visual_Condition_v2,2022.2.5,59.948839675440794,
10,0,10,0,,,,,,,,,,,,,,,,,185.34893460012972,0.0006574001163244247,0.1302644000388682,191.382059100084,6.030214899685234,191.5319684999995,0.08753089979290962,0.2135331998579204,6.0135293998755515,,197.5652654999867,0.016412099823355675,0.14688859973102808,2.0,1.6980031998828053,5914,Visual,2024-11-13_18h39.23.101,Visual_Condition_v2,2022.2.5,59.948839675440794,
11,0,11,0,,,,,,,,,,,,,,,,,199.29886690014973,0.0002673002891242504,0.13260139990597963,205.33198430016637,6.0323497001081705,205.4485702002421,0.053990600164979696,0.18268360011279583,6.015667200088501,211.48200260009617,211.5152103002183,0.018556700088083744,0.149023300036788,0.0,0.7312644999474287,5914,Visual,2024-11-13_18h39.23.101,Visual_Condition_v2,2022.2.5,59.948839675440794,
12,0,12,0,,,,,,,,,,,,,,,,,212.28194640018046,0.0005601998418569565,0.13084729993715882,218.31527040014043,6.030818299856037,218.4485725001432,0.06523989979177713,0.1974835996516049,6.030699099879712,224.4819416999817,224.51516119996086,0.03349209949374199,0.16404009982943535,2.0,2.2313639000058174,5914,Visual,2024-11-13_18h39.23.101,Visual_Condition_v2,2022.2.5,59.948839675440794,
13,0,13,0,,,,,,,,,,,,,,,,,226.78221570001915,0.00042090006172657013,0.1314129000529647,232.79858400020748,6.01468970021233,232.93179930001497,0.04652319988235831,0.1813401998952031,6.014658399857581,238.96520050009713,238.99849600018933,0.017460699658840895,0.1480825999751687,3.0,10.098082800395787,5914,Visual,2024-11-13_18h39.23.101,Visual_Condition_v2,2022.2.5,59.948839675440794,
14,0,14,0,,,,,,,,,,,,,,,,,249.13216699985787,0.0005857003852725029,0.13057640008628368,255.14850470004603,6.013623500242829,255.26509079989046,0.028420399874448776,0.16361490031704307,6.0302993999794126,261.2985617998056,261.3653211002238,0.03315840009599924,0.16384469997137785,2.0,14.764708800241351,5914,Visual,2024-11-13_18h39.23.101,Visual_Condition_v2,2022.2.5,59.948839675440794,
15,0,15,0,,,,,,,,,,,,,,,,,276.16524629993364,0.00027799978852272034,0.13258469989523292,282.1984006999992,5.999176499899477,282.38197869993746,0.11665780004113913,0.24931309977546334,6.015861500054598,,288.3816336002201,0.018610399682074785,0.14912669965997338,3.0,6.398101599887013,5914,Visual,2024-11-13_18h39.23.101,Visual_Condition_v2,2022.2.5,59.948839675440794,
16,0,16,0,,,,,,,,,,,,,,,,,294.81526149995625,0.0006405999884009361,0.1303372997790575,300.84834200004116,6.0303581999614835,300.96500590024516,0.04565479978919029,0.18032989976927638,6.013605199754238,306.99834709987044,307.03149800002575,0.016335899475961924,0.1469212998636067,3.0,17.164864500053227,5914,Visual,2024-11-13_18h39.23.101,Visual_Condition_v2,2022.2.5,59.948839675440794,
17,0,17,0,,,,,,,,,,,,,,,,,324.2318238001317,0.00031090015545487404,0.13239420019090176,330.24827519990504,6.015682800207287,330.3816774999723,0.0452483999542892,0.18237189995124936,6.015672900248319,336.4148944001645,336.4481167998165,0.01797650009393692,0.1490060999058187,0.0,1.2319781999103725,5914,Visual,2024-11-13_18h39.23.101,Visual_Condition_v2,2022.2.5,59.948839675440794,
18,0,18,0,,,,,,,,,,,,,,,,,337.71506919991225,0.0006244000978767872,0.1306563001126051,343.74817480007187,6.0304916999302804,343.8481442001648,0.031362699810415506,0.16385339992120862,6.030482899863273,349.8815595000051,349.9481529002078,0.03306309971958399,0.1637629996985197,0.0,0.798415600322187,5914,Visual,2024-11-13_18h39.23.101,Visual_Condition_v2,2022.2.5,59.948839675440794,
