loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,textbox.started,p_port_2.started,p_port_2.stopped,textbox.stopped,p_port_3.started,instructions.started,key_resp.started,p_port_4.started,p_port_4.stopped,key_resp.keys,key_resp.rt,cross.started,p_port_6.started,p_port_6.stopped,cross.stopped,p_port_7.started,disgust_image.started,p_port_8.started,p_port_8.stopped,p_port_9.started,disgust_image.stopped,disgust_score.started,p_port_10.started,p_port_10.stopped,disgust_score.response,disgust_score.rt,p_port_7.stopped,p_port_9.stopped,participant,session,date,expName,psychopyVersion,frameRate,
52,0,52,0,,,,,,,,,,,,,,,,778.3416363999713,0.00022040004841983318,0.09922940004616976,784.3579639000818,6.015801400179043,784.5077760000713,0.06296169990673661,0.1656118999235332,6.032245199894533,790.5081698000431,790.5744708999991,0.03477879986166954,0.13210079981945455,1.0,1.198413300095126,,,8768,Visual,2025-01-30_15h17.43.838,Visual_Condition_v2,2022.2.5,30.00734879629124,
53,0,53,0,,,,,,,,,,,,,,,,791.8082588999532,0.00022359983995556831,0.09919059998355806,797.8079351999331,5.999027399811894,797.9245233000256,0.012789499713107944,0.11568549973890185,6.0156854998786,803.9246020999271,804.0244809999131,0.018259599804878235,0.1155928997322917,0.0,1.1650361998472363,6.0990223998669535,,8768,Visual,2025-01-30_15h17.43.838,Visual_Condition_v2,2022.2.5,30.00734879629124,
54,0,54,0,,,,,,,,,,,,,,,,805.224523199955,0.0006699999794363976,0.09706440009176731,811.2412298999261,6.013672800036147,811.3578055999242,0.02900850004516542,0.13027579989284277,6.030343699967489,817.3579601999372,817.441019800026,0.016265499871224165,0.11360919987782836,0.0,0.9650408998131752,,,8768,Visual,2025-01-30_15h17.43.838,Visual_Condition_v2,2022.2.5,30.00734879629124,
55,0,55,0,,,,,,,,,,,,,,,,818.4412749998737,0.00048479996621608734,0.09758879989385605,824.4410488998983,6.014050500001758,824.5910523999482,0.04431639984250069,0.1475286998320371,6.014112199889496,830.5742345000617,830.657794599887,0.01600379985757172,0.114335399819538,0.0,1.0660196000244468,6.097395800054073,,8768,Visual,2025-01-30_15h17.43.838,Visual_Condition_v2,2022.2.5,30.00734879629124,
56,0,56,0,,,,,,,,,,,,,,,,831.7580126998946,0.0004718001000583172,0.09675749996677041,837.7578282000031,6.030199200147763,837.8911820000503,0.0394208999350667,0.13005689997226,6.03000559983775,843.8911717999727,843.9910897999071,0.03288039984181523,0.12997169978916645,0.0,1.4314524999354035,,,8768,Visual,2025-01-30_15h17.43.838,Visual_Condition_v2,2022.2.5,30.00734879629124,
57,0,57,0,,,,,,,,,,,,,,,,845.4578092999291,0.00023579993285238743,0.09919689991511405,851.4745262998622,6.0158057999797165,851.641099399887,0.0789511997718364,0.18252309993840754,6.015808699885383,857.6410588999279,857.6743248000275,0.01804209966212511,0.11568699986673892,0.0,1.3986737001687288,,,8768,Visual,2025-01-30_15h17.43.838,Visual_Condition_v2,2022.2.5,30.00734879629124,
58,0,58,0,,,,,,,,,,,,,,,,859.1076994999312,0.001059400150552392,0.09721190016716719,865.1076273000799,6.030549600021914,865.2409536000341,0.04136139992624521,0.13069909997284412,6.030504300026223,871.240949699888,871.3409758000635,0.0330957998521626,0.13048069993965328,0.0,1.3317728999536484,,,8768,Visual,2025-01-30_15h17.43.838,Visual_Condition_v2,2022.2.5,30.00734879629124,
59,0,59,0,,,,,,,,,,,,,,,,872.7080427000765,0.000606300076469779,0.09698599996045232,878.7076089000329,6.030260100029409,878.8242706998717,0.025189300067722797,0.11377559998072684,6.013540199957788,884.8243298998568,884.9241740000434,0.01595189981162548,0.11344259977340698,0.0,1.29857619991526,,,8768,Visual,2025-01-30_15h17.43.838,Visual_Condition_v2,2022.2.5,30.00734879629124,
60,0,60,0,,,,,,,,,,,,,,,,886.2577321000863,0.0004330000374466181,0.0976888001896441,892.2577867999207,6.031284600030631,892.4074921000283,0.05063450010493398,0.14765179995447397,6.01430210005492,898.407703399891,898.474070499884,0.016959199914708734,0.11410259990952909,0.0,1.065047899959609,,,8768,Visual,2025-01-30_15h17.43.838,Visual_Condition_v2,2022.2.5,30.00734879629124,
61,0,61,0,,,,,,,,,,,,,,,,899.5741975000128,0.00021849991753697395,0.09923149994574487,905.59085649997,6.015875299926847,905.7073291998822,0.029009899822995067,0.1325275998096913,5.999339299742132,911.7074489998631,911.7740841000341,0.0024020997807383537,0.0990913996938616,0.0,0.9976504999212921,,6.099151999922469,8768,Visual,2025-01-30_15h17.43.838,Visual_Condition_v2,2022.2.5,30.00734879629124,
