loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_2.stopped,textbox.started,p_port_2.started,p_port_2.stopped,textbox.stopped,p_port_3.started,p_port_3.stopped,instructions.started,key_resp.started,p_port_4.started,p_port_4.stopped,key_resp.keys,key_resp.rt,cross.started,p_port_6.started,p_port_6.stopped,cross.stopped,p_port_7.started,disgust_image.started,p_port_8.started,p_port_8.stopped,p_port_9.started,disgust_image.stopped,disgust_score.started,p_port_10.started,p_port_10.stopped,disgust_score.response,disgust_score.rt,p_port_7.stopped,p_port_9.stopped,participant,session,date,expName,psychopyVersion,frameRate,
31,0,31,0,,,,,,,,,,,,,,,,,,466.1223516999744,0.0004919000202789903,0.0973632000386715,472.1222127999645,6.030629900051281,472.37241680000443,0.09783640003297478,0.24743080011103302,6.013957100105472,,478.338784600026,0.016464700107462704,0.11374850012362003,0.0,0.9983239000430331,,,3191,Visual,2025-03-03_13h19.34.272,Visual_Condition_v2,2022.2.5,29.999975992851546,
32,0,32,0,,,,,,,,,,,,,,,,,,479.3723811999662,0.0005773999728262424,0.09717650001402944,485.3887464000145,6.0137925000162795,485.50552010000683,0.028498100000433624,0.1308671000879258,6.030430100043304,491.5054014000343,491.6053135000402,0.03314780001528561,0.13043730007484555,0.0,0.831614900031127,,,3191,Visual,2025-03-03_13h19.34.272,Visual_Condition_v2,2022.2.5,29.999975992851546,
33,0,33,0,,,,,,,,,,,,,,,,,,492.4724029999925,0.0005448999581858516,0.09704300004523247,498.47205850004684,6.030429500038736,498.6052311999956,0.02840230008587241,0.13036880001891404,6.030344000086188,504.6053644999629,504.70526900002733,0.031600800110027194,0.1302333000348881,0.0,0.8330215000314638,,,3191,Visual,2025-03-03_13h19.34.272,Visual_Condition_v2,2022.2.5,29.999975992851546,
34,0,34,0,,,,,,,,,,,,,,,,,,505.57240780000575,0.0006386000895872712,0.09733270003926009,511.5886774000246,6.013797900057398,511.7218187999679,0.04910700011532754,0.1470987000502646,6.0138106000376865,517.721967899939,517.7884791999822,0.016216900083236396,0.1137686000438407,0.0,1.865561900078319,,,3191,Visual,2025-03-03_13h19.34.272,Visual_Condition_v2,2022.2.5,29.999975992851546,
35,0,35,0,,,,,,,,,,,,,,,,,,519.6887723000254,0.000623999978415668,0.0973164999159053,525.7052966000047,6.013903399929404,525.8219692000421,0.04019430000334978,0.13058609992731363,6.030598499928601,531.8218795999419,531.9050663999515,0.01622680004220456,0.11370910005643964,0.0,1.431808700086549,,,3191,Visual,2025-03-03_13h19.34.272,Visual_Condition_v2,2022.2.5,29.999975992851546,
36,0,36,0,,,,,,,,,,,,,,,,,,533.3719492999371,0.0005449000746011734,0.09758930001407862,539.3719172000419,6.030969500076026,539.5051848000148,0.030142900068312883,0.1309281000867486,6.030940300086513,545.5052581999917,545.6051761000417,0.033979800064116716,0.13082470011431724,0.0,1.2979671000503004,,,3191,Visual,2025-03-03_13h19.34.272,Visual_Condition_v2,2022.2.5,29.999975992851546,
37,0,37,0,,,,,,,,,,,,,,,,,,546.9385223999852,0.00024389999452978373,0.0992534999968484,552.9386167000048,5.999168900074437,553.0717000999721,0.02999240008648485,0.13248870009556413,5.99910620006267,559.0717956000008,559.1383381000487,0.002328000031411648,0.09929030004423112,0.0,1.6644939999096096,,6.099333700025454,3191,Visual,2025-03-03_13h19.34.272,Visual_Condition_v2,2022.2.5,29.999975992851546,
38,0,38,0,,,,,,,,,,,,,,,,,,560.8386804000475,0.00022410007659345865,0.09928920003585517,566.8550818000222,6.016088000033051,566.9716970999725,0.02991090004798025,0.1325722000328824,5.999189100111835,572.9717416999629,573.0383584999945,0.0024726000847294927,0.09908550011459738,0.0,1.7314340000739321,,6.09924080001656,3191,Visual,2025-03-03_13h19.34.272,Visual_Condition_v2,2022.2.5,29.999975992851546,
39,0,39,0,,,,,,,,,,,,,,,,,,574.8053183000302,0.0005982998991385102,0.09713229991029948,580.805066299974,6.030507599934936,580.9385334999533,0.02760799997486174,0.13057359994854778,6.030360799981281,586.9383443000261,587.0382997000124,0.03291850001551211,0.1303493999876082,0.0,1.831836499972269,,,3191,Visual,2025-03-03_13h19.34.272,Visual_Condition_v2,2022.2.5,29.999975992851546,
40,0,40,0,,,,,,,,,,,,,,,,,,588.9052992999787,0.0005672000115737319,0.09741090005263686,594.9216325000161,6.01416669995524,595.0382656999864,0.031839100061915815,0.13063380005769432,6.030596900032833,601.0383023000322,601.1382096000016,0.033202400081790984,0.1305864000460133,0.0,1.6984140999848023,,,3191,Visual,2025-03-03_13h19.34.272,Visual_Condition_v2,2022.2.5,29.999975992851546,
41,0,41,0,,,,,,,,,,,,,,,,,,602.8715241999598,0.00017039990052580833,0.11628879990894347,608.8882792999502,6.016167699941434,609.0048411999596,0.029324200004339218,0.13277659995947033,5.999471299932338,615.0049016999546,615.0714711999753,0.002848000032827258,0.09944749996066093,0.0,1.530909499968402,,6.099474099930376,3191,Visual,2025-03-03_13h19.34.272,Visual_Condition_v2,2022.2.5,29.999975992851546,
42,0,42,0,,,,,,,,,,,,,,,,,,616.638610700029,0.00021970004308968782,0.09931310010142624,622.6382091999985,5.999094300088473,622.7547691999935,0.018145000096410513,0.11578040011227131,6.015716300113127,628.7549703000113,628.8548478999874,0.01843900012318045,0.1159495001193136,0.0,1.7982010999694467,6.098940600058995,,3191,Visual,2025-03-03_13h19.34.272,Visual_Condition_v2,2022.2.5,29.999975992851546,
43,0,43,0,,,,,,,,,,,,,,,,,,630.6884820000269,0.0005412000464275479,0.09723850002046674,636.6881847999757,6.030540999956429,636.8380802000174,0.054509000037796795,0.14709800004493445,6.01382500003092,642.8381157999393,642.9047559000319,0.01636880007572472,0.11373600002843887,0.0,1.5983097999123856,,,3191,Visual,2025-03-03_13h19.34.272,Visual_Condition_v2,2022.2.5,29.999975992851546,
44,0,44,0,,,,,,,,,,,,,,,,,,644.5381681999424,0.0010297000408172607,0.09693260001949966,650.5382563000312,6.030622499994934,650.6880322999787,0.05701400001998991,0.1470991000533104,6.013680400094017,656.6880541000282,656.7546273999615,0.016356700100004673,0.1135700000450015,0.0,1.7316671999869868,,,3191,Visual,2025-03-03_13h19.34.272,Visual_Condition_v2,2022.2.5,29.999975992851546,
45,0,45,0,,,,,,,,,,,,,,,,,,658.5216758999741,0.0003831000067293644,0.09828640008345246,664.5215175000485,6.0317639000713825,664.671325000003,0.057645800057798624,0.14822010009083897,6.014838100061752,670.6713387999916,670.7380360999377,0.017796300118789077,0.11478570010513067,0.0,1.4981449000770226,,,3191,Visual,2025-03-03_13h19.34.272,Visual_Condition_v2,2022.2.5,29.999975992851546,
