loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,sync_beep_4.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,player_image_offer.stopped,player_name_offer.stopped,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,player_image_intro.stopped,player_name_intro.stopped,Instructions_Affinity_Score.stopped,p_port_6.stopped,p_port_10.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,16.747356599662453,0.000860600033774972,0.10796039993874729,17.064607299864292,17.331212060013787,17.93109065988101,18.231081099947914,18.547885759919883,18.864521899959072,18.864521899959072,0.010874100029468536,0.1081415000371635,33.88121459982358,15.024773599812761,33.964548599906266,0.00822839979082346,0.10808309982530773,34.43126729992218,space,9.431346599943936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,666,Moral,2024-09-19_16h32.50.514,MoralCondition_v2,2022.2.5,30.013563110154486,
4,0,4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,199.1314085999038,0.00013509998098015785,0.0993423000909388,205.13110729982145,5.999252900015563,205.28110439982265,205.28110439982265,0.050335099920630455,0.14935079985298216,6.015874299919233,211.39763699984178,211.39763699984178,211.39763699984178,0.06979139987379313,0.16591269988566637,217.0977940999437,217.2977483998984,5.999232299858704,6.099190699867904,223.29778169980273,11.999266299884766,223.3979056000244,223.3979056000244,223.4311148999259,223.4311148999259,0.00031629973091185093,0.09917399985715747,down,1.2469645999372005,224.71444399980828,3.600004129111767e-05,0.0979261000175029,230.74779699998908,230.74779699998908,0.025835599983111024,0.13110939995385706,4.0,1.4062797999940813,,,,,,,211.28109599999152,211.28109599999152,,6.099332000128925,12.099416199838743,666,Moral,2024-09-19_16h32.50.514,MoralCondition_v2,2022.2.5,30.013563110154486,
4,0,4,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.19779559993185,232.19779559993185,0.00780980009585619,0.11439110012724996,4.0,0.24072590004652739,,,,,,,,,,,,666,Moral,2024-09-19_16h32.50.514,MoralCondition_v2,2022.2.5,30.013563110154486,
4,0,4,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.46429919986986,232.46429919986986,0.007217200007289648,0.09757250011898577,4.0,0.2914575000759214,,,,,,,,,,,,666,Moral,2024-09-19_16h32.50.514,MoralCondition_v2,2022.2.5,30.013563110154486,
4,0,4,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.7978391998913,232.7978391998913,0.007879100041463971,0.09762099990621209,4.0,0.25715459999628365,,,,,,,,,,,,666,Moral,2024-09-19_16h32.50.514,MoralCondition_v2,2022.2.5,30.013563110154486,
4,0,4,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.09773779986426,233.09773779986426,0.007476000115275383,0.09757510013878345,4.0,0.22464450006373227,,,,,,,,,,,,666,Moral,2024-09-19_16h32.50.514,MoralCondition_v2,2022.2.5,30.013563110154486,
4,0,4,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.36427899985574,233.36427899985574,0.006648299982771277,0.0993284999858588,4.0,0.32702720002271235,,,,,,,,,,,,666,Moral,2024-09-19_16h32.50.514,MoralCondition_v2,2022.2.5,30.013563110154486,
4,0,4,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.7309202000033,233.7309202000033,0.0064045998733490705,0.09916149987839162,4.0,0.29377060011029243,,,,,,,,,,,,666,Moral,2024-09-19_16h32.50.514,MoralCondition_v2,2022.2.5,30.013563110154486,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.06441729981452,234.06441729981452,0.0007211000192910433,0.09917900012806058,4.0,0.8662437000311911,,,,,,666,Moral,2024-09-19_16h32.50.514,MoralCondition_v2,2022.2.5,30.013563110154486,
5,0,5,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,234.96472529997118,0.00013739988207817078,0.09933939995244145,240.98108249995857,6.015965599799529,241.1812286998611,241.1812286998611,0.10306289978325367,0.2159812997560948,6.015944799873978,247.24766819993965,247.24766819993965,247.24766819993965,0.0725876996293664,0.1826409997884184,252.94774799980223,253.14771489985287,6.0159538998268545,6.116043199785054,259.1477756998502,12.016013799700886,259.2477575999219,259.2477575999219,259.28107259981334,259.28107259981334,0.016270799562335014,0.11590889957733452,down,2.133594600018114,261.44772159983404,4.710000939667225e-05,0.09748939983546734,267.4643582999706,267.4643582999706,0.010519499890506268,0.11399989994242787,2.0,1.9381068001966923,,,,,,,,,267.4643582999706,,,666,Moral,2024-09-19_16h32.50.514,MoralCondition_v2,2022.2.5,30.013563110154486,
5,0,5,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269.4312596998643,269.4312596998643,0.006768400082364678,0.09816740010865033,2.0,0.1925097000785172,,,,,,,,,,,,666,Moral,2024-09-19_16h32.50.514,MoralCondition_v2,2022.2.5,30.013563110154486,
