loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,textbox.started,p_port_2.started,p_port_2.stopped,textbox.stopped,p_port_3.started,instructions.started,key_resp.started,p_port_4.started,p_port_4.stopped,key_resp.keys,key_resp.rt,cross.started,p_port_6.started,p_port_6.stopped,cross.stopped,p_port_7.started,disgust_image.started,p_port_8.started,p_port_8.stopped,disgust_image.stopped,p_port_9.started,disgust_score.started,p_port_10.started,p_port_10.stopped,disgust_score.response,disgust_score.rt,p_port_9.stopped,p_port_7.stopped,participant,session,date,expName,psychopyVersion,frameRate,
9,0,9,0,,,,,,,,,,,,,,,,,162.0928595999976,0.00023470000087399967,0.09917769999810844,168.10921400000007,6.015752600000269,168.22571590000007,0.0432360000013432,0.13257630000225618,174.2258692999967,5.999017199999798,174.2924628999972,0.002303500001289649,0.09904230000393,3.0,3.197708600000624,6.099013600000035,,677,Visual,2024-09-06_15h17.33.866,Visual_Condition_v2,2022.2.5,29.973350694013963,
10,0,10,0,,,,,,,,,,,,,,,,,177.5261935999988,0.00022670000180369243,0.09924959999989369,183.52585869999893,5.999361199999839,183.64263939999728,0.016332900002453243,0.1161463000025833,189.64258979999795,6.015919000001304,189.74243649999698,0.01855210000576335,0.11585680000280263,0.0,2.798482900001545,,6.09918430000107,677,Visual,2024-09-06_15h17.33.866,Visual_Condition_v2,2022.2.5,29.973350694013963,
11,0,11,0,,,,,,,,,,,,,,,,,192.57615309999892,0.00021719999858760275,0.09931569999753265,198.57583149999846,5.999244899998303,198.69249809999747,0.016301600000588223,0.11590499999874737,204.69253659999958,6.015888000001723,204.79232249999768,0.017508000000816537,0.11578170000211685,2.0,1.465905200002453,,6.099190099997941,677,Visual,2024-09-06_15h17.33.866,Visual_Condition_v2,2022.2.5,29.973350694013963,
12,0,12,0,,,,,,,,,,,,,,,,,206.29275779999807,0.000629599999228958,0.09693010000046343,212.2924553999983,6.030264799999713,212.4257323999991,0.04024140000183252,0.1303077000011399,218.4257860999969,6.030359300002601,218.5257380999974,0.032985900001222035,0.1302263000034145,3.0,1.598217200000363,,,677,Visual,2024-09-06_15h17.33.866,Visual_Condition_v2,2022.2.5,29.973350694013963,
13,0,13,0,,,,,,,,,,,,,,,,,220.1591864999973,0.0007568999972136226,0.09915089999776683,226.1591374999989,5.999153499997192,226.27575889999935,0.02387829999861424,0.11598220000087167,232.2758004999996,6.0158011999992596,232.3756672999989,0.018245800001750467,0.11573770000177319,0.0,0.9984896000023582,,6.099137399996835,677,Visual,2024-09-06_15h17.33.866,Visual_Condition_v2,2022.2.5,29.973350694013963,
14,0,14,0,,,,,,,,,,,,,,,,,233.4093009999997,0.000483600000734441,0.0972641999978805,239.4257359999974,6.0139290999977675,239.5424417999966,0.02962660000048345,0.13059900000007474,245.5424192999999,6.030604600000515,245.642356999997,0.03362650000053691,0.130528100002266,0.0,2.0978273000000627,,,677,Visual,2024-09-06_15h17.33.866,Visual_Condition_v2,2022.2.5,29.973350694013963,
15,0,15,0,,,,,,,,,,,,,,,,,247.77603610000006,0.0003692999998747837,0.09779880000132835,253.79241049999837,6.0145044999990205,253.94242269999813,0.06109690000084811,0.16475400000126683,259.9423594999971,6.031174800002191,259.99230219999663,0.017189100002724444,0.11461330000383896,2.0,1.1983145999984117,,,677,Visual,2024-09-06_15h17.33.866,Visual_Condition_v2,2022.2.5,29.973350694013963,
16,0,16,0,,,,,,,,,,,,,,,,,261.2259582999977,0.0004692999973485712,0.09733839999898919,267.22558229999777,6.013895099997171,267.34229069999856,0.010586799999146024,0.1140025999993668,273.34237779999967,6.014057100001082,273.44229939999786,0.015538400002697017,0.11396410000088508,0.0,1.3657569999995758,,6.097115599997778,677,Visual,2024-09-06_15h17.33.866,Visual_Condition_v2,2022.2.5,29.973350694013963,
17,0,17,0,,,,,,,,,,,,,,,,,274.84256679999817,0.0005634000008285511,0.09708210000098916,280.8591811999977,6.013764499999525,280.9756972999967,0.029392700002063066,0.13067030000092927,286.975659599997,6.030430700000579,287.07558900000004,0.03318530000251485,0.13048130000242963,0.0,1.1984610999970755,,,677,Visual,2024-09-06_15h17.33.866,Visual_Condition_v2,2022.2.5,29.973350694013963,
18,0,18,0,,,,,,,,,,,,,,,,,288.30922069999724,0.0006073999975342304,0.0969714999991993,294.292228899998,6.01383419999911,294.5759536999976,0.12514720000035595,0.2638065999999526,,6.03029940000124,300.54220489999716,0.03297660000316682,0.13021560000197496,1.0,1.5650531999999657,,,677,Visual,2024-09-06_15h17.33.866,Visual_Condition_v2,2022.2.5,29.973350694013963,
19,0,19,0,,,,,,,,,,,,,,,,,302.14253409999947,0.00022290000197244808,0.09911940000165487,308.14224209999884,5.999002300002758,308.27583909999885,0.023332600001594983,0.13238490000367165,314.2756605999966,5.999081300004036,314.3421840999981,0.0020069000056537334,0.09892790000230889,1.0,1.0645629999999073,6.099020200002997,6.09903530000156,677,Visual,2024-09-06_15h17.33.866,Visual_Condition_v2,2022.2.5,29.973350694013963,
20,0,20,0,,,,,,,,,,,,,,,,,315.4425811999972,0.000522300000739051,0.09764460000224062,321.4589406999985,6.014128400001937,321.5756647999988,0.036102100002608495,0.1310181000008015,327.57558509999944,6.030800700002146,327.6754363,0.031695900004706345,0.13066310000431258,1.0,0.6333018000004813,,,677,Visual,2024-09-06_15h17.33.866,Visual_Condition_v2,2022.2.5,29.973350694013963,
