loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,textbox.started,p_port_2.started,p_port_2.stopped,textbox.stopped,p_port_3.started,instructions.started,key_resp.started,p_port_4.started,p_port_4.stopped,key_resp.keys,key_resp.rt,cross.started,p_port_6.started,p_port_6.stopped,cross.stopped,p_port_7.started,disgust_image.started,p_port_8.started,p_port_8.stopped,p_port_9.started,disgust_score.started,p_port_10.started,p_port_10.stopped,disgust_score.response,disgust_score.rt,p_port_7.stopped,disgust_image.stopped,p_port_9.stopped,participant,session,date,expName,psychopyVersion,frameRate,
9,0,9,0,,,,,,,,,,,,,,,,,,174.82128440000815,0.0002270000404678285,0.09917070000665262,180.82099119998747,6.032414000015706,180.97080989996903,0.06007420003879815,0.14919390005525202,6.015600900049321,187.03758609999204,0.01874980004504323,0.11542930005816743,0.0,1.5644745999597944,,186.97097959998064,,4186,Visual,2024-07-22_15h32.21.325,Visual_Condition_v2,2022.2.5,29.962591705435134,
10,0,10,0,,,,,,,,,,,,,,,,,,188.6379939999897,0.000507500022649765,0.09739449998596683,194.63763549999567,6.030612500035204,194.77080950001255,0.03620610001962632,0.13053380005294457,6.030572900024708,200.87084930000128,0.03327700006775558,0.13040580006781965,0.0,1.4981942999875173,,200.77096080000047,,4186,Visual,2024-07-22_15h32.21.325,Visual_Condition_v2,2022.2.5,29.962591705435134,
11,0,11,0,,,,,,,,,,,,,,,,,,202.40443120000418,0.00048049999168142676,0.09755469998344779,208.40429320000112,6.030827299982775,208.55427049996797,0.045964900054968894,0.14760770002612844,6.014044700015802,214.6207504000049,0.01662070007296279,0.11395480006467551,0.0,1.6316908999579027,,214.5542536000139,,4186,Visual,2024-07-22_15h32.21.325,Visual_Condition_v2,2022.2.5,29.962591705435134,
12,0,12,0,,,,,,,,,,,,,,,,,,216.28757190000033,0.0007748000207357109,0.09708500001579523,222.3044205000042,6.01383920002263,222.42074299999513,0.03045290004229173,0.13044770003762096,6.030428900034167,228.52079579996644,0.03278190002311021,0.13046360004227608,2.0,1.6985750999883749,,228.42089760000817,,4186,Visual,2024-07-22_15h32.21.325,Visual_Condition_v2,2022.2.5,29.962591705435134,
13,0,13,0,,,,,,,,,,,,,,,,,,230.25455919996602,0.0002209999947808683,0.0992291999864392,236.25416459998814,5.999012199987192,236.37075669999467,0.013567899994086474,0.11582010000711307,6.015833300014492,242.47062579996418,0.01832320005632937,0.11565660004271194,0.0,1.3315822999575175,6.099006499978714,242.37089760001982,,4186,Visual,2024-07-22_15h32.21.325,Visual_Condition_v2,2022.2.5,29.962591705435134,
14,0,14,0,,,,,,,,,,,,,,,,,,243.83788429998094,0.0004112999886274338,0.09774320002179593,249.83743469999172,6.030953600013163,249.9539454000187,0.025118499994277954,0.11438520002411678,6.014454600051977,256.0373353000032,0.00023310002870857716,0.09747570002218708,0.0,1.164918900001794,,255.93756819999544,6.097451900015585,4186,Visual,2024-07-22_15h32.21.325,Visual_Condition_v2,2022.2.5,29.962591705435134,
15,0,15,0,,,,,,,,,,,,,,,,,,257.2377357999794,0.0005920999683439732,0.09752069995738566,263.22059149999404,6.013850299990736,263.7873038999969,0.29914189997361973,0.5472987000248395,6.030673999979626,269.43357029999606,0.012868100020568818,0.09344180003972724,0.0,1.585454399988521,6.097244499949738,,,4186,Visual,2024-07-22_15h32.21.325,Visual_Condition_v2,2022.2.5,29.962591705435134,
16,0,16,0,,,,,,,,,,,,,,,,,,271.0710273999721,0.00047800003085285425,0.09782359999371693,277.08750369999325,6.014012500003446,277.20401980000315,0.02914050006074831,0.13079570000991225,6.030656700022519,283.30396089999704,0.03208850004011765,0.1306037000613287,1.0,2.2327276000287384,,283.2039990000194,,4186,Visual,2024-07-22_15h32.21.325,Visual_Condition_v2,2022.2.5,29.962591705435134,
17,0,17,0,,,,,,,,,,,,,,,,,,285.5709252000088,0.0006315000355243683,0.09718760004034266,291.58727680001175,6.01357090001693,291.704193499987,0.03137480007717386,0.13027090003015473,6.0301095000468194,297.78720109997084,0.016446400084532797,0.11372370005119592,2.0,1.4980853000306524,,297.68715710000833,,4186,Visual,2024-07-22_15h32.21.325,Visual_Condition_v2,2022.2.5,29.962591705435134,
18,0,18,0,,,,,,,,,,,,,,,,,,299.32082279998576,0.0005428000004030764,0.09721060004085302,305.33723000000464,6.013571000017691,305.45384540001396,0.031484800041653216,0.1302899000584148,6.0303407000610605,311.5538142999867,0.03318240004591644,0.13009810005314648,0.0,1.264981499989517,,311.45388029998867,,4186,Visual,2024-07-22_15h32.21.325,Visual_Condition_v2,2022.2.5,29.962591705435134,
