loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_2.stopped,textbox.started,p_port_2.started,p_port_2.stopped,textbox.stopped,p_port_3.started,instructions.started,key_resp.started,p_port_4.started,p_port_4.stopped,key_resp.keys,key_resp.rt,cross.started,p_port_6.started,p_port_6.stopped,cross.stopped,p_port_7.started,disgust_image.started,p_port_8.started,p_port_8.stopped,p_port_9.started,disgust_score.started,p_port_10.started,p_port_10.stopped,disgust_score.response,disgust_score.rt,disgust_image.stopped,p_port_7.stopped,p_port_9.stopped,participant,session,date,expName,psychopyVersion,frameRate,
9,0,9,0,,,,,,,,,,,,,,,,,186.5462728999555,0.0005944001022726297,0.0969424000941217,192.54617930017412,6.030253700213507,192.69608350005,0.04729910008609295,0.14692319999448955,6.013505300041288,198.76275640004314,0.016302600037306547,0.11352350004017353,0.0,1.6649449998512864,198.69617939996533,,,669,Visual,2024-02-20_12h15.58.812,Visual_Condition_v2,2022.2.5,29.96241214331243,
10,0,10,0,,,,,,,,,,,,,,,,,200.4631895001512,0.0005139000713825226,0.09739500004798174,206.47951500001363,6.013872700044885,206.59611640009098,0.03245249995961785,0.13050520000979304,6.03065300011076,212.69633000018075,0.033060999820008874,0.13080809987150133,3.0,2.0320146000012755,212.5961896001827,,,669,Visual,2024-02-20_12h15.58.812,Visual_Condition_v2,2022.2.5,29.96241214331243,
11,0,11,0,,,,,,,,,,,,,,,,,214.76315430016257,0.000242199981585145,0.09889240004122257,220.7628181001637,6.032263700151816,220.91281510004774,0.050930900033563375,0.14879680005833507,6.015483000082895,226.9793138001114,0.017162299947813153,0.11542949988506734,4.0,2.2993427999317646,226.91289740009233,,,669,Visual,2024-02-20_12h15.58.812,Visual_Condition_v2,2022.2.5,29.96241214331243,
12,0,12,0,,,,,,,,,,,,,,,,,229.3130757000763,0.00024070008657872677,0.09912200015969574,235.32953190011904,6.015658900141716,235.4960358000826,0.06194759998470545,0.1825530999340117,6.015507000032812,241.52921710000373,0.017445100005716085,0.11569119989871979,4.0,1.599239599891007,241.4960040000733,,,669,Visual,2024-02-20_12h15.58.812,Visual_Condition_v2,2022.2.5,29.96241214331243,
13,0,13,0,,,,,,,,,,,,,,,,,243.16299800015986,0.0005012000910937786,0.09742350014857948,249.16272959997877,6.030784800183028,249.29597890004516,0.03615109995007515,0.1307872999459505,6.030676400056109,255.3960125001613,0.033471299801021814,0.130669399863109,3.0,2.731532400008291,255.2960471000988,,,669,Visual,2024-02-20_12h15.58.812,Visual_Condition_v2,2022.2.5,29.96241214331243,
14,0,14,0,,,,,,,,,,,,,,,,,258.1629536000546,0.0004129998851567507,0.09764569997787476,264.17935750004835,6.014205599902198,264.7128728001844,0.28874669992364943,0.5477697998285294,6.010536899790168,270.3792439000681,0.01707079983316362,0.11423129984177649,1.0,1.164863099809736,,,6.093794099986553,669,Visual,2024-02-20_12h15.58.812,Visual_Condition_v2,2022.2.5,29.96241214331243,
15,0,15,0,,,,,,,,,,,,,,,,,271.5797079000622,0.00024780002422630787,0.09907530015334487,277.595987000037,6.015694200061262,277.7124995000195,0.03395189996808767,0.13236310007050633,5.999286900041625,283.779207700165,0.0027539997827261686,0.09892659983597696,4.0,1.1973317998927087,283.71271790005267,,6.098986400058493,669,Visual,2024-02-20_12h15.58.812,Visual_Condition_v2,2022.2.5,29.96241214331243,
16,0,16,0,,,,,,,,,,,,,,,,,285.01292999996804,0.00022300006821751595,0.09941480006091297,291.0126139000058,5.999149800045416,291.12915350007825,0.015261199790984392,0.11599949980154634,6.015784899936989,297.22915040003136,0.01866469974629581,0.11572509980760515,0.0,2.064903900027275,297.1292193001136,6.0991412999574095,,669,Visual,2024-02-20_12h15.58.812,Visual_Condition_v2,2022.2.5,29.96241214331243,
17,0,17,0,,,,,,,,,,,,,,,,,299.32950310013257,0.00023920019157230854,0.09910510014742613,305.32921490003355,5.999042900046334,305.44583109999076,0.022468300070613623,0.11561980005353689,6.0155817999038845,311.5290940001141,0.0017761997878551483,0.09900279995054007,0.0,1.231502499897033,311.42908559995703,6.099048300180584,6.09892369993031,669,Visual,2024-02-20_12h15.58.812,Visual_Condition_v2,2022.2.5,29.96241214331243,
18,0,18,0,,,,,,,,,,,,,,,,,312.7962438000832,0.000642299884930253,0.09713359992019832,318.81249799998477,6.01370759983547,318.92919349996373,0.039851199835538864,0.13061119988560677,6.030336999800056,325.029039000161,0.033267899649217725,0.13036489975638688,1.0,0.9318454000167549,324.92911200015806,,,669,Visual,2024-02-20_12h15.58.812,Visual_Condition_v2,2022.2.5,29.96241214331243,
19,0,19,0,,,,,,,,,,,,,,,,,325.9959897999652,0.00024279998615384102,0.09921519993804395,331.99575600004755,5.999330600025132,332.11233959998935,0.017343099927529693,0.1158369998447597,6.015919599914923,338.2124765999615,0.018659199820831418,0.11580639984458685,0.0,1.1314703999087214,338.11244329996407,6.099146199878305,,669,Visual,2024-02-20_12h15.58.812,Visual_Condition_v2,2022.2.5,29.96241214331243,
20,0,20,0,,,,,,,,,,,,,,,,,339.3791505000554,0.00080289994366467,0.09695739997550845,345.39588219998404,6.013592999894172,345.51228790008463,0.03222769987769425,0.13027439988218248,6.030227599898353,351.61229560012,0.032922599697485566,0.1302358997054398,4.0,1.3982269000262022,351.5123833999969,,,669,Visual,2024-02-20_12h15.58.812,Visual_Condition_v2,2022.2.5,29.96241214331243,
21,0,21,0,,,,,,,,,,,,,,,,,353.0459350000601,0.0005055998917669058,0.09731929982081056,359.0623922999948,6.013902199920267,359.1790319001302,0.029131499817594886,0.13076669978909194,6.03048129985109,365.27888880018145,0.03332649962976575,0.13063109968788922,0.0,1.3313649001065642,365.1790326000191,,,669,Visual,2024-02-20_12h15.58.812,Visual_Condition_v2,2022.2.5,29.96241214331243,
22,0,22,0,,,,,,,,,,,,,,,,,366.6459709999617,0.0002500000409781933,0.09923090017400682,372.6455501001328,6.015993400011212,372.7621928001754,0.013509799959138036,0.1158710999879986,6.015877299942076,378.86226640013047,0.017474299995228648,0.11597469984553754,0.0,1.566046099876985,378.7622509000357,6.099085500231013,,669,Visual,2024-02-20_12h15.58.812,Visual_Condition_v2,2022.2.5,29.96241214331243,
23,0,23,0,,,,,,,,,,,,,,,,,380.46257039997727,0.0006353000644594431,0.0971985999494791,386.4454018000979,6.013583200052381,386.59562800009735,0.030712499981746078,0.1304909000173211,6.030485099880025,392.6789540001191,0.015447899932041764,0.11413259990513325,2.0,1.3994708000682294,392.59558870014735,,,669,Visual,2024-02-20_12h15.58.812,Visual_Condition_v2,2022.2.5,29.96241214331243,
24,0,24,0,,,,,,,,,,,,,,,,,394.1126425000839,0.00024319998919963837,0.09891499998047948,400.09549110010266,6.015563500113785,400.2456025001593,0.034456999972462654,0.1322429000865668,5.99903369997628,406.31216670013964,0.0024052998051047325,0.09897539997473359,2.0,1.4641950000077486,406.2455551000312,,6.098928600084037,669,Visual,2024-02-20_12h15.58.812,Visual_Condition_v2,2022.2.5,29.96241214331243,
25,0,25,0,,,,,,,,,,,,,,,,,407.8122266000137,0.0002164000179618597,0.09888399997726083,413.8288748001214,6.015491700032726,413.94543009996414,0.030689700040966272,0.13214999996125698,6.032145400065929,420.0454924001824,0.03491739998571575,0.1321555997710675,4.0,1.6317080000881106,419.94550719996914,,,669,Visual,2024-02-20_12h15.58.812,Visual_Condition_v2,2022.2.5,29.96241214331243,
26,0,26,0,,,,,,,,,,,,,,,,,421.7124163999688,0.0002167997881770134,0.09932079981081188,427.7121451999992,5.999022099887952,427.82884329999797,0.015195599757134914,0.11591199971735477,6.015680799726397,433.9286659001373,0.018583499593660235,0.11569149978458881,3.0,1.1654189999680966,433.8287829000037,6.099143899977207,,669,Visual,2024-02-20_12h15.58.812,Visual_Condition_v2,2022.2.5,29.96241214331243,
