Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,cross.started,p_port_4.started,p_port_4.stopped,cross.stopped,p_port_5.started,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Begin_Rinse.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,taste_sound_3.stopped,p_port_14.stopped,p_port_18.stopped,p_port_5.stopped,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,participant,session,date,expName,psychopyVersion,frameRate,
1,0,1,0,4,0,4,0,,,,,,,,,,,,929.9926950000226,0.014291899744421244,0.11377759976312518,936.0095613999292,6.030445999931544,936.0930102001876,936.0930102001876,0.01381869986653328,0.11378229968249798,space,2.660579000134021,938.7926537999883,938.7926537999883,3.9400067180395126e-05,0.09805099992081523,num_9,1.3527476997114718,940.2093521899544,0.0029045999981462955,0.09795180009678006,,940.9925525899046,941.2925995998085,941.7926179899835,942.1926092002541,950.2092932998203,950.2092932998203,950.209310789872,0.00023170001804828644,0.0979614001698792,951.2091343998909,952.2091272999533,952.3758086999878,952.8759181001224,10.014314800035208,960.3092184998095,0.0009518996812403202,960.3092184998095,0.0980120999738574,2.0,2.198166400194168,962.542758599855,0.0026213000528514385,0.0982503998093307,968.5593852000311,968.7258488901891,6.214907499961555,6.314723200164735,969.742475700099,988.7255633899942,988.7089669001289,26.21461599972099,26.314872900024056,989.7424832000397,991.725771300029,991.725771300029,0.014932699967175722,0.11486919969320297,1021.7256940999068,30.01480219978839,942.0924626998603,,10.097896299790591,,,,,,,1981,Gustatory,2024-08-20_11h33.10.589,Gustatory_Condition_v2,2022.2.5,30.028704429907222,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1021.8590128999203,0.014784099534153938,0.11480039963498712,1051.8588000000454,30.014634099788964,1981,Gustatory,2024-08-20_11h33.10.589,Gustatory_Condition_v2,2022.2.5,30.028704429907222,
2,0,2,0,0,0,0,0,,,,,,,,,,,,1051.9589456999674,0.016667399555444717,0.11471009952947497,1057.9588703000918,6.014612399507314,1058.059055400081,1058.059055400081,0.014675099402666092,0.11470669927075505,space,2.2379452995955944,1060.3588616000488,1060.3588616000488,4.550023004412651e-05,0.09773349994793534,num_9,1.6664158995263278,1062.0590130899102,0.002385800238698721,0.09741310030221939,1062.3587609999813,1062.8420651902445,1063.1421396001242,1063.658940090146,1064.0421557999216,1072.0422939001583,1072.0422939001583,1072.0422521902249,0.01427880022674799,0.1140294000506401,1073.0422783000395,1074.0420983000658,1074.2421936998144,1074.7420720001683,10.030662400182337,1082.1920484001748,0.033445899840444326,1082.1920484001748,0.1306419000029564,3.0,5.33161889994517,1087.5589820002206,0.003512800205498934,0.09790110029280186,1093.5420981999487,1093.7586847900413,6.231137500144541,6.331085099838674,,1113.7419599902817,1113.742061600089,26.214512799866498,26.314343499951065,,1116.742106600199,1116.742106600199,0.014560699928551912,0.11437120009213686,1146.7584628998302,30.03089139983058,1063.9587385999039,,,,,,,,,1981,Gustatory,2024-08-20_11h33.10.589,Gustatory_Condition_v2,2022.2.5,30.028704429907222,
2,0,2,0,1,0,1,0,,,,,,,,,,,,1146.8918344001286,0.03160399990156293,0.13087449967861176,1152.908454200253,6.014269799925387,1152.9751793998294,1152.9751793998294,0.014376099687069654,0.11418609973043203,space,0.9468228993937373,1153.975229700096,1153.975229700096,1.1899974197149277e-05,0.09943060018122196,num_9,1.7543123997747898,1155.775176090002,0.002575499936938286,0.09825969999656081,1156.0917577999644,1156.5584726899863,1156.8583994000219,1157.3583779901267,1157.7584273000248,1165.758426700253,1165.758426700253,1165.7587539901026,0.01495649991557002,0.11488279979676008,1166.7751373001374,1167.7581627001055,1167.9750593001954,1168.4919439000078,10.014736899640411,1175.8749353000894,-0.0005095000378787518,1175.8749353000894,0.0981216998770833,4.0,1.4329980998300016,1177.3419710001908,0.0025646002031862736,0.09789870027452707,1183.3416589000262,1183.5250001901761,6.214774900116026,6.3145822999067605,1184.525000500027,1203.5249184899033,1203.5249132998288,26.214510399848223,26.31446069991216,1204.5415834998712,1206.524980599992,1206.524980599992,0.014615499880164862,0.11447930010035634,1236.5415735999122,30.031200499739498,1157.674961599987,,10.097953899763525,,,,,,,1981,Gustatory,2024-08-20_11h33.10.589,Gustatory_Condition_v2,2022.2.5,30.028704429907222,
2,0,2,0,2,0,2,0,,,,,,,,,,,,1236.6581600001082,0.015110199805349112,0.11436139978468418,1242.6581319002435,6.014561199583113,1242.7584616001695,1242.7584616001695,0.015030599664896727,0.11432789964601398,space,0.9154153000563383,1243.7248391001485,1243.7248391001485,3.949971869587898e-05,0.09797909995540977,num_9,1.5086120995692909,1245.2914680901915,0.0026104003190994263,0.09807160031050444,1245.5912689999677,1246.0749084901065,1246.3747188998386,1246.874803890288,1247.2914241999388,1255.2914006998762,1255.2914006998762,1255.291404490173,0.0015497999265789986,0.09804810024797916,1256.291320499964,1257.2913639000617,1257.4747267998755,1257.9747627000324,10.03133979998529,1265.4080215999857,0.017245099879801273,1265.4080215999857,0.11463569989427924,6.0,2.698397300206125,1268.1417185999453,0.0028287996537983418,0.09765789983794093,1274.124468400143,1274.324510589987,6.214137499686331,6.2974887997843325,1275.3246245002374,1294.3246715900489,1294.3245741999708,26.214229499921203,26.314382900018245,1295.3245123000816,1297.3244468001649,1297.3244468001649,0.01405159942805767,0.11417579976841807,1327.324480799958,30.014134399592876,1247.1914784000255,,,,,,,,,1981,Gustatory,2024-08-20_11h33.10.589,Gustatory_Condition_v2,2022.2.5,30.028704429907222,
2,0,2,0,3,0,3,0,,,,,,,,,,,,1327.4744541998953,0.03152369940653443,0.13069199956953526,1333.4576186002232,6.0138932997360826,1333.5412273001857,1333.5412273001857,0.0311700995080173,0.13053339952602983,space,0.876106399577111,1334.4577492000535,1334.4577492000535,3.390014171600342e-05,0.09783300012350082,num_9,1.7199472994543612,1336.224428990204,0.001914499793201685,0.0981470001861453,1336.5244125002064,1337.0076263898984,1337.32435180014,1337.8077573900111,1338.2244080998935,1346.2243840000592,1346.2243840000592,1346.2243737902493,0.0015747998841106892,0.0981224998831749,1347.2243208000436,1348.2412049002014,1348.4076753002591,1348.9243649002165,10.014771699905396,1356.3575281002559,0.03473649965599179,1356.3575281002559,0.131322399713099,6.0,2.497680100146681,1358.891347900033,0.0030433000065386295,0.09764890000224113,1364.8909356002696,1365.0741383901798,6.230994400102645,6.331243300344795,1366.074167800136,1385.090893990174,1385.0908630001359,26.23098949994892,26.331010800320655,1386.0907087000087,1388.0908460998908,1388.0908460998908,-6.819982081651688e-05,0.09753309981897473,1418.0906953001395,30.014066699892282,1338.1243773000315,30.09736379981041,,6.0973019995726645,,,,,,1981,Gustatory,2024-08-20_11h33.10.589,Gustatory_Condition_v2,2022.2.5,30.028704429907222,
2,0,2,0,4,0,4,0,,,,,,,,,,,,1418.19080460025,0.030914099887013435,0.1308988998644054,1424.1906937002204,6.030744099989533,1424.3242037999444,1424.3242037999444,0.030907899606972933,0.13066379958763719,space,0.38157539954409003,1424.7574332999066,1424.7574332999066,2.4300068616867065e-05,0.09895220026373863,num_9,1.9881575000472367,1426.7907723899,0.0017105001024901867,0.09829960018396378,1427.0905691999942,1427.5907003900968,1427.9073569998145,1428.3906911898405,1428.7738835001364,1436.7739185998216,1436.7739185998216,1436.7740376901813,0.014867600053548813,0.11487030005082488,1437.7905521998182,1438.773888300173,1438.9739438001998,1439.4739700001664,10.014705900102854,1446.8904634001665,0.0010506999678909779,1446.8904634001665,0.09813140006735921,2.0,3.5315522998571396,1450.4574432000518,0.0015651998110115528,0.0993220997042954,1456.4572224998847,1456.6239193899557,6.199010499753058,6.2823608997277915,1457.6237925002351,1476.6238050901331,1476.6238573999144,26.19922719988972,26.299097899813205,1477.6237510000356,1479.6404424002394,1479.6404424002394,0.01580899953842163,0.11578729981556535,1509.640342200175,30.015674299560487,1428.690595000051,,10.098134899977595,,,,,,,1981,Gustatory,2024-08-20_11h33.10.589,Gustatory_Condition_v2,2022.2.5,30.028704429907222,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1509.7736947000958,0.015936199575662613,0.11581679945811629,1539.7735756998882,30.01551909931004,1981,Gustatory,2024-08-20_11h33.10.589,Gustatory_Condition_v2,2022.2.5,30.028704429907222,
3,0,3,0,0,0,0,0,,,,,,,,,,,,1539.873688499909,0.01678429963067174,0.11554739950224757,1545.856730400119,6.015472199302167,1545.956848199945,1545.956848199945,-0.0003255004994571209,0.09880649950355291,space,0.49231609981507063,1546.4901979998685,1546.4901979998685,7.96997919678688e-05,0.09786200011149049,num_9,1.5434021996334195,1548.0902288898826,0.0027207001112401485,0.09781650034710765,1548.3900931002572,1548.8901596901007,,1549.6903028900736,1550.090189400129,,1558.1067840000615,1558.106845690217,0.01749040000140667,0.11442850017920136,1559.1234495001845,1560.106810099911,1560.2734735999256,1560.790144099854,10.01433450030163,1568.2234026999213,0.034346300177276134,1568.2234026999213,0.1309842001646757,2.0,3.0977675998583436,1571.3568084998988,0.0017300997860729694,0.09935740008950233,1577.3733752998523,1577.540083890129,6.21586100012064,6.332565399818122,,1597.523331790045,1597.5233502001502,26.19921089988202,26.29915349977091,1598.523292100057,1600.539947700221,1600.539947700221,0.015809400007128716,0.11590079963207245,1630.556693899911,29.999052699655294,,30.099218199960887,,6.098815099336207,,,,,,1981,Gustatory,2024-08-20_11h33.10.589,Gustatory_Condition_v2,2022.2.5,30.028704429907222,
3,0,3,0,1,0,1,0,,,,,,,,,,,,1630.6567551000044,0.0007913997396826744,0.09902239963412285,1636.6731898002326,6.015652899630368,1636.7731281998567,1636.7731281998567,0.015734499786049128,0.11551769962534308,space,0.8763687000609934,1637.6900225002319,1637.6900225002319,3.0099879950284958e-05,0.09845879999920726,num_9,1.407634399831295,1639.1398553902284,0.002167599741369486,0.0979883000254631,1639.4397300002165,1639.939812290296,1640.2565513001755,1640.723319490254,1641.1231370000169,1649.123111399822,1649.123111399822,1649.123102289904,0.014709199778735638,0.11464809998869896,1650.1231225002557,1651.123072499875,1651.3399046999402,1651.8230043002404,10.03123899968341,1659.2562640001997,0.016801699995994568,1659.2562640001997,0.11445309966802597,4.0,4.065491399727762,1663.356560499873,0.002484300173819065,0.09776900010183454,1669.3730063000694,1669.5563662902453,6.230968900024891,6.330958299804479,1670.573014699854,1689.5395904898644,1689.5394661999308,26.214062499813735,26.2975763999857,1690.53954350017,1692.5562109001912,1692.5562109001912,-0.00017780018970370293,0.09766889968886971,1722.556133300066,30.0308446995914,1641.0231281998567,,,,,,,,,1981,Gustatory,2024-08-20_11h33.10.589,Gustatory_Condition_v2,2022.2.5,30.028704429907222,
