loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,p_port_3.stopped,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,player_image_offer.stopped,player_name_offer.stopped,Instructions_Affinity_Score.stopped,player_image_intro.stopped,player_name_intro.stopped,p_port_8.stopped,p_port_10.stopped,p_port_6.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,13.038047349499537,0.000897199846804142,0.11571889976039529,13.352852900046855,13.619744249666109,13.919601599685848,14.219853149773552,14.51958779990673,14.819494549697264,15.15286079980433,0.00128099974244833,0.0993286999873817,30.152927899733186,14.99947899999097,15.09912330005318,30.252937299665064,-0.00033930037170648575,0.099274099804461,30.719578499905765,space,4.166835500393063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2777,Moral,2025-02-13_13h17.40.857,MoralCondition_v2,2022.2.5,29.98311949386534,
2,0,2,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.55255669960752,232.55255669960752,0.007794299628585577,0.09857609961181879,4.0,3.0578410997986794,,,,,,,,,,,,,,,2777,Moral,2025-02-13_13h17.40.857,MoralCondition_v2,2022.2.5,29.98311949386534,
2,0,2,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.65250109974295,235.65250109974295,0.006671200040727854,0.09916740003973246,1.0,2.1932832999154925,,,,,,,,,,,,,,,2777,Moral,2025-02-13_13h17.40.857,MoralCondition_v2,2022.2.5,29.98311949386534,
2,0,2,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.88589419983327,237.88589419983327,0.006695599760860205,0.09913769969716668,3.0,4.960006600245833,,,,,,,,,,,,,,,2777,Moral,2025-02-13_13h17.40.857,MoralCondition_v2,2022.2.5,29.98311949386534,
2,0,2,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242.88564379978925,242.88564379978925,0.007092500105500221,0.0984676000662148,3.0,6.558996099978685,,,,,,,,,,,,,,,2777,Moral,2025-02-13_13h17.40.857,MoralCondition_v2,2022.2.5,29.98311949386534,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249.48566759983078,249.48566759983078,0.0018551000393927097,0.09721489995718002,6.0,12.130420399829745,,,,,,,,,2777,Moral,2025-02-13_13h17.40.857,MoralCondition_v2,2022.2.5,29.98311949386534,
3,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,261.6526792999357,0.00025569973513484,0.09817999973893166,267.65267009986565,6.031666999682784,267.8524567000568,267.8524567000568,0.0957638998515904,0.19833949953317642,6.031607499811798,273.9526557000354,273.9526557000354,273.9526557000354,0.09202169952914119,0.19882579986006021,279.65240929974243,279.8524175998755,6.031425999477506,6.131490699481219,285.8523764000274,12.031387299764901,285.9857445000671,285.9857445000671,0.03157049976289272,0.13135349936783314,up,1.7162223006598651,287.7524051996879,3.829970955848694e-05,0.09791649971157312,293.7857172996737,293.7857172996737,0.02899019978940487,0.13141499971970916,4.0,3.470025399699807,,,,,,,285.95239879982546,285.95239879982546,,273.85257489979267,273.85257489979267,,,,2777,Moral,2025-02-13_13h17.40.857,MoralCondition_v2,2022.2.5,29.98311949386534,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297.2858455996029,297.2858455996029,0.006482200231403112,0.09883080003783107,6.0,2.527232399675995,,,,,,,,,,,,,,,2777,Moral,2025-02-13_13h17.40.857,MoralCondition_v2,2022.2.5,29.98311949386534,
3,0,3,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299.85230889962986,299.85230889962986,0.00686760013923049,0.09726110007613897,3.0,4.624590000137687,,,,,,,,,,,,,,,2777,Moral,2025-02-13_13h17.40.857,MoralCondition_v2,2022.2.5,29.98311949386534,
3,0,3,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304.51885710004717,304.51885710004717,0.0068177999928593636,0.09949219971895218,1.0,1.8934923000633717,,,,,,,,,,,,,,,2777,Moral,2025-02-13_13h17.40.857,MoralCondition_v2,2022.2.5,29.98311949386534,
3,0,3,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306.4523056000471,306.4523056000471,0.007502499967813492,0.09790530009195209,2.0,2.924711700063199,,,,,,,,,,,,,,,2777,Moral,2025-02-13_13h17.40.857,MoralCondition_v2,2022.2.5,29.98311949386534,
