loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,sync_beep_4.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,player_image_offer.stopped,player_name_offer.stopped,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,player_image_intro.stopped,player_name_intro.stopped,Instructions_Affinity_Score.stopped,p_port_6.stopped,p_port_8.stopped,p_port_10.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,34.13653450198472,0.0008327998220920563,0.1278651999309659,34.73564970018342,35.352455200068654,35.66913119982928,35.95239649983123,36.28571459976956,36.28571459976956,0.0137491999194026,0.1278776996769011,51.26894890004769,15.027772299479693,51.36903200019151,0.011226899456232786,0.11119739944115281,51.83574629994109,space,2.2058537998236716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5914,Moral,2024-11-13_17h27.28.357,MoralCondition_v2,2022.2.5,29.97944308941604,
2,0,2,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258.16925759986043,258.16925759986043,0.00706949969753623,0.09729989990592003,2.0,2.791001799982041,,,,,,,,,,,,,5914,Moral,2024-11-13_17h27.28.357,MoralCondition_v2,2022.2.5,29.97944308941604,
2,0,2,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261.00229519978166,261.00229519978166,0.0078118001110851765,0.09755680011585355,2.0,1.1240791999734938,,,,,,,,,,,,,5914,Moral,2024-11-13_17h27.28.357,MoralCondition_v2,2022.2.5,29.97944308941604,
2,0,2,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262.1691271997988,262.1691271997988,0.007546199951320887,0.09838300012052059,6.0,2.225313200149685,,,,,,,,,,,,,5914,Moral,2024-11-13_17h27.28.357,MoralCondition_v2,2022.2.5,29.97944308941604,
2,0,2,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264.43564750021324,264.43564750021324,0.006921099964529276,0.099394999910146,6.0,1.6267135995440185,,,,,,,,,,,,,5914,Moral,2024-11-13_17h27.28.357,MoralCondition_v2,2022.2.5,29.97944308941604,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266.1023556999862,266.1023556999862,0.001746899913996458,0.09686900023370981,6.0,6.296652699820697,,,,,,,5914,Moral,2024-11-13_17h27.28.357,MoralCondition_v2,2022.2.5,29.97944308941604,
3,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,272.43612799979746,0.00015280023217201233,0.0993980998173356,278.4525045999326,6.015835300087929,278.6357109998353,278.6357109998353,0.08542629983276129,0.19944849982857704,5.999152000062168,284.7024058001116,284.7024058001116,284.7024058001116,0.05230059986934066,0.16590069979429245,290.40250100009143,290.60265799984336,5.9994139997288585,6.099169299937785,296.60248740017414,11.999223599676043,296.70245439978316,296.70245439978316,296.7358518000692,296.7358518000692,3.879982978105545e-05,0.09917229972779751,up,1.4658633996732533,298.23589819995686,3.679981455206871e-05,0.09777009999379516,304.23566780006513,304.23566780006513,0.008802699856460094,0.09763340000063181,2.0,2.390285700093955,,,,,,,284.7024058001116,284.7024058001116,304.23566780006513,,6.099291000049561,12.099277899600565,5914,Moral,2024-11-13_17h27.28.357,MoralCondition_v2,2022.2.5,29.97944308941604,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306.66906839981675,306.66906839981675,0.006745399907231331,0.09941950021311641,2.0,1.0267583997920156,,,,,,,,,,,,,5914,Moral,2024-11-13_17h27.28.357,MoralCondition_v2,2022.2.5,29.97944308941604,
3,0,3,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307.7357312999666,307.7357312999666,0.007173200137913227,0.09793510008603334,2.0,1.6584918000735343,,,,,,,,,,,,,5914,Moral,2024-11-13_17h27.28.357,MoralCondition_v2,2022.2.5,29.97944308941604,
3,0,3,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309.4357444001362,309.4357444001362,0.0074628000147640705,0.09899750025942922,6.0,1.4926750003360212,,,,,,,,,,,,,5914,Moral,2024-11-13_17h27.28.357,MoralCondition_v2,2022.2.5,29.97944308941604,
3,0,3,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310.98596190009266,310.98596190009266,0.00789069989696145,0.11421659961342812,5.0,5.5073436996899545,,,,,,,,,,,,,5914,Moral,2024-11-13_17h27.28.357,MoralCondition_v2,2022.2.5,29.97944308941604,
