Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,cross.started,p_port_4.started,p_port_4.stopped,p_port_5.started,cross.stopped,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_2.started,taste_sound_3.started,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,p_port_18.stopped,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,taste_sound_1.stopped,taste_sound_2.stopped,taste_sound_3.stopped,Begin_Rinse.stopped,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,participant,session,date,expName,psychopyVersion,frameRate,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,957.6412579999305,0.015050799585878849,0.14790939958766103,6.031080599874258,963.6580554000102,963.7579538999125,963.7579538999125,0.03126669954508543,0.16440149955451488,space,3.0089919003657997,966.8078836998902,966.8078836998902,3.400025889277458e-05,0.13157520024105906,num_9,0.9674404002726078,967.8245780099649,0.002560300286859274,0.1315899002365768,968.6411954098846,969.4245414100121,969.8412204002962,,977.8578226002865,977.8412017100025,0.01772020012140274,0.1480225999839604,978.8577737002634,979.87454360025,980.0243247002363,980.557866200339,10.031600899994373,,987.9746440001763,0.0335805001668632,987.9746440001763,0.16475300025194883,3.0,2.632135100197047,990.6412677001208,0.0026213000528514385,0.13136750040575862,996.6577034001239,996.8243487099651,6.231230200268328,6.365253400057554,1016.8410447099711,1016.8407936003059,26.214369100052863,26.331100900191814,1017.8576076999307,,1019.8576553999446,0.015790800098329782,0.14771000016480684,1049.890823600348,30.014225900173187,968.1578736999072,,,,,,,,,6833,Gustatory,2025-02-11_11h36.07.113,Gustatory_Condition_v2,2022.2.5,59.99977206897896,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1049.9577127001248,0.014568400103598833,0.14754609996452928,1079.9740484002978,30.030906700063497,6833,Gustatory,2025-02-11_11h36.07.113,Gustatory_Condition_v2,2022.2.5,59.99977206897896,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,1080.0741031002253,0.032847399823367596,0.1641404996626079,6.014038399793208,1086.0906628002413,1086.1573399002664,1086.1573399002664,0.014137199614197016,0.14741429965943098,space,3.8094019000418484,1090.0072359000333,1090.0072359000333,3.490038216114044e-05,0.13109480030834675,num_9,3.271590200252831,1093.3239824100863,0.002647599671036005,0.11434399988502264,1094.1239407099317,1094.923890610179,1095.3406197000295,,1103.373917200137,1103.3572900099214,0.033729299902915955,0.16425930010154843,1104.3739831000566,1105.407252700068,1105.5405900999904,1106.0404936000705,10.01435919990763,,1113.4739624001086,0.03381119994446635,1113.4739624001086,0.16440809983760118,3.0,6.598201499786228,1120.1074858000502,0.0030945995822548866,0.13160289963707328,1126.1238087001257,1126.2904047099407,6.231534899678081,6.36496359994635,1146.2866975101176,1146.2865476002917,26.21085559995845,26.31098710000515,1147.30320319999,1149.3070425000042,1149.3070425000042,0.0007153996266424656,0.1314417994581163,1179.3234672001563,30.031292099505663,,,,1127.3070362000726,,,,,,6833,Gustatory,2025-02-11_11h36.07.113,Gustatory_Condition_v2,2022.2.5,59.99977206897896,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,1179.4236085000448,0.015285699628293514,0.14797369949519634,6.014587499666959,1185.4568861001171,1185.523559700232,1185.523559700232,0.014692599419504404,0.14791579963639379,space,3.2265840000472963,1188.8069736002944,1188.8069736002944,2.439972013235092e-05,0.13279469963163137,num_9,1.176017299760133,1190.0235572102945,0.002393800299614668,0.11451059998944402,1190.8236580099444,1191.64025751031,1192.0402041003108,,1200.0734798000194,1200.0568547099363,0.034068800043314695,0.16474160039797425,,1202.1068053999916,1202.2401295001619,1202.7735064001754,10.01453600032255,,1210.1567788003013,0.016669100150465965,1210.1567788003013,0.14789610030129552,5.0,2.265575800091028,1212.4567269003019,0.0025448002852499485,0.13115330040454865,1218.4733931003138,1218.6567421103362,6.214379400014877,6.347729400265962,1238.6399037101771,1238.6566480002366,26.231037000194192,26.364281200338155,1239.6566194002517,,1241.6732598003,0.016144399996846914,0.14761980017647147,1271.6898533003405,30.03082469990477,,,1191.9568717000075,1219.673368900083,,,,,,6833,Gustatory,2025-02-11_11h36.07.113,Gustatory_Condition_v2,2022.2.5,59.99977206897896,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,1271.7898543002084,0.031556000001728535,0.16415409976616502,6.0141237997449934,1277.806477600243,1277.8731243000366,1277.8731243000366,0.014326099772006273,0.14747059997171164,space,1.741140200290829,1279.656491599977,1279.656491599977,4.830025136470795e-05,0.1313419002108276,num_9,1.5418812003917992,1281.2400095099117,0.0014618001878261566,0.13160930015146732,1282.0398194100242,1282.8396469102706,1283.2731226002797,,1291.2730928999372,1291.2564403102267,0.01798629993572831,0.14831730024889112,1292.273068500217,1293.3063878002577,1293.4730949001387,1293.9897243999876,10.014857500325888,,1301.3729179003276,0.017293500248342752,1301.3729179003276,0.14829189982265234,4.0,1.9985494003631175,1303.4065426001325,0.0016626999713480473,0.1326236999593675,1309.4230106002651,1309.5729118100833,6.215876300353557,6.349184900056571,1329.5895409099292,1329.6062525999732,26.199049200396985,26.33244920009747,1330.6061145002022,,1332.6230105003342,0.01755819981917739,0.1490833000279963,1362.6394321001135,30.03226409992203,1281.5563948000781,,,,,,,,,6833,Gustatory,2025-02-11_11h36.07.113,Gustatory_Condition_v2,2022.2.5,59.99977206897896,
2,0,2,0,3,0,3,0,,,,,,,,,,,,,1362.739467000123,0.032969099935144186,0.1656247996725142,6.0322267999872565,1368.7728627999313,1368.8394033000804,1368.8394033000804,0.03245759988203645,0.16557519976049662,space,3.494657399598509,1372.372762199957,1372.372762199957,3.329990431666374e-05,0.13159469980746508,num_9,1.2096983999945223,1373.6227530100848,0.0023670997470617294,0.13137080008164048,1374.4226382099557,1375.222974810237,1375.6393698002212,,1383.672652500216,1383.6560179101768,0.03395209973677993,0.1646680999547243,1384.6725360001437,1385.6893116999418,1385.8225708003156,1386.3393641002476,10.031326400116086,,1393.7558079003356,0.016637899912893772,1393.7558079003356,0.14773930003866553,3.0,6.532268399838358,1400.3225589003414,0.0025593996979296207,0.13107759971171618,1406.3392525003292,1406.5058218100573,6.230788900051266,6.347560499794781,1426.5057031102012,1426.5224850000814,26.230757100041956,26.34728530002758,1427.522365800105,,1429.5558059001341,0.032310699578374624,0.16403459990397096,1459.5722962003201,30.014001799747348,,,,,,,,,,6833,Gustatory,2025-02-11_11h36.07.113,Gustatory_Condition_v2,2022.2.5,59.99977206897896,
2,0,2,0,4,0,4,0,,,,,,,,,,,,,1459.6556176003069,0.03134769946336746,0.16417849948629737,6.03069319948554,1465.6889229998924,1465.7389047001489,1465.7389047001489,0.013891599606722593,0.14719529962167144,space,2.5318980999290943,1468.3019268000498,1468.3019268000498,1.5700235962867737e-05,0.10285770008340478,num_9,1.2963169999420643,1469.6220888099167,0.0009365999139845371,0.1290659001097083,1470.4053766102995,1471.2056482103187,1471.6017440003343,1479.6222288003191,1479.6222288003191,1479.6055572102312,0.016243699938058853,0.14951959997415543,1480.639038800262,1481.638889899943,1481.822124000173,1482.3220764002763,9.999341499991715,10.0993337999098,1489.7388129001483,0.001766599714756012,1489.7388129001483,0.1327672996558249,5.0,2.2654677000828087,1492.0388442999683,0.002138600219041109,0.13172100018709898,1498.055518799927,1498.222099210089,6.231861799955368,6.365019700024277,1518.2220682100858,1518.2387342001311,26.23168329987675,26.36497010011226,,,1521.271982199978,0.033335099928081036,0.1649528997950256,1551.2885932000354,30.014793299604207,,1470.7223344999366,1471.518533800263,,,,,,,6833,Gustatory,2025-02-11_11h36.07.113,Gustatory_Condition_v2,2022.2.5,59.99977206897896,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1551.3552525001578,0.015108299907296896,0.14814949966967106,1581.3549999999814,30.01448139967397,6833,Gustatory,2025-02-11_11h36.07.113,Gustatory_Condition_v2,2022.2.5,59.99977206897896,
3,0,3,0,0,0,0,0,,,,,,,,,,,,,1581.4550966001116,0.016461399849504232,0.1480045998468995,6.031275499612093,1587.4717429000884,1587.5550645003095,1587.5550645003095,0.014807299710810184,0.14797669975087047,space,2.7957148998975754,1590.4050663001835,1590.4050663001835,3.719981759786606e-05,0.13113019987940788,num_9,1.4329923000186682,1591.8551867100875,0.0018636002205312252,0.1310786004178226,1592.6552553101908,1593.455218910193,1593.8717509000562,,1601.8883501002565,1601.8716761101502,0.017091399990022182,0.14769240003079176,,1603.9049885002896,1604.0883325003088,1604.6216748999432,10.014237200375646,,1612.0049127000384,0.03381540020927787,1612.0049127000384,0.1642450001090765,2.0,5.198276699986309,1617.2383346999995,0.002401200123131275,0.13131670001894236,1623.255043500103,1623.4215164100285,6.2145144999958575,6.33138049999252,1643.421357809985,1643.438181000296,26.2313834996894,26.34776069968939,,,1646.4549573003314,0.016417499631643295,0.1481909998692572,1676.47141070012,30.03112949989736,1592.1718137003481,1592.97158280015,1593.7716283001937,,,,,,,6833,Gustatory,2025-02-11_11h36.07.113,Gustatory_Condition_v2,2022.2.5,59.99977206897896,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,1676.571341600269,0.032104399520903826,0.16452049976214767,6.014579699840397,1682.5879763001576,1682.6546269003302,1682.6546269003302,0.01456419937312603,0.14808519929647446,space,1.2640980002470315,1683.9546572002582,1683.9546572002582,3.9999838918447495e-05,0.13131839968264103,num_9,1.1477112998254597,1685.1379551100079,0.0023383996449410915,0.13166880002245307,1685.954632610036,1686.737876910204,1687.1546440999955,,1695.1879459000193,1695.1715569099877,0.034219800028949976,0.16476359963417053,,1697.2045761002228,1697.3545773001388,1697.8713479000144,10.014705499634147,,1705.2710347999819,0.017679099924862385,1705.2710347999819,0.1478962996043265,5.0,2.3645444000139832,1707.6712368000299,0.002863400150090456,0.13128370000049472,1713.6878255000338,1713.871163010085,6.214488800149411,6.347822499927133,1733.8712281099986,1733.8877253001556,26.21458430029452,26.347852299921215,,,1736.887877699919,0.016075899824500084,0.14778729993849993,1766.9209213000722,30.014488900080323,1685.454571600072,1686.2879782998934,1687.054682600312,,,,,,,6833,Gustatory,2025-02-11_11h36.07.113,Gustatory_Condition_v2,2022.2.5,59.99977206897896,
