loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Instructions_Affinity_Score.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,player_image_offer.stopped,player_name_offer.stopped,p_port_6.stopped,player_image_intro.stopped,player_name_intro.stopped,p_port_8.stopped,p_port_10.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,18.145497039426118,0.0008656000718474388,0.11659190012142062,18.46240619989112,18.712350479792804,19.01230249973014,19.329045679885894,19.645921799819916,19.912358379922807,20.24564869981259,0.0026477999053895473,0.10003309976309538,35.24573879968375,15.000019299797714,35.3457185998559,0.00018399953842163086,0.10012219985947013,35.81239689979702,space,9.361552900169045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7150,Moral,2024-10-18_11h05.31.894,MoralCondition_v2,2022.2.5,29.975551935142008,
4,0,4,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281.57903809985146,281.57903809985146,0.006540399976074696,0.09939900040626526,4.0,1.4936339003033936,,,,,,,,,,,,,,7150,Moral,2024-10-18_11h05.31.894,MoralCondition_v2,2022.2.5,29.975551935142008,
4,0,4,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283.11238499963656,283.11238499963656,0.007537199649959803,0.09768630005419254,1.0,1.7912619998678565,,,,,,,,,,,,,,7150,Moral,2024-10-18_11h05.31.894,MoralCondition_v2,2022.2.5,29.975551935142008,
4,0,4,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284.9628025996499,284.9628025996499,0.007774500176310539,0.11435550032183528,1.0,1.5074620000086725,,,,,,,,,,,,,,7150,Moral,2024-10-18_11h05.31.894,MoralCondition_v2,2022.2.5,29.975551935142008,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286.4956980999559,286.4956980999559,0.0015643998049199581,0.09719959972426295,4.0,2.0303051001392305,,,,,,,,7150,Moral,2024-10-18_11h05.31.894,MoralCondition_v2,2022.2.5,29.975551935142008,
5,0,5,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,288.5627564997412,0.00019930023699998856,0.09872179990634322,294.562713699881,6.032175099942833,294.7624919996597,294.7624919996597,0.09131370019167662,0.19857880007475615,6.031878900248557,300.86254159966484,300.86254159966484,300.86254159966484,0.0848560999147594,0.198826199863106,306.56255599996075,306.7625518999994,6.031932599842548,6.132022799924016,312.76253359997645,12.031911499798298,312.89583180006593,312.89583180006593,0.032113200053572655,0.13200700003653765,up,0.949558800086379,313.8791942000389,3.9400067180395126e-05,0.09776940010488033,319.8960966998711,319.8960966998711,319.8960966998711,0.00931889982894063,0.11451249988749623,1.0,2.5728329000994563,,,,,,,312.86252219974995,312.86252219974995,,300.7625241000205,300.7625241000205,,,7150,Moral,2024-10-18_11h05.31.894,MoralCondition_v2,2022.2.5,29.975551935142008,
5,0,5,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322.5127460998483,322.5127460998483,0.007564000319689512,0.11417790036648512,1.0,0.8074301001615822,,,,,,,,,,,,,,7150,Moral,2024-10-18_11h05.31.894,MoralCondition_v2,2022.2.5,29.975551935142008,
5,0,5,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323.3459557997994,323.3459557997994,0.007786300033330917,0.09809880005195737,1.0,0.5580020998604596,,,,,,,,,,,,,,7150,Moral,2024-10-18_11h05.31.894,MoralCondition_v2,2022.2.5,29.975551935142008,
5,0,5,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323.9461236996576,323.9461236996576,0.007538699544966221,0.09738289983943105,1.0,1.3579326001927257,,,,,,,,,,,,,,7150,Moral,2024-10-18_11h05.31.894,MoralCondition_v2,2022.2.5,29.975551935142008,
5,0,5,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325.3457287000492,325.3457287000492,0.006902599707245827,0.09907809970900416,1.0,0.6932705002836883,,,,,,,,,,,,,,7150,Moral,2024-10-18_11h05.31.894,MoralCondition_v2,2022.2.5,29.975551935142008,
5,0,5,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326.0791807998903,326.0791807998903,0.007039899937808514,0.09822120005264878,4.0,1.558842500206083,,,,,,,,,,,,,,7150,Moral,2024-10-18_11h05.31.894,MoralCondition_v2,2022.2.5,29.975551935142008,
5,0,5,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327.67916539963335,327.67916539963335,0.006473499815911055,0.0992206996306777,1.0,0.9602443999610841,,,,,,,,,,,,,,7150,Moral,2024-10-18_11h05.31.894,MoralCondition_v2,2022.2.5,29.975551935142008,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328.679197399877,328.679197399877,0.0007947999984025955,0.09960160031914711,4.0,2.6329561001621187,,,,,,,,7150,Moral,2024-10-18_11h05.31.894,MoralCondition_v2,2022.2.5,29.975551935142008,
