loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_2.stopped,textbox.started,p_port_2.started,p_port_2.stopped,textbox.stopped,p_port_3.started,instructions.started,key_resp.started,p_port_4.started,p_port_4.stopped,key_resp.keys,key_resp.rt,cross.started,p_port_6.started,p_port_6.stopped,cross.stopped,p_port_7.started,disgust_image.started,p_port_8.started,p_port_8.stopped,p_port_9.started,disgust_score.started,p_port_10.started,p_port_10.stopped,disgust_score.response,disgust_score.rt,p_port_7.stopped,disgust_image.stopped,p_port_9.stopped,participant,session,date,expName,psychopyVersion,frameRate,
9,0,9,0,,,,,,,,,,,,,,,,,172.53319530002773,0.0005139997228980064,0.09721129992976785,178.5494298003614,6.013773199636489,178.66609070030972,0.031330999452620745,0.13036519987508655,6.030375999864191,184.76605280023068,0.03324309969320893,0.13043039944022894,1.0,1.8314211000688374,,184.66613750020042,,4953,Visual,2024-08-21_12h25.18.358,Visual_Condition_v2,2022.2.5,29.948916145701478,
10,0,10,0,,,,,,,,,,,,,,,,,186.6330498000607,0.0006316001527011395,0.09778530010953546,192.6494435002096,6.014248799998313,192.76611710013822,0.032994499895721674,0.13100629998371005,6.0309143997728825,198.86603190004826,0.0335313999094069,0.13084529992192984,0.0,1.4982786001637578,,198.7660926003009,,4953,Visual,2024-08-21_12h25.18.358,Visual_Condition_v2,2022.2.5,29.948916145701478,
11,0,11,0,,,,,,,,,,,,,,,,,200.39972710004076,0.0004211999475955963,0.0990908001549542,206.39944520033896,6.032350500114262,206.54929150035605,0.053021700121462345,0.14893689984455705,6.015556199941784,212.6162836002186,0.018458799924701452,0.11558289965614676,0.0,2.1313927001319826,,212.54936420032755,,4953,Visual,2024-08-21_12h25.18.358,Visual_Condition_v2,2022.2.5,29.948916145701478,
12,0,12,0,,,,,,,,,,,,,,,,,214.7829075003974,0.000645000021904707,0.09709360031411052,220.78270220011473,6.030459200032055,220.93254920002073,0.04735110001638532,0.1470818999223411,6.013898000121117,226.99919900018722,0.016493699979037046,0.11371289985254407,2.0,1.6980232000350952,,226.93271650001407,,4953,Visual,2024-08-21_12h25.18.358,Visual_Condition_v2,2022.2.5,29.948916145701478,
13,0,13,0,,,,,,,,,,,,,,,,,228.7330476003699,0.0006343997083604336,0.09705219976603985,234.7328180000186,6.030525699723512,234.88268620008603,0.05080619966611266,0.14716529985889792,6.01362599991262,240.94925560010597,0.016068899538367987,0.11384569946676493,2.0,2.3984787999652326,,240.88262360030785,,4953,Visual,2024-08-21_12h25.18.358,Visual_Condition_v2,2022.2.5,29.948916145701478,
14,0,14,0,,,,,,,,,,,,,,,,,243.38292060000822,0.0005470998585224152,0.09687029989436269,249.3657711003907,6.013549599796534,249.49911880027503,0.01899239979684353,0.11392719997093081,6.0137292998842895,255.5992402001284,0.014198699500411749,0.11367319943383336,0.0,2.067049799952656,6.096961099654436,255.4992325003259,,4953,Visual,2024-08-21_12h25.18.358,Visual_Condition_v2,2022.2.5,29.948916145701478,
15,0,15,0,,,,,,,,,,,,,,,,,257.6992205004208,0.000695700291544199,0.09694620035588741,263.71592520037666,6.013508399948478,263.83263540035114,0.029507100116461515,0.13037370005622506,6.030156100168824,269.9159064004198,0.01569230016320944,0.11339760012924671,2.0,1.4320006999187171,,269.83255830034614,,4953,Visual,2024-08-21_12h25.18.358,Visual_Condition_v2,2022.2.5,29.948916145701478,
16,0,16,0,,,,,,,,,,,,,,,,,271.38274380005896,0.0005180998705327511,0.0972180999815464,277.3824646002613,6.03031580010429,277.51583370007575,0.027734899893403053,0.13063069991767406,6.030358700081706,283.5990335000679,0.01573739992454648,0.11384169990196824,0.0,1.4989412003196776,,283.49910750007257,,4953,Visual,2024-08-21_12h25.18.358,Visual_Condition_v2,2022.2.5,29.948916145701478,
17,0,17,0,,,,,,,,,,,,,,,,,285.13250890001655,0.00071310019120574,0.0969493999145925,291.1324716000818,6.030317000113428,291.26581050036475,0.025253599975258112,0.13028729986399412,6.030214899685234,297.3490029000677,0.01589979976415634,0.11355319991707802,3.0,2.531928699929267,,297.2657415000722,,4953,Visual,2024-08-21_12h25.18.358,Visual_Condition_v2,2022.2.5,29.948916145701478,
18,0,18,0,,,,,,,,,,,,,,,,,299.91596950031817,0.0006904997862875462,0.09685359988361597,305.9324099002406,6.0135233998298645,306.0657836003229,0.04195749992504716,0.14688050001859665,6.0135270999744534,312.14915920002386,0.03318889997899532,0.13017529994249344,3.0,2.6648137997835875,,312.06571650039405,,4953,Visual,2024-08-21_12h25.18.358,Visual_Condition_v2,2022.2.5,29.948916145701478,
