loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,textbox.started,p_port_2.started,p_port_2.stopped,textbox.stopped,p_port_3.started,p_port_3.stopped,instructions.started,key_resp.started,p_port_4.started,p_port_4.stopped,key_resp.keys,key_resp.rt,cross.started,p_port_6.started,p_port_6.stopped,cross.stopped,p_port_7.started,disgust_image.started,p_port_8.started,p_port_8.stopped,p_port_9.started,disgust_image.stopped,disgust_score.started,p_port_10.started,p_port_10.stopped,disgust_score.response,disgust_score.rt,p_port_7.stopped,p_port_9.stopped,participant,session,date,expName,psychopyVersion,frameRate,
11,0,11,0,,,,,,,,,,,,,,,,,,,198.47950399992988,0.0002164000179618597,0.09912290005013347,204.47930160001852,5.999177100020461,204.59565249993466,0.02578290004748851,0.11576980003155768,6.015756500069983,210.59582669998053,210.69573269993998,0.018362300004810095,0.11569610005244613,0.0,2.1317966000642627,6.099119000020437,,2993,Visual,2024-07-25_11h16.19.925,Visual_Condition_v2,2022.2.5,30.037047696987084,
12,0,12,0,,,,,,,,,,,,,,,,,,,212.86264850001317,0.0005158999701961875,0.09657529997639358,218.87912729999516,6.013420699979179,218.99558979994617,0.0336323999799788,0.13006049999967217,6.030046299914829,224.99577609996777,225.09578239999246,0.03257769998162985,0.13011060003191233,0.0,2.031729800044559,,,2993,Visual,2024-07-25_11h16.19.925,Visual_Condition_v2,2022.2.5,30.037047696987084,
13,0,13,0,,,,,,,,,,,,,,,,,,,227.16267739993054,0.0005194999976083636,0.09869859996251762,233.17909029999282,6.015319700003602,233.2957241999684,0.030139200040139258,0.13205640006344765,6.031904099974781,239.29580189997796,239.37902439991012,0.017076200107112527,0.11538240010850132,1.0,1.9659048001049086,,,2993,Visual,2024-07-25_11h16.19.925,Visual_Condition_v2,2022.2.5,30.037047696987084,
14,0,14,0,,,,,,,,,,,,,,,,,,,241.3793590000132,0.00022479996550828218,0.09894050005823374,247.3790122999344,6.032277900027111,247.59569679992273,0.11868140008300543,0.21560180000960827,6.015564800007269,,253.59565559995826,0.018719200044870377,0.11574510007631034,0.0,2.297805799986236,,,2993,Visual,2024-07-25_11h16.19.925,Visual_Condition_v2,2022.2.5,30.037047696987084,
15,0,15,0,,,,,,,,,,,,,,,,,,,255.92904159997124,0.00025020004250109196,0.09927160001825541,261.9456309999805,6.015891000046395,262.0788732999936,0.045778000028803945,0.14916860009543598,6.015821800101548,268.07894759997725,268.1455994999269,0.018694000085815787,0.11573550011962652,1.0,1.9647021000273526,,,2993,Visual,2024-07-25_11h16.19.925,Visual_Condition_v2,2022.2.5,30.037047696987084,
16,0,16,0,,,,,,,,,,,,,,,,,,,270.14566669997294,0.00022310006897896528,0.09917890001088381,276.1456082999939,6.032365999999456,276.86238259996753,0.44983830011915416,0.7158353000413626,6.011845000088215,,282.36208499991335,0.01800930011086166,0.11565810011234134,0.0,1.9987648000242189,,,2993,Visual,2024-07-25_11h16.19.925,Visual_Condition_v2,2022.2.5,30.037047696987084,
17,0,17,0,,,,,,,,,,,,,,,,,,,284.39590909995604,0.0002432001056149602,0.09902830002829432,290.41222509997897,6.015637200092897,290.56220459996257,0.05933690012898296,0.16579930006992072,5.9990623000776395,296.56219249998685,296.5955101000145,0.0022918001050129533,0.09885640011634678,0.0,2.330955599900335,,6.0989532000385225,2993,Visual,2024-07-25_11h16.19.925,Visual_Condition_v2,2022.2.5,30.037047696987084,
18,0,18,0,,,,,,,,,,,,,,,,,,,298.96248579991516,0.0005085000302642584,0.09699720004573464,304.9621523999376,6.030414700042456,305.0953537999885,0.034576900070533156,0.13065720000304282,6.030349600012414,311.09546550002415,311.19546660000924,0.03372000006493181,0.1304748000111431,1.0,2.0311123999999836,,,2993,Visual,2024-07-25_11h16.19.925,Visual_Condition_v2,2022.2.5,30.037047696987084,
19,0,19,0,,,,,,,,,,,,,,,,,,,313.2622123999754,0.0005587000632658601,0.09880769997835159,319.24530730000697,6.015342200058512,319.37896509992424,0.01213729998562485,0.11582509998697788,6.015572100062855,325.36192819999997,325.46198649995495,0.000980100012384355,0.0986544000916183,0.0,1.8654771000146866,6.098668799968436,6.098616300034337,2993,Visual,2024-07-25_11h16.19.925,Visual_Condition_v2,2022.2.5,30.037047696987084,
20,0,20,0,,,,,,,,,,,,,,,,,,,327.36238700000104,0.000480300048366189,0.09726100007537752,333.36219779995736,6.013836900005117,333.4791191999102,0.014073100057430565,0.11410880007315427,6.014014100073837,339.47869739995804,339.57859940000344,0.016529400134459138,0.11371880013030022,1.0,1.9316003000130877,6.097572900005616,,2993,Visual,2024-07-25_11h16.19.925,Visual_Condition_v2,2022.2.5,30.037047696987084,
