Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,p_port_3.stopped,cross.started,p_port_4.started,p_port_4.stopped,cross.stopped,p_port_5.started,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,p_port_14.stopped,p_port_5.stopped,p_port_18.stopped,Begin_Rinse.stopped,break_text.started,p_port_15.started,p_port_15.stopped,p_port_16.started,break_text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,927.063185499981,0.033085402101278305,0.13224860280752182,933.0629850998521,6.015599502250552,933.1464613005519,933.1464613005519,0.015497002750635147,0.1156351026147604,space,1.7520681992173195,934.9464678000659,934.9464678000659,5.72986900806427e-05,0.09784059971570969,num_9,2.5676265992224216,937.5631572302431,0.0020328015089035034,0.09818220138549805,937.8629985991865,938.3463310297578,938.6797816008329,939.1630967292934,939.4797252994031,939.5297564007342,947.5463979002088,947.5463979002088,947.5466613300144,0.014825001358985901,0.11486100032925606,948.5463820006698,949.5462718997151,949.7464899998158,950.2630458008498,10.031396500766277,957.6795237008482,0.016617301851511,957.6795237008482,0.11469710059463978,2.0,3.999243400990963,961.7133783996105,0.0027459003031253815,0.09790640138089657,967.7130891997367,967.8962260294705,6.2145084999501705,6.314522000029683,987.8962174296379,987.8961185999215,26.214350000023842,26.314413599669933,988.8961462993175,990.8961778003722,990.8961778003722,0.014539401978254318,0.1144454013556242,1020.9127325993031,30.030989000573754,,,,968.9128754995763,,,,,,2951,Gustatory,2024-07-10_11h57.32.634,Gustatory_Condition_v2,2022.2.5,30.00345938678738,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1021.0460692998022,0.031218601390719414,0.1309314016252756,30.014129500836134,1051.0625756997615,2951,Gustatory,2024-07-10_11h57.32.634,Gustatory_Condition_v2,2022.2.5,30.00345938678738,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,1051.1291933991015,0.01621510274708271,0.11413980275392532,1057.1459809001535,6.03078150190413,1057.2461453992873,1057.2461453992873,0.031114602461457253,0.1307340022176504,space,2.0760158002376556,1059.3625640999526,1059.3625640999526,3.8700178265571594e-05,0.09771659970283508,num_9,2.311176799237728,1061.7125532306732,0.0017844997346401215,0.09790970012545586,,1062.5125643309207,1062.812360899523,1063.3125811308623,,1063.712512999773,1071.712467899546,1071.712467899546,1071.7124821297825,0.0008367002010345459,0.09788810089230537,1072.712285200134,1073.7124667000026,1073.87894850038,1074.3958058003336,10.031119599938393,1081.829079899937,0.016804801300168037,1081.829079899937,0.1145952008664608,6.0,4.532241400331259,1086.395894099027,0.0027111992239952087,0.11387399956583977,1092.395854299888,1092.5959525309504,6.230647599324584,6.330474799498916,1112.5788817308844,1112.5789940990508,26.213827898725867,26.313748398795724,1113.5956305004656,1115.5790609996766,1115.5790609996766,0.013934200629591942,0.11374320089817047,1145.5954967997968,30.030354799702764,,,,1093.5957709997892,,,,,,2951,Gustatory,2024-07-10_11h57.32.634,Gustatory_Condition_v2,2022.2.5,30.00345938678738,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,1145.7287953998893,0.031185001134872437,0.13037019968032837,1151.745493300259,6.01371980085969,1151.8121004998684,1151.8121004998684,0.013732001185417175,0.113671800121665,space,1.7657638005912304,1153.611979700625,1153.611979700625,4.180148243904114e-05,0.09804150089621544,num_9,2.1663095001131296,1155.8122370295227,0.0018061995506286621,0.09786519967019558,1156.1287385001779,1156.5956949308516,1156.8954429998994,1157.4121145304293,1157.7120136003941,1157.7953824996948,1165.795368699357,1165.795368699357,1165.7953985292465,0.01453159935772419,0.11451509967446327,1166.7956012990326,1167.7788875997066,1168.0120315998793,1168.5287232007831,10.014396300539374,1175.9118166994303,0.0007183011621236801,1175.9118166994303,0.09760290011763573,2.0,1.3980323988944292,1177.3454502001405,0.002688199281692505,0.097893500700593,1183.3619292993098,1183.5288268305362,6.214342599734664,6.2977628000080585,1203.5286853309722,1203.5285925995559,26.214420499280095,26.314286099746823,1204.5451728999615,1206.5284803006798,1206.5284803006798,0.014426600188016891,0.11431889981031418,1236.5450449995697,30.03088160045445,,,10.097829699516296,1184.5452970005572,,,,,,2951,Gustatory,2024-07-10_11h57.32.634,Gustatory_Condition_v2,2022.2.5,30.00345938678738,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,,,1236.6783926002681,0.03170250169932842,0.1308118011802435,1242.6783325001597,6.030782900750637,1242.778375800699,1242.778375800699,0.03090440109372139,0.1307638008147478,space,2.9116479009389877,1245.7449781000614,1245.7449781000614,3.8700178265571594e-05,0.09790869988501072,num_9,2.225119799375534,1248.0283737309278,0.0013408008962869644,0.09864490106701851,1248.3282399997115,1248.8283286295832,1249.1283250004053,1249.6283081300558,1249.944976400584,1250.0117541998625,1258.0282726008445,1258.0282726008445,1258.0283088307829,0.0018266011029481888,0.09856249950826168,1259.0448333993554,1260.0449347998947,1260.2117031998932,1260.7115644998848,10.015031401067972,1268.1281023006886,0.0010138005018234253,1268.1281023006886,0.09835860133171082,6.0,5.698453800752759,1273.8618131000549,0.0024707987904548645,0.09790629893541336,1279.8615281004459,1280.0614932306112,6.214328398928046,6.3144917991012335,1300.0447485294194,1300.0447195991874,26.214430399239063,26.31440440006554,1301.061402399093,1303.0447589997202,1303.0447589997202,0.014494100585579872,0.11440440081059933,1333.0443852990866,30.014033399522305,30.097537400200963,,10.098407100886106,1281.0781833995134,,,,,,2951,Gustatory,2024-07-10_11h57.32.634,Gustatory_Condition_v2,2022.2.5,30.00345938678738,
2,0,2,0,3,0,3,0,,,,,,,,,,,,,,,1333.1612445004284,0.030985699966549873,0.13090480118989944,1339.144322199747,6.0139777995646,1339.261203199625,1339.261203199625,0.031543001532554626,0.13085750117897987,space,1.644980700686574,1340.9445083998144,1340.9445083998144,3.840029239654541e-05,0.09788969904184341,num_9,2.0895998999476433,1343.0945578306914,0.0021745003759860992,0.09778469987213612,,1343.89454372935,1344.1943532992154,1344.6779038306327,1344.9944263007492,1345.07795239985,1353.0944781005383,1353.0944781005383,1353.09448222965,0.0014810003340244293,0.0978085994720459,,1355.111349400133,1355.2609612997621,1355.7611162997782,10.014402698725462,1363.194267399609,0.0005175992846488953,1363.194267399609,0.09777710027992725,3.0,1.7983797006309032,1365.0281345006078,0.00247110053896904,0.09778300113976002,1371.0109247993678,1371.2110383301974,6.214048000052571,6.314134601503611,1391.2108390308917,1391.2109638992697,26.21403580158949,26.314119400456548,1392.227680599317,1394.2109481003135,1394.2109481003135,0.014110300689935684,0.11380330100655556,1424.2107896003872,30.013857701793313,,6.097387000918388,10.0978075992316,1372.2277150005102,,,,,,2951,Gustatory,2024-07-10_11h57.32.634,Gustatory_Condition_v2,2022.2.5,30.00345938678738,
2,0,2,0,4,0,4,0,,,,,,,,,,,,,,,1424.3440968003124,0.01444140262901783,0.1136420015245676,1430.3606998007745,6.030446102842689,1430.4606640990824,1430.4606640990824,0.03059770166873932,0.13045300170779228,space,1.8538409993052483,1432.360730400309,1432.360730400309,5.779974162578583e-05,0.09796670079231262,num_9,2.5690204985439777,1434.9943397302181,0.0024614017456769943,0.09776300005614758,1435.2939966991544,1435.7941018301995,1436.0939627997577,1436.577409630269,1436.8773417007178,1436.9940681997687,1444.9940291997045,1444.9940291997045,1444.9940268300475,0.0010418016463518143,0.09782840125262737,1445.9939207993448,1446.977102700621,1447.1773292999715,1447.6605907995254,10.014293801039457,1455.0938937999308,0.0012790020555257797,1455.0938937999308,0.09757220186293125,4.0,1.930604699999094,1457.060802500695,0.0024717003107070923,0.09802040085196495,1463.0772597007453,1463.243937829137,6.214752700179815,6.3146021999418736,1483.2439852297307,1483.243831699714,26.21456990018487,26.31457400135696,1484.2440189998597,1486.2438262999058,1486.2438262999058,0.014601601287722588,0.11449120193719864,1516.2437753994018,30.014527201652527,,,10.097689900547266,,,,,,,2951,Gustatory,2024-07-10_11h57.32.634,Gustatory_Condition_v2,2022.2.5,30.00345938678738,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1516.3770406991243,0.014646502211689949,0.11443670094013214,30.03099380247295,1546.3766607996076,2951,Gustatory,2024-07-10_11h57.32.634,Gustatory_Condition_v2,2022.2.5,30.00345938678738,
3,0,3,0,0,0,0,0,,,,,,,,,,,,,,,1546.476947300136,0.01617720164358616,0.13092520274221897,1552.493476100266,6.030857602134347,1552.5768633000553,1552.5768633000553,0.014228401705622673,0.1141165029257536,space,1.481546400114894,1554.1101255007088,1554.1101255007088,5.950033664703369e-05,0.09785090014338493,num_9,2.371610200032592,1556.5267868299038,0.001601899042725563,0.0983704999089241,1556.8267931006849,1557.3101096298547,1557.626785999164,1558.1101704292,1558.426768399775,1558.4932710006833,1566.4933772999793,1566.5267737004906,1566.5267341300846,0.031681399792432785,0.13178860023617744,1567.5266775991768,1568.5100138001144,1568.7100191991776,1569.2100773006678,10.014809699729085,1576.6266569998115,0.00155629962682724,1576.6266569998115,0.09807229973375797,4.0,3.3309840988367796,1579.9933349005878,0.002198699861764908,0.09891260042786598,1585.9933356996626,1586.1933598309756,6.232012400403619,6.332042299211025,1606.1765896301717,1606.1765822004527,26.21531379967928,26.31529979966581,1607.1931228004396,1609.1765375006944,1609.1765375006944,0.015327401459217072,0.1152558010071516,1639.1763988994062,30.015134900808334,,,10.098512899130583,1587.1933156996965,,,,,,2951,Gustatory,2024-07-10_11h57.32.634,Gustatory_Condition_v2,2022.2.5,30.00345938678738,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,,,1639.3097526002675,0.015879200771450996,0.11509380117058754,1645.3097197990865,6.015054501593113,1645.4097000006586,1645.4097000006586,0.0152227021753788,0.11504000052809715,space,1.5120017994195223,1646.9764380995184,1646.9764380995184,3.969855606555939e-05,0.09798519872128963,num_9,4.490133199840784,1651.5263081301005,0.0011071991175413132,0.09921620041131973,1651.8262917995453,1652.2930446300657,1652.5928607992828,1653.0930460296572,1653.3928845003247,1653.5096249002963,1661.5095718000084,1661.5095718000084,1661.5096581295134,0.015682900324463844,0.0992542002350092,1662.5261429008096,1663.5095777008682,1663.709621399641,1664.2095944993198,10.015607299283147,1671.6428188998252,0.018314799293875694,1671.6428188998252,0.11550899967551231,2.0,1.765132399275899,1673.4433117005974,0.0038653016090393066,0.09767820127308369,1679.4259878005832,1679.6260845303536,6.231164401397109,6.331103200092912,1699.6263236306609,1699.6261323001236,26.214467000216246,26.314417900517583,1700.6261362005025,1702.626099800691,1702.626099800691,0.014460502192378044,0.11438820138573647,1732.62597649917,30.01429550163448,,,,1680.6427669990808,,,,,,2951,Gustatory,2024-07-10_11h57.32.634,Gustatory_Condition_v2,2022.2.5,30.00345938678738,
