loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,sync_beep_4.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,player_image_offer.stopped,player_name_offer.stopped,player_image_intro.stopped,player_name_intro.stopped,p_port_6.stopped,Instructions_Affinity_Score.stopped,p_port_8.stopped,p_port_10.stopped,participant,session,date,expName,psychopyVersion,frameRate,
2,0,2,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.00498159998097,212.00498159998097,0.009353900008136407,0.11432849999982864,1.0,2.0060779999766964,,,,,,,,,,,,,,,4206,Moral,2025-02-27_12h36.41.983,MoralCondition_v2,2022.2.5,29.999355015067604,
2,0,2,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.0547327999957,214.0547327999957,0.008012900012545288,0.11461320001399145,7.0,5.240744099981384,,,,,,,,,,,,,,,4206,Moral,2025-02-27_12h36.41.983,MoralCondition_v2,2022.2.5,29.999355015067604,
2,0,2,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.33804879998206,219.33804879998206,0.0084391999989748,0.11438029998680577,4.0,4.006909299991094,,,,,,,,,,,,,,,4206,Moral,2025-02-27_12h36.41.983,MoralCondition_v2,2022.2.5,29.999355015067604,
2,0,2,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.37110289998236,223.37110289998236,0.0076453999790828675,0.09848299997975118,6.0,3.4249010999919847,,,,,,,,,,,,,,,4206,Moral,2025-02-27_12h36.41.983,MoralCondition_v2,2022.2.5,29.999355015067604,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.8379980000027,226.8379980000027,0.001996399980271235,0.09726569999475032,7.0,3.9630753000092227,,,,,,,,,4206,Moral,2025-02-27_12h36.41.983,MoralCondition_v2,2022.2.5,29.999355015067604,
3,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,230.83825289999368,0.00014170000213198364,0.0990518000035081,236.83780079998542,5.999041200004285,237.02109880000353,237.02109880000353,0.08081630000378937,0.18239530001301318,6.015963100013323,243.12112460000208,243.12112460000208,243.12112460000208,0.07707510000909679,0.18240099999820814,248.82122620000155,249.02127779999864,6.015875099983532,6.115760399989085,255.0212315999961,12.01569189998554,255.15463819997967,255.15463819997967,0.01594670000486076,0.11565160000463948,up,0.4754522000148427,255.68774159997702,4.75000124424696e-05,0.09793119999812916,261.7045116999943,261.7045116999943,0.01138159999391064,0.11458900000434369,1.0,4.937487399991369,,,,,,,255.12120669998694,255.12120669998694,243.0043972999847,243.0043972999847,6.098830600007204,261.7045116999943,,,4206,Moral,2025-02-27_12h36.41.983,MoralCondition_v2,2022.2.5,29.999355015067604,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266.6715095999825,266.6715095999825,0.007035400019958615,0.09810050000669435,4.0,4.625405500002671,,,,,,,,,,,,,,,4206,Moral,2025-02-27_12h36.41.983,MoralCondition_v2,2022.2.5,29.999355015067604,
3,0,3,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271.33768639998743,271.33768639998743,0.007599300006404519,0.0978923000220675,1.0,3.5917789000086486,,,,,,,,,,,,,,,4206,Moral,2025-02-27_12h36.41.983,MoralCondition_v2,2022.2.5,29.999355015067604,
3,0,3,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274.98791840000194,274.98791840000194,0.008931399992434308,0.11420779998297803,1.0,2.1398469999840017,,,,,,,,,,,,,,,4206,Moral,2025-02-27_12h36.41.983,MoralCondition_v2,2022.2.5,29.999355015067604,
3,0,3,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277.1545891999849,277.1545891999849,0.007718400011071935,0.0979351999994833,7.0,6.0914300000004005,,,,,,,,,,,,,,,4206,Moral,2025-02-27_12h36.41.983,MoralCondition_v2,2022.2.5,29.999355015067604,
