loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_2.stopped,textbox.started,p_port_2.started,p_port_2.stopped,textbox.stopped,p_port_3.started,p_port_3.stopped,instructions.started,key_resp.started,p_port_4.started,p_port_4.stopped,key_resp.keys,key_resp.rt,cross.started,p_port_6.started,p_port_6.stopped,cross.stopped,p_port_7.started,disgust_image.started,p_port_8.started,p_port_8.stopped,p_port_9.started,p_port_9.stopped,disgust_score.started,p_port_10.started,p_port_10.stopped,disgust_score.response,disgust_score.rt,disgust_image.stopped,p_port_7.stopped,participant,session,date,expName,psychopyVersion,frameRate,
13,0,13,0,,,,,,,,,,,,,,,,,,260.21714680083096,0.00021740049123764038,0.0990900993347168,266.2168406005949,5.999033499509096,266.33352500014007,0.01249529980123043,0.11570770107209682,6.015864599496126,,272.433547699824,0.018713099882006645,0.11567080020904541,1.0,9.631263200193644,272.3337082993239,6.098876500502229,4417,Visual,2024-07-15_11h49.04.575,Visual_Condition_v2,2022.2.5,30.010284543432313,
14,0,14,0,,,,,,,,,,,,,,,,,,282.10067930072546,0.00048070028424263,0.09778920002281666,288.10019290074706,6.031032400205731,288.26685650087893,0.07093220017850399,0.16455640085041523,6.031195800751448,,294.3333829008043,0.03397020138800144,0.13110170140862465,2.0,7.031324800103903,294.26686120033264,,4417,Visual,2024-07-15_11h49.04.575,Visual_Condition_v2,2022.2.5,30.010284543432313,
15,0,15,0,,,,,,,,,,,,,,,,,,301.40011990070343,0.0003268010914325714,0.09810420125722885,307.4000985994935,6.031434701755643,307.5333494991064,0.028922801837325096,0.13142050057649612,6.031401300802827,,313.61673630028963,0.017100302502512932,0.11466000229120255,2.0,3.4319589007645845,313.5334226991981,,4417,Visual,2024-07-15_11h49.04.575,Visual_Condition_v2,2022.2.5,30.010284543432313,
16,0,16,0,,,,,,,,,,,,,,,,,,317.08379529975355,0.00022429972887039185,0.09920149855315685,323.1000644005835,6.015616599470377,323.2665158994496,0.09193499945104122,0.18237029947340488,6.015658300369978,,329.3000220991671,0.018203899264335632,0.11558170057833195,0.0,1.9651860985904932,329.26670219935477,,4417,Visual,2024-07-15_11h49.04.575,Visual_Condition_v2,2022.2.5,30.010284543432313,
17,0,17,0,,,,,,,,,,,,,,,,,,331.3003291990608,0.00024150125682353973,0.09911100007593632,337.3166758995503,6.0157143995165825,337.4335088990629,0.033448800444602966,0.13263520039618015,5.999251801520586,6.09902280010283,343.49984930083156,0.002609100192785263,0.0989421010017395,3.0,4.430738799273968,343.4333308003843,,4417,Visual,2024-07-15_11h49.04.575,Visual_Condition_v2,2022.2.5,30.010284543432313,
18,0,18,0,,,,,,,,,,,,,,,,,,347.9666326008737,0.00021900050342082977,0.09934400022029877,353.9833093006164,6.015756500884891,354.11645470000803,0.05637660063803196,0.14922490157186985,6.015879800543189,,360.18319699913263,0.018835600465536118,0.11557130143046379,0.0,1.6978459991514683,360.116767000407,,4417,Visual,2024-07-15_11h49.04.575,Visual_Condition_v2,2022.2.5,30.010284543432313,
19,0,19,0,,,,,,,,,,,,,,,,,,361.9165831003338,0.0006520003080368042,0.09639720059931278,367.91655440069735,6.029667999595404,368.049917999655,0.026398800313472748,0.12992380000650883,6.029598500579596,,374.13333519920707,0.01530420035123825,0.11276890151202679,0.0,0.7988334987312555,374.0499911997467,,4417,Visual,2024-07-15_11h49.04.575,Visual_Condition_v2,2022.2.5,30.010284543432313,
20,0,20,0,,,,,,,,,,,,,,,,,,374.96681380085647,0.0004417002201080322,0.09906930103898048,380.9664056003094,6.032305700704455,381.1165449991822,0.04662830010056496,0.14929009974002838,6.01565339975059,,387.19969539903104,0.034825701266527176,0.13229980133473873,1.0,2.031827701255679,387.09964299947023,,4417,Visual,2024-07-15_11h49.04.575,Visual_Condition_v2,2022.2.5,30.010284543432313,
21,0,21,0,,,,,,,,,,,,,,,,,,389.2666478008032,0.000263899564743042,0.0993232000619173,395.249595399946,5.999014999717474,395.36628310009837,0.003183899447321892,0.099244000390172,5.999225299805403,6.099226800724864,401.4664171002805,0.002462100237607956,0.09943230077624321,0.0,1.3311500009149313,401.3665737994015,6.082532599568367,4417,Visual,2024-07-15_11h49.04.575,Visual_Condition_v2,2022.2.5,30.010284543432313,
22,0,22,0,,,,,,,,,,,,,,,,,,402.83349069952965,0.00023499876260757446,0.09912349842488766,408.83303130045533,5.999111900106072,409.31654769927263,0.236582700163126,0.4825900997966528,6.012015599757433,6.099073499441147,415.0664588995278,0.035140400752425194,0.13265850022435188,0.0,1.1649766992777586,,6.099072998389602,4417,Visual,2024-07-15_11h49.04.575,Visual_Condition_v2,2022.2.5,30.010284543432313,
23,0,23,0,,,,,,,,,,,,,,,,,,416.2666574995965,0.000619199126958847,0.09719879925251007,422.2494876999408,6.013822499662638,422.38287539966404,0.007145799696445465,0.11375859938561916,6.013847900554538,,428.4829066004604,0.016402000561356544,0.11394580081105232,0.0,0.7653355002403259,428.38296690024436,6.096924599260092,4417,Visual,2024-07-15_11h49.04.575,Visual_Condition_v2,2022.2.5,30.010284543432313,
24,0,24,0,,,,,,,,,,,,,,,,,,429.2832332998514,0.000509999692440033,0.09705719910562038,435.2998264003545,6.013881299644709,435.4161204006523,0.03311450034379959,0.13037369959056377,6.030372899025679,,441.51634559966624,0.03301839902997017,0.13018229976296425,0.0,0.6315665002912283,441.41635949909687,,4417,Visual,2024-07-15_11h49.04.575,Visual_Condition_v2,2022.2.5,30.010284543432313,
25,0,25,0,,,,,,,,,,,,,,,,,,442.1831764001399,0.00055680051445961,0.0971428994089365,448.18289369903505,6.030366299673915,448.33313249982893,0.0480078998953104,0.1472472995519638,6.01369840092957,,454.3995114993304,0.015905700623989105,0.1135002002120018,0.0,3.098623400554061,454.3330474998802,,4417,Visual,2024-07-15_11h49.04.575,Visual_Condition_v2,2022.2.5,30.010284543432313,
26,0,26,0,,,,,,,,,,,,,,,,,,457.5331031996757,0.0005146004259586334,0.09750300087034702,463.5328374002129,6.030715400353074,463.68282089941204,0.04355990141630173,0.14737099967896938,6.01394459977746,,469.7493175007403,0.016697101294994354,0.11401930078864098,1.0,4.999777399003506,469.68274910002947,,4417,Visual,2024-07-15_11h49.04.575,Visual_Condition_v2,2022.2.5,30.010284543432313,
27,0,27,0,,,,,,,,,,,,,,,,,,474.7833728995174,0.0006716996431350708,0.09614979848265648,480.7993905991316,6.012836899608374,480.9328888002783,0.03825809992849827,0.146297300234437,6.01279079914093,,486.99927389994264,0.0155263002961874,0.11268829926848412,0.0,1.3319023996591568,486.932858299464,,4417,Visual,2024-07-15_11h49.04.575,Visual_Condition_v2,2022.2.5,30.010284543432313,
28,0,28,0,,,,,,,,,,,,,,,,,,488.3662828002125,0.00022959895431995392,0.09917939826846123,494.36615009978414,5.999154899269342,494.4826944991946,0.01643109880387783,0.1159598995000124,6.0159859992563725,,500.58245600014925,0.018716299906373024,0.11588439904153347,3.0,4.497989799827337,500.4828789997846,6.099142199382186,4417,Visual,2024-07-15_11h49.04.575,Visual_Condition_v2,2022.2.5,30.010284543432313,
29,0,29,0,,,,,,,,,,,,,,,,,,505.11619850061834,0.00047999992966651917,0.09723589941859245,511.1161658000201,6.030727900564671,511.26600470021367,0.057816000655293465,0.1473150998353958,6.013715900480747,,517.3324563000351,0.01653270050883293,0.11362450011074543,0.0,2.0980587005615234,517.2659105006605,,4417,Visual,2024-07-15_11h49.04.575,Visual_Condition_v2,2022.2.5,30.010284543432313,
