Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,cross.started,p_port_4.started,p_port_4.stopped,cross.stopped,p_port_5.started,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Begin_Rinse.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,p_port_5.stopped,spit_sound.stopped,p_port_18.stopped,p_port_14.stopped,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,p_port_16.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,0,1,0,4,0,4,0,,,,,,,,,,,,913.4042932998855,0.014964200090616941,0.11421669996343553,919.4042732000817,6.014357000123709,919.5043039000593,919.5043039000593,0.014312899904325604,0.11425479990430176,space,2.9254861001390964,922.4876333000138,922.4876333000138,4.169996827840805e-05,0.09792819991707802,num_9,1.31798420031555,923.8710049798713,0.0020359999034553766,0.09836769988760352,,924.654288079869,924.9542320999317,925.4542948799674,925.7542542000301,925.8542732999194,933.8543189000338,933.8543189000338,933.8542318798602,0.01463359990157187,0.11448129988275468,935.8708885998931,936.0374320999254,936.5542442998849,10.014401799999177,943.9838135999162,0.013257299782708287,943.9838135999162,0.1105365997646004,3.0,1.4353457000106573,945.4544712998904,0.002687100088223815,0.09778850013390183,951.4708531999495,951.6542297800072,6.231092800153419,6.331256299978122,952.6708750000689,971.6541916800663,971.6541100000031,26.23107219999656,26.33109560003504,972.6540609998628,974.6541011999361,974.6541011999361,0.00023320014588534832,0.0978210000321269,1004.6539886998944,30.030953400069848,,934.8542386000045,,,,,,,,,679,Gustatory,2024-09-24_15h34.38.620,Gustatory_Condition_v2,2022.2.5,29.966650115809774,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1004.7873281000648,0.031185700092464685,0.13091870001517236,1034.8038474998903,30.01425560005009,,679,Gustatory,2024-09-24_15h34.38.620,Gustatory_Condition_v2,2022.2.5,29.966650115809774,
2,0,2,0,0,0,0,0,,,,,,,,,,,,1034.8872473998927,0.03314049984328449,0.13080029981210828,1040.8703945998568,6.0307662999257445,1040.9705443999264,1040.9705443999264,0.014131399802863598,0.1140810998622328,space,2.0193872002419084,1043.0371981998906,1043.0371981998906,4.210020415484905e-05,0.09777730004861951,num_9,2.8799644000828266,1045.9539502799046,0.0020759000908583403,0.09789120010100305,1046.2704727998935,1046.7372547800653,1047.053858499974,1047.53729597996,1047.8538248999976,1047.9538692999631,,1055.9704857000615,1055.9705904799514,0.017068100161850452,0.11440140008926392,1057.9871918999124,1058.1538452999666,1058.653863699874,10.031099600018933,1066.0869809000287,0.03382889996282756,1066.0869809000287,0.13108209986239672,3.0,1.5314631999935955,1067.6540395999327,0.002667600056156516,0.09768290002830327,1073.6537293000147,1073.8370993799065,6.214234400074929,6.314159700181335,1074.853747899877,1093.853778780019,1093.8537075999193,26.230907100019976,26.330761700170115,1094.8536179999355,,1096.8703445000574,0.015806300099939108,0.11417970014736056,1126.8703528000042,30.014031700091437,,1056.9703428000212,,,,,,,,,679,Gustatory,2024-09-24_15h34.38.620,Gustatory_Condition_v2,2022.2.5,29.966650115809774,
2,0,2,0,1,0,1,0,,,,,,,,,,,,1126.9702470998745,0.014703799970448017,0.11399139999412,1132.9870299000759,6.0306164000649005,1133.0869163998868,1133.0869163998868,0.03077259985730052,0.13079850003123283,space,4.094706600066274,1137.2369196999352,1137.2369196999352,2.12998129427433e-05,0.09873079997487366,num_9,1.2723209999967366,1138.5704326800071,0.0024431999772787094,0.0980165998917073,1138.8700929998886,1139.3535504800268,1139.653552300064,1140.1535742800218,1140.4535566999111,1140.5702935999725,1148.5701834000647,1148.5701834000647,1148.5702332798858,0.0012628999538719654,0.09793710010126233,1150.570409399923,1150.7534747000318,1151.2366865000222,10.031255699926987,1158.6867825000081,0.017510399920865893,1158.6867825000081,0.11438759998418391,5.0,1.5978971999138594,1160.3203757999,0.0015573999844491482,0.09923660010099411,1166.3201917000115,1166.4868262799457,6.199240900110453,6.299242400098592,1167.5034908999223,1186.4867395798676,1186.486830699956,26.199292700039223,26.299169900128618,1187.5033455998637,1189.4867199000437,1189.4867199000437,-0.0007994999177753925,0.09921630006283522,1219.4866376998834,29.99927580007352,,,,,,,,,,,679,Gustatory,2024-09-24_15h34.38.620,Gustatory_Condition_v2,2022.2.5,29.966650115809774,
2,0,2,0,2,0,2,0,,,,,,,,,,,,1219.6366536999121,0.0163805999327451,0.11567270010709763,1225.6366476998664,6.0156421000137925,1225.7365571998525,1225.7365571998525,0.015665199840441346,0.1156427999958396,space,2.5170454001054168,1228.3031311000232,1228.3031311000232,2.1999934688210487e-05,0.09938069991767406,num_9,1.453823700081557,1229.8031495800708,0.0014049001038074493,0.09869219991378486,1230.1031853999011,1230.5864885799122,1230.90319309989,1231.3866191800219,1231.7031999998726,1231.8032094000373,,1239.8198366998695,1239.819873079937,0.016937999986112118,0.11518900003284216,1241.8365867999382,1241.9865057000425,1242.4866559999064,10.031764199957252,1249.919805899961,0.017018900020048022,1249.919805899961,0.1153307999484241,1.0,2.1322837001644075,1252.0865086999256,0.003261599922552705,0.09753969986923039,1258.103107899893,1258.2697662800085,6.214064700063318,6.314199599903077,,1278.2864236799535,1278.2865832999814,26.23103479994461,26.330755000002682,1279.3030636999756,,1281.3030401000287,0.015735500026494265,0.11408359999768436,1311.3195466999896,30.03067609993741,,1240.819878499955,,,,,,,,,679,Gustatory,2024-09-24_15h34.38.620,Gustatory_Condition_v2,2022.2.5,29.966650115809774,
2,0,2,0,3,0,3,0,,,,,,,,,,,,1311.4029143999796,0.014629799872636795,0.1139568998478353,1317.4028968999628,6.013916400028393,1317.5030054000672,1317.5030054000672,0.014045899733901024,0.11403289972804487,space,2.141816000221297,1319.7030459998641,1319.7030459998641,4.369998350739479e-05,0.09790140017867088,num_9,1.5900377999059856,1321.3529580799398,0.0027430998161435127,0.09805169980973005,1321.6528244998772,1322.136261979863,1322.452843300067,1322.9364394799807,1323.2528190999292,1323.336270699976,1331.3361756999511,1331.3361756999511,1331.3362781799399,0.014863999793305993,0.11471789982169867,1333.3361229000147,1333.5361873998772,1334.0528273000382,10.014608699828386,1341.452821200015,0.0013212997000664473,1341.452821200015,0.09801489976234734,4.0,1.4309884998947382,1342.9198654000647,0.001653699902817607,0.09948690002784133,1348.936131299939,1349.086156880064,6.199076399905607,6.299257299862802,1350.1028344999067,1369.1027363799979,1369.102836899925,26.215859099989757,26.31576929986477,1370.1026136998553,1372.119344000006,1372.119344000006,0.001307399943470955,0.09894310007803142,1402.1358922999352,30.01551100006327,,1332.352628200082,10.097977999830619,,,,,,,,679,Gustatory,2024-09-24_15h34.38.620,Gustatory_Condition_v2,2022.2.5,29.966650115809774,
2,0,2,0,4,0,4,0,,,,,,,,,,,,1402.235889799893,0.016051899874582887,0.11550119984894991,1408.2358446000144,6.01563849998638,1408.3359982999973,1408.3359982999973,0.015580999897792935,0.11563589982688427,space,2.173103300156072,1410.5526306000538,1410.5526306000538,3.9800070226192474e-05,0.09788779984228313,num_9,1.4442785000428557,1412.052627479937,0.0024272999726235867,0.09795750002376735,1412.3524337999988,1412.8358197799419,1413.1525395000353,1413.6359733799939,1413.9524568999186,1414.05261350004,,1422.0691370000131,1422.0692101798952,0.017198899993672967,0.11458109994418919,1424.0858229000587,1424.2526481999084,1424.7526928998996,10.014452199917287,1432.1523674998898,0.0009526999201625586,1432.1523674998898,0.09774469980038702,1.0,1.131164399906993,1433.3193292000797,0.0015249000862240791,0.0994728000368923,1439.3022689998616,1439.4857979799156,6.199238100089133,6.299337500007823,1440.5023634999525,1459.485674880026,1459.4856547999661,26.199172199936584,26.299141899915412,1460.5023566999007,1462.5025508999825,1462.5025508999825,0.016115100122988224,0.1157855000346899,1492.5022070999257,30.015722600044683,,1423.0858150999993,10.097758499905467,,,,,,,,679,Gustatory,2024-09-24_15h34.38.620,Gustatory_Condition_v2,2022.2.5,29.966650115809774,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1492.635523200035,0.01618349994532764,0.11567900003865361,1522.6520656000357,30.032461300026625,,679,Gustatory,2024-09-24_15h34.38.620,Gustatory_Condition_v2,2022.2.5,29.966650115809774,
3,0,3,0,0,0,0,0,,,,,,,,,,,,1522.7354265998583,0.017646599793806672,0.11567689990624785,1528.7355704999063,6.015583099797368,1528.8354130000807,1528.8354130000807,0.015589899849146605,0.11553369974717498,space,4.5054315000306815,1533.3851910000667,1533.3851910000667,1.1200085282325745e-05,0.08293500007130206,num_9,1.412065900163725,1534.852165479958,0.002029400086030364,0.09773440007120371,1535.151939699892,1535.652121279901,,1536.4354184798897,1536.7353552000131,1536.8353929999284,1544.8353766999207,1544.8353766999207,1544.8354058799334,0.014458100078627467,0.11437540012411773,1546.835315800039,1547.035331999883,1547.5522014000453,10.014227299951017,1554.9519386000466,0.001086199888959527,1554.9519386000466,0.09758970001712441,4.0,2.8641462998930365,1557.8522502998821,0.0017389999702572823,0.09930549981072545,1563.8351078999694,1564.0185300799087,6.199072199873626,6.2825684999115765,1565.0352324999403,1584.0188849799335,1584.00161749986,26.199129299959168,26.295597899938002,1585.0182493000757,1587.0018318998627,1587.0351281000767,0.015777199994772673,0.09921390004456043,1617.0517263000365,29.999091799836606,,1545.835413799854,10.09762839996256,30.099059999920428,,,,,,,679,Gustatory,2024-09-24_15h34.38.620,Gustatory_Condition_v2,2022.2.5,29.966650115809774,
3,0,3,0,1,0,1,0,,,,,,,,,,,,1617.151736299973,0.0004192998167127371,0.09916599979624152,1623.1348293998744,6.015461699804291,1623.247920599999,1623.247920599999,0.011862299637869,0.0950973997823894,space,3.1015046001411974,1626.3848260000814,1626.3848260000814,1.4099990949034691e-05,0.09895470016635954,num_9,0.9094168001320213,1627.3348615798634,0.0007046000100672245,0.09955939999781549,1627.651601599995,1628.1015218799469,1628.4015917999204,1628.9184342800174,1629.2349979998544,1629.3016671000514,1637.318276999984,1637.318276999984,1637.3183852800169,0.016432699980214238,0.1164276001509279,1639.3349983999506,1639.5182753999252,1640.018479499966,9.999796000076458,1647.4182180999778,0.016479099867865443,1647.4182180999778,0.11644040001556277,3.0,2.198086000047624,1649.6517836998682,0.001930000027641654,0.09929000004194677,1655.6517231999896,1655.8183152799495,6.19924240000546,6.299234200036153,1656.834905500058,1675.8181590799243,1675.8181783999316,26.199273800011724,26.29917320003733,1676.8348366999999,1678.8349236999638,1678.8349236999638,0.01601200015284121,0.11582810012623668,1708.8346472000703,30.01573620014824,,1638.3350301999599,10.082978500053287,,,,,,,,679,Gustatory,2024-09-24_15h34.38.620,Gustatory_Condition_v2,2022.2.5,29.966650115809774,
