Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,p_port_3.stopped,cross.started,p_port_4.started,p_port_4.stopped,cross.stopped,p_port_5.started,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,p_port_18.stopped,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Begin_Rinse.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,p_port_14.stopped,p_port_5.stopped,Roll_liquid_taste.stopped,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,participant,session,date,expName,psychopyVersion,frameRate,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,928.9308308999753,0.016001200070604682,0.11576840013731271,934.930688799941,6.015479100169614,935.0307132999878,935.0307132999878,0.015683300094678998,0.11548940010834485,space,2.3910103000234812,937.4642100000056,937.4642100000056,4.539999645203352e-05,0.09799639997072518,num_9,1.5731190999504179,939.0973836400196,0.0022188000148162246,0.09796750009991229,939.3971535000019,939.8806856399285,940.1973451999947,940.6805068400106,940.9975639999611,941.0973135000095,949.113940399955,949.1139523399877,0.017412800109013915,0.11455630010459572,950.1138842999935,951.1305940999882,951.2972593000159,951.7972691999748,10.014519600081258,,959.2307805999881,0.017245000111870468,959.2307805999881,0.13124810007866472,5.0,6.548784299986437,965.7972237999784,0.0015308998990803957,0.09918729995843023,971.8139981999993,971.9805456400034,6.215708099887706,6.315693499986082,972.9972819999093,991.9803625400061,991.980429999996,26.215652499930002,26.3155945999315,992.9971073999768,994.9804657999193,994.9804657999193,0.01570520002860576,0.11565179994795471,1024.9971130000195,30.03231090004556,,,,,,,,,5657,Gustatory,2025-03-04_14h26.06.066,Gustatory_Condition_v2,2022.2.5,29.9985810702801,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1025.130307000014,0.0324726999970153,0.13215199997648597,1055.1301434999332,30.03202489996329,5657,Gustatory,2025-03-04_14h26.06.066,Gustatory_Condition_v2,2022.2.5,29.9985810702801,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,1055.2302071999293,0.03392900002654642,0.13199770008213818,1061.2301231999882,6.032009900081903,1061.3301357999444,1061.3301357999444,0.03217880008742213,0.13201270007994026,space,2.1067313000094146,1063.4801208999706,1063.4801208999706,5.500006955116987e-05,0.0974166999803856,num_9,1.7334715999895707,1065.2635994400014,0.0021326999412849545,0.09774869994726032,1065.5634012999944,1066.063452139974,1066.3634138000198,1066.8467001399374,1067.1633836999536,1067.2467664999422,1075.2633824999211,1075.2634120399714,0.0009785000002011657,0.09782390005420893,,1077.2801717999391,1077.4633702000137,1077.963379099965,10.01057669997681,10.097513200016692,1085.363202999928,-0.00027409999165683985,1085.363202999928,0.09772269998211414,5.0,4.46549969993066,1089.8636097999988,0.002762999967671931,0.09733929997310042,1095.8633317999775,1096.0466764399432,6.214064899948426,6.3139646999770775,1097.046478400007,1116.0464478399488,1116.0466333000222,26.214030299917795,26.313839499955066,1117.0465396000072,1119.063183799968,1119.063183799968,-0.00043729995377361774,0.09717009996529669,1149.079794799909,30.01371480000671,,,1075.2633824999211,,,,,,5657,Gustatory,2025-03-04_14h26.06.066,Gustatory_Condition_v2,2022.2.5,29.9985810702801,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,1149.179935000022,0.014498200034722686,0.11369400005787611,1155.1797140999697,6.013794900034554,1155.279755299911,1155.279755299911,0.013797300052829087,0.11366720008663833,space,1.3577240000013262,1156.6797633999959,1156.6797633999959,5.819997750222683e-05,0.09788429993204772,num_9,1.557785699958913,1158.2797589399968,0.002383399987593293,0.09815670002717525,1158.596373599954,1159.0629907399532,1159.3630778000224,1159.8629700399586,,1160.263174099964,1168.2630012999289,1168.2630440399632,0.014849400031380355,0.11477109999395907,1169.262864499935,1170.279683199944,1170.4796565999277,1170.9796702999156,10.014577399939299,10.098101099953055,1178.3795513999648,0.001012300024740398,1178.3795513999648,0.09790990001056343,2.0,3.631201299955137,1182.0465718000196,0.003844799939543009,0.09717009996529669,1188.0462521999143,1188.2294434399926,6.230458999983966,6.330442399950698,1189.246109199943,1208.229534439987,1208.2294900999404,26.21374689997174,26.313759500044398,1209.2461462999927,1211.229466699995,1211.229466699995,0.013724800082854927,0.11391399998683482,1241.229326599976,30.01355680008419,,,1168.2630012999289,,,,,,5657,Gustatory,2025-03-04_14h26.06.066,Gustatory_Condition_v2,2022.2.5,29.9985810702801,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,,,1241.362669999944,0.013750400044955313,0.11356460012029856,1247.3795373999747,6.03019590000622,1247.479434399982,1247.479434399982,0.030299300095066428,0.13018130010459572,space,2.0058934999397025,1249.5459997999715,1249.5459997999715,4.079996142536402e-05,0.09805510006844997,num_9,1.5874437999445945,1251.1793666399433,0.0021733000176027417,0.09808190003968775,1251.4959928999888,1251.9795495399856,1252.295987199992,1252.76256703994,,1253.1626407000003,1261.1626047999598,1261.1626410399447,0.014819800038821995,0.11475880001671612,,1263.1625755999703,1263.3625733000226,1263.8625858000014,10.014509900007397,,1271.295723899966,0.018599600065499544,1271.295723899966,0.11487180006224662,4.0,1.8638541999971494,1273.1960755999899,0.0015110999811440706,0.09939440002199262,1279.1958789000055,1279.3625614399905,6.199196400004439,6.299447400029749,1280.3625018999446,1299.3790974399424,1299.3790766999591,26.215780700091273,26.315557800000533,1300.3959600999951,1302.3957584999735,1302.3957584999735,0.0015156001318246126,0.09908830013591796,1332.3955955000129,30.032345300074667,,,1261.1626047999598,,,,,,5657,Gustatory,2025-03-04_14h26.06.066,Gustatory_Condition_v2,2022.2.5,29.9985810702801,
2,0,2,0,3,0,3,0,,,,,,,,,,,,,,,1332.5122745999834,0.016227800166234374,0.11584760015830398,1338.5121415000176,6.032372700050473,1338.6122394999256,1338.6122394999256,0.01560600008815527,0.11571520008146763,space,3.7847832000115886,1342.4622618999565,1342.4622618999565,4.730001091957092e-05,0.0978962000226602,num_9,1.7746413999702781,1344.2789544399245,0.002520299982279539,0.09825170005206019,1344.5955114999088,1345.0621694399858,1345.362122099963,1345.8789395400206,1346.1957126000198,1346.2622557999566,1354.2621187999612,1354.2624247400206,0.01475530001334846,0.11477330001071095,1355.2788738999516,1356.2788253999315,1356.4788422000129,1356.978739199927,10.014743800042197,10.098193100071512,1364.3788093000185,0.001451499992981553,1364.3788093000185,0.0980437999824062,4.0,2.3308653999119997,1366.7457795999944,0.001557100098580122,0.09921010001562536,1372.7620640000096,1372.9287892399705,6.215770900016651,6.315718200057745,1373.9454260999337,1392.9285141399712,1392.9118783000158,26.232328800018877,26.332432400085963,1393.9453443000093,1395.9120141000021,1395.9453238999704,-0.000954899936914444,0.09897270007058978,1425.9451835999498,29.999006000114605,,,1354.2621187999612,,,,,,5657,Gustatory,2025-03-04_14h26.06.066,Gustatory_Condition_v2,2022.2.5,29.9985810702801,
2,0,2,0,4,0,4,0,,,,,,,,,,,,,,,1426.061905200011,0.016214400064200163,0.11555880005471408,1432.0618242999772,6.015543100074865,1432.1618934000144,1432.1618934000144,0.015462100156582892,0.11547420010901988,space,2.87550129997544,1435.0952178000007,1435.0952178000007,4.260009154677391e-05,0.09828940010629594,num_9,1.445363099919632,1436.5952167399344,0.0027083000168204308,0.09810330008622259,1436.8950747000054,1437.3784275399637,1437.6951452000067,1438.19531883999,1438.4950739999767,1438.5952835999196,1446.5952485000016,1446.5953438399708,0.0016164000844582915,0.09801730001345277,1447.59511200001,1448.6120393999154,1448.7784635999706,1449.2784385000123,10.031460700090975,,1456.728362099966,0.03429000009782612,1456.728362099966,0.13128880003932863,6.0,4.798069100012071,1461.56193169998,0.001711999997496605,0.09924729994963855,1467.5617234000238,1467.728358139994,6.1990884999977425,6.299155700020492,1468.7450277999742,1487.7449097399483,1487.7449130999157,26.21571150003001,26.31569069996476,1488.7448763999855,1490.7615652999375,1490.7615652999375,0.0013963000383228064,0.09899200010113418,1520.7781142999884,30.015564600005746,,,1446.5952485000016,,,,,,5657,Gustatory,2025-03-04_14h26.06.066,Gustatory_Condition_v2,2022.2.5,29.9985810702801,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1520.8781054000137,0.0158427000278607,0.11554990010336041,1550.8779674000107,30.01538860006258,5657,Gustatory,2025-03-04_14h26.06.066,Gustatory_Condition_v2,2022.2.5,29.9985810702801,
3,0,3,0,0,0,0,0,,,,,,,,,,,,,,,1550.977985400008,0.01716140005737543,0.11551550007425249,1556.9779348999728,6.015374300070107,1557.0779875000007,1557.0779875000007,0.015477900160476565,0.11536920012440532,space,1.8789802000392228,1558.9945910000242,1558.9945910000242,3.6199926398694515e-05,0.09752359997946769,num_9,1.6261695999419317,1560.661436839972,0.0018665000097826123,0.09767469996586442,1560.977920699981,1561.4446922399918,1561.7445236999774,1562.2445968400104,1562.5446107999887,1562.627805899945,1570.6612417999422,1570.6612313399207,0.03111199999693781,0.13098479993641376,1571.6778365999926,1572.644435199909,1572.8612253000028,1573.3611912999768,10.014179799938574,,1580.7776963999495,0.017007099930197,1580.7776963999495,0.11449810001067817,5.0,4.4315752000547945,1585.2445398999844,0.0028598998906090856,0.09882469999138266,1591.2611196999205,1591.4279180399724,6.215501699945889,6.315479399985634,1592.4276362999808,1611.4275993399904,1611.4277195999166,26.215444599976763,26.31537299999036,1612.4276850000024,1614.427632899955,1614.427632899955,0.015380800003185868,0.11539589997846633,1644.4442009999184,30.031921099987812,,,1570.6278788999189,,,,,,5657,Gustatory,2025-03-04_14h26.06.066,Gustatory_Condition_v2,2022.2.5,29.9985810702801,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,,,1644.5608889999567,0.01585910003632307,0.11525360005907714,1650.5608273999533,6.015226399991661,1650.660823800019,1650.660823800019,0.015345300082117319,0.11515389999840409,space,1.8323137999977916,1652.5442121999804,1652.5442121999804,4.0199956856667995e-05,0.09816079994197935,num_9,1.484719799947925,1654.077537440008,0.0019635000498965383,0.0981336000841111,1654.3774666999234,1654.877535839926,1655.1942225999665,1655.6609495399869,1655.9606241999427,1656.0439451999264,1664.077494099969,1664.077485939965,0.0314918999793008,0.13168610003776848,1665.0773689999478,1666.0774796999758,1666.2440472999588,1666.7441407999722,10.01469730003737,,1674.211005799938,0.03425490006338805,1674.211005799938,0.13150310004130006,4.0,5.564743399969302,1679.8108340000035,0.0025299000553786755,0.09774590004235506,1685.8106808000011,1686.0107063399744,6.230964599992149,6.3309663000982255,1687.0273605999537,1705.9938725399668,1705.9939392999513,26.214236200088635,26.314227599999867,1707.0105973000173,1709.0106083999854,1709.0106083999854,0.00018960004672408104,0.0975063000805676,1739.0271121999249,30.014051500125788,,,1664.0441334999632,,,,,,5657,Gustatory,2025-03-04_14h26.06.066,Gustatory_Condition_v2,2022.2.5,29.9985810702801,
