loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,sync_beep_4.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,player_image_offer.stopped,player_name_offer.stopped,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,Instructions_Affinity_Score.stopped,player_image_intro.stopped,player_name_intro.stopped,p_port_6.stopped,p_port_8.stopped,p_port_10.stopped,participant,session,date,expName,psychopyVersion,frameRate,
2,0,2,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244.01524619944394,244.01524619944394,0.008918801322579384,0.11361830122768879,6.0,3.7060006000101566,,,,,,,,,,,,,9647,Moral,2024-06-11_18h00.59.795,MoralCondition_v2,2022.2.5,30.000398928016324,
2,0,2,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247.74882069975138,247.74882069975138,0.006946200504899025,0.09891510009765625,7.0,3.39314609952271,,,,,,,,,,,,,9647,Moral,2024-06-11_18h00.59.795,MoralCondition_v2,2022.2.5,30.000398928016324,
2,0,2,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251.18197350017726,251.18197350017726,0.00787920132279396,0.0973490010946989,5.0,5.190971601754427,,,,,,,,,,,,,9647,Moral,2024-06-11_18h00.59.795,MoralCondition_v2,2022.2.5,30.000398928016324,
2,0,2,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256.41529610008,256.41529610008,0.008581200614571571,0.09739590063691139,6.0,2.189963499084115,,,,,,,,,,,,,9647,Moral,2024-06-11_18h00.59.795,MoralCondition_v2,2022.2.5,30.000398928016324,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258.64857769943774,258.64857769943774,0.0012202002108097076,0.09761999920010567,1.0,7.164437800645828,,,,,,,9647,Moral,2024-06-11_18h00.59.795,MoralCondition_v2,2022.2.5,30.000398928016324,
3,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,265.8490415997803,0.00035839900374412537,0.09777199849486351,271.84841699898243,6.0142286997288465,272.04844399914145,272.04844399914145,0.08273829892277718,0.1977658998221159,6.031083200126886,278.1485324986279,278.1485324986279,278.1485324986279,0.09097629971802235,0.1976328995078802,283.84858599863946,284.0485874991864,6.03111119940877,6.1310502998530865,290.04860819876194,12.031127599999309,290.1486873999238,290.1486873999238,290.1819541994482,290.1819541994482,0.03136720135807991,0.13104220107197762,up,2.36879220046103,292.59880319982767,5.1001086831092834e-05,0.09769190102815628,298.59834609925747,298.59834609925747,0.005964800715446472,0.09769809991121292,2.0,4.492708200588822,,,,,,,298.59834609925747,278.0486086998135,278.0486086998135,6.097733799368143,,,9647,Moral,2024-06-11_18h00.59.795,MoralCondition_v2,2022.2.5,30.000398928016324,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303.1319420989603,303.1319420989603,0.0073138996958732605,0.09898240119218826,1.0,2.459206100553274,,,,,,,,,,,,,9647,Moral,2024-06-11_18h00.59.795,MoralCondition_v2,2022.2.5,30.000398928016324,
3,0,3,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305.6318437997252,305.6318437997252,0.006845399737358093,0.09774400107562542,1.0,3.458770200610161,,,,,,,,,,,,,9647,Moral,2024-06-11_18h00.59.795,MoralCondition_v2,2022.2.5,30.000398928016324,
3,0,3,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309.1320257987827,309.1320257987827,0.007474599406123161,0.09927159920334816,1.0,2.559596201404929,,,,,,,,,,,,,9647,Moral,2024-06-11_18h00.59.795,MoralCondition_v2,2022.2.5,30.000398928016324,
3,0,3,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311.73171089962125,311.73171089962125,0.006584400311112404,0.09911279939115047,2.0,2.1937131006270647,,,,,,,,,,,,,9647,Moral,2024-06-11_18h00.59.795,MoralCondition_v2,2022.2.5,30.000398928016324,
3,0,3,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313.9651547987014,313.9651547987014,0.007489301264286041,0.09757100045681,2.0,3.5908767003566027,,,,,,,,,,,,,9647,Moral,2024-06-11_18h00.59.795,MoralCondition_v2,2022.2.5,30.000398928016324,
3,0,3,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317.5985257998109,317.5985257998109,0.00771389901638031,0.09768289886415005,7.0,2.62423549965024,,,,,,,,,,,,,9647,Moral,2024-06-11_18h00.59.795,MoralCondition_v2,2022.2.5,30.000398928016324,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320.26525089889765,320.26525089889765,0.001587599515914917,0.09785209968686104,7.0,5.330493699759245,,,,,,,9647,Moral,2024-06-11_18h00.59.795,MoralCondition_v2,2022.2.5,30.000398928016324,
4,0,4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,325.6321789994836,0.00015840120613574982,0.09912210144102573,331.6484788991511,6.0157389007508755,331.8152871001512,331.8152871001512,0.07380990125238895,0.18271780014038086,6.015722701326013,337.91528039984405,337.91528039984405,337.91528039984405,0.07072170078754425,0.18260610103607178,343.6151486001909,343.8151004984975,6.015739601105452,6.11587150208652,349.81513289920986,12.015912801027298,349.9151043985039,349.9151043985039,349.9485050998628,349.9485050998628,0.01593480259180069,0.1156925018876791,down,2.249872099608183,352.2484456989914,4.620105028152466e-05,0.0978580005466938,358.26520579867065,358.26520579867065,0.0253113005310297,0.11473260074853897,6.0,3.8571115992963314,,,,,,,,337.8152522984892,337.8152522984892,,,,9647,Moral,2024-06-11_18h00.59.795,MoralCondition_v2,2022.2.5,30.000398928016324,
4,0,4,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.1652154996991,362.1652154996991,0.006562499329447746,0.09913809970021248,7.0,3.22683409973979,,,,,,,,,,,,,9647,Moral,2024-06-11_18h00.59.795,MoralCondition_v2,2022.2.5,30.000398928016324,
4,0,4,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365.44844380021095,365.44844380021095,0.008521400392055511,0.11461850069463253,6.0,2.640412600710988,,,,,,,,,,,,,9647,Moral,2024-06-11_18h00.59.795,MoralCondition_v2,2022.2.5,30.000398928016324,
4,0,4,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368.1318066995591,368.1318066995591,0.007609501481056213,0.11450299993157387,7.0,2.2077224012464285,,,,,,,,,,,,,9647,Moral,2024-06-11_18h00.59.795,MoralCondition_v2,2022.2.5,30.000398928016324,
4,0,4,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370.3820784986019,370.3820784986019,0.008368801325559616,0.11460670083761215,1.0,2.6407145000994205,,,,,,,,,,,,,9647,Moral,2024-06-11_18h00.59.795,MoralCondition_v2,2022.2.5,30.000398928016324,
4,0,4,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373.0485320985317,373.0485320985317,0.006708899512887001,0.0989168006926775,6.0,3.6934750992804766,,,,,,,,,,,,,9647,Moral,2024-06-11_18h00.59.795,MoralCondition_v2,2022.2.5,30.000398928016324,
4,0,4,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376.7816013991833,376.7816013991833,0.006777400150895119,0.09919429942965508,7.0,1.9269232992082834,,,,,,,,,,,,,9647,Moral,2024-06-11_18h00.59.795,MoralCondition_v2,2022.2.5,30.000398928016324,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378.74843079969287,378.74843079969287,0.0010308008641004562,0.09831329993903637,1.0,7.265231100842357,,,,,,,9647,Moral,2024-06-11_18h00.59.795,MoralCondition_v2,2022.2.5,30.000398928016324,
5,0,5,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,386.0484074987471,0.00026430003345012665,0.09787880070507526,392.06501499935985,6.014503100886941,392.23170979879797,392.23170979879797,0.08026199974119663,0.1813960000872612,6.014417300000787,398.33187099918723,398.33187099918723,398.33187099918723,0.06818840093910694,0.18134700134396553,404.0318003986031,404.2318657990545,6.014686601236463,6.114420801401138,410.23167119920254,12.014540400356054,410.3316251989454,410.3316251989454,410.36497479863465,410.36497479863465,0.014603400602936745,0.11438250169157982,up,2.7455685026943684,413.16495169885457,5.199946463108063e-05,0.09790189936757088,419.19824219867587,419.19824219867587,0.026739099994301796,0.13136300072073936,2.0,3.7055597994476557,,,,,,,,398.2316592987627,398.2316592987627,,,,9647,Moral,2024-06-11_18h00.59.795,MoralCondition_v2,2022.2.5,30.000398928016324,
5,0,5,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,422.93159030005336,422.93159030005336,0.007256001234054565,0.09762400016188622,2.0,1.9247465003281832,,,,,,,,,,,,,9647,Moral,2024-06-11_18h00.59.795,MoralCondition_v2,2022.2.5,30.000398928016324,
5,0,5,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,424.89837759919465,424.89837759919465,0.0074768997728824615,0.0976358987390995,2.0,1.9246411994099617,,,,,,,,,,,,,9647,Moral,2024-06-11_18h00.59.795,MoralCondition_v2,2022.2.5,30.000398928016324,
5,0,5,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,426.8818509001285,426.8818509001285,0.009568100795149803,0.11397450044751167,1.0,1.6055830996483564,,,,,,,,,,,,,9647,Moral,2024-06-11_18h00.59.795,MoralCondition_v2,2022.2.5,30.000398928016324,
5,0,5,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,428.51497729867697,428.51497729867697,0.007455799728631973,0.09767819941043854,1.0,1.657931599766016,,,,,,,,,,,,,9647,Moral,2024-06-11_18h00.59.795,MoralCondition_v2,2022.2.5,30.000398928016324,
5,0,5,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,430.2318894993514,430.2318894993514,0.008032198995351791,0.11451879888772964,1.0,0.9409040007740259,,,,,,,,,,,,,9647,Moral,2024-06-11_18h00.59.795,MoralCondition_v2,2022.2.5,30.000398928016324,
5,0,5,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,431.1982342991978,431.1982342991978,0.0075096990913152695,0.09939000010490417,7.0,2.1927346996963024,,,,,,,,,,,,,9647,Moral,2024-06-11_18h00.59.795,MoralCondition_v2,2022.2.5,30.000398928016324,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,433.4315448999405,433.4315448999405,0.0014530997723340988,0.09754260070621967,7.0,3.1976254004985094,,,,,,,9647,Moral,2024-06-11_18h00.59.795,MoralCondition_v2,2022.2.5,30.000398928016324,
6,0,6,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,436.66529589891434,0.00026449933648109436,0.09772570058703423,442.6649984996766,6.031122600659728,442.86473909951746,442.86473909951746,0.09019220061600208,0.19785650074481964,6.030975600704551,448.96486520022154,448.96486520022154,448.96486520022154,0.08708180114626884,0.19789310172200203,454.6648264992982,454.8648352995515,6.030959499999881,6.130940901115537,460.86485109850764,12.030961500480771,460.96482949890196,460.96482949890196,460.998173000291,460.998173000291,0.031124001368880272,0.13089150190353394,up,1.4723457023501396,462.5148114990443,3.82009893655777e-05,0.09792480058968067,468.53144159913063,468.53144159913063,0.00875370018184185,0.11472180113196373,2.0,4.14008709974587,,,,,,,468.53144159913063,448.86491799913347,448.86491799913347,,,,9647,Moral,2024-06-11_18h00.59.795,MoralCondition_v2,2022.2.5,30.000398928016324,
