Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,cross.started,p_port_4.started,p_port_4.stopped,cross.stopped,p_port_5.started,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,p_port_18.stopped,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Begin_Rinse.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,Rinse_Spit.stopped,p_port_14.stopped,p_port_5.stopped,break_text.started,p_port_15.started,p_port_15.stopped,p_port_16.started,break_text.stopped,p_port_16.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,928.7407806003466,0.03175909956917167,0.13107159966602921,934.7575360001065,6.014363799709827,934.8242517001927,934.8242517001927,0.01439649984240532,0.1144408998079598,space,1.5265521993860602,936.4075207002461,936.4075207002461,4.220008850097656e-05,0.09798360010609031,num_9,1.2721818992868066,937.7407716401387,0.002264699898660183,0.09793339995667338,938.040624300018,938.5240755402949,938.8407616000623,939.3407617402729,939.6407118001953,939.7407437004149,947.740672300104,947.740672300104,947.7407161402982,0.0014892998151481152,0.09785149991512299,948.7406771001406,949.740698300302,949.9240256003104,950.4239807003178,10.014573100022972,10.097804800141603,957.8406307999976,0.0006619999185204506,957.8406307999976,0.09791769972071052,5.0,2.6314368997700512,960.5076507003978,0.004224100150167942,0.09833630034700036,966.5239508002996,966.6906240401324,6.215050900354981,6.31495810020715,967.6906256000511,986.6903858404141,986.6905001001433,26.214903100393713,26.31482239998877,987.7071732003242,989.7071498003788,0.0005899998359382153,0.09821359999477863,1019.7236651000567,30.014754199888557,989.7071498003788,,,,,,,,,7451,Gustatory,2025-02-10_10h12.08.688,Gustatory_Condition_v2,2022.2.5,29.956631771312072,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1019.8236740999855,0.015178999863564968,0.1147321998141706,30.03138480009511,1049.8232931001112,,7451,Gustatory,2025-02-10_10h12.08.688,Gustatory_Condition_v2,2022.2.5,29.956631771312072,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,1049.9235390000977,0.016386099625378847,0.1145804999396205,1055.9404953001067,6.031250199768692,1056.0402077003382,1056.0402077003382,0.031458599492907524,0.13126749964430928,space,6.151483499445021,1062.2401742003858,1062.2401742003858,5.959998816251755e-05,0.09759380016475916,num_9,0.9271244998089969,1063.206955740275,0.0019833999685943127,0.0977995996363461,1063.5067238002084,1063.9900523401332,1064.3234691000544,1064.7901111403946,1065.1067083003,1065.2067903000861,1073.2067888001911,1073.2067888001911,1073.2067616400775,0.0009969999082386494,0.09780009975656867,1074.2066697999835,1075.2067631003447,1075.3900837004185,1075.9070143001154,10.031028099823743,,1083.3400198002346,0.033955699764192104,1083.3400198002346,0.13099659979343414,3.0,5.764612499624491,1089.1399906002916,0.0020314003340899944,0.09834810020402074,1095.1566719003022,1095.3233409403358,6.215008900035173,6.314940300304443,1096.3402225002646,1115.3232330400963,1115.3232344002463,26.214927300345153,26.314985200297087,1116.339995500166,1118.3400151003152,0.0007915999740362167,0.09808189980685711,1148.356533500366,30.01486080000177,1118.3400151003152,,,,,,,,,7451,Gustatory,2025-02-10_10h12.08.688,Gustatory_Condition_v2,2022.2.5,29.956631771312072,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,1148.456448300276,0.015273299999535084,0.11471330001950264,1154.4563873000443,6.014670599717647,1154.556384500116,1154.556384500116,0.014685199595987797,0.1147087998688221,space,6.962758699897677,1161.5563339004293,1161.5563339004293,3.529991954565048e-05,0.09819249995052814,num_9,0.9548156997188926,1162.5563895400148,0.0017097997479140759,0.09828159958124161,1162.8562508001924,1163.339559440082,1163.6562509001233,1164.1396789402236,1164.4396109003574,1164.5396234001964,1172.5396471000277,1172.5396471000277,1172.5396454399918,0.015004299581050873,0.11514009954407811,1173.5563040999696,1174.5563056003302,1174.7228153999895,1175.2396224001423,10.01479379972443,10.098046799656004,1182.6561359004118,0.0008451994508504868,1182.6561359004118,0.09811049979180098,5.0,2.4316421998664737,1185.123135200236,0.0035009002313017845,0.09755680011585355,1191.1228681001812,1191.3229186400306,6.230738299898803,6.330742999911308,1192.3395065004006,1211.3060559402686,1211.3061319002882,26.214071600232273,26.31399520020932,1212.3060361002572,1214.3060964001343,0.014036699663847685,0.11399169964715838,1244.322614400182,30.03052519960329,1214.3060964001343,,,,,,,,,7451,Gustatory,2025-02-10_10h12.08.688,Gustatory_Condition_v2,2022.2.5,29.956631771312072,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,1244.4559673001058,0.03120979992672801,0.13050469988957047,1250.4726967001334,6.013777399901301,1250.539264800027,1250.539264800027,0.013997599482536316,0.1138266995549202,space,3.779501299839467,1254.3727051001042,1254.3727051001042,4.820013418793678e-05,0.09810109995305538,num_9,1.2749218996614218,1255.7059388403316,0.0019207000732421875,0.09844450000673532,,1256.4891579403077,1256.8058850001544,1257.2892605402042,1257.6058132001199,1257.6723779002205,1265.6891678003594,1265.6891678003594,1265.689232640015,0.014895100146532059,0.11479349993169308,1266.6895151003264,1267.6891815001145,1267.905777900014,1268.405860400293,10.031547000166029,,1275.8389956001192,0.03449880005791783,1275.8389956001192,0.1313211997039616,4.0,3.2978523997589946,1279.1728149000555,0.0026163002476096153,0.09810269996523857,1285.1724419002421,1285.3558189403732,6.214670400135219,6.314631000161171,1286.3556456002407,1305.3726210403722,1305.3724640002474,26.231419099960476,26.331200799904764,1306.3889462002553,1308.3724724003114,0.0004258998669683933,0.09785509994253516,1338.372172600124,30.031087799929082,1308.3724724003114,,,,,,,,,7451,Gustatory,2025-02-10_10h12.08.688,Gustatory_Condition_v2,2022.2.5,29.956631771312072,
2,0,2,0,3,0,3,0,,,,,,,,,,,,,1338.5055433004163,0.031849199905991554,0.1310657998546958,1344.5054781003855,6.031036899890751,1344.6054845000617,1344.6054845000617,0.031143699772655964,0.13099269941449165,space,3.233984999358654,1347.8887891001068,1347.8887891001068,4.8900023102760315e-05,0.09806140000000596,num_9,0.6701813000254333,1348.6055269400124,0.001995299942791462,0.09805959975346923,1348.9054893003777,1349.3889215402771,1349.688754600007,1350.1887882403564,1350.4888873002492,1350.5887981001288,1358.588818400167,1358.588818400167,1358.5890157400165,0.014882099814713001,0.11474489979445934,1359.5886678001843,1360.5887607000768,1360.7887476002797,1361.3054194999859,10.014572700019926,10.097893999889493,1368.705252900254,0.0006822999566793442,1368.705252900254,0.09793319972231984,1.0,1.5984693998470902,1370.3386005000211,0.003525099717080593,0.09791240002959967,1376.3386857002042,1376.522025140049,6.214672499801964,6.314530999865383,1377.5386493001133,1396.5217973404099,1396.521822400391,26.214357699733227,26.29777649976313,1397.5385128003545,1399.5385284000076,0.00014279969036579132,0.09777309978380799,1429.5383841004223,30.0309802996926,1399.5385284000076,,,,,,,,,7451,Gustatory,2025-02-10_10h12.08.688,Gustatory_Condition_v2,2022.2.5,29.956631771312072,
2,0,2,0,4,0,4,0,,,,,,,,,,,,,1429.655226700008,0.014918499626219273,0.11432449985295534,1435.6550263999961,6.014225299470127,1435.7553173000924,1435.7553173000924,0.01435679942369461,0.11439169943332672,space,3.5714921997860074,1439.3883799002506,1439.3883799002506,5.249958485364914e-05,0.09800469968467951,num_9,1.3623999999836087,1440.7884367402178,0.002439499832689762,0.09810329973697662,1441.1049258001149,1441.571694040252,1441.8883313001134,1442.371581140021,1442.7051903000101,1442.7716730004176,1450.771638700273,1450.771638700273,1450.7716883402784,0.014793199952691793,0.11473209969699383,1451.788364800159,1452.7883425001055,1452.988473400008,1453.4882775000297,10.031324899755418,,1460.9048097999766,0.016532499808818102,1460.9048097999766,0.1144260996952653,4.0,2.1991793997585773,1463.1384942000732,0.0030029001645743847,0.09776630019769073,1469.1380675002001,1469.321502840193,6.214545399881899,6.314416999928653,1470.3382976003923,1489.3213881403674,1489.3214941001497,26.214388099964708,26.3145130998455,1490.3382790000178,1492.3212800002657,0.014108399860560894,0.11495169997215271,1522.3213041001,30.014189899899065,1492.3212800002657,,,,,,,,,7451,Gustatory,2025-02-10_10h12.08.688,Gustatory_Condition_v2,2022.2.5,29.956631771312072,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1522.4546901001595,0.014363699592649937,0.11411869991570711,30.0307280998677,1552.4711373001337,,7451,Gustatory,2025-02-10_10h12.08.688,Gustatory_Condition_v2,2022.2.5,29.956631771312072,
3,0,3,0,0,0,0,0,,,,,,,,,,,,,1552.5544824004173,0.01585349952802062,0.11401079967617989,1558.5544304000214,6.01407519960776,1558.654500800185,1558.654500800185,0.014000099617987871,0.1140898996964097,space,3.8089344995096326,1562.5211148001254,1562.5211148001254,4.189973697066307e-05,0.0978612001053989,num_9,0.9975345996208489,1563.5711472402793,0.0020902003161609173,0.09788560029119253,1563.8876596000046,1564.3544139401522,1564.6542987003922,1565.1543516400736,1565.4715621001087,1565.5710861003026,1573.5711750001647,1573.5711750001647,1573.5712567400653,0.0013840002939105034,0.09796559996902943,1574.5878326999955,1575.5710329003632,1575.7543721003458,1576.254366800189,10.01437980029732,,1583.6877215001732,0.01680890005081892,1583.6877215001732,0.11433759983628988,2.0,2.631916199810803,1586.3546002004296,0.001649700105190277,0.09916190011426806,1592.3375578001142,1592.537562740082,6.215781399980187,6.315732300281525,,1612.55420264001,1612.554185200017,26.23233040003106,26.332312500104308,1613.5710876001976,1615.5708306999877,0.017326199915260077,0.11561190010979772,1645.5707005001605,30.015512499958277,,,,,,,,,,7451,Gustatory,2025-02-10_10h12.08.688,Gustatory_Condition_v2,2022.2.5,29.956631771312072,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,1645.6708332002163,0.016282799653708935,0.11546539980918169,1651.6873253001831,6.032232199795544,1651.78731480008,1651.78731480008,0.032192499842494726,0.13218219950795174,space,4.755382499657571,1656.6040005004033,1656.6040005004033,4.279986023902893e-05,0.09806140000000596,num_9,1.2508914996869862,1657.903988040099,0.0009516999125480652,0.09926069993525743,1658.220711500384,1658.6707782401238,1658.9707635003142,1659.4705620403868,1659.770607100334,1659.8707220000215,1667.8706204001792,1667.8706204001792,1667.870606740052,-0.0007437998428940773,0.09930570004507899,1668.8871693001129,1669.8707105000503,1670.0872610001825,1670.5872255000286,9.99907650006935,10.082417100202292,1677.9870825000107,0.01572269992902875,1677.9870825000107,0.1158877001143992,5.0,2.1640016003511846,1680.1875607003458,0.0024755001068115234,0.09784300019964576,1686.2038503000513,1686.3705261401367,6.214786999858916,6.3144507999531925,1687.3870995002799,1706.3871413399931,1706.3870639000088,26.231069500092417,26.330989600159228,1707.3869857001118,1709.403747400269,0.016094299964606762,0.11441429983824492,1739.4203639002517,30.03085759980604,,,,,,,,,,7451,Gustatory,2025-02-10_10h12.08.688,Gustatory_Condition_v2,2022.2.5,29.956631771312072,
